Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762248040,2025-11-04T09:20:40Z,ASL81K,"44.821461,20.293104",0,0,289
1762248151,2025-11-04T09:22:31Z,ASL81K,"44.821613,20.292854",0,4,309
1762248171,2025-11-04T09:22:51Z,ASL81K,"44.82196,20.292168",0,8,303
1762248198,2025-11-04T09:23:18Z,ASL81K,"44.82272,20.291307",0,9,11
1762248203,2025-11-04T09:23:23Z,ASL81K,"44.822937,20.29147",0,9,28
1762248217,2025-11-04T09:23:37Z,ASL81K,"44.823486,20.291948",0,12,30
1762248221,2025-11-04T09:23:41Z,ASL81K,"44.823692,20.292156",0,13,39
1762248225,2025-11-04T09:23:45Z,ASL81K,"44.823784,20.292452",0,14,70
1762248227,2025-11-04T09:23:47Z,ASL81K,"44.823753,20.292669",0,13,92
1762248232,2025-11-04T09:23:52Z,ASL81K,"44.823612,20.29302",0,13,120
1762248236,2025-11-04T09:23:56Z,ASL81K,"44.823498,20.293306",0,13,120
1762248240,2025-11-04T09:24:00Z,ASL81K,"44.82338,20.293541",0,13,123
1762248243,2025-11-04T09:24:03Z,ASL81K,"44.823257,20.293825",0,14,123
1762248246,2025-11-04T09:24:06Z,ASL81K,"44.823154,20.294054",0,14,120
1762248251,2025-11-04T09:24:11Z,ASL81K,"44.822975,20.29446",0,15,120
1762248254,2025-11-04T09:24:14Z,ASL81K,"44.822811,20.294779",0,16,120
1762248257,2025-11-04T09:24:17Z,ASL81K,"44.822742,20.294996",0,16,123
1762248260,2025-11-04T09:24:20Z,ASL81K,"44.822617,20.295279",0,17,123
1762248263,2025-11-04T09:24:23Z,ASL81K,"44.822483,20.295567",0,19,120
1762248266,2025-11-04T09:24:26Z,ASL81K,"44.822308,20.295933",0,18,123
1762248272,2025-11-04T09:24:32Z,ASL81K,"44.822056,20.29652",0,19,120
1762248275,2025-11-04T09:24:35Z,ASL81K,"44.821907,20.296881",0,20,120
1762248280,2025-11-04T09:24:40Z,ASL81K,"44.821678,20.297388",0,21,120
1762248282,2025-11-04T09:24:42Z,ASL81K,"44.821564,20.297667",0,21,120
1762248284,2025-11-04T09:24:44Z,ASL81K,"44.821449,20.297911",0,22,120
1762248286,2025-11-04T09:24:46Z,ASL81K,"44.821308,20.298229",0,22,120
1762248291,2025-11-04T09:24:51Z,ASL81K,"44.821072,20.298761",0,23,120
1762248292,2025-11-04T09:24:52Z,ASL81K,"44.820969,20.29899",0,23,120
1762248295,2025-11-04T09:24:55Z,ASL81K,"44.820843,20.299284",0,23,123
1762248296,2025-11-04T09:24:56Z,ASL81K,"44.820728,20.299519",0,24,120
1762248299,2025-11-04T09:24:59Z,ASL81K,"44.82061,20.299803",0,24,120
1762248302,2025-11-04T09:25:02Z,ASL81K,"44.820484,20.300089",0,24,120
1762248303,2025-11-04T09:25:03Z,ASL81K,"44.820354,20.300373",0,24,120
1762248305,2025-11-04T09:25:05Z,ASL81K,"44.82024,20.30064",0,24,120
1762248306,2025-11-04T09:25:06Z,ASL81K,"44.820156,20.300842",0,24,120
1762248309,2025-11-04T09:25:09Z,ASL81K,"44.82003,20.3011",0,24,123
1762248310,2025-11-04T09:25:10Z,ASL81K,"44.819939,20.301311",0,24,123
1762248312,2025-11-04T09:25:12Z,ASL81K,"44.819786,20.301662",0,24,120
1762248315,2025-11-04T09:25:15Z,ASL81K,"44.819633,20.301998",0,25,120
1762248316,2025-11-04T09:25:16Z,ASL81K,"44.819542,20.302198",0,25,123
1762248318,2025-11-04T09:25:18Z,ASL81K,"44.819447,20.302423",0,25,120
1762248321,2025-11-04T09:25:21Z,ASL81K,"44.81926,20.302851",0,25,120
1762248322,2025-11-04T09:25:22Z,ASL81K,"44.81916,20.303061",0,25,120
1762248327,2025-11-04T09:25:27Z,ASL81K,"44.818924,20.303606",0,25,120
1762248328,2025-11-04T09:25:28Z,ASL81K,"44.818817,20.303841",0,25,120
1762248330,2025-11-04T09:25:30Z,ASL81K,"44.818703,20.304108",0,25,123
1762248331,2025-11-04T09:25:31Z,ASL81K,"44.818596,20.304308",0,25,123
1762248333,2025-11-04T09:25:33Z,ASL81K,"44.818504,20.304527",0,25,120
1762248334,2025-11-04T09:25:34Z,ASL81K,"44.818417,20.304745",0,25,120
1762248336,2025-11-04T09:25:36Z,ASL81K,"44.818317,20.304962",0,26,120
1762248338,2025-11-04T09:25:38Z,ASL81K,"44.818214,20.305197",0,26,120
1762248339,2025-11-04T09:25:39Z,ASL81K,"44.818119,20.305431",0,26,120
1762248340,2025-11-04T09:25:40Z,ASL81K,"44.818005,20.305677",0,26,120
1762248343,2025-11-04T09:25:43Z,ASL81K,"44.817841,20.306034",0,26,123
1762248345,2025-11-04T09:25:45Z,ASL81K,"44.817707,20.306347",0,27,120
1762248348,2025-11-04T09:25:48Z,ASL81K,"44.817524,20.306757",0,27,120
1762248350,2025-11-04T09:25:50Z,ASL81K,"44.817375,20.3071",0,28,120
1762248351,2025-11-04T09:25:51Z,ASL81K,"44.817272,20.307341",0,28,120
1762248353,2025-11-04T09:25:53Z,ASL81K,"44.817165,20.307575",0,28,120
1762248355,2025-11-04T09:25:55Z,ASL81K,"44.817001,20.307926",0,29,120
1762248356,2025-11-04T09:25:56Z,ASL81K,"44.816906,20.308163",0,29,123
1762248358,2025-11-04T09:25:58Z,ASL81K,"44.816807,20.308378",0,28,123
1762248360,2025-11-04T09:26:00Z,ASL81K,"44.816631,20.30875",0,26,123
1762248363,2025-11-04T09:26:03Z,ASL81K,"44.816471,20.309093",0,25,120
1762248365,2025-11-04T09:26:05Z,ASL81K,"44.816322,20.309454",0,26,120
1762248368,2025-11-04T09:26:08Z,ASL81K,"44.816162,20.30983",0,27,120
1762248370,2025-11-04T09:26:10Z,ASL81K,"44.81599,20.310223",0,27,120
1762248373,2025-11-04T09:26:13Z,ASL81K,"44.815815,20.310623",0,28,120
1762248375,2025-11-04T09:26:15Z,ASL81K,"44.815636,20.311007",0,28,123
1762248377,2025-11-04T09:26:17Z,ASL81K,"44.815536,20.311209",0,28,120
1762248379,2025-11-04T09:26:19Z,ASL81K,"44.815395,20.311527",0,29,120
1762248380,2025-11-04T09:26:20Z,ASL81K,"44.815292,20.311762",0,29,120
1762248382,2025-11-04T09:26:22Z,ASL81K,"44.815166,20.312054",0,29,120
1762248384,2025-11-04T09:26:24Z,ASL81K,"44.815018,20.31238",0,29,120
1762248385,2025-11-04T09:26:25Z,ASL81K,"44.814915,20.312609",0,29,120
1762248387,2025-11-04T09:26:27Z,ASL81K,"44.814789,20.31292",0,26,120
1762248390,2025-11-04T09:26:30Z,ASL81K,"44.814651,20.313234",0,25,120
1762248392,2025-11-04T09:26:32Z,ASL81K,"44.814476,20.313604",0,25,123
1762248394,2025-11-04T09:26:34Z,ASL81K,"44.814342,20.313917",0,26,120
1762248397,2025-11-04T09:26:37Z,ASL81K,"44.814194,20.31426",0,26,120
1762248399,2025-11-04T09:26:39Z,ASL81K,"44.814049,20.314575",0,26,120
1762248400,2025-11-04T09:26:40Z,ASL81K,"44.813953,20.3148",0,27,120
1762248403,2025-11-04T09:26:43Z,ASL81K,"44.813778,20.315178",0,27,120
1762248405,2025-11-04T09:26:45Z,ASL81K,"44.813629,20.315529",0,27,120
1762248406,2025-11-04T09:26:46Z,ASL81K,"44.813545,20.315731",0,28,120
1762248408,2025-11-04T09:26:48Z,ASL81K,"44.813438,20.31596",0,28,123
1762248409,2025-11-04T09:26:49Z,ASL81K,"44.813335,20.316183",0,28,120
1762248411,2025-11-04T09:26:51Z,ASL81K,"44.813232,20.316418",0,28,120
1762248413,2025-11-04T09:26:53Z,ASL81K,"44.813091,20.316734",0,28,120
1762248414,2025-11-04T09:26:54Z,ASL81K,"44.812992,20.316957",0,28,120
1762248417,2025-11-04T09:26:57Z,ASL81K,"44.812809,20.317366",0,28,120
1762248419,2025-11-04T09:26:59Z,ASL81K,"44.812672,20.317677",0,27,120
1762248421,2025-11-04T09:27:01Z,ASL81K,"44.812557,20.317942",0,27,120
1762248422,2025-11-04T09:27:02Z,ASL81K,"44.812466,20.318142",0,27,120
1762248423,2025-11-04T09:27:03Z,ASL81K,"44.812374,20.318348",0,27,120
1762248426,2025-11-04T09:27:06Z,ASL81K,"44.812237,20.318659",0,27,120
1762248427,2025-11-04T09:27:07Z,ASL81K,"44.812126,20.318895",0,27,120
1762248429,2025-11-04T09:27:09Z,ASL81K,"44.811985,20.319197",0,27,120
1762248437,2025-11-04T09:27:17Z,ASL81K,"44.811462,20.320436",0,27,120
1762248445,2025-11-04T09:27:25Z,ASL81K,"44.811012,20.32147",0,22,120
