Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1760999859,2025-10-20T22:37:39Z,,"51.067944,-93.785782",1725,129,79
1760999866,2025-10-20T22:37:46Z,,"51.068691,-93.779068",1950,136,80
1760999874,2025-10-20T22:37:54Z,,"51.069534,-93.770317",2225,144,81
1760999881,2025-10-20T22:38:01Z,,"51.070175,-93.763412",2500,142,81
1760999890,2025-10-20T22:38:10Z,,"51.070999,-93.754654",2925,140,83
1760999899,2025-10-20T22:38:19Z,,"51.071594,-93.745148",3275,145,84
1760999901,2025-10-20T22:38:21Z,,"51.071686,-93.742996",3350,148,86
1760999903,2025-10-20T22:38:23Z,,"51.071777,-93.7407",3400,150,87
1760999905,2025-10-20T22:38:25Z,,"51.071823,-93.738174",3450,153,89
1760999907,2025-10-20T22:38:27Z,,"51.071777,-93.73587",3500,155,91
1760999910,2025-10-20T22:38:30Z,,"51.071671,-93.733139",3550,157,95
1760999912,2025-10-20T22:38:32Z,,"51.071457,-93.730751",3600,160,99
1760999914,2025-10-20T22:38:34Z,,"51.071156,-93.728409",3675,160,102
1760999916,2025-10-20T22:38:36Z,,"51.07069,-93.72612",3725,162,109
1760999919,2025-10-20T22:38:39Z,,"51.069714,-93.722763",3825,162,116
1760999921,2025-10-20T22:38:41Z,,"51.068939,-93.720726",3900,163,122
1760999923,2025-10-20T22:38:43Z,,"51.06813,-93.718872",3975,163,126
1760999925,2025-10-20T22:38:45Z,,"51.066879,-93.716423",4075,162,129
1760999927,2025-10-20T22:38:47Z,,"51.065781,-93.714493",4175,162,131
1760999930,2025-10-20T22:38:50Z,,"51.064819,-93.712784",4250,162,133
1760999932,2025-10-20T22:38:52Z,,"51.063492,-93.710556",4375,161,133
1760999935,2025-10-20T22:38:55Z,,"51.062218,-93.70842",4500,162,133
1760999937,2025-10-20T22:38:57Z,,"51.061157,-93.706627",4575,162,133
1760999939,2025-10-20T22:38:59Z,,"51.060032,-93.704758",4625,164,132
1760999942,2025-10-20T22:39:02Z,,"51.05864,-93.702316",4725,167,132
1760999944,2025-10-20T22:39:04Z,,"51.057404,-93.700165",4775,167,132
1760999946,2025-10-20T22:39:06Z,,"51.056305,-93.698311",4850,169,132
1760999948,2025-10-20T22:39:08Z,,"51.055096,-93.696213",4900,170,132
1760999950,2025-10-20T22:39:10Z,,"51.053932,-93.694153",4975,170,132
1760999959,2025-10-20T22:39:19Z,,"51.049438,-93.686356",5225,175,132
1760999974,2025-10-20T22:39:34Z,,"51.041039,-93.672028",5700,178,133
1760999988,2025-10-20T22:39:48Z,,"51.033077,-93.658981",6325,176,134
1761000001,2025-10-20T22:40:01Z,,"51.025536,-93.646851",6875,176,134
1761000014,2025-10-20T22:40:14Z,,"51.018082,-93.634468",7425,174,131
1761000028,2025-10-20T22:40:28Z,,"51.011013,-93.620987",7900,177,128
1761000042,2025-10-20T22:40:42Z,,"51.003471,-93.605957",8175,190,128
1761000056,2025-10-20T22:40:56Z,,"50.995743,-93.590546",8475,199,128
1761000069,2025-10-20T22:41:09Z,,"50.988247,-93.575745",8775,204,128
1761000084,2025-10-20T22:41:24Z,,"50.97945,-93.558121",9100,209,128
1761000097,2025-10-20T22:41:37Z,,"50.971527,-93.541534",9450,211,125
1761000110,2025-10-20T22:41:50Z,,"50.9646,-93.524933",9825,209,123
1761000123,2025-10-20T22:42:03Z,,"50.95771,-93.508682",10250,207,124
1761000136,2025-10-20T22:42:16Z,,"50.950119,-93.49144",10575,209,125
1761000150,2025-10-20T22:42:30Z,,"50.942368,-93.474281",10800,217,125
1761000162,2025-10-20T22:42:42Z,,"50.934998,-93.45787",11025,220,125
1761000176,2025-10-20T22:42:56Z,,"50.926983,-93.440247",11150,228,125
1761000189,2025-10-20T22:43:09Z,,"50.919113,-93.422386",11225,235,125
1761000202,2025-10-20T22:43:22Z,,"50.911064,-93.404083",11300,241,124
1761000215,2025-10-20T22:43:35Z,,"50.902126,-93.383636",11325,247,124
1761000228,2025-10-20T22:43:48Z,,"50.893234,-93.363571",11350,251,124
1761000242,2025-10-20T22:44:02Z,,"50.884388,-93.34343",11325,257,124
1761000255,2025-10-20T22:44:15Z,,"50.875534,-93.322922",11325,260,124
1761000269,2025-10-20T22:44:29Z,,"50.866241,-93.301613",11350,261,124
1761000282,2025-10-20T22:44:42Z,,"50.856995,-93.280533",11375,262,124
1761000294,2025-10-20T22:44:54Z,,"50.848068,-93.260414",11350,265,125
1761000307,2025-10-20T22:45:07Z,,"50.839046,-93.240204",11325,267,125
1761000321,2025-10-20T22:45:21Z,,"50.829502,-93.21907",11325,267,125
1761000333,2025-10-20T22:45:33Z,,"50.820465,-93.198807",11325,267,125
1761000347,2025-10-20T22:45:47Z,,"50.811211,-93.178024",11325,267,125
1761000360,2025-10-20T22:46:00Z,,"50.801479,-93.156281",11325,268,125
1761000374,2025-10-20T22:46:14Z,,"50.791855,-93.134743",11325,267,125
1761000387,2025-10-20T22:46:27Z,,"50.782486,-93.113861",11325,266,125
1761000400,2025-10-20T22:46:40Z,,"50.773132,-93.09317",11325,266,125
1761000413,2025-10-20T22:46:53Z,,"50.763214,-93.071289",11325,266,125
1761000427,2025-10-20T22:47:07Z,,"50.75354,-93.050117",11325,265,125
1761000440,2025-10-20T22:47:20Z,,"50.744293,-93.029404",11325,264,124
1761000453,2025-10-20T22:47:33Z,,"50.735367,-93.008995",11325,264,124
1761000466,2025-10-20T22:47:46Z,,"50.726112,-92.9879",11350,264,125
1761000479,2025-10-20T22:47:59Z,,"50.717285,-92.968239",11325,265,125
1761000492,2025-10-20T22:48:12Z,,"50.707863,-92.947083",11325,264,124
1761000505,2025-10-20T22:48:25Z,,"50.698837,-92.926743",11325,264,124
1761000518,2025-10-20T22:48:38Z,,"50.689728,-92.906105",11325,263,124
1761000531,2025-10-20T22:48:51Z,,"50.680584,-92.88559",11325,263,124
1761000544,2025-10-20T22:49:04Z,,"50.671692,-92.865646",11325,264,125
1761000557,2025-10-20T22:49:17Z,,"50.662491,-92.845604",11300,263,126
1761000571,2025-10-20T22:49:31Z,,"50.653072,-92.825195",11300,262,125
1761000584,2025-10-20T22:49:44Z,,"50.643768,-92.804985",11325,262,125
