Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762278070,2025-11-04T17:41:10Z,KZR289,"43.351398,77.010872",0,0,244
1762278111,2025-11-04T17:41:51Z,KZR289,"43.351467,77.011093",0,0,233
1762278130,2025-11-04T17:42:10Z,KZR289,"43.351563,77.011299",0,2,222
1762278150,2025-11-04T17:42:30Z,KZR289,"43.351665,77.011513",0,0,174
1762278174,2025-11-04T17:42:54Z,KZR289,"43.351879,77.011459",0,2,157
1762278228,2025-11-04T17:43:48Z,KZR289,"43.351677,77.011642",0,0,151
1762279449,2025-11-04T18:04:09Z,KZR289,"43.351467,77.011765",0,3,154
1762279463,2025-11-04T18:04:23Z,KZR289,"43.351261,77.011894",0,4,157
1762279473,2025-11-04T18:04:33Z,KZR289,"43.351135,77.012115",0,4,126
1762279482,2025-11-04T18:04:42Z,KZR289,"43.351154,77.012344",0,4,90
1762279490,2025-11-04T18:04:50Z,KZR289,"43.351246,77.012573",0,6,67
1762279496,2025-11-04T18:04:56Z,KZR289,"43.35133,77.012802",0,7,64
1762279502,2025-11-04T18:05:02Z,KZR289,"43.351387,77.013046",0,7,73
1762279507,2025-11-04T18:05:07Z,KZR289,"43.351364,77.01329",0,7,95
1762279513,2025-11-04T18:05:13Z,KZR289,"43.35125,77.013504",0,7,126
1762279520,2025-11-04T18:05:20Z,KZR289,"43.351032,77.013634",0,7,154
1762279529,2025-11-04T18:05:29Z,KZR289,"43.35078,77.013771",0,7,157
1762279534,2025-11-04T18:05:34Z,KZR289,"43.350574,77.013908",0,8,157
1762279541,2025-11-04T18:05:41Z,KZR289,"43.350365,77.01403",0,8,154
1762279548,2025-11-04T18:05:48Z,KZR289,"43.350128,77.014191",0,8,154
1762279557,2025-11-04T18:05:57Z,KZR289,"43.349792,77.014389",0,9,154
1762279564,2025-11-04T18:06:04Z,KZR289,"43.349525,77.014549",0,9,154
1762279572,2025-11-04T18:06:12Z,KZR289,"43.349224,77.014748",0,9,154
1762279579,2025-11-04T18:06:19Z,KZR289,"43.348953,77.014931",0,9,154
1762279587,2025-11-04T18:06:27Z,KZR289,"43.348652,77.015083",0,9,160
