Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762065773,2025-11-02T06:42:53Z,KZR663,"43.34911,77.013344",0,0,244
1762065801,2025-11-02T06:43:21Z,KZR663,"43.349167,77.01355",0,2,241
1762065815,2025-11-02T06:43:35Z,KZR663,"43.349236,77.013779",0,3,230
1762065830,2025-11-02T06:43:50Z,KZR663,"43.349327,77.014",0,3,208
1762065851,2025-11-02T06:44:11Z,KZR663,"43.349545,77.014175",0,3,165
1762065882,2025-11-02T06:44:42Z,KZR663,"43.349537,77.013916",0,2,160
1762065889,2025-11-02T06:44:49Z,KZR663,"43.349545,77.014206",0,2,160
1762065908,2025-11-02T06:45:08Z,KZR663,"43.349327,77.014359",0,3,154
1762065927,2025-11-02T06:45:27Z,KZR663,"43.349094,77.014503",0,3,154
1762065946,2025-11-02T06:45:46Z,KZR663,"43.348873,77.014633",0,3,154
1762066107,2025-11-02T06:48:27Z,KZR663,"43.348663,77.014503",0,0,154
1762066114,2025-11-02T06:48:34Z,KZR663,"43.348732,77.014717",0,0,154
1762066228,2025-11-02T06:50:28Z,KZR663,"43.34864,77.014503",0,1,154
1762066236,2025-11-02T06:50:36Z,KZR663,"43.348663,77.014801",0,3,149
1762066248,2025-11-02T06:50:48Z,KZR663,"43.348454,77.015076",0,7,140
1762066252,2025-11-02T06:50:52Z,KZR663,"43.348228,77.014862",0,7,163
1762066260,2025-11-02T06:51:00Z,KZR663,"43.347977,77.014915",0,10,196
1762066268,2025-11-02T06:51:08Z,KZR663,"43.347618,77.014732",0,10,199
1762066274,2025-11-02T06:51:14Z,KZR663,"43.347359,77.014626",0,10,199
1762066279,2025-11-02T06:51:19Z,KZR663,"43.34713,77.014511",0,10,199
1762066284,2025-11-02T06:51:24Z,KZR663,"43.346924,77.014435",0,10,194
1762066289,2025-11-02T06:51:29Z,KZR663,"43.346661,77.014488",0,10,174
1762066296,2025-11-02T06:51:36Z,KZR663,"43.346439,77.014618",0,9,160
1762066301,2025-11-02T06:51:41Z,KZR663,"43.346195,77.014687",0,9,168
1762066307,2025-11-02T06:51:47Z,KZR663,"43.345928,77.014671",0,9,180
1762066313,2025-11-02T06:51:53Z,KZR663,"43.345707,77.014748",0,9,165
1762066319,2025-11-02T06:51:59Z,KZR663,"43.345474,77.014915",0,9,154
1762066325,2025-11-02T06:52:05Z,KZR663,"43.34523,77.015068",0,9,154
1762066331,2025-11-02T06:52:11Z,KZR663,"43.344997,77.015205",0,9,154
1762066338,2025-11-02T06:52:18Z,KZR663,"43.344719,77.015388",0,9,154
1762066344,2025-11-02T06:52:24Z,KZR663,"43.344452,77.015549",0,10,154
1762066351,2025-11-02T06:52:31Z,KZR663,"43.344143,77.015739",0,10,154
1762066359,2025-11-02T06:52:39Z,KZR663,"43.343845,77.01593",0,9,154
1762066648,2025-11-02T06:57:28Z,KZR663,"43.343521,77.016136",0,3,154
1762066659,2025-11-02T06:57:39Z,KZR663,"43.343288,77.016289",0,6,154
1762066667,2025-11-02T06:57:47Z,KZR663,"43.343067,77.016411",0,6,154
1762066676,2025-11-02T06:57:56Z,KZR663,"43.342838,77.016571",0,6,154
