Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762725843,2025-11-09T22:04:03Z,KAL1401,"37.463787,126.430496",0,7,262
1762725858,2025-11-09T22:04:18Z,KAL1401,"37.463844,126.43029",0,7,262
1762726093,2025-11-09T22:08:13Z,KAL1401,"37.464066,126.430153",0,7,343
1762726102,2025-11-09T22:08:22Z,KAL1401,"37.463776,126.430321",0,7,157
1762726148,2025-11-09T22:09:08Z,KAL1401,"37.460514,126.432571",0,14,146
1762726153,2025-11-09T22:09:13Z,KAL1401,"37.461166,126.431992",0,10,151
1762726178,2025-11-09T22:09:38Z,KAL1401,"37.459991,126.433052",0,12,144
1762726186,2025-11-09T22:09:46Z,KAL1401,"37.459747,126.433258",0,11,150
1762726217,2025-11-09T22:10:17Z,KAL1401,"37.459957,126.43512",0,10,150
1762726226,2025-11-09T22:10:26Z,KAL1401,"37.460278,126.435661",0,10,53
1762726243,2025-11-09T22:10:43Z,KAL1401,"37.460827,126.436623",0,10,53
1762726283,2025-11-09T22:11:23Z,KAL1401,"37.46228,126.439209",0,10,54
1762726302,2025-11-09T22:11:42Z,KAL1401,"37.46291,126.440353",0,10,55
1762726351,2025-11-09T22:12:31Z,KAL1401,"37.464787,126.44368",0,16,54
1762726362,2025-11-09T22:12:42Z,KAL1401,"37.465309,126.444603",0,16,54
1762726380,2025-11-09T22:13:00Z,KAL1401,"37.465836,126.445847",0,16,63
1762726393,2025-11-09T22:13:13Z,KAL1401,"37.465588,126.446541",0,16,148
1762726413,2025-11-09T22:13:33Z,KAL1401,"37.464497,126.447548",0,10,140
1762726421,2025-11-09T22:13:41Z,KAL1401,"37.464111,126.447891",0,10,148
1762726437,2025-11-09T22:13:57Z,KAL1401,"37.463146,126.448738",0,10,144
1762726447,2025-11-09T22:14:07Z,KAL1401,"37.462135,126.449654",0,10,144
1762726456,2025-11-09T22:14:16Z,KAL1401,"37.461536,126.450165",0,10,144
1762726466,2025-11-09T22:14:26Z,KAL1401,"37.460735,126.450897",0,10,144
1762726475,2025-11-09T22:14:35Z,KAL1401,"37.459991,126.45153",0,10,149
1762726491,2025-11-09T22:14:51Z,KAL1401,"37.45919,126.452255",0,18,326
1762726495,2025-11-09T22:14:55Z,KAL1401,"37.45871,126.452682",0,10,326
1762726503,2025-11-09T22:15:03Z,KAL1401,"37.458309,126.453049",0,10,141
