Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762168942,2025-11-03T11:22:22Z,KAL407,"37.471447,126.438423",0,0,157
1762169462,2025-11-03T11:31:02Z,KAL407,"37.470421,126.439415",0,0,146
1762169559,2025-11-03T11:32:39Z,KAL407,"37.469757,126.442848",0,9,151
1762169571,2025-11-03T11:32:51Z,KAL407,"37.46936,126.443199",0,0,151
1762169581,2025-11-03T11:33:01Z,KAL407,"37.468964,126.443542",0,10,151
1762169588,2025-11-03T11:33:08Z,KAL407,"37.468678,126.443794",0,11,151
1762169641,2025-11-03T11:34:01Z,KAL407,"37.466217,126.445992",0,15,151
1762169676,2025-11-03T11:34:36Z,KAL407,"37.464134,126.447845",0,0,151
1762169710,2025-11-03T11:35:10Z,KAL407,"37.461739,126.449982",0,18,151
1762169724,2025-11-03T11:35:24Z,KAL407,"37.460701,126.450897",0,19,151
1762169784,2025-11-03T11:36:24Z,KAL407,"37.456192,126.454918",0,14,151
1762169795,2025-11-03T11:36:35Z,KAL407,"37.455585,126.45546",0,15,151
1762169803,2025-11-03T11:36:43Z,KAL407,"37.455139,126.455849",0,15,151
1762169844,2025-11-03T11:37:24Z,KAL407,"37.453228,126.457542",0,9,151
1762170030,2025-11-03T11:40:30Z,KAL407,"37.457329,126.458099",0,0,331
1762170043,2025-11-03T11:40:43Z,KAL407,"37.462959,126.453056",0,127,324
1762170054,2025-11-03T11:40:54Z,KAL407,"37.469193,126.447495",0,164,324
1762170083,2025-11-03T11:41:23Z,KAL407,"37.48938,126.429787",525,188,324
1762170090,2025-11-03T11:41:30Z,KAL407,"37.494522,126.425346",850,189,325
1762170096,2025-11-03T11:41:36Z,KAL407,"37.498993,126.421661",1100,190,326
1762170105,2025-11-03T11:41:45Z,KAL407,"37.5056,126.416397",1425,194,327
1762170111,2025-11-03T11:41:51Z,KAL407,"37.510254,126.412666",1650,198,327
1762170120,2025-11-03T11:42:00Z,KAL407,"37.517147,126.407082",1950,199,327
1762170126,2025-11-03T11:42:06Z,KAL407,"37.522247,126.402962",2200,201,327
1762170135,2025-11-03T11:42:15Z,KAL407,"37.529018,126.39753",2525,204,327
1762170141,2025-11-03T11:42:21Z,KAL407,"37.533875,126.393669",2750,204,327
1762170149,2025-11-03T11:42:29Z,KAL407,"37.540833,126.388062",3025,210,327
1762170158,2025-11-03T11:42:38Z,KAL407,"37.548012,126.382179",3175,223,327
1762170164,2025-11-03T11:42:44Z,KAL407,"37.553829,126.377823",3250,232,330
1762170166,2025-11-03T11:42:46Z,KAL407,"37.556156,126.376266",3275,237,332
1762170168,2025-11-03T11:42:48Z,KAL407,"37.557785,126.375252",3300,240,333
1762170170,2025-11-03T11:42:50Z,KAL407,"37.560207,126.373825",3350,243,335
1762170173,2025-11-03T11:42:53Z,KAL407,"37.56221,126.372749",3375,247,336
1762170175,2025-11-03T11:42:55Z,KAL407,"37.564259,126.371674",3425,250,337
1762170177,2025-11-03T11:42:57Z,KAL407,"37.567017,126.370415",3500,254,340
1762170179,2025-11-03T11:42:59Z,KAL407,"37.569145,126.369461",3550,255,341
1762170181,2025-11-03T11:43:01Z,KAL407,"37.571381,126.368568",3625,256,342
1762170183,2025-11-03T11:43:03Z,KAL407,"37.573662,126.367729",3700,256,344
1762170185,2025-11-03T11:43:05Z,KAL407,"37.57608,126.366905",3800,257,344
1762170187,2025-11-03T11:43:07Z,KAL407,"37.578735,126.366058",3875,258,345
1762170189,2025-11-03T11:43:09Z,KAL407,"37.581062,126.36528",3975,258,345
1762170191,2025-11-03T11:43:11Z,KAL407,"37.583954,126.364281",4075,258,344
1762170194,2025-11-03T11:43:14Z,KAL407,"37.586288,126.363518",4175,259,344
1762170196,2025-11-03T11:43:16Z,KAL407,"37.588978,126.362595",4275,259,344
1762170198,2025-11-03T11:43:18Z,KAL407,"37.591141,126.361763",4350,260,344
1762170200,2025-11-03T11:43:20Z,KAL407,"37.593586,126.360924",4425,260,344
1762170202,2025-11-03T11:43:22Z,KAL407,"37.596497,126.359894",4525,260,344
1762170204,2025-11-03T11:43:24Z,KAL407,"37.598602,126.359138",4575,259,344
1762170206,2025-11-03T11:43:26Z,KAL407,"37.6008,126.358414",4625,258,345
1762170208,2025-11-03T11:43:28Z,KAL407,"37.60313,126.357758",4675,257,347
1762170211,2025-11-03T11:43:31Z,KAL407,"37.606293,126.357033",4750,257,349
1762170213,2025-11-03T11:43:33Z,KAL407,"37.608295,126.356682",4800,257,352
1762170215,2025-11-03T11:43:35Z,KAL407,"37.610672,126.356506",4850,256,357
1762170217,2025-11-03T11:43:37Z,KAL407,"37.613159,126.356567",4900,256,1
1762170219,2025-11-03T11:43:39Z,KAL407,"37.61565,126.356743",4950,256,4
1762170221,2025-11-03T11:43:41Z,KAL407,"37.618607,126.357208",4975,256,7
1762170223,2025-11-03T11:43:43Z,KAL407,"37.620712,126.357674",5000,256,10
1762170225,2025-11-03T11:43:45Z,KAL407,"37.623001,126.358315",5025,256,13
1762170228,2025-11-03T11:43:48Z,KAL407,"37.625748,126.359314",5050,256,16
1762170230,2025-11-03T11:43:50Z,KAL407,"37.628403,126.360481",5075,255,20
1762170232,2025-11-03T11:43:52Z,KAL407,"37.630501,126.36158",5100,255,23
1762170234,2025-11-03T11:43:54Z,KAL407,"37.632751,126.362938",5100,256,26
1762170236,2025-11-03T11:43:56Z,KAL407,"37.634972,126.364388",5100,256,28
1762170238,2025-11-03T11:43:58Z,KAL407,"37.6366,126.365585",5100,256,30
1762170241,2025-11-03T11:44:01Z,KAL407,"37.639664,126.368256",5100,257,36
1762170243,2025-11-03T11:44:03Z,KAL407,"37.641998,126.370598",5100,260,39
1762170245,2025-11-03T11:44:05Z,KAL407,"37.643875,126.372749",5125,261,42
1762170247,2025-11-03T11:44:07Z,KAL407,"37.645676,126.375015",5150,263,45
1762170249,2025-11-03T11:44:09Z,KAL407,"37.647079,126.377022",5175,264,48
1762170251,2025-11-03T11:44:11Z,KAL407,"37.64859,126.379417",5225,266,50
1762170253,2025-11-03T11:44:13Z,KAL407,"37.650467,126.382744",5275,268,56
1762170255,2025-11-03T11:44:15Z,KAL407,"37.651871,126.385521",5325,270,58
1762170258,2025-11-03T11:44:18Z,KAL407,"37.65303,126.388176",5375,272,61
1762170260,2025-11-03T11:44:20Z,KAL407,"37.654175,126.390984",5425,274,64
1762170262,2025-11-03T11:44:22Z,KAL407,"37.654942,126.393166",5475,274,67
1762170264,2025-11-03T11:44:24Z,KAL407,"37.656292,126.397705",5575,274,69
1762170266,2025-11-03T11:44:26Z,KAL407,"37.657059,126.400566",5650,276,71
1762170268,2025-11-03T11:44:28Z,KAL407,"37.657837,126.40361",5725,276,72
1762170270,2025-11-03T11:44:30Z,KAL407,"37.658707,126.406998",5825,277,72
1762170272,2025-11-03T11:44:32Z,KAL407,"37.659458,126.409943",5900,277,72
1762170274,2025-11-03T11:44:34Z,KAL407,"37.660446,126.413773",6000,278,71
1762170277,2025-11-03T11:44:37Z,KAL407,"37.661362,126.417168",6125,278,71
1762170279,2025-11-03T11:44:39Z,KAL407,"37.662003,126.419617",6175,278,71
1762170281,2025-11-03T11:44:41Z,KAL407,"37.66304,126.4235",6300,278,71
1762170283,2025-11-03T11:44:43Z,KAL407,"37.664021,126.4272",6425,278,72
1762170286,2025-11-03T11:44:46Z,KAL407,"37.664749,126.430489",6525,279,74
1762170288,2025-11-03T11:44:48Z,KAL407,"37.665436,126.434288",6650,279,78
1762170290,2025-11-03T11:44:50Z,KAL407,"37.665894,126.43779",6725,280,79
1762170292,2025-11-03T11:44:52Z,KAL407,"37.666206,126.440872",6825,279,83
1762170294,2025-11-03T11:44:54Z,KAL407,"37.666443,126.444283",6900,280,84
1762170296,2025-11-03T11:44:56Z,KAL407,"37.666534,126.447258",6975,282,88
1762170298,2025-11-03T11:44:58Z,KAL407,"37.666489,126.450531",7050,282,91
1762170300,2025-11-03T11:45:00Z,KAL407,"37.666306,126.454445",7125,281,94
1762170302,2025-11-03T11:45:02Z,KAL407,"37.665985,126.457718",7225,282,97
1762170304,2025-11-03T11:45:04Z,KAL407,"37.665604,126.460815",7300,282,99
1762170306,2025-11-03T11:45:06Z,KAL407,"37.664997,126.464043",7375,281,104
1762170308,2025-11-03T11:45:08Z,KAL407,"37.664291,126.467361",7475,282,106
1762170311,2025-11-03T11:45:11Z,KAL407,"37.663273,126.471268",7575,281,108
1762170313,2025-11-03T11:45:13Z,KAL407,"37.66246,126.474197",7675,282,109
1762170315,2025-11-03T11:45:15Z,KAL407,"37.661507,126.477478",7750,282,109
1762170317,2025-11-03T11:45:17Z,KAL407,"37.660622,126.480583",7850,282,110
1762170319,2025-11-03T11:45:19Z,KAL407,"37.659737,126.483688",7950,284,110
1762170321,2025-11-03T11:45:21Z,KAL407,"37.65889,126.486588",8025,284,110
1762170323,2025-11-03T11:45:23Z,KAL407,"37.657921,126.489891",8125,284,110
1762170325,2025-11-03T11:45:25Z,KAL407,"37.656967,126.493134",8200,284,109
1762170327,2025-11-03T11:45:27Z,KAL407,"37.656059,126.496407",8300,286,109
1762170329,2025-11-03T11:45:29Z,KAL407,"37.65509,126.499741",8400,286,109
1762170331,2025-11-03T11:45:31Z,KAL407,"37.654243,126.50267",8475,286,110
1762170333,2025-11-03T11:45:33Z,KAL407,"37.653034,126.50679",8575,286,110
1762170348,2025-11-03T11:45:48Z,KAL407,"37.646095,126.529419",9175,292,113
1762170354,2025-11-03T11:45:54Z,KAL407,"37.642418,126.538498",9400,294,119
1762170356,2025-11-03T11:45:56Z,KAL407,"37.641083,126.54129",9450,294,121
1762170358,2025-11-03T11:45:58Z,KAL407,"37.63958,126.544289",9525,294,122
1762170360,2025-11-03T11:46:00Z,KAL407,"37.63797,126.54731",9600,294,124
1762170362,2025-11-03T11:46:02Z,KAL407,"37.636642,126.54953",9675,296,126
1762170364,2025-11-03T11:46:04Z,KAL407,"37.634922,126.552406",9750,296,127
1762170366,2025-11-03T11:46:06Z,KAL407,"37.632935,126.555489",9825,296,129
1762170368,2025-11-03T11:46:08Z,KAL407,"37.63147,126.557594",9875,298,131
1762170370,2025-11-03T11:46:10Z,KAL407,"37.629524,126.560287",9925,300,132
1762170372,2025-11-03T11:46:12Z,KAL407,"37.627197,126.563339",9950,302,134
1762170374,2025-11-03T11:46:14Z,KAL407,"37.62529,126.565712",9975,304,135
1762170376,2025-11-03T11:46:16Z,KAL407,"37.6231,126.568291",10025,306,137
1762170378,2025-11-03T11:46:18Z,KAL407,"37.620895,126.570801",10050,308,138
1762170380,2025-11-03T11:46:20Z,KAL407,"37.618698,126.573196",10075,311,138
1762170382,2025-11-03T11:46:22Z,KAL407,"37.616089,126.576057",10100,315,138
1762170384,2025-11-03T11:46:24Z,KAL407,"37.613892,126.578514",10125,318,138
1762170387,2025-11-03T11:46:27Z,KAL407,"37.611694,126.581024",10175,320,138
1762170389,2025-11-03T11:46:29Z,KAL407,"37.609451,126.583481",10200,322,138
1762170391,2025-11-03T11:46:31Z,KAL407,"37.607208,126.585991",10225,326,138
1762170393,2025-11-03T11:46:33Z,KAL407,"37.604507,126.589088",10275,328,138
1762170395,2025-11-03T11:46:35Z,KAL407,"37.602219,126.591599",10300,330,138
1762170407,2025-11-03T11:46:47Z,KAL407,"37.588139,126.607582",10475,344,137
1762170422,2025-11-03T11:47:02Z,KAL407,"37.570587,126.627602",10700,360,137
1762170434,2025-11-03T11:47:14Z,KAL407,"37.555206,126.645073",10950,372,137
1762170448,2025-11-03T11:47:28Z,KAL407,"37.536327,126.666634",11450,378,137
1762170461,2025-11-03T11:47:41Z,KAL407,"37.52037,126.684982",11925,382,137
1762170476,2025-11-03T11:47:56Z,KAL407,"37.501282,126.706902",12500,384,137
1762170506,2025-11-03T11:48:26Z,KAL407,"37.460129,126.753769",13725,390,138
1762170537,2025-11-03T11:48:57Z,KAL407,"37.417923,126.800987",14875,396,139
1762170568,2025-11-03T11:49:28Z,KAL407,"37.373749,126.844635",15925,402,143
1762170599,2025-11-03T11:49:59Z,KAL407,"37.327774,126.888145",16975,408,142
1762170632,2025-11-03T11:50:32Z,KAL407,"37.277527,126.935745",18125,413,142
1762170663,2025-11-03T11:51:03Z,KAL407,"37.229691,126.980972",19275,416,142
1762170694,2025-11-03T11:51:34Z,KAL407,"37.18103,127.027138",20400,418,142
1762170726,2025-11-03T11:52:06Z,KAL407,"37.131226,127.074066",21425,424,142
1762170758,2025-11-03T11:52:38Z,KAL407,"37.081139,127.120949",22425,428,142
