Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762698701,2025-11-09T14:31:41Z,KAL658,"13.694342,100.746704",0,0,104
1762698728,2025-11-09T14:32:08Z,KAL658,"13.694423,100.746399",0,3,98
1762698742,2025-11-09T14:32:22Z,KAL658,"13.694469,100.746185",0,4,87
1762698754,2025-11-09T14:32:34Z,KAL658,"13.694481,100.745956",0,4,78
1762698768,2025-11-09T14:32:48Z,KAL658,"13.694435,100.745728",0,3,81
1762698785,2025-11-09T14:33:05Z,KAL658,"13.694377,100.745522",0,3,90
1762698797,2025-11-09T14:33:17Z,KAL658,"13.694342,100.745316",0,3,104
1762698811,2025-11-09T14:33:31Z,KAL658,"13.694388,100.745102",0,3,106
1762698822,2025-11-09T14:33:42Z,KAL658,"13.694458,100.744896",0,4,104
1762698833,2025-11-09T14:33:53Z,KAL658,"13.694515,100.744667",0,4,106
1762698844,2025-11-09T14:34:04Z,KAL658,"13.694561,100.744461",0,4,112
1762698857,2025-11-09T14:34:17Z,KAL658,"13.694597,100.74424",0,3,126
1762698873,2025-11-09T14:34:33Z,KAL658,"13.694687,100.744034",0,3,149
1762698895,2025-11-09T14:34:55Z,KAL658,"13.694889,100.743843",0,3,188
1762698911,2025-11-09T14:35:11Z,KAL658,"13.695109,100.743881",0,3,196
1762698926,2025-11-09T14:35:26Z,KAL658,"13.695316,100.743942",0,3,196
1762699146,2025-11-09T14:39:06Z,KAL658,"13.695109,100.743874",0,6,196
1762699154,2025-11-09T14:39:14Z,KAL658,"13.694881,100.743668",0,8,216
1762699160,2025-11-09T14:39:20Z,KAL658,"13.694831,100.743446",0,9,244
1762699164,2025-11-09T14:39:24Z,KAL658,"13.694854,100.743233",0,9,261
1762699170,2025-11-09T14:39:30Z,KAL658,"13.694818,100.742989",0,10,261
1762699176,2025-11-09T14:39:36Z,KAL658,"13.694653,100.742767",0,11,236
1762699180,2025-11-09T14:39:40Z,KAL658,"13.694435,100.742668",0,11,216
1762699185,2025-11-09T14:39:45Z,KAL658,"13.694172,100.742615",0,11,199
1762699189,2025-11-09T14:39:49Z,KAL658,"13.693969,100.742554",0,12,194
1762699194,2025-11-09T14:39:54Z,KAL658,"13.693691,100.742485",0,12,194
1762699199,2025-11-09T14:39:59Z,KAL658,"13.693405,100.742416",0,13,194
1762699204,2025-11-09T14:40:04Z,KAL658,"13.693085,100.742325",0,14,194
1762699211,2025-11-09T14:40:11Z,KAL658,"13.692616,100.742203",0,15,194
1762699218,2025-11-09T14:40:18Z,KAL658,"13.692146,100.742081",0,15,194
1762699225,2025-11-09T14:40:25Z,KAL658,"13.691607,100.741943",0,16,194
1762699232,2025-11-09T14:40:32Z,KAL658,"13.691072,100.741798",0,17,194
1762699239,2025-11-09T14:40:39Z,KAL658,"13.690466,100.741638",0,18,194
1762699246,2025-11-09T14:40:46Z,KAL658,"13.689942,100.741493",0,19,194
1762699253,2025-11-09T14:40:53Z,KAL658,"13.689274,100.741325",0,20,194
1762699260,2025-11-09T14:41:00Z,KAL658,"13.688616,100.741158",0,20,194
1762699268,2025-11-09T14:41:08Z,KAL658,"13.687878,100.740974",0,21,194
1762699274,2025-11-09T14:41:14Z,KAL658,"13.687225,100.740791",0,22,194
1762699282,2025-11-09T14:41:22Z,KAL658,"13.686378,100.74057",0,23,194
1762699289,2025-11-09T14:41:29Z,KAL658,"13.685718,100.740387",0,21,194
1762699296,2025-11-09T14:41:36Z,KAL658,"13.685028,100.740211",0,21,194
1762699304,2025-11-09T14:41:44Z,KAL658,"13.68433,100.740021",0,18,194
1762699311,2025-11-09T14:41:51Z,KAL658,"13.683727,100.739868",0,17,194
1762699319,2025-11-09T14:41:59Z,KAL658,"13.683181,100.739723",0,15,194
1762699326,2025-11-09T14:42:06Z,KAL658,"13.682785,100.739616",0,12,194
1762699333,2025-11-09T14:42:13Z,KAL658,"13.682378,100.73951",0,13,194
1762699342,2025-11-09T14:42:22Z,KAL658,"13.681819,100.739365",0,13,194
1762699349,2025-11-09T14:42:29Z,KAL658,"13.681376,100.739243",0,13,194
1762699357,2025-11-09T14:42:37Z,KAL658,"13.681086,100.739174",0,8,194
1762699363,2025-11-09T14:42:43Z,KAL658,"13.680874,100.739113",0,8,194
1762699371,2025-11-09T14:42:51Z,KAL658,"13.680588,100.739044",0,8,194
1762699377,2025-11-09T14:42:57Z,KAL658,"13.680325,100.738983",0,9,194
1762699385,2025-11-09T14:43:05Z,KAL658,"13.679992,100.738892",0,9,194
1762699392,2025-11-09T14:43:12Z,KAL658,"13.679678,100.738808",0,10,194
1762699400,2025-11-09T14:43:20Z,KAL658,"13.679363,100.738724",0,8,194
1762699408,2025-11-09T14:43:28Z,KAL658,"13.679142,100.738663",0,6,194
1762699416,2025-11-09T14:43:36Z,KAL658,"13.678921,100.738609",0,5,194
1762699426,2025-11-09T14:43:46Z,KAL658,"13.6787,100.738548",0,5,194
1762699433,2025-11-09T14:43:53Z,KAL658,"13.678482,100.738495",0,6,194
1762699441,2025-11-09T14:44:01Z,KAL658,"13.678265,100.738434",0,6,194
1762699449,2025-11-09T14:44:09Z,KAL658,"13.678037,100.73838",0,7,194
1762699456,2025-11-09T14:44:16Z,KAL658,"13.677781,100.738319",0,8,194
1762699468,2025-11-09T14:44:28Z,KAL658,"13.677555,100.738251",0,3,194
1762699480,2025-11-09T14:44:40Z,KAL658,"13.677326,100.73819",0,5,194
1762699489,2025-11-09T14:44:49Z,KAL658,"13.67712,100.738129",0,5,194
1762699497,2025-11-09T14:44:57Z,KAL658,"13.676908,100.738075",0,6,194
1762699505,2025-11-09T14:45:05Z,KAL658,"13.676699,100.738029",0,6,194
1762699513,2025-11-09T14:45:13Z,KAL658,"13.676468,100.737961",0,6,194
1762699520,2025-11-09T14:45:20Z,KAL658,"13.676239,100.737892",0,8,194
1762699528,2025-11-09T14:45:28Z,KAL658,"13.675964,100.737831",0,7,194
1762699536,2025-11-09T14:45:36Z,KAL658,"13.675756,100.737778",0,5,194
1762699549,2025-11-09T14:45:49Z,KAL658,"13.675546,100.737724",0,3,194
1762699562,2025-11-09T14:46:02Z,KAL658,"13.675325,100.737663",0,3,194
1762699577,2025-11-09T14:46:17Z,KAL658,"13.675116,100.737602",0,4,194
1762699586,2025-11-09T14:46:26Z,KAL658,"13.674906,100.737549",0,5,194
1762699596,2025-11-09T14:46:36Z,KAL658,"13.674706,100.737488",0,5,194
1762699605,2025-11-09T14:46:45Z,KAL658,"13.674488,100.737442",0,6,194
1762699613,2025-11-09T14:46:53Z,KAL658,"13.674277,100.737373",0,6,194
1762699623,2025-11-09T14:47:03Z,KAL658,"13.674065,100.737328",0,5,194
1762699632,2025-11-09T14:47:12Z,KAL658,"13.673859,100.737267",0,5,194
1762699642,2025-11-09T14:47:22Z,KAL658,"13.67363,100.737221",0,5,194
