Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762539356,2025-11-07T18:15:56Z,KQA764,"-1.296749,36.985897",6550,204,84
1762539364,2025-11-07T18:16:04Z,KQA764,"-1.297883,36.993649",6650,212,97
1762539366,2025-11-07T18:16:06Z,KQA764,"-1.298549,36.995399",6700,216,102
1762539369,2025-11-07T18:16:09Z,KQA764,"-1.299632,36.997749",6750,216,108
1762539371,2025-11-07T18:16:11Z,KQA764,"-1.301328,37.000546",6825,218,114
1762539374,2025-11-07T18:16:14Z,KQA764,"-1.302531,37.002094",6900,222,119
1762539377,2025-11-07T18:16:17Z,KQA764,"-1.304306,37.004154",7000,222,124
1762539379,2025-11-07T18:16:19Z,KQA764,"-1.30674,37.006386",7075,224,131
1762539382,2025-11-07T18:16:22Z,KQA764,"-1.308288,37.007584",7150,226,135
1762539385,2025-11-07T18:16:25Z,KQA764,"-1.311272,37.009243",7300,228,143
1762539388,2025-11-07T18:16:28Z,KQA764,"-1.314734,37.010586",7350,228,153
1762539391,2025-11-07T18:16:31Z,KQA764,"-1.317901,37.011593",7600,232,159
1762539393,2025-11-07T18:16:33Z,KQA764,"-1.320036,37.011875",7625,234,165
1762539395,2025-11-07T18:16:35Z,KQA764,"-1.32383,37.012192",7700,234,172
1762539397,2025-11-07T18:16:37Z,KQA764,"-1.325622,37.01215",7825,238,175
1762539399,2025-11-07T18:16:39Z,KQA764,"-1.327656,37.011875",7950,238,180
1762539402,2025-11-07T18:16:42Z,KQA764,"-1.330106,37.011452",8050,240,185
1762539405,2025-11-07T18:16:45Z,KQA764,"-1.332986,37.010822",8175,240,189
1762539407,2025-11-07T18:16:47Z,KQA764,"-1.33636,37.009727",8350,244,193
1762539409,2025-11-07T18:16:49Z,KQA764,"-1.338532,37.009159",8400,240,193
1762539415,2025-11-07T18:16:55Z,KQA764,"-1.343464,37.00581",8600,254,206
1762539417,2025-11-07T18:16:57Z,KQA764,"-1.347547,37.003864",8650,251,205
1762539420,2025-11-07T18:17:00Z,KQA764,"-1.348985,37.003159",8725,251,206
