Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762286691,2025-11-04T20:04:51Z,LAN116,"-33.394981,-70.789307",0,8,78
1762286694,2025-11-04T20:04:54Z,LAN116,"-33.394878,-70.789063",0,9,56
1762286700,2025-11-04T20:05:00Z,LAN116,"-33.394672,-70.788925",0,9,19
1762286705,2025-11-04T20:05:05Z,LAN116,"-33.394444,-70.788925",0,10,357
1762286714,2025-11-04T20:05:14Z,LAN116,"-33.394089,-70.788933",0,11,357
1762286717,2025-11-04T20:05:17Z,LAN116,"-33.393887,-70.788963",0,11,357
1762286722,2025-11-04T20:05:22Z,LAN116,"-33.39362,-70.788979",0,12,357
1762286726,2025-11-04T20:05:26Z,LAN116,"-33.393402,-70.788979",0,13,357
1762286731,2025-11-04T20:05:31Z,LAN116,"-33.39307,-70.789001",0,14,357
1762286738,2025-11-04T20:05:38Z,LAN116,"-33.392643,-70.789017",0,14,357
1762286745,2025-11-04T20:05:45Z,LAN116,"-33.392178,-70.789047",0,16,357
1762286753,2025-11-04T20:05:53Z,LAN116,"-33.391582,-70.789085",0,17,357
1762286759,2025-11-04T20:05:59Z,LAN116,"-33.391068,-70.789116",0,18,357
1762286769,2025-11-04T20:06:09Z,LAN116,"-33.390221,-70.789162",0,19,357
1762286777,2025-11-04T20:06:17Z,LAN116,"-33.3895,-70.7892",0,21,357
1762286791,2025-11-04T20:06:31Z,LAN116,"-33.388115,-70.789268",0,23,357
1762286798,2025-11-04T20:06:38Z,LAN116,"-33.387325,-70.789322",0,24,357
1762286805,2025-11-04T20:06:45Z,LAN116,"-33.386719,-70.789345",0,24,357
1762286814,2025-11-04T20:06:54Z,LAN116,"-33.385601,-70.789398",0,25,357
1762286841,2025-11-04T20:07:21Z,LAN116,"-33.38348,-70.789474",0,0,14
1762286848,2025-11-04T20:07:28Z,LAN116,"-33.383286,-70.789131",0,11,67
1762286866,2025-11-04T20:07:46Z,LAN116,"-33.382782,-70.788483",0,0,67
1762286871,2025-11-04T20:07:51Z,LAN116,"-33.382553,-70.788513",0,0,354
1762286877,2025-11-04T20:07:57Z,LAN116,"-33.382343,-70.788528",0,11,357
1762286884,2025-11-04T20:08:04Z,LAN116,"-33.381958,-70.788544",0,12,357
1762286891,2025-11-04T20:08:11Z,LAN116,"-33.381615,-70.788567",0,9,357
1762286899,2025-11-04T20:08:19Z,LAN116,"-33.381351,-70.788582",0,8,357
1762286905,2025-11-04T20:08:25Z,LAN116,"-33.381134,-70.788589",0,9,357
1762286913,2025-11-04T20:08:33Z,LAN116,"-33.380779,-70.788605",0,10,357
1762286923,2025-11-04T20:08:43Z,LAN116,"-33.380295,-70.788643",0,12,357
1762286930,2025-11-04T20:08:50Z,LAN116,"-33.379921,-70.788651",0,13,357
1762286938,2025-11-04T20:08:58Z,LAN116,"-33.379406,-70.788673",0,14,357
1762286947,2025-11-04T20:09:07Z,LAN116,"-33.378754,-70.788719",0,15,357
1762286964,2025-11-04T20:09:24Z,LAN116,"-33.377563,-70.788788",0,0,357
1762286976,2025-11-04T20:09:36Z,LAN116,"-33.37674,-70.788826",0,12,357
1762286983,2025-11-04T20:09:43Z,LAN116,"-33.376385,-70.788841",0,12,357
1762286990,2025-11-04T20:09:50Z,LAN116,"-33.376007,-70.788841",0,10,8
1762286995,2025-11-04T20:09:55Z,LAN116,"-33.37579,-70.788734",0,11,22
1762287002,2025-11-04T20:10:02Z,LAN116,"-33.375591,-70.788498",0,9,53
1762287009,2025-11-04T20:10:09Z,LAN116,"-33.375515,-70.788246",0,7,70
1762287496,2025-11-04T20:18:16Z,LAN116,"-33.377254,-70.786667",0,0,177
1762287518,2025-11-04T20:18:38Z,LAN116,"-33.401043,-70.785301",1675,170,177
1762287525,2025-11-04T20:18:45Z,LAN116,"-33.405514,-70.78508",1850,171,176
1762287532,2025-11-04T20:18:52Z,LAN116,"-33.411987,-70.784637",2075,174,176
1762287539,2025-11-04T20:18:59Z,LAN116,"-33.417572,-70.784355",2225,178,177
1762287546,2025-11-04T20:19:06Z,LAN116,"-33.423523,-70.784088",2350,182,177
1762287555,2025-11-04T20:19:15Z,LAN116,"-33.43071,-70.783592",2550,189,176
