Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762155401,2025-11-03T07:36:41Z,LAN120,"-33.39315,-70.79039",0,9,87
1762155407,2025-11-03T07:36:47Z,LAN120,"-33.393143,-70.790123",0,9,87
1762155415,2025-11-03T07:36:55Z,LAN120,"-33.393127,-70.789734",0,8,87
1762155422,2025-11-03T07:37:02Z,LAN120,"-33.39312,-70.789436",0,9,87
1762155430,2025-11-03T07:37:10Z,LAN120,"-33.393108,-70.789101",0,9,87
1762155438,2025-11-03T07:37:18Z,LAN120,"-33.393093,-70.788704",0,9,87
1762155445,2025-11-03T07:37:25Z,LAN120,"-33.393085,-70.788345",0,9,87
1762155451,2025-11-03T07:37:31Z,LAN120,"-33.393024,-70.788132",0,9,67
1762155458,2025-11-03T07:37:38Z,LAN120,"-33.392803,-70.787956",0,8,19
1762155464,2025-11-03T07:37:44Z,LAN120,"-33.392582,-70.787941",0,7,8
1762155471,2025-11-03T07:37:51Z,LAN120,"-33.392376,-70.787956",0,8,357
1762155479,2025-11-03T07:37:59Z,LAN120,"-33.392082,-70.787979",0,9,357
1762155483,2025-11-03T07:38:03Z,LAN120,"-33.39188,-70.787987",0,10,357
1762155489,2025-11-03T07:38:09Z,LAN120,"-33.391594,-70.787994",0,11,357
1762155493,2025-11-03T07:38:13Z,LAN120,"-33.391365,-70.788017",0,12,357
1762155501,2025-11-03T07:38:21Z,LAN120,"-33.391014,-70.78804",0,13,357
1762155507,2025-11-03T07:38:27Z,LAN120,"-33.390572,-70.788048",0,14,357
1762155514,2025-11-03T07:38:34Z,LAN120,"-33.390095,-70.788078",0,16,357
1762155521,2025-11-03T07:38:41Z,LAN120,"-33.389545,-70.788109",0,17,357
1762155529,2025-11-03T07:38:49Z,LAN120,"-33.388916,-70.788155",0,18,357
1762155536,2025-11-03T07:38:56Z,LAN120,"-33.388268,-70.788177",0,19,357
1762155544,2025-11-03T07:39:04Z,LAN120,"-33.387554,-70.788223",0,20,357
1762155551,2025-11-03T07:39:11Z,LAN120,"-33.386993,-70.788246",0,19,357
1762155558,2025-11-03T07:39:18Z,LAN120,"-33.386429,-70.788292",0,16,357
1762155566,2025-11-03T07:39:26Z,LAN120,"-33.386032,-70.7883",0,10,357
1762155573,2025-11-03T07:39:33Z,LAN120,"-33.385788,-70.788315",0,9,357
1762155581,2025-11-03T07:39:41Z,LAN120,"-33.385448,-70.788345",0,10,357
1762155587,2025-11-03T07:39:47Z,LAN120,"-33.385117,-70.788361",0,11,357
1762155595,2025-11-03T07:39:55Z,LAN120,"-33.384773,-70.788383",0,12,357
1762155602,2025-11-03T07:40:02Z,LAN120,"-33.38435,-70.788399",0,13,357
1762155610,2025-11-03T07:40:10Z,LAN120,"-33.38382,-70.788429",0,14,357
1762155617,2025-11-03T07:40:17Z,LAN120,"-33.383286,-70.78846",0,15,357
1762155624,2025-11-03T07:40:24Z,LAN120,"-33.382832,-70.788483",0,16,357
1762155632,2025-11-03T07:40:32Z,LAN120,"-33.382248,-70.788513",0,17,357
1762155638,2025-11-03T07:40:38Z,LAN120,"-33.38166,-70.788551",0,19,357
1762155646,2025-11-03T07:40:46Z,LAN120,"-33.381042,-70.788582",0,19,357
1762155655,2025-11-03T07:40:55Z,LAN120,"-33.380188,-70.788628",0,21,357
1762155664,2025-11-03T07:41:04Z,LAN120,"-33.37933,-70.788666",0,22,357
1762155670,2025-11-03T07:41:10Z,LAN120,"-33.378742,-70.788704",0,21,357
1762155682,2025-11-03T07:41:22Z,LAN120,"-33.378502,-70.788719",0,19,357
1762155690,2025-11-03T07:41:30Z,LAN120,"-33.377392,-70.788773",0,13,357
1762155702,2025-11-03T07:41:42Z,LAN120,"-33.376659,-70.788811",0,15,357
1762155709,2025-11-03T07:41:49Z,LAN120,"-33.376247,-70.788841",0,11,357
1762155715,2025-11-03T07:41:55Z,LAN120,"-33.376045,-70.788834",0,8,2
1762155723,2025-11-03T07:42:03Z,LAN120,"-33.375824,-70.788742",0,6,19
1762155735,2025-11-03T07:42:15Z,LAN120,"-33.375595,-70.788483",0,7,47
1762155742,2025-11-03T07:42:22Z,LAN120,"-33.375515,-70.788239",0,8,75
1762155749,2025-11-03T07:42:29Z,LAN120,"-33.375511,-70.787994",0,6,84
1762155881,2025-11-03T07:44:41Z,LAN120,"-33.375492,-70.787712",0,0,87
1762155910,2025-11-03T07:45:10Z,LAN120,"-33.375549,-70.787109",0,0,106
1762155926,2025-11-03T07:45:26Z,LAN120,"-33.375801,-70.786804",0,8,143
1762155936,2025-11-03T07:45:36Z,LAN120,"-33.37611,-70.786697",0,0,168
1762155958,2025-11-03T07:45:58Z,LAN120,"-33.376347,-70.78669",0,0,177
1762155964,2025-11-03T07:46:04Z,LAN120,"-33.376827,-70.786667",0,26,177
1762155973,2025-11-03T07:46:13Z,LAN120,"-33.379246,-70.78653",0,69,177
1762155981,2025-11-03T07:46:21Z,LAN120,"-33.382111,-70.786385",0,98,177
1762155991,2025-11-03T07:46:31Z,LAN120,"-33.38752,-70.786079",0,135,177
1762155998,2025-11-03T07:46:38Z,LAN120,"-33.392387,-70.78582",0,155,177
1762156006,2025-11-03T07:46:46Z,LAN120,"-33.398804,-70.785515",1650,169,177
1762156013,2025-11-03T07:46:53Z,LAN120,"-33.40416,-70.785294",1850,170,177
1762156020,2025-11-03T07:47:00Z,LAN120,"-33.409561,-70.784966",2000,173,176
1762156029,2025-11-03T07:47:09Z,LAN120,"-33.416199,-70.784416",2250,178,175
1762156036,2025-11-03T07:47:16Z,LAN120,"-33.423157,-70.783844",2375,185,176
1762156046,2025-11-03T07:47:26Z,LAN120,"-33.431488,-70.783455",2550,193,177
1762156052,2025-11-03T07:47:32Z,LAN120,"-33.437168,-70.783234",2650,199,177
1762156059,2025-11-03T07:47:39Z,LAN120,"-33.444214,-70.782936",2775,205,177
1762156064,2025-11-03T07:47:44Z,LAN120,"-33.448837,-70.78299",2875,210,180
1762156066,2025-11-03T07:47:46Z,LAN120,"-33.451172,-70.783096",2925,212,182
1762156069,2025-11-03T07:47:49Z,LAN120,"-33.45314,-70.783318",2950,214,184
1762156071,2025-11-03T07:47:51Z,LAN120,"-33.455837,-70.783676",3000,216,186
1762156073,2025-11-03T07:47:53Z,LAN120,"-33.458488,-70.784241",3050,218,188
1762156075,2025-11-03T07:47:55Z,LAN120,"-33.459373,-70.784462",3100,219,189
1762156078,2025-11-03T07:47:58Z,LAN120,"-33.462494,-70.785301",3150,222,192
1762156080,2025-11-03T07:48:00Z,LAN120,"-33.464493,-70.785904",3150,224,193
1762156082,2025-11-03T07:48:02Z,LAN120,"-33.46701,-70.786781",3175,228,195
1762156084,2025-11-03T07:48:04Z,LAN120,"-33.469292,-70.787712",3200,231,197
1762156086,2025-11-03T07:48:06Z,LAN120,"-33.471542,-70.788651",3225,234,199
1762156089,2025-11-03T07:48:09Z,LAN120,"-33.473572,-70.789673",3250,240,200
1762156091,2025-11-03T07:48:11Z,LAN120,"-33.476715,-70.791283",3325,242,203
1762156093,2025-11-03T07:48:13Z,LAN120,"-33.478409,-70.792274",3350,245,204
1762156096,2025-11-03T07:48:16Z,LAN120,"-33.481579,-70.794106",3400,250,207
1762156098,2025-11-03T07:48:18Z,LAN120,"-33.483673,-70.795616",3425,252,208
1762156100,2025-11-03T07:48:20Z,LAN120,"-33.485119,-70.796738",3475,253,209
1762156103,2025-11-03T07:48:23Z,LAN120,"-33.488052,-70.798927",3525,258,212
1762156105,2025-11-03T07:48:25Z,LAN120,"-33.490097,-70.800774",3575,259,214
1762156107,2025-11-03T07:48:27Z,LAN120,"-33.492146,-70.802734",3600,264,218
1762156110,2025-11-03T07:48:30Z,LAN120,"-33.494934,-70.805679",3675,265,220
1762156112,2025-11-03T07:48:32Z,LAN120,"-33.496803,-70.808006",3750,267,222
1762156114,2025-11-03T07:48:34Z,LAN120,"-33.498962,-70.810509",3825,268,226
1762156116,2025-11-03T07:48:36Z,LAN120,"-33.500668,-70.81311",3900,270,229
1762156119,2025-11-03T07:48:39Z,LAN120,"-33.502342,-70.81546",4000,270,231
1762156121,2025-11-03T07:48:41Z,LAN120,"-33.504158,-70.818542",4100,272,232
1762156123,2025-11-03T07:48:43Z,LAN120,"-33.504959,-70.819847",4175,272,233
1762156126,2025-11-03T07:48:46Z,LAN120,"-33.506744,-70.823036",4300,272,236
1762156128,2025-11-03T07:48:48Z,LAN120,"-33.508533,-70.826668",4425,272,238
1762156130,2025-11-03T07:48:50Z,LAN120,"-33.509884,-70.82959",4525,272,241
1762156133,2025-11-03T07:48:53Z,LAN120,"-33.511322,-70.833084",4625,272,242
1762156135,2025-11-03T07:48:55Z,LAN120,"-33.512863,-70.837318",4750,273,245
1762156138,2025-11-03T07:48:58Z,LAN120,"-33.514023,-70.840668",4850,274,247
1762156140,2025-11-03T07:49:00Z,LAN120,"-33.51503,-70.844681",4950,274,251
1762156143,2025-11-03T07:49:03Z,LAN120,"-33.5159,-70.848251",5050,274,253
1762156145,2025-11-03T07:49:05Z,LAN120,"-33.516449,-70.851379",5150,274,257
1762156147,2025-11-03T07:49:07Z,LAN120,"-33.516727,-70.853188",5225,274,258
1762156150,2025-11-03T07:49:10Z,LAN120,"-33.517239,-70.857445",5350,274,261
1762156152,2025-11-03T07:49:12Z,LAN120,"-33.517548,-70.861099",5475,274,264
1762156155,2025-11-03T07:49:15Z,LAN120,"-33.51775,-70.865517",5575,274,266
1762156157,2025-11-03T07:49:17Z,LAN120,"-33.517776,-70.86879",5675,274,268
1762156159,2025-11-03T07:49:19Z,LAN120,"-33.517704,-70.872131",5775,274,270
1762156161,2025-11-03T07:49:21Z,LAN120,"-33.517517,-70.876221",5900,273,273
1762156164,2025-11-03T07:49:24Z,LAN120,"-33.517273,-70.879227",6000,273,275
1762156166,2025-11-03T07:49:26Z,LAN120,"-33.516819,-70.883118",6100,271,277
1762156168,2025-11-03T07:49:28Z,LAN120,"-33.516354,-70.886147",6200,270,279
1762156170,2025-11-03T07:49:30Z,LAN120,"-33.515808,-70.889229",6325,269,281
1762156173,2025-11-03T07:49:33Z,LAN120,"-33.515331,-70.891411",6425,269,283
1762156175,2025-11-03T07:49:35Z,LAN120,"-33.514492,-70.894829",6525,268,285
1762156177,2025-11-03T07:49:37Z,LAN120,"-33.513428,-70.898514",6650,268,288
1762156179,2025-11-03T07:49:39Z,LAN120,"-33.512444,-70.901611",6750,266,290
1762156182,2025-11-03T07:49:42Z,LAN120,"-33.511185,-70.904663",6875,265,293
1762156184,2025-11-03T07:49:44Z,LAN120,"-33.50993,-70.907951",6975,264,295
1762156186,2025-11-03T07:49:46Z,LAN120,"-33.508255,-70.911255",7125,262,298
1762156189,2025-11-03T07:49:49Z,LAN120,"-33.506996,-70.913948",7225,261,301
1762156191,2025-11-03T07:49:51Z,LAN120,"-33.505508,-70.916473",7325,260,303
1762156193,2025-11-03T07:49:53Z,LAN120,"-33.503551,-70.91983",7450,259,304
1762156195,2025-11-03T07:49:55Z,LAN120,"-33.502991,-70.9207",7550,259,305
1762156198,2025-11-03T07:49:58Z,LAN120,"-33.501114,-70.923615",7650,257,308
1762156200,2025-11-03T07:50:00Z,LAN120,"-33.499363,-70.925995",7775,256,310
1762156202,2025-11-03T07:50:02Z,LAN120,"-33.497269,-70.928833",7900,255,311
1762156204,2025-11-03T07:50:04Z,LAN120,"-33.495544,-70.931099",8025,254,312
1762156206,2025-11-03T07:50:06Z,LAN120,"-33.49387,-70.933228",8125,253,312
1762156209,2025-11-03T07:50:09Z,LAN120,"-33.491913,-70.935699",8225,253,313
1762156211,2025-11-03T07:50:11Z,LAN120,"-33.489773,-70.938217",8350,252,314
