Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762517050,2025-11-07T12:04:10Z,LAN001,"-33.385845,-70.799881",0,0,357
1762517071,2025-11-07T12:04:31Z,LAN001,"-33.383526,-70.800003",0,0,357
1762517087,2025-11-07T12:04:47Z,LAN001,"-33.381958,-70.800087",0,17,357
1762517093,2025-11-07T12:04:53Z,LAN001,"-33.381523,-70.800102",0,14,357
1762517114,2025-11-07T12:05:14Z,LAN001,"-33.380825,-70.800911",0,0,286
1762517119,2025-11-07T12:05:19Z,LAN001,"-33.380585,-70.801178",0,14,323
1762517122,2025-11-07T12:05:22Z,LAN001,"-33.380375,-70.801224",0,15,348
1762517125,2025-11-07T12:05:25Z,LAN001,"-33.380161,-70.801224",0,15,357
1762517128,2025-11-07T12:05:28Z,LAN001,"-33.379932,-70.801239",0,17,357
1762517131,2025-11-07T12:05:31Z,LAN001,"-33.3797,-70.801254",0,18,357
1762517134,2025-11-07T12:05:34Z,LAN001,"-33.379456,-70.801262",0,19,357
1762517137,2025-11-07T12:05:37Z,LAN001,"-33.379154,-70.801277",0,20,357
1762517141,2025-11-07T12:05:41Z,LAN001,"-33.378834,-70.801308",0,20,357
1762517143,2025-11-07T12:05:43Z,LAN001,"-33.378548,-70.801323",0,21,357
1762517151,2025-11-07T12:05:51Z,LAN001,"-33.377918,-70.801353",0,18,357
1762517158,2025-11-07T12:05:58Z,LAN001,"-33.377254,-70.801376",0,19,357
1762517165,2025-11-07T12:06:05Z,LAN001,"-33.376663,-70.801422",0,20,357
1762517171,2025-11-07T12:06:11Z,LAN001,"-33.376034,-70.801445",0,20,357
1762517180,2025-11-07T12:06:20Z,LAN001,"-33.375183,-70.801491",0,21,357
1762517188,2025-11-07T12:06:28Z,LAN001,"-33.374313,-70.801544",0,22,357
1762517198,2025-11-07T12:06:38Z,LAN001,"-33.373306,-70.801598",0,18,357
1762517206,2025-11-07T12:06:46Z,LAN001,"-33.372677,-70.801628",0,18,357
1762517214,2025-11-07T12:06:54Z,LAN001,"-33.372066,-70.801659",0,16,357
1762517222,2025-11-07T12:07:02Z,LAN001,"-33.371532,-70.801735",0,12,348
1762517227,2025-11-07T12:07:07Z,LAN001,"-33.371326,-70.801888",0,11,331
1762517232,2025-11-07T12:07:12Z,LAN001,"-33.371155,-70.802109",0,10,312
1762517237,2025-11-07T12:07:17Z,LAN001,"-33.371075,-70.802315",0,9,298
1762517242,2025-11-07T12:07:22Z,LAN001,"-33.371029,-70.802559",0,10,284
1762517245,2025-11-07T12:07:25Z,LAN001,"-33.371029,-70.80278",0,11,272
1762517250,2025-11-07T12:07:30Z,LAN001,"-33.371063,-70.80307",0,12,258
1762517256,2025-11-07T12:07:36Z,LAN001,"-33.371212,-70.803398",0,12,239
1762517260,2025-11-07T12:07:40Z,LAN001,"-33.371418,-70.803604",0,13,219
1762517266,2025-11-07T12:07:46Z,LAN001,"-33.371693,-70.803726",0,12,196
1762517270,2025-11-07T12:07:50Z,LAN001,"-33.37191,-70.803711",0,8,177
1762517346,2025-11-07T12:09:06Z,LAN001,"-33.372139,-70.803696",0,0,177
1762517353,2025-11-07T12:09:13Z,LAN001,"-33.3731,-70.803658",0,43,177
1762517361,2025-11-07T12:09:21Z,LAN001,"-33.375309,-70.803535",0,76,177
