Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762129420,2025-11-03T00:23:40Z,LPE2140,"-8.085414,-79.108536",0,0,129
1762129487,2025-11-03T00:24:47Z,LPE2140,"-8.085356,-79.108864",0,1,14
1762130414,2025-11-03T00:40:14Z,LPE2140,"-8.084937,-79.108788",0,5,357
1762130430,2025-11-03T00:40:30Z,LPE2140,"-8.084762,-79.1092",0,7,286
1762130435,2025-11-03T00:40:35Z,LPE2140,"-8.084667,-79.109421",0,9,298
1762130441,2025-11-03T00:40:41Z,LPE2140,"-8.08439,-79.109482",0,10,351
1762130451,2025-11-03T00:40:51Z,LPE2140,"-8.083924,-79.109314",0,11,16
1762130457,2025-11-03T00:40:57Z,LPE2140,"-8.083649,-79.10923",0,12,16
1762130461,2025-11-03T00:41:01Z,LPE2140,"-8.083385,-79.109154",0,12,16
1762130468,2025-11-03T00:41:08Z,LPE2140,"-8.082996,-79.109032",0,14,16
1762130472,2025-11-03T00:41:12Z,LPE2140,"-8.082767,-79.108963",0,14,16
1762130478,2025-11-03T00:41:18Z,LPE2140,"-8.082333,-79.108826",0,15,16
1762130485,2025-11-03T00:41:25Z,LPE2140,"-8.081876,-79.108681",0,15,16
1762130493,2025-11-03T00:41:33Z,LPE2140,"-8.08127,-79.10849",0,16,16
1762130500,2025-11-03T00:41:40Z,LPE2140,"-8.080747,-79.108322",0,17,16
1762130507,2025-11-03T00:41:47Z,LPE2140,"-8.080176,-79.108147",0,18,16
1762130515,2025-11-03T00:41:55Z,LPE2140,"-8.079548,-79.107956",0,19,16
1762130523,2025-11-03T00:42:03Z,LPE2140,"-8.078885,-79.107742",0,20,16
1762130533,2025-11-03T00:42:13Z,LPE2140,"-8.077858,-79.10743",0,21,16
1762130541,2025-11-03T00:42:21Z,LPE2140,"-8.077139,-79.107201",0,22,16
1762130547,2025-11-03T00:42:27Z,LPE2140,"-8.076674,-79.107056",0,22,16
1762130555,2025-11-03T00:42:35Z,LPE2140,"-8.075638,-79.106735",0,23,16
1762130563,2025-11-03T00:42:43Z,LPE2140,"-8.074858,-79.106491",0,20,16
1762130570,2025-11-03T00:42:50Z,LPE2140,"-8.074299,-79.106323",0,18,16
1762130578,2025-11-03T00:42:58Z,LPE2140,"-8.073612,-79.106102",0,18,16
1762130587,2025-11-03T00:43:07Z,LPE2140,"-8.07288,-79.105865",0,19,16
1762130593,2025-11-03T00:43:13Z,LPE2140,"-8.072309,-79.105698",0,20,16
1762130600,2025-11-03T00:43:20Z,LPE2140,"-8.071678,-79.105499",0,19,16
1762130607,2025-11-03T00:43:27Z,LPE2140,"-8.071163,-79.105324",0,15,19
1762130612,2025-11-03T00:43:32Z,LPE2140,"-8.070925,-79.105217",0,13,25
1762130616,2025-11-03T00:43:36Z,LPE2140,"-8.070683,-79.105042",0,13,36
1762130622,2025-11-03T00:43:42Z,LPE2140,"-8.070471,-79.104828",0,13,45
1762130625,2025-11-03T00:43:45Z,LPE2140,"-8.070282,-79.104622",0,14,47
1762130630,2025-11-03T00:43:50Z,LPE2140,"-8.070075,-79.104401",0,14,45
1762130636,2025-11-03T00:43:56Z,LPE2140,"-8.06979,-79.104179",0,12,33
1762130641,2025-11-03T00:44:01Z,LPE2140,"-8.069563,-79.104111",0,11,19
1762130646,2025-11-03T00:44:06Z,LPE2140,"-8.069319,-79.104073",0,10,5
1762130652,2025-11-03T00:44:12Z,LPE2140,"-8.069085,-79.104179",0,9,331
1762130658,2025-11-03T00:44:18Z,LPE2140,"-8.068969,-79.104401",0,9,298
1762130664,2025-11-03T00:44:24Z,LPE2140,"-8.068957,-79.10463",0,7,275
1762130673,2025-11-03T00:44:33Z,LPE2140,"-8.069167,-79.104721",0,6,208
1762130763,2025-11-03T00:46:03Z,LPE2140,"-8.069435,-79.104797",0,10,196
1762130771,2025-11-03T00:46:11Z,LPE2140,"-8.070785,-79.105209",0,50,196
1762130778,2025-11-03T00:46:18Z,LPE2140,"-8.073212,-79.105965",0,84,196
1762130787,2025-11-03T00:46:27Z,LPE2140,"-8.077418,-79.107292",100,116,197
1762130795,2025-11-03T00:46:35Z,LPE2140,"-8.081955,-79.108688",25,150,196
1762130801,2025-11-03T00:46:41Z,LPE2140,"-8.087148,-79.110367",225,161,198
1762130803,2025-11-03T00:46:43Z,LPE2140,"-8.088637,-79.110893",300,159,199
1762130805,2025-11-03T00:46:45Z,LPE2140,"-8.090012,-79.111382",425,156,199
1762130808,2025-11-03T00:46:48Z,LPE2140,"-8.092117,-79.112129",575,155,199
1762130815,2025-11-03T00:46:55Z,LPE2140,"-8.096598,-79.113686",875,155,198
1762130820,2025-11-03T00:47:00Z,LPE2140,"-8.099579,-79.114594",1125,154,196
1762130822,2025-11-03T00:47:02Z,LPE2140,"-8.101273,-79.114922",1250,153,192
1762130824,2025-11-03T00:47:04Z,LPE2140,"-8.102417,-79.115013",1325,152,187
1762130826,2025-11-03T00:47:06Z,LPE2140,"-8.104019,-79.115059",1425,152,181
1762130828,2025-11-03T00:47:08Z,LPE2140,"-8.105536,-79.114868",1500,154,176
1762130830,2025-11-03T00:47:10Z,LPE2140,"-8.107165,-79.114632",1550,155,171
1762130832,2025-11-03T00:47:12Z,LPE2140,"-8.108794,-79.114159",1600,157,166
1762130835,2025-11-03T00:47:15Z,LPE2140,"-8.110051,-79.113686",1650,160,161
1762130837,2025-11-03T00:47:17Z,LPE2140,"-8.111984,-79.112831",1700,161,158
1762130839,2025-11-03T00:47:19Z,LPE2140,"-8.113077,-79.112312",1725,163,156
1762130841,2025-11-03T00:47:21Z,LPE2140,"-8.114986,-79.111366",1800,168,153
1762130843,2025-11-03T00:47:23Z,LPE2140,"-8.116383,-79.110611",1825,171,153
1762130846,2025-11-03T00:47:26Z,LPE2140,"-8.118118,-79.109711",1875,174,152
1762130848,2025-11-03T00:47:28Z,LPE2140,"-8.119949,-79.108688",1925,177,151
1762130851,2025-11-03T00:47:31Z,LPE2140,"-8.12169,-79.107719",1975,180,150
1762130853,2025-11-03T00:47:33Z,LPE2140,"-8.123337,-79.106728",2025,184,150
1762130855,2025-11-03T00:47:35Z,LPE2140,"-8.12471,-79.105942",2050,187,150
1762130857,2025-11-03T00:47:37Z,LPE2140,"-8.126718,-79.104782",2100,191,149
1762130859,2025-11-03T00:47:39Z,LPE2140,"-8.1283,-79.103882",2150,194,149
1762130862,2025-11-03T00:47:42Z,LPE2140,"-8.130301,-79.102699",2175,198,149
1762130864,2025-11-03T00:47:44Z,LPE2140,"-8.132164,-79.101563",2200,205,149
1762130866,2025-11-03T00:47:46Z,LPE2140,"-8.134048,-79.100449",2225,209,149
1762130869,2025-11-03T00:47:49Z,LPE2140,"-8.135742,-79.099373",2250,214,148
1762130871,2025-11-03T00:47:51Z,LPE2140,"-8.137894,-79.098022",2300,218,148
1762130873,2025-11-03T00:47:53Z,LPE2140,"-8.139845,-79.096825",2350,224,148
1762130876,2025-11-03T00:47:56Z,LPE2140,"-8.142288,-79.095276",2400,228,147
1762130883,2025-11-03T00:48:03Z,LPE2140,"-8.149292,-79.090759",2575,242,147
1762130890,2025-11-03T00:48:10Z,LPE2140,"-8.15651,-79.086174",2750,255,147
1762130898,2025-11-03T00:48:18Z,LPE2140,"-8.164078,-79.08136",3000,266,147
1762130905,2025-11-03T00:48:25Z,LPE2140,"-8.171314,-79.076889",3300,273,148
1762130911,2025-11-03T00:48:31Z,LPE2140,"-8.179135,-79.072159",3675,277,149
1762130918,2025-11-03T00:48:38Z,LPE2140,"-8.186443,-79.067894",4175,274,150
1762130927,2025-11-03T00:48:47Z,LPE2140,"-8.19594,-79.062492",4775,273,150
1762130934,2025-11-03T00:48:54Z,LPE2140,"-8.204459,-79.057663",5300,273,150
1762130947,2025-11-03T00:49:07Z,LPE2140,"-8.218048,-79.050026",6075,272,150
1762130961,2025-11-03T00:49:21Z,LPE2140,"-8.233429,-79.041512",7000,269,150
1762130974,2025-11-03T00:49:34Z,LPE2140,"-8.24794,-79.033272",7925,261,150
1762130988,2025-11-03T00:49:48Z,LPE2140,"-8.262231,-79.025131",8575,266,150
1762131001,2025-11-03T00:50:01Z,LPE2140,"-8.276802,-79.016747",8975,278,150
1762131014,2025-11-03T00:50:14Z,LPE2140,"-8.291885,-79.008041",9450,288,150
1762131028,2025-11-03T00:50:28Z,LPE2140,"-8.308829,-78.998238",10125,292,150
1762131041,2025-11-03T00:50:41Z,LPE2140,"-8.324145,-78.989426",10500,304,150
1762131056,2025-11-03T00:50:56Z,LPE2140,"-8.342468,-78.978851",10725,322,149
1762131069,2025-11-03T00:51:09Z,LPE2140,"-8.359385,-78.968826",10950,338,149
1762131082,2025-11-03T00:51:22Z,LPE2140,"-8.377762,-78.957901",11300,348,149
1762131095,2025-11-03T00:51:35Z,LPE2140,"-8.396674,-78.946854",11800,354,150
1762131108,2025-11-03T00:51:48Z,LPE2140,"-8.415248,-78.936203",12500,352,150
1762131139,2025-11-03T00:52:19Z,LPE2140,"-8.459705,-78.910957",13650,361,150
1762131172,2025-11-03T00:52:52Z,LPE2140,"-8.508306,-78.883209",14850,369,150
1762131204,2025-11-03T00:53:24Z,LPE2140,"-8.556209,-78.855652",15950,375,150
1762131235,2025-11-03T00:53:55Z,LPE2140,"-8.602982,-78.828812",17425,366,150
1762131266,2025-11-03T00:54:26Z,LPE2140,"-8.649685,-78.801949",18225,378,150
1762131298,2025-11-03T00:54:58Z,LPE2140,"-8.700008,-78.772873",18975,393,150
1762131330,2025-11-03T00:55:30Z,LPE2140,"-8.751494,-78.743225",19900,399,150
1762131361,2025-11-03T00:56:01Z,LPE2140,"-8.800873,-78.714851",20850,400,150
1762131393,2025-11-03T00:56:33Z,LPE2140,"-8.852509,-78.685249",21550,409,150
1762131424,2025-11-03T00:57:04Z,LPE2140,"-8.905106,-78.656105",22275,413,151
1762131456,2025-11-03T00:57:36Z,LPE2140,"-8.95963,-78.625977",23125,414,151
1762131488,2025-11-03T00:58:08Z,LPE2140,"-9.013916,-78.595772",23725,422,150
1762131520,2025-11-03T00:58:40Z,LPE2140,"-9.06912,-78.564987",24225,432,150
