Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762166931,2025-11-03T10:48:51Z,LAN021,"-33.393444,-70.802551",0,170,177
1762166938,2025-11-03T10:48:58Z,LAN021,"-33.398987,-70.802269",1800,169,176
1762166946,2025-11-03T10:49:06Z,LAN021,"-33.405514,-70.801842",1925,177,177
1762166952,2025-11-03T10:49:12Z,LAN021,"-33.411301,-70.801498",2150,180,177
1762166959,2025-11-03T10:49:19Z,LAN021,"-33.416733,-70.801277",2275,186,177
1762166967,2025-11-03T10:49:27Z,LAN021,"-33.423763,-70.800941",2400,194,177
1762166974,2025-11-03T10:49:34Z,LAN021,"-33.430069,-70.800621",2500,201,177
1762166983,2025-11-03T10:49:43Z,LAN021,"-33.43927,-70.800186",2650,211,177
1762166991,2025-11-03T10:49:51Z,LAN021,"-33.447132,-70.79982",2750,218,177
1762166998,2025-11-03T10:49:58Z,LAN021,"-33.454346,-70.799484",2825,226,177
1762167007,2025-11-03T10:50:07Z,LAN021,"-33.464123,-70.799095",2950,241,177
1762167016,2025-11-03T10:50:16Z,LAN021,"-33.474037,-70.798645",3150,250,177
1762167025,2025-11-03T10:50:25Z,LAN021,"-33.485458,-70.798042",3475,257,177
1762167032,2025-11-03T10:50:32Z,LAN021,"-33.494057,-70.797577",3850,254,177
1762167041,2025-11-03T10:50:41Z,LAN021,"-33.503494,-70.796997",4250,253,177
1762167047,2025-11-03T10:50:47Z,LAN021,"-33.511234,-70.796516",4475,256,177
1762167054,2025-11-03T10:50:54Z,LAN021,"-33.519707,-70.796013",4650,262,176
1762167063,2025-11-03T10:51:03Z,LAN021,"-33.530415,-70.795341",4825,271,176
1762167072,2025-11-03T10:51:12Z,LAN021,"-33.541679,-70.794586",5050,278,176
1762167085,2025-11-03T10:51:25Z,LAN021,"-33.558483,-70.793549",5550,283,177
1762167098,2025-11-03T10:51:38Z,LAN021,"-33.576176,-70.792633",6050,287,177
1762167111,2025-11-03T10:51:51Z,LAN021,"-33.593536,-70.79332",6450,292,186
1762167114,2025-11-03T10:51:54Z,LAN021,"-33.597427,-70.794052",6550,292,189
1762167116,2025-11-03T10:51:56Z,LAN021,"-33.600243,-70.794922",6625,293,192
1762167118,2025-11-03T10:51:58Z,LAN021,"-33.603195,-70.795731",6700,293,193
1762167120,2025-11-03T10:52:00Z,LAN021,"-33.606125,-70.796684",6800,294,194
1762167122,2025-11-03T10:52:02Z,LAN021,"-33.608963,-70.797577",6875,294,194
1762167124,2025-11-03T10:52:04Z,LAN021,"-33.612213,-70.798645",6950,295,195
1762167127,2025-11-03T10:52:07Z,LAN021,"-33.615005,-70.799545",7025,296,195
1762167129,2025-11-03T10:52:09Z,LAN021,"-33.616814,-70.800133",7125,296,195
1762167131,2025-11-03T10:52:11Z,LAN021,"-33.61998,-70.801163",7200,296,195
1762167134,2025-11-03T10:52:14Z,LAN021,"-33.623154,-70.802177",7275,298,195
1762167136,2025-11-03T10:52:16Z,LAN021,"-33.626637,-70.803391",7350,298,195
1762167138,2025-11-03T10:52:18Z,LAN021,"-33.629562,-70.804253",7425,300,195
1762167151,2025-11-03T10:52:31Z,LAN021,"-33.648376,-70.810432",7850,306,195
