Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762130019,2025-11-03T00:33:39Z,LPE2223,"-12.025314,-77.117157",0,0,281
1762130047,2025-11-03T00:34:07Z,LPE2223,"-12.025339,-77.116951",0,1,329
1762130085,2025-11-03T00:34:45Z,LPE2223,"-12.025555,-77.116837",0,1,334
1762130362,2025-11-03T00:39:22Z,LPE2223,"-12.025246,-77.116989",0,7,334
1762130369,2025-11-03T00:39:29Z,LPE2223,"-12.025037,-77.117096",0,8,334
1762130376,2025-11-03T00:39:36Z,LPE2223,"-12.024765,-77.117226",0,10,334
1762130384,2025-11-03T00:39:44Z,LPE2223,"-12.024456,-77.117378",0,9,334
1762130388,2025-11-03T00:39:48Z,LPE2223,"-12.02425,-77.117439",0,9,343
1762130396,2025-11-03T00:39:56Z,LPE2223,"-12.023943,-77.117302",0,9,36
1762130403,2025-11-03T00:40:03Z,LPE2223,"-12.02378,-77.117012",0,9,64
1762130410,2025-11-03T00:40:10Z,LPE2223,"-12.023621,-77.116669",0,12,64
1762130415,2025-11-03T00:40:15Z,LPE2223,"-12.0235,-77.116425",0,10,61
1762130424,2025-11-03T00:40:24Z,LPE2223,"-12.023163,-77.116287",0,11,11
1762130427,2025-11-03T00:40:27Z,LPE2223,"-12.022923,-77.116348",0,13,343
1762130433,2025-11-03T00:40:33Z,LPE2223,"-12.022614,-77.116493",0,14,334
1762130438,2025-11-03T00:40:38Z,LPE2223,"-12.022282,-77.116661",0,15,334
1762130441,2025-11-03T00:40:41Z,LPE2223,"-12.022064,-77.116768",0,16,334
1762130446,2025-11-03T00:40:46Z,LPE2223,"-12.021687,-77.116966",0,18,334
1762130449,2025-11-03T00:40:49Z,LPE2223,"-12.021458,-77.117073",0,19,334
1762130454,2025-11-03T00:40:54Z,LPE2223,"-12.021114,-77.117241",0,13,334
1762130470,2025-11-03T00:41:10Z,LPE2223,"-12.020114,-77.117737",0,15,334
1762130478,2025-11-03T00:41:18Z,LPE2223,"-12.019615,-77.117973",0,15,334
1762130486,2025-11-03T00:41:26Z,LPE2223,"-12.019077,-77.118233",0,16,334
1762130495,2025-11-03T00:41:35Z,LPE2223,"-12.01862,-77.118576",0,11,309
1762130499,2025-11-03T00:41:39Z,LPE2223,"-12.018589,-77.11882",0,13,272
1762130503,2025-11-03T00:41:43Z,LPE2223,"-12.018665,-77.119049",0,13,250
1762130507,2025-11-03T00:41:47Z,LPE2223,"-12.018768,-77.119286",0,14,244
1762130511,2025-11-03T00:41:51Z,LPE2223,"-12.018891,-77.119545",0,15,244
1762130515,2025-11-03T00:41:55Z,LPE2223,"-12.019008,-77.119781",0,15,241
1762130519,2025-11-03T00:41:59Z,LPE2223,"-12.019123,-77.120033",0,16,244
1762130522,2025-11-03T00:42:02Z,LPE2223,"-12.019226,-77.120247",0,16,244
1762130526,2025-11-03T00:42:06Z,LPE2223,"-12.019375,-77.120552",0,17,244
1762130529,2025-11-03T00:42:09Z,LPE2223,"-12.019485,-77.120773",0,18,244
1762130533,2025-11-03T00:42:13Z,LPE2223,"-12.019636,-77.121086",0,18,241
1762130539,2025-11-03T00:42:19Z,LPE2223,"-12.019821,-77.121475",0,19,244
1762130544,2025-11-03T00:42:24Z,LPE2223,"-12.020067,-77.122002",0,18,244
1762130549,2025-11-03T00:42:29Z,LPE2223,"-12.020256,-77.122391",0,19,244
1762130552,2025-11-03T00:42:32Z,LPE2223,"-12.020381,-77.122665",0,20,244
1762130555,2025-11-03T00:42:35Z,LPE2223,"-12.020531,-77.122971",0,22,241
1762130557,2025-11-03T00:42:37Z,LPE2223,"-12.020638,-77.123192",0,22,241
1762130561,2025-11-03T00:42:41Z,LPE2223,"-12.020794,-77.123512",0,23,244
1762130563,2025-11-03T00:42:43Z,LPE2223,"-12.020893,-77.123726",0,19,244
