Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762478873,2025-11-07T01:27:53Z,LPE2349,"-16.343422,-71.56739",0,5,92
1762478883,2025-11-07T01:28:03Z,LPE2349,"-16.343445,-71.56707",0,7,92
1762478891,2025-11-07T01:28:11Z,LPE2349,"-16.343454,-71.566795",0,7,92
1762478897,2025-11-07T01:28:17Z,LPE2349,"-16.343477,-71.566536",0,8,92
1762478904,2025-11-07T01:28:24Z,LPE2349,"-16.343491,-71.566246",0,9,92
1762478911,2025-11-07T01:28:31Z,LPE2349,"-16.343502,-71.565948",0,9,92
1762478919,2025-11-07T01:28:39Z,LPE2349,"-16.343525,-71.565605",0,10,92
1762478928,2025-11-07T01:28:48Z,LPE2349,"-16.343548,-71.565155",0,10,92
1762478935,2025-11-07T01:28:55Z,LPE2349,"-16.343571,-71.564819",0,10,92
1762478944,2025-11-07T01:29:04Z,LPE2349,"-16.343596,-71.564453",0,11,92
1762478951,2025-11-07T01:29:11Z,LPE2349,"-16.343616,-71.563919",0,12,92
1762478959,2025-11-07T01:29:19Z,LPE2349,"-16.343639,-71.563446",0,13,92
1762478966,2025-11-07T01:29:26Z,LPE2349,"-16.343662,-71.562943",0,15,92
1762478974,2025-11-07T01:29:34Z,LPE2349,"-16.343697,-71.562401",0,15,92
1762478982,2025-11-07T01:29:42Z,LPE2349,"-16.343731,-71.561775",0,16,92
1762478988,2025-11-07T01:29:48Z,LPE2349,"-16.343754,-71.561256",0,17,92
1762478992,2025-11-07T01:29:52Z,LPE2349,"-16.343754,-71.560928",0,17,87
1762478995,2025-11-07T01:29:55Z,LPE2349,"-16.343699,-71.560677",0,15,73
1762478999,2025-11-07T01:29:59Z,LPE2349,"-16.343594,-71.560471",0,14,59
1762479003,2025-11-07T01:30:03Z,LPE2349,"-16.343433,-71.560234",0,12,56
1762479009,2025-11-07T01:30:09Z,LPE2349,"-16.343258,-71.559967",0,11,56
1762479014,2025-11-07T01:30:14Z,LPE2349,"-16.343124,-71.559746",0,11,56
1762479021,2025-11-07T01:30:21Z,LPE2349,"-16.34293,-71.559464",0,12,56
1762479029,2025-11-07T01:30:29Z,LPE2349,"-16.342655,-71.559036",0,12,56
1762479037,2025-11-07T01:30:37Z,LPE2349,"-16.342403,-71.558632",0,12,56
1762479042,2025-11-07T01:30:42Z,LPE2349,"-16.342268,-71.55838",0,13,61
1762479046,2025-11-07T01:30:46Z,LPE2349,"-16.34214,-71.558121",0,15,61
1762479051,2025-11-07T01:30:51Z,LPE2349,"-16.342001,-71.557854",0,15,59
1762479054,2025-11-07T01:30:54Z,LPE2349,"-16.34186,-71.557648",0,14,56
1762479058,2025-11-07T01:30:58Z,LPE2349,"-16.341717,-71.557434",0,13,53
1762479064,2025-11-07T01:31:04Z,LPE2349,"-16.341522,-71.557228",0,10,47
1762479072,2025-11-07T01:31:12Z,LPE2349,"-16.341278,-71.557121",0,7,14
1762479080,2025-11-07T01:31:20Z,LPE2349,"-16.341236,-71.557327",0,5,292
1762479233,2025-11-07T01:33:53Z,LPE2349,"-16.341244,-71.557709",0,16,272
1762479241,2025-11-07T01:34:01Z,LPE2349,"-16.341167,-71.559174",0,52,272
1762479249,2025-11-07T01:34:09Z,LPE2349,"-16.341,-71.56234",0,94,272
1762479259,2025-11-07T01:34:19Z,LPE2349,"-16.340673,-71.567986",8025,140,273
1762479273,2025-11-07T01:34:33Z,LPE2349,"-16.340149,-71.579491",8050,183,272
1762479287,2025-11-07T01:34:47Z,LPE2349,"-16.339788,-71.591866",8625,182,271
1762479300,2025-11-07T01:35:00Z,LPE2349,"-16.339371,-71.603195",9225,183,272
1762479314,2025-11-07T01:35:14Z,LPE2349,"-16.338858,-71.615707",9475,190,272
1762479327,2025-11-07T01:35:27Z,LPE2349,"-16.338638,-71.627922",9625,202,270
1762479340,2025-11-07T01:35:40Z,LPE2349,"-16.338858,-71.641602",9800,216,268
1762479345,2025-11-07T01:35:45Z,LPE2349,"-16.339556,-71.646408",9850,222,261
1762479347,2025-11-07T01:35:47Z,LPE2349,"-16.340069,-71.648468",9875,223,257
1762479349,2025-11-07T01:35:49Z,LPE2349,"-16.34079,-71.65052",9875,225,251
1762479351,2025-11-07T01:35:51Z,LPE2349,"-16.342026,-71.653076",9925,227,246
1762479353,2025-11-07T01:35:53Z,LPE2349,"-16.343033,-71.654854",9950,228,241
1762479356,2025-11-07T01:35:56Z,LPE2349,"-16.344538,-71.657051",9975,230,236
1762479358,2025-11-07T01:35:58Z,LPE2349,"-16.345871,-71.658661",10000,231,231
1762479360,2025-11-07T01:36:00Z,LPE2349,"-16.347473,-71.660347",10025,234,225
1762479362,2025-11-07T01:36:02Z,LPE2349,"-16.349533,-71.662132",10050,236,222
1762479364,2025-11-07T01:36:04Z,LPE2349,"-16.351273,-71.663429",10050,239,217
1762479366,2025-11-07T01:36:06Z,LPE2349,"-16.353521,-71.665047",10050,244,214
1762479368,2025-11-07T01:36:08Z,LPE2349,"-16.355576,-71.666321",10075,246,211
1762479370,2025-11-07T01:36:10Z,LPE2349,"-16.357618,-71.667496",10100,249,209
1762479372,2025-11-07T01:36:12Z,LPE2349,"-16.359806,-71.668671",10125,251,208
1762479375,2025-11-07T01:36:15Z,LPE2349,"-16.362488,-71.670082",10175,254,207
1762479377,2025-11-07T01:36:17Z,LPE2349,"-16.364731,-71.671288",10200,257,207
1762479379,2025-11-07T01:36:19Z,LPE2349,"-16.366882,-71.672447",10250,258,207
1762479381,2025-11-07T01:36:21Z,LPE2349,"-16.368942,-71.673553",10275,263,208
1762479384,2025-11-07T01:36:24Z,LPE2349,"-16.37163,-71.675102",10325,264,208
1762479386,2025-11-07T01:36:26Z,LPE2349,"-16.373749,-71.676392",10375,266,209
1762479388,2025-11-07T01:36:28Z,LPE2349,"-16.376751,-71.678337",10450,268,211
1762479390,2025-11-07T01:36:30Z,LPE2349,"-16.378922,-71.679863",10500,270,213
1762479393,2025-11-07T01:36:33Z,LPE2349,"-16.381174,-71.681473",10575,271,214
1762479395,2025-11-07T01:36:35Z,LPE2349,"-16.383175,-71.683044",10650,271,216
1762479397,2025-11-07T01:36:37Z,LPE2349,"-16.385376,-71.684875",10725,271,217
1762479399,2025-11-07T01:36:39Z,LPE2349,"-16.38739,-71.686661",10825,272,219
1762479401,2025-11-07T01:36:41Z,LPE2349,"-16.389496,-71.688538",10925,271,220
1762479403,2025-11-07T01:36:43Z,LPE2349,"-16.391323,-71.6903",11025,271,222
1762479405,2025-11-07T01:36:45Z,LPE2349,"-16.393021,-71.692055",11100,271,223
1762479407,2025-11-07T01:36:47Z,LPE2349,"-16.39514,-71.694275",11225,271,225
1762479409,2025-11-07T01:36:49Z,LPE2349,"-16.396957,-71.696251",11300,270,226
1762479412,2025-11-07T01:36:52Z,LPE2349,"-16.39856,-71.698082",11375,271,227
1762479414,2025-11-07T01:36:54Z,LPE2349,"-16.40007,-71.69986",11450,271,228
1762479416,2025-11-07T01:36:56Z,LPE2349,"-16.402168,-71.702469",11550,272,229
1762479418,2025-11-07T01:36:58Z,LPE2349,"-16.403891,-71.704575",11625,272,230
1762479420,2025-11-07T01:37:00Z,LPE2349,"-16.40538,-71.706558",11675,273,231
1762479422,2025-11-07T01:37:02Z,LPE2349,"-16.407166,-71.708969",11725,275,232
1762479425,2025-11-07T01:37:05Z,LPE2349,"-16.409338,-71.711929",11825,276,232
1762479427,2025-11-07T01:37:07Z,LPE2349,"-16.410782,-71.714027",11875,278,233
1762479429,2025-11-07T01:37:09Z,LPE2349,"-16.412476,-71.71653",11925,278,234
1762479431,2025-11-07T01:37:11Z,LPE2349,"-16.413946,-71.71875",11975,279,235
1762479433,2025-11-07T01:37:13Z,LPE2349,"-16.415436,-71.721008",12050,280,235
1762479435,2025-11-07T01:37:15Z,LPE2349,"-16.417145,-71.723717",12125,281,236
1762479438,2025-11-07T01:37:18Z,LPE2349,"-16.418289,-71.725494",12200,280,236
1762479440,2025-11-07T01:37:20Z,LPE2349,"-16.420418,-71.728951",12300,281,237
1762479473,2025-11-07T01:37:53Z,LPE2349,"-16.443054,-71.767418",13425,289,239
1762479503,2025-11-07T01:38:23Z,LPE2349,"-16.464111,-71.803459",14575,289,238
1762479535,2025-11-07T01:38:55Z,LPE2349,"-16.486908,-71.84182",15675,293,238
1762479567,2025-11-07T01:39:27Z,LPE2349,"-16.509239,-71.881241",16150,318,246
1762479569,2025-11-07T01:39:29Z,LPE2349,"-16.510357,-71.884575",16225,318,249
1762479571,2025-11-07T01:39:31Z,LPE2349,"-16.511381,-71.888252",16325,319,251
1762479573,2025-11-07T01:39:33Z,LPE2349,"-16.512032,-71.891197",16425,316,254
1762479575,2025-11-07T01:39:35Z,LPE2349,"-16.512638,-71.894386",16500,315,257
1762479577,2025-11-07T01:39:37Z,LPE2349,"-16.513046,-71.897232",16600,313,260
1762479580,2025-11-07T01:39:40Z,LPE2349,"-16.513458,-71.900986",16725,312,262
1762479582,2025-11-07T01:39:42Z,LPE2349,"-16.513569,-71.9039",16825,314,266
1762479584,2025-11-07T01:39:44Z,LPE2349,"-16.513569,-71.907967",16975,313,268
1762479586,2025-11-07T01:39:46Z,LPE2349,"-16.51343,-71.910812",17075,312,271
1762479589,2025-11-07T01:39:49Z,LPE2349,"-16.513138,-71.914528",17200,306,274
1762479591,2025-11-07T01:39:51Z,LPE2349,"-16.51259,-71.917778",17325,305,276
1762479593,2025-11-07T01:39:53Z,LPE2349,"-16.512125,-71.92028",17400,308,279
1762479595,2025-11-07T01:39:55Z,LPE2349,"-16.511148,-71.924011",17550,305,282
1762479597,2025-11-07T01:39:57Z,LPE2349,"-16.5103,-71.926819",17650,304,286
1762479599,2025-11-07T01:39:59Z,LPE2349,"-16.509109,-71.930138",17775,303,289
1762479602,2025-11-07T01:40:02Z,LPE2349,"-16.508057,-71.932693",17850,303,291
1762479604,2025-11-07T01:40:04Z,LPE2349,"-16.506493,-71.936417",17975,303,292
1762479606,2025-11-07T01:40:06Z,LPE2349,"-16.505356,-71.938957",18050,303,293
1762479608,2025-11-07T01:40:08Z,LPE2349,"-16.504351,-71.941368",18100,303,294
1762479611,2025-11-07T01:40:11Z,LPE2349,"-16.502815,-71.944855",18200,303,294
1762479613,2025-11-07T01:40:13Z,LPE2349,"-16.501791,-71.947258",18250,303,294
1762479615,2025-11-07T01:40:15Z,LPE2349,"-16.500347,-71.950592",18325,303,294
1762479617,2025-11-07T01:40:17Z,LPE2349,"-16.498905,-71.953926",18400,304,294
1762479619,2025-11-07T01:40:19Z,LPE2349,"-16.497927,-71.956184",18450,304,294
1762479622,2025-11-07T01:40:22Z,LPE2349,"-16.496531,-71.959419",18500,305,294
1762479624,2025-11-07T01:40:24Z,LPE2349,"-16.495377,-71.96209",18550,306,293
1762479655,2025-11-07T01:40:55Z,LPE2349,"-16.476234,-72.006897",18975,328,294
1762479687,2025-11-07T01:41:27Z,LPE2349,"-16.455688,-72.054169",19450,347,294
1762479718,2025-11-07T01:41:58Z,LPE2349,"-16.434151,-72.103027",19725,369,294
1762479749,2025-11-07T01:42:29Z,LPE2349,"-16.41156,-72.153915",20175,384,294
1762479782,2025-11-07T01:43:02Z,LPE2349,"-16.386154,-72.209656",20925,390,295
1762479814,2025-11-07T01:43:34Z,LPE2349,"-16.360886,-72.263588",21825,390,295
1762479846,2025-11-07T01:44:06Z,LPE2349,"-16.335892,-72.317314",22450,398,295
1762479876,2025-11-07T01:44:36Z,LPE2349,"-16.311346,-72.370277",23225,399,295
1762479907,2025-11-07T01:45:07Z,LPE2349,"-16.286673,-72.423592",23975,400,295
1762479940,2025-11-07T01:45:40Z,LPE2349,"-16.259995,-72.481285",24650,405,295
1762479971,2025-11-07T01:46:11Z,LPE2349,"-16.234535,-72.536346",25275,408,295
1762480002,2025-11-07T01:46:42Z,LPE2349,"-16.209274,-72.590622",25850,411,295
1762480035,2025-11-07T01:47:15Z,LPE2349,"-16.18165,-72.649986",26475,415,295
1762480068,2025-11-07T01:47:48Z,LPE2349,"-16.153627,-72.710266",27050,420,295
1762480099,2025-11-07T01:48:19Z,LPE2349,"-16.127464,-72.766373",27525,424,295
1762480132,2025-11-07T01:48:52Z,LPE2349,"-16.099346,-72.826752",28050,428,295
1762480162,2025-11-07T01:49:22Z,LPE2349,"-16.073135,-72.883011",28550,430,295
1762480193,2025-11-07T01:49:53Z,LPE2349,"-16.04361,-72.940208",29075,432,301
1762480225,2025-11-07T01:50:25Z,LPE2349,"-16.007313,-72.994637",29525,436,305
1762480256,2025-11-07T01:50:56Z,LPE2349,"-15.970047,-73.048286",29975,440,305
1762480287,2025-11-07T01:51:27Z,LPE2349,"-15.933295,-73.101608",30450,443,305
1762480319,2025-11-07T01:51:59Z,LPE2349,"-15.895727,-73.155998",30975,443,305
1762480350,2025-11-07T01:52:30Z,LPE2349,"-15.859543,-73.208313",31800,436,305
1762480385,2025-11-07T01:53:05Z,LPE2349,"-15.817613,-73.268806",32650,430,305
1762480416,2025-11-07T01:53:36Z,LPE2349,"-15.780945,-73.321693",33250,429,305
1762480448,2025-11-07T01:54:08Z,LPE2349,"-15.744553,-73.374023",33850,426,305
1762480485,2025-11-07T01:54:45Z,LPE2349,"-15.703187,-73.433792",34750,417,305
1762480517,2025-11-07T01:55:17Z,LPE2349,"-15.66641,-73.486816",35150,419,305
1762480548,2025-11-07T01:55:48Z,LPE2349,"-15.630798,-73.538094",35625,418,305
1762480580,2025-11-07T01:56:20Z,LPE2349,"-15.59514,-73.589417",35975,418,305
1762480611,2025-11-07T01:56:51Z,LPE2349,"-15.560165,-73.639671",36000,421,305
1762480640,2025-11-07T01:57:20Z,LPE2349,"-15.527546,-73.686478",36000,424,305
1762480700,2025-11-07T01:58:20Z,LPE2349,"-15.458176,-73.785912",36000,422,305
1762480730,2025-11-07T01:58:50Z,LPE2349,"-15.426224,-73.831741",36000,423,305
1762480761,2025-11-07T01:59:21Z,LPE2349,"-15.388092,-73.886383",36000,424,305
1762480819,2025-11-07T02:00:19Z,LPE2349,"-15.321167,-73.982033",36025,424,305
1762480854,2025-11-07T02:00:54Z,LPE2349,"-15.28125,-74.039085",36025,423,305
1762480885,2025-11-07T02:01:25Z,LPE2349,"-15.246506,-74.08857",36000,423,305
1762480916,2025-11-07T02:01:56Z,LPE2349,"-15.20874,-74.14225",36000,423,305
1762480948,2025-11-07T02:02:28Z,LPE2349,"-15.172394,-74.194191",36000,422,305
1762480979,2025-11-07T02:02:59Z,LPE2349,"-15.136972,-74.244774",36000,422,305
1762481011,2025-11-07T02:03:31Z,LPE2349,"-15.099777,-74.297745",35975,423,305
1762481042,2025-11-07T02:04:02Z,LPE2349,"-15.064316,-74.348099",36000,424,305
1762481074,2025-11-07T02:04:34Z,LPE2349,"-15.027389,-74.400543",36000,424,305
1762481105,2025-11-07T02:05:05Z,LPE2349,"-14.991898,-74.451019",36025,425,305
1762481137,2025-11-07T02:05:37Z,LPE2349,"-14.954162,-74.504616",36000,425,306
1762481168,2025-11-07T02:06:08Z,LPE2349,"-14.91861,-74.555008",36000,424,305
1762481200,2025-11-07T02:06:40Z,LPE2349,"-14.881587,-74.607567",36000,425,306
1762481233,2025-11-07T02:07:13Z,LPE2349,"-14.844066,-74.660927",36000,424,305
1762481263,2025-11-07T02:07:43Z,LPE2349,"-14.808929,-74.71077",36000,423,305
1762481294,2025-11-07T02:08:14Z,LPE2349,"-14.772701,-74.761917",36000,423,305
1762481327,2025-11-07T02:08:47Z,LPE2349,"-14.734761,-74.815544",36000,423,305
1762481358,2025-11-07T02:09:18Z,LPE2349,"-14.698544,-74.866669",36000,423,305
1762481389,2025-11-07T02:09:49Z,LPE2349,"-14.662559,-74.917412",36000,424,306
1762481420,2025-11-07T02:10:20Z,LPE2349,"-14.62676,-74.967911",36000,423,305
1762481453,2025-11-07T02:10:53Z,LPE2349,"-14.589066,-75.021187",36000,423,305
1762481483,2025-11-07T02:11:23Z,LPE2349,"-14.55336,-75.071709",36000,424,306
1762481514,2025-11-07T02:11:54Z,LPE2349,"-14.518153,-75.121239",36000,425,306
1762481546,2025-11-07T02:12:26Z,LPE2349,"-14.480865,-75.173706",36000,425,306
1762481578,2025-11-07T02:12:58Z,LPE2349,"-14.442993,-75.227036",36000,424,306
1762481609,2025-11-07T02:13:29Z,LPE2349,"-14.407974,-75.276283",36000,424,306
1762481642,2025-11-07T02:14:02Z,LPE2349,"-14.369652,-75.330116",36000,425,306
1762481673,2025-11-07T02:14:33Z,LPE2349,"-14.333359,-75.381081",36000,425,306
1762481704,2025-11-07T02:15:04Z,LPE2349,"-14.29689,-75.432228",35975,426,306
1762481735,2025-11-07T02:15:35Z,LPE2349,"-14.260895,-75.482704",36000,427,306
1762481766,2025-11-07T02:16:06Z,LPE2349,"-14.22506,-75.532936",36000,428,306
1762481799,2025-11-07T02:16:39Z,LPE2349,"-14.186371,-75.587311",36000,429,306
1762481832,2025-11-07T02:17:12Z,LPE2349,"-14.147411,-75.641685",36025,429,306
1762481864,2025-11-07T02:17:44Z,LPE2349,"-14.108826,-75.695656",36025,428,306
1762481895,2025-11-07T02:18:15Z,LPE2349,"-14.072891,-75.745804",36000,428,306
1762481927,2025-11-07T02:18:47Z,LPE2349,"-14.034805,-75.798889",36000,429,306
1762481958,2025-11-07T02:19:18Z,LPE2349,"-13.998047,-75.850365",36000,430,306
1762481991,2025-11-07T02:19:51Z,LPE2349,"-13.959526,-75.90406",36000,429,306
1762482022,2025-11-07T02:20:22Z,LPE2349,"-13.923495,-75.954369",36000,430,306
