Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762362361,2025-11-05T17:06:01Z,LPE2383,"-0.123759,-78.359207",0,0,267
1762362390,2025-11-05T17:06:30Z,LPE2383,"-0.123747,-78.359001",0,0,267
1762362421,2025-11-05T17:07:01Z,LPE2383,"-0.123747,-78.35878",0,0,264
1762362446,2025-11-05T17:07:26Z,LPE2383,"-0.123759,-78.358574",0,0,230
1762362489,2025-11-05T17:08:09Z,LPE2383,"-0.12355,-78.358414",0,0,180
1762362644,2025-11-05T17:10:44Z,LPE2383,"-0.123317,-78.358421",0,0,177
1762362716,2025-11-05T17:11:56Z,LPE2383,"-0.123654,-78.358398",0,5,177
1762362725,2025-11-05T17:12:05Z,LPE2383,"-0.123905,-78.358391",0,6,177
1762362732,2025-11-05T17:12:12Z,LPE2383,"-0.124123,-78.358376",0,8,177
1762362741,2025-11-05T17:12:21Z,LPE2383,"-0.124469,-78.358376",0,8,177
1762362749,2025-11-05T17:12:29Z,LPE2383,"-0.124798,-78.358353",0,10,177
1762362756,2025-11-05T17:12:36Z,LPE2383,"-0.125132,-78.358337",0,11,177
1762362762,2025-11-05T17:12:42Z,LPE2383,"-0.125482,-78.35833",0,12,177
1762362769,2025-11-05T17:12:49Z,LPE2383,"-0.125889,-78.358307",0,13,177
1762362776,2025-11-05T17:12:56Z,LPE2383,"-0.126297,-78.358284",0,11,177
1762362786,2025-11-05T17:13:06Z,LPE2383,"-0.12675,-78.358231",0,9,165
1762362792,2025-11-05T17:13:12Z,LPE2383,"-0.126938,-78.358017",0,10,123
1762362798,2025-11-05T17:13:18Z,LPE2383,"-0.126949,-78.357796",0,9,95
1762362803,2025-11-05T17:13:23Z,LPE2383,"-0.126938,-78.357567",0,9,90
1762362808,2025-11-05T17:13:28Z,LPE2383,"-0.126926,-78.357353",0,9,87
1762362813,2025-11-05T17:13:33Z,LPE2383,"-0.126915,-78.357124",0,9,87
1762362821,2025-11-05T17:13:41Z,LPE2383,"-0.126901,-78.356804",0,9,87
1762362828,2025-11-05T17:13:48Z,LPE2383,"-0.12689,-78.356483",0,9,87
1762362834,2025-11-05T17:13:54Z,LPE2383,"-0.126892,-78.356247",0,8,92
1762362842,2025-11-05T17:14:02Z,LPE2383,"-0.127053,-78.356033",0,7,129
1762362850,2025-11-05T17:14:10Z,LPE2383,"-0.127262,-78.355957",0,6,160
1762362859,2025-11-05T17:14:19Z,LPE2383,"-0.127495,-78.355957",0,5,174
1762362868,2025-11-05T17:14:28Z,LPE2383,"-0.127739,-78.355949",0,6,177
1762362876,2025-11-05T17:14:36Z,LPE2383,"-0.127949,-78.355934",0,6,177
1762362883,2025-11-05T17:14:43Z,LPE2383,"-0.128193,-78.355927",0,7,177
1762362890,2025-11-05T17:14:50Z,LPE2383,"-0.128449,-78.355911",0,9,177
1762362898,2025-11-05T17:14:58Z,LPE2383,"-0.128833,-78.355904",0,11,177
1762362905,2025-11-05T17:15:05Z,LPE2383,"-0.129217,-78.355881",0,12,177
1762362912,2025-11-05T17:15:12Z,LPE2383,"-0.12959,-78.355865",0,11,177
1762362919,2025-11-05T17:15:19Z,LPE2383,"-0.129927,-78.35585",0,10,177
1762362928,2025-11-05T17:15:28Z,LPE2383,"-0.1303,-78.355827",0,8,177
1762362935,2025-11-05T17:15:35Z,LPE2383,"-0.130611,-78.35582",0,9,177
1762362942,2025-11-05T17:15:42Z,LPE2383,"-0.130966,-78.355804",0,12,177
1762362949,2025-11-05T17:15:49Z,LPE2383,"-0.131435,-78.355782",0,14,177
1762362956,2025-11-05T17:15:56Z,LPE2383,"-0.131882,-78.355774",0,15,177
1762362964,2025-11-05T17:16:04Z,LPE2383,"-0.132534,-78.355736",0,18,177
1762362971,2025-11-05T17:16:11Z,LPE2383,"-0.133129,-78.355713",0,19,177
1762362979,2025-11-05T17:16:19Z,LPE2383,"-0.133999,-78.355682",0,22,177
1762362987,2025-11-05T17:16:27Z,LPE2383,"-0.134846,-78.355644",0,24,177
1762362993,2025-11-05T17:16:33Z,LPE2383,"-0.135653,-78.355606",0,25,177
1762363000,2025-11-05T17:16:40Z,LPE2383,"-0.136368,-78.355576",0,23,177
1762363007,2025-11-05T17:16:47Z,LPE2383,"-0.137169,-78.355537",0,22,177
1762363014,2025-11-05T17:16:54Z,LPE2383,"-0.137911,-78.355507",0,22,177
1762363021,2025-11-05T17:17:01Z,LPE2383,"-0.138577,-78.355484",0,21,177
1762363028,2025-11-05T17:17:08Z,LPE2383,"-0.139286,-78.355446",0,21,177
1762363035,2025-11-05T17:17:15Z,LPE2383,"-0.139971,-78.355415",0,20,177
1762363043,2025-11-05T17:17:23Z,LPE2383,"-0.140693,-78.355392",0,19,177
1762363051,2025-11-05T17:17:31Z,LPE2383,"-0.141379,-78.355354",0,17,177
1762363058,2025-11-05T17:17:38Z,LPE2383,"-0.141872,-78.355339",0,16,177
1762363061,2025-11-05T17:17:41Z,LPE2383,"-0.142124,-78.355286",0,12,165
1762363068,2025-11-05T17:17:48Z,LPE2383,"-0.142353,-78.355156",0,8,146
1762363081,2025-11-05T17:18:01Z,LPE2383,"-0.142508,-78.354927",0,5,123
1762363088,2025-11-05T17:18:08Z,LPE2383,"-0.142566,-78.354683",0,8,101
1762363094,2025-11-05T17:18:14Z,LPE2383,"-0.142555,-78.354401",0,11,90
1762363098,2025-11-05T17:18:18Z,LPE2383,"-0.142548,-78.354164",0,13,87
