Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762148650,2025-11-03T05:44:10Z,LPE2478,"-12.025746,-77.11911",0,0,64
1762148807,2025-11-03T05:46:47Z,LPE2478,"-12.025864,-77.119347",0,2,64
1762148834,2025-11-03T05:47:14Z,LPE2478,"-12.025956,-77.119576",0,0,59
1762148908,2025-11-03T05:48:28Z,LPE2478,"-12.026356,-77.119904",0,0,337
1762148978,2025-11-03T05:49:38Z,LPE2478,"-12.026939,-77.119621",0,0,334
1762149264,2025-11-03T05:54:24Z,LPE2478,"-12.025502,-77.120575",0,7,275
1762149303,2025-11-03T05:55:03Z,LPE2478,"-12.025486,-77.121979",0,0,326
1762149313,2025-11-03T05:55:13Z,LPE2478,"-12.024971,-77.122215",0,13,334
1762149325,2025-11-03T05:55:25Z,LPE2478,"-12.024303,-77.122543",0,14,334
1762149333,2025-11-03T05:55:33Z,LPE2478,"-12.023872,-77.122734",0,15,334
1762149340,2025-11-03T05:55:40Z,LPE2478,"-12.023431,-77.122963",0,15,334
1762149347,2025-11-03T05:55:47Z,LPE2478,"-12.022988,-77.123177",0,14,334
1762149354,2025-11-03T05:55:54Z,LPE2478,"-12.022593,-77.123375",0,13,334
1762149360,2025-11-03T05:56:00Z,LPE2478,"-12.022232,-77.123543",0,14,334
1762149368,2025-11-03T05:56:08Z,LPE2478,"-12.021767,-77.123772",0,15,334
1762149375,2025-11-03T05:56:15Z,LPE2478,"-12.021458,-77.123932",0,9,334
1762149381,2025-11-03T05:56:21Z,LPE2478,"-12.021208,-77.124062",0,7,329
1762149388,2025-11-03T05:56:28Z,LPE2478,"-12.021149,-77.124283",0,7,286
1762149395,2025-11-03T05:56:35Z,LPE2478,"-12.02124,-77.124496",0,7,253
1762149401,2025-11-03T05:56:41Z,LPE2478,"-12.021196,-77.124725",0,9,281
1762149410,2025-11-03T05:56:50Z,LPE2478,"-12.02092,-77.124985",0,10,320
1762149415,2025-11-03T05:56:55Z,LPE2478,"-12.020714,-77.125076",0,11,334
1762149419,2025-11-03T05:56:59Z,LPE2478,"-12.020508,-77.125175",0,12,334
1762149423,2025-11-03T05:57:03Z,LPE2478,"-12.0203,-77.125275",0,12,334
1762149427,2025-11-03T05:57:07Z,LPE2478,"-12.02009,-77.125381",0,13,334
1762149431,2025-11-03T05:57:11Z,LPE2478,"-12.019878,-77.125481",0,14,334
1762149438,2025-11-03T05:57:18Z,LPE2478,"-12.019427,-77.12571",0,15,334
1762149445,2025-11-03T05:57:25Z,LPE2478,"-12.018962,-77.125938",0,16,334
1762149452,2025-11-03T05:57:32Z,LPE2478,"-12.01845,-77.12619",0,16,331
1762149456,2025-11-03T05:57:36Z,LPE2478,"-12.018205,-77.126312",0,16,334
1762149459,2025-11-03T05:57:39Z,LPE2478,"-12.017949,-77.126434",0,17,334
1762149463,2025-11-03T05:57:43Z,LPE2478,"-12.017693,-77.126556",0,17,334
1762149468,2025-11-03T05:57:48Z,LPE2478,"-12.017356,-77.126724",0,17,334
1762149475,2025-11-03T05:57:55Z,LPE2478,"-12.016844,-77.126976",0,17,334
1762149482,2025-11-03T05:58:02Z,LPE2478,"-12.016332,-77.127228",0,17,334
1762149489,2025-11-03T05:58:09Z,LPE2478,"-12.015784,-77.127495",0,17,334
1762149496,2025-11-03T05:58:16Z,LPE2478,"-12.015266,-77.127754",0,18,334
