Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762618331,2025-11-08T16:12:11Z,LPE2486,"-12.024467,-77.122459",0,15,334
1762618339,2025-11-08T16:12:19Z,LPE2486,"-12.023998,-77.122696",0,16,334
1762618345,2025-11-08T16:12:25Z,LPE2486,"-12.023529,-77.122925",0,17,334
1762618352,2025-11-08T16:12:32Z,LPE2486,"-12.023048,-77.123161",0,18,334
1762618357,2025-11-08T16:12:37Z,LPE2486,"-12.022686,-77.123352",0,12,334
1762618363,2025-11-08T16:12:43Z,LPE2486,"-12.022476,-77.123459",0,9,334
1762618369,2025-11-08T16:12:49Z,LPE2486,"-12.022259,-77.12355",0,9,334
1762618373,2025-11-08T16:12:53Z,LPE2486,"-12.022058,-77.12365",0,10,334
1762618380,2025-11-08T16:13:00Z,LPE2486,"-12.021708,-77.123817",0,13,334
1762618386,2025-11-08T16:13:06Z,LPE2486,"-12.021405,-77.123985",0,12,329
1762618390,2025-11-08T16:13:10Z,LPE2486,"-12.021297,-77.124191",0,13,300
1762618394,2025-11-08T16:13:14Z,LPE2486,"-12.021275,-77.124413",0,14,278
1762618397,2025-11-08T16:13:17Z,LPE2486,"-12.021231,-77.124664",0,13,284
1762618402,2025-11-08T16:13:22Z,LPE2486,"-12.021033,-77.124893",0,15,312
1762618405,2025-11-08T16:13:25Z,LPE2486,"-12.020817,-77.125031",0,15,329
1762618409,2025-11-08T16:13:29Z,LPE2486,"-12.020588,-77.125145",0,16,334
1762618412,2025-11-08T16:13:32Z,LPE2486,"-12.020323,-77.12529",0,17,334
1762618416,2025-11-08T16:13:36Z,LPE2486,"-12.020039,-77.125412",0,18,334
1762618419,2025-11-08T16:13:39Z,LPE2486,"-12.01981,-77.125542",0,18,334
1762618423,2025-11-08T16:13:43Z,LPE2486,"-12.019489,-77.125694",0,19,334
1762618430,2025-11-08T16:13:50Z,LPE2486,"-12.018891,-77.125984",0,19,334
1762618437,2025-11-08T16:13:57Z,LPE2486,"-12.018333,-77.126266",0,19,334
