Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762431484,2025-11-06T12:18:04Z,LXP250,"-51.668411,-72.52964",0,0,343
1762431996,2025-11-06T12:26:36Z,LXP250,"-51.669109,-72.529465",0,7,199
1762432004,2025-11-06T12:26:44Z,LXP250,"-51.669376,-72.529732",0,9,210
1762432011,2025-11-06T12:26:51Z,LXP250,"-51.669621,-72.529968",0,10,208
1762432018,2025-11-06T12:26:58Z,LXP250,"-51.669945,-72.530251",0,9,208
1762432036,2025-11-06T12:27:16Z,LXP250,"-51.670349,-72.529793",0,7,123
1762432041,2025-11-06T12:27:21Z,LXP250,"-51.670429,-72.529564",0,8,120
1762432046,2025-11-06T12:27:26Z,LXP250,"-51.670528,-72.529282",0,8,118
1762432052,2025-11-06T12:27:32Z,LXP250,"-51.670647,-72.528954",0,9,120
1762432088,2025-11-06T12:28:08Z,LXP250,"-51.671577,-72.526321",0,0,120
1762432097,2025-11-06T12:28:17Z,LXP250,"-51.671833,-72.525597",0,14,120
1762432104,2025-11-06T12:28:24Z,LXP250,"-51.6721,-72.524857",0,15,120
1762432107,2025-11-06T12:28:27Z,LXP250,"-51.67218,-72.524582",0,15,118
1762432110,2025-11-06T12:28:30Z,LXP250,"-51.672298,-72.524277",0,15,120
1762432117,2025-11-06T12:28:37Z,LXP250,"-51.672375,-72.524055",0,15,120
1762432225,2025-11-06T12:30:25Z,LXP250,"-51.675385,-72.515572",0,5,289
1762432345,2025-11-06T12:32:25Z,LXP250,"-51.655014,-72.573677",1275,170,299
1762432353,2025-11-06T12:32:33Z,LXP250,"-51.652222,-72.581711",1425,179,299
1762432359,2025-11-06T12:32:39Z,LXP250,"-51.649475,-72.589561",1550,188,299
1762432366,2025-11-06T12:32:46Z,LXP250,"-51.646496,-72.598343",1650,198,298
1762432375,2025-11-06T12:32:55Z,LXP250,"-51.64254,-72.60994",1825,215,299
1762432384,2025-11-06T12:33:04Z,LXP250,"-51.637848,-72.623268",2050,228,299
1762432392,2025-11-06T12:33:12Z,LXP250,"-51.633461,-72.635651",2300,241,299
1762432401,2025-11-06T12:33:21Z,LXP250,"-51.628281,-72.649986",2650,251,300
1762432410,2025-11-06T12:33:30Z,LXP250,"-51.623199,-72.663872",3075,256,300
1762432416,2025-11-06T12:33:36Z,LXP250,"-51.619034,-72.675377",3525,257,300
1762432423,2025-11-06T12:33:43Z,LXP250,"-51.614868,-72.686737",3975,257,300
1762432432,2025-11-06T12:33:52Z,LXP250,"-51.609604,-72.700394",4475,258,302
1762432437,2025-11-06T12:33:57Z,LXP250,"-51.60585,-72.707962",4775,260,309
1762432439,2025-11-06T12:33:59Z,LXP250,"-51.604275,-72.710571",4875,260,312
1762432442,2025-11-06T12:34:02Z,LXP250,"-51.601246,-72.714844",5075,262,318
1762432444,2025-11-06T12:34:04Z,LXP250,"-51.59903,-72.717247",5200,263,323
1762432446,2025-11-06T12:34:06Z,LXP250,"-51.59642,-72.719841",5325,264,325
1762432448,2025-11-06T12:34:08Z,LXP250,"-51.593987,-72.721863",5450,266,329
1762432451,2025-11-06T12:34:11Z,LXP250,"-51.591705,-72.723465",5550,268,334
1762432453,2025-11-06T12:34:13Z,LXP250,"-51.588821,-72.72496",5675,269,338
1762432455,2025-11-06T12:34:15Z,LXP250,"-51.586395,-72.725906",5775,271,344
1762432457,2025-11-06T12:34:17Z,LXP250,"-51.583786,-72.726669",5900,273,348
1762432460,2025-11-06T12:34:20Z,LXP250,"-51.580627,-72.727264",6050,275,352
1762432462,2025-11-06T12:34:22Z,LXP250,"-51.578064,-72.727509",6150,276,355
1762432464,2025-11-06T12:34:24Z,LXP250,"-51.574951,-72.727638",6300,277,357
1762432467,2025-11-06T12:34:27Z,LXP250,"-51.571873,-72.727737",6450,277,358
1762432469,2025-11-06T12:34:29Z,LXP250,"-51.568428,-72.72789",6650,278,358
1762432471,2025-11-06T12:34:31Z,LXP250,"-51.567032,-72.727859",6725,278,359
1762432473,2025-11-06T12:34:33Z,LXP250,"-51.563168,-72.727966",6925,278,359
1762432475,2025-11-06T12:34:35Z,LXP250,"-51.560467,-72.728043",7050,279,359
1762432477,2025-11-06T12:34:37Z,LXP250,"-51.557877,-72.728081",7150,279,359
1762432480,2025-11-06T12:34:40Z,LXP250,"-51.555267,-72.728081",7275,280,359
1762432482,2025-11-06T12:34:42Z,LXP250,"-51.551903,-72.728195",7400,281,359
1762432484,2025-11-06T12:34:44Z,LXP250,"-51.548923,-72.728271",7525,282,359
1762432487,2025-11-06T12:34:47Z,LXP250,"-51.545242,-72.728302",7650,283,359
1762432502,2025-11-06T12:35:02Z,LXP250,"-51.526062,-72.728897",8550,282,358
1762432515,2025-11-06T12:35:15Z,LXP250,"-51.509075,-72.729645",9250,283,358
1762432527,2025-11-06T12:35:27Z,LXP250,"-51.492737,-72.730453",9750,291,358
1762432542,2025-11-06T12:35:42Z,LXP250,"-51.47253,-72.731476",10225,305,358
1762432555,2025-11-06T12:35:55Z,LXP250,"-51.453461,-72.7332",10450,322,352
1762432560,2025-11-06T12:36:00Z,LXP250,"-51.447235,-72.735359",10500,326,347
1762432562,2025-11-06T12:36:02Z,LXP250,"-51.443024,-72.737289",10525,329,344
1762432564,2025-11-06T12:36:04Z,LXP250,"-51.439106,-72.739716",10550,332,340
1762432567,2025-11-06T12:36:07Z,LXP250,"-51.436127,-72.741852",10575,335,337
1762432569,2025-11-06T12:36:09Z,LXP250,"-51.432587,-72.74501",10600,337,333
1762432571,2025-11-06T12:36:11Z,LXP250,"-51.429977,-72.747383",10650,340,330
1762432573,2025-11-06T12:36:13Z,LXP250,"-51.426727,-72.750504",10725,341,329
1762432576,2025-11-06T12:36:16Z,LXP250,"-51.424023,-72.753143",10775,342,328
1762432578,2025-11-06T12:36:18Z,LXP250,"-51.421185,-72.755966",10825,344,328
1762432580,2025-11-06T12:36:20Z,LXP250,"-51.417786,-72.759399",10925,346,328
1762432582,2025-11-06T12:36:22Z,LXP250,"-51.414944,-72.762222",11025,346,327
1762432585,2025-11-06T12:36:25Z,LXP250,"-51.41185,-72.765419",11125,347,327
1762432587,2025-11-06T12:36:27Z,LXP250,"-51.408566,-72.768707",11250,347,327
1762432589,2025-11-06T12:36:29Z,LXP250,"-51.405304,-72.77195",11350,347,327
1762432592,2025-11-06T12:36:32Z,LXP250,"-51.401772,-72.775497",11500,347,327
1762432594,2025-11-06T12:36:34Z,LXP250,"-51.398514,-72.778778",11650,347,327
1762432596,2025-11-06T12:36:36Z,LXP250,"-51.395672,-72.781677",11775,347,327
1762432610,2025-11-06T12:36:50Z,LXP250,"-51.37706,-72.800385",12475,347,327
1762432641,2025-11-06T12:37:21Z,LXP250,"-51.334595,-72.843094",13850,353,327
1762432674,2025-11-06T12:37:54Z,LXP250,"-51.289764,-72.887802",15025,365,328
1762432704,2025-11-06T12:38:24Z,LXP250,"-51.243759,-72.933258",15550,388,328
1762432736,2025-11-06T12:38:56Z,LXP250,"-51.195007,-72.98381",16650,394,322
1762432768,2025-11-06T12:39:28Z,LXP250,"-51.149734,-73.042526",17800,399,320
1762432799,2025-11-06T12:39:59Z,LXP250,"-51.10421,-73.101044",18650,411,321
1762432830,2025-11-06T12:40:30Z,LXP250,"-51.058136,-73.159889",19725,412,321
1762432862,2025-11-06T12:41:02Z,LXP250,"-51.011478,-73.219528",20750,416,321
1762432893,2025-11-06T12:41:33Z,LXP250,"-50.964935,-73.278809",21625,421,321
1762432924,2025-11-06T12:42:04Z,LXP250,"-50.91814,-73.338242",22525,424,321
1762432954,2025-11-06T12:42:34Z,LXP250,"-50.870983,-73.397903",23350,426,321
1762432987,2025-11-06T12:43:07Z,LXP250,"-50.820694,-73.461571",24175,430,321
1762433018,2025-11-06T12:43:38Z,LXP250,"-50.771072,-73.524216",24950,432,321
1762433051,2025-11-06T12:44:11Z,LXP250,"-50.720154,-73.588257",25475,439,321
1762433082,2025-11-06T12:44:42Z,LXP250,"-50.670063,-73.651085",26325,439,321
1762433113,2025-11-06T12:45:13Z,LXP250,"-50.620857,-73.712547",26925,443,321
1762433146,2025-11-06T12:45:46Z,LXP250,"-50.569416,-73.776756",28275,429,321
1762433179,2025-11-06T12:46:19Z,LXP250,"-50.518536,-73.840004",29425,422,321
1762433210,2025-11-06T12:46:50Z,LXP250,"-50.470913,-73.899162",30250,422,321
1762433240,2025-11-06T12:47:20Z,LXP250,"-50.424545,-73.956474",30900,422,321
1762433266,2025-11-06T12:47:46Z,LXP250,"-50.382511,-74.001457",31375,429,333
1762433269,2025-11-06T12:47:49Z,LXP250,"-50.378174,-74.004555",31400,429,334
1762433271,2025-11-06T12:47:51Z,LXP250,"-50.373596,-74.007523",31450,430,336
1762433273,2025-11-06T12:47:53Z,LXP250,"-50.370823,-74.009178",31475,431,338
1762433275,2025-11-06T12:47:55Z,LXP250,"-50.365906,-74.011787",31500,433,340
1762433277,2025-11-06T12:47:57Z,LXP250,"-50.361099,-74.014099",31550,432,342
1762433280,2025-11-06T12:48:00Z,LXP250,"-50.357418,-74.015633",31600,434,344
1762433282,2025-11-06T12:48:02Z,LXP250,"-50.353741,-74.016968",31625,434,345
1762433284,2025-11-06T12:48:04Z,LXP250,"-50.349014,-74.018509",31675,435,347
1762433286,2025-11-06T12:48:06Z,LXP250,"-50.345222,-74.019493",31700,435,350
1762433288,2025-11-06T12:48:08Z,LXP250,"-50.340042,-74.020531",31750,436,351
1762433290,2025-11-06T12:48:10Z,LXP250,"-50.336422,-74.021126",31800,436,353
1762433293,2025-11-06T12:48:13Z,LXP250,"-50.331436,-74.02169",31850,436,355
1762433295,2025-11-06T12:48:15Z,LXP250,"-50.328003,-74.021904",31900,436,356
1762433297,2025-11-06T12:48:17Z,LXP250,"-50.322735,-74.021942",31950,437,358
1762433299,2025-11-06T12:48:19Z,LXP250,"-50.318733,-74.021721",32000,437,359
1762433301,2025-11-06T12:48:21Z,LXP250,"-50.314682,-74.0214",32050,437,2
1762433303,2025-11-06T12:48:23Z,LXP250,"-50.309887,-74.020828",32125,437,4
1762433305,2025-11-06T12:48:25Z,LXP250,"-50.306442,-74.020241",32175,436,5
1762433308,2025-11-06T12:48:28Z,LXP250,"-50.301041,-74.019371",32250,436,5
1762433310,2025-11-06T12:48:30Z,LXP250,"-50.297085,-74.018677",32325,435,6
1762433312,2025-11-06T12:48:32Z,LXP250,"-50.292057,-74.01786",32375,435,6
1762433314,2025-11-06T12:48:34Z,LXP250,"-50.289093,-74.017349",32425,434,5
1762433316,2025-11-06T12:48:36Z,LXP250,"-50.283913,-74.016525",32475,434,5
1762433318,2025-11-06T12:48:38Z,LXP250,"-50.280716,-74.016052",32500,434,5
1762433320,2025-11-06T12:48:40Z,LXP250,"-50.275909,-74.015327",32550,434,5
1762433323,2025-11-06T12:48:43Z,LXP250,"-50.27092,-74.014534",32600,435,5
1762433354,2025-11-06T12:49:14Z,LXP250,"-50.207977,-74.006149",32925,441,4
1762433385,2025-11-06T12:49:45Z,LXP250,"-50.145218,-73.998413",33650,436,4
1762433418,2025-11-06T12:50:18Z,LXP250,"-50.079666,-73.990028",34000,434,4
1762433449,2025-11-06T12:50:49Z,LXP250,"-50.015854,-73.981499",34000,440,4
1762433480,2025-11-06T12:51:20Z,LXP250,"-49.953205,-73.973251",34000,443,4
1762433512,2025-11-06T12:51:52Z,LXP250,"-49.888451,-73.964783",34000,446,4
1762433543,2025-11-06T12:52:23Z,LXP250,"-49.826294,-73.956566",34000,444,4
1762433573,2025-11-06T12:52:53Z,LXP250,"-49.762848,-73.948326",34000,444,4
1762433605,2025-11-06T12:53:25Z,LXP250,"-49.699081,-73.940155",34025,444,4
1762433635,2025-11-06T12:53:55Z,LXP250,"-49.636368,-73.931992",34025,443,4
1762433667,2025-11-06T12:54:27Z,LXP250,"-49.571091,-73.923607",34000,443,4
1762433699,2025-11-06T12:54:59Z,LXP250,"-49.505722,-73.915146",33975,444,4
1762433730,2025-11-06T12:55:30Z,LXP250,"-49.443783,-73.907036",33950,446,4
1762433763,2025-11-06T12:56:03Z,LXP250,"-49.374466,-73.898094",33975,447,4
1762433795,2025-11-06T12:56:35Z,LXP250,"-49.308411,-73.88942",34000,449,4
1762433826,2025-11-06T12:57:06Z,LXP250,"-49.243378,-73.881104",34000,450,4
1762433857,2025-11-06T12:57:37Z,LXP250,"-49.180344,-73.873085",34025,450,4
1762433888,2025-11-06T12:58:08Z,LXP250,"-49.115356,-73.864769",34025,451,4
1762433919,2025-11-06T12:58:39Z,LXP250,"-49.050934,-73.856644",34025,451,4
1762433952,2025-11-06T12:59:12Z,LXP250,"-48.9841,-73.848198",34025,452,4
1762433983,2025-11-06T12:59:43Z,LXP250,"-48.919605,-73.840195",34025,452,4
1762434013,2025-11-06T13:00:13Z,LXP250,"-48.855316,-73.832314",34000,452,4
1762434055,2025-11-06T13:00:55Z,LXP250,"-48.767441,-73.82122",34000,452,4
1762434086,2025-11-06T13:01:26Z,LXP250,"-48.703308,-73.813126",34000,452,4
1762434118,2025-11-06T13:01:58Z,LXP250,"-48.638123,-73.804955",34000,452,4
1762434148,2025-11-06T13:02:28Z,LXP250,"-48.574558,-73.797188",34000,453,4
1762434181,2025-11-06T13:03:01Z,LXP250,"-48.505615,-73.788589",33975,454,4
1762434212,2025-11-06T13:03:32Z,LXP250,"-48.441833,-73.780655",34000,454,4
1762434245,2025-11-06T13:04:05Z,LXP250,"-48.371593,-73.771965",34000,454,4
1762434277,2025-11-06T13:04:37Z,LXP250,"-48.304367,-73.763687",34000,455,4
1762434577,2025-11-06T13:09:37Z,LXP250,"-47.671646,-73.686676",34000,459,4
1762434608,2025-11-06T13:10:08Z,LXP250,"-47.605545,-73.678986",34000,460,4
1762434639,2025-11-06T13:10:39Z,LXP250,"-47.53989,-73.671219",34000,461,4
1762434671,2025-11-06T13:11:11Z,LXP250,"-47.473228,-73.663261",33975,463,4
1762434703,2025-11-06T13:11:43Z,LXP250,"-47.404751,-73.655022",34000,463,4
1762434741,2025-11-06T13:12:21Z,LXP250,"-47.340412,-73.647484",34000,465,4
1762434775,2025-11-06T13:12:55Z,LXP250,"-47.248753,-73.636642",34000,466,4
1762434791,2025-11-06T13:13:11Z,LXP250,"-47.216537,-73.632912",34000,467,4
1762434880,2025-11-06T13:14:40Z,LXP250,"-47.023533,-73.610092",34000,470,4
1762434911,2025-11-06T13:15:11Z,LXP250,"-46.957169,-73.603386",34000,469,2
1762434943,2025-11-06T13:15:43Z,LXP250,"-46.885925,-73.601006",34000,469,1
1762434974,2025-11-06T13:16:14Z,LXP250,"-46.818703,-73.598923",34000,470,1
1762435005,2025-11-06T13:16:45Z,LXP250,"-46.752228,-73.596069",34000,471,1
1762435037,2025-11-06T13:17:17Z,LXP250,"-46.682632,-73.592743",33975,473,1
1762435068,2025-11-06T13:17:48Z,LXP250,"-46.615223,-73.589447",34000,475,1
1762435100,2025-11-06T13:18:20Z,LXP250,"-46.54451,-73.586082",34025,475,1
1762435130,2025-11-06T13:18:50Z,LXP250,"-46.477066,-73.582878",34025,475,1
1762435162,2025-11-06T13:19:22Z,LXP250,"-46.407257,-73.579659",34025,475,1
1762435194,2025-11-06T13:19:54Z,LXP250,"-46.338142,-73.576469",34025,475,1
1762435226,2025-11-06T13:20:26Z,LXP250,"-46.267479,-73.573174",34000,475,1
1762435258,2025-11-06T13:20:58Z,LXP250,"-46.196392,-73.569809",34000,475,1
1762435290,2025-11-06T13:21:30Z,LXP250,"-46.130035,-73.566795",34000,474,1
1762435320,2025-11-06T13:22:00Z,LXP250,"-46.060867,-73.563652",34000,473,1
1762435351,2025-11-06T13:22:31Z,LXP250,"-45.993752,-73.560539",34000,473,1
1762435382,2025-11-06T13:23:02Z,LXP250,"-45.925964,-73.557556",34000,471,1
1762435413,2025-11-06T13:23:33Z,LXP250,"-45.858765,-73.554474",34000,470,1
1762435446,2025-11-06T13:24:06Z,LXP250,"-45.787811,-73.551186",33975,471,1
1762435476,2025-11-06T13:24:36Z,LXP250,"-45.721375,-73.54818",33975,472,1
1762435507,2025-11-06T13:25:07Z,LXP250,"-45.653267,-73.54509",33975,473,1
1762435538,2025-11-06T13:25:38Z,LXP250,"-45.585861,-73.542068",34000,474,1
1762435571,2025-11-06T13:26:11Z,LXP250,"-45.514847,-73.538887",34000,475,1
1762435603,2025-11-06T13:26:43Z,LXP250,"-45.442383,-73.535614",34025,475,1
1762435637,2025-11-06T13:27:17Z,LXP250,"-45.368408,-73.53228",34025,475,1
1762435668,2025-11-06T13:27:48Z,LXP250,"-45.301285,-73.52935",34000,475,1
1762435699,2025-11-06T13:28:19Z,LXP250,"-45.233414,-73.52639",34000,475,1
1762435731,2025-11-06T13:28:51Z,LXP250,"-45.162701,-73.523056",34000,476,2
1762435762,2025-11-06T13:29:22Z,LXP250,"-45.093933,-73.515015",34000,476,5
1762435793,2025-11-06T13:29:53Z,LXP250,"-45.029373,-73.506775",34000,476,5
