Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762533380,2025-11-07T16:36:20Z,LXP268,"-41.414825,-73.093063",825,164,1
1762533387,2025-11-07T16:36:27Z,LXP268,"-41.409286,-73.092804",900,175,2
1762533394,2025-11-07T16:36:34Z,LXP268,"-41.403351,-73.092476",1000,186,2
1762533401,2025-11-07T16:36:41Z,LXP268,"-41.397263,-73.092102",1175,196,2
1762533408,2025-11-07T16:36:48Z,LXP268,"-41.390202,-73.091789",1300,205,1
1762533415,2025-11-07T16:36:55Z,LXP268,"-41.383076,-73.091545",1425,217,1
1762533423,2025-11-07T16:37:03Z,LXP268,"-41.374924,-73.091309",1575,231,1
1762533430,2025-11-07T16:37:10Z,LXP268,"-41.367016,-73.091103",1725,243,1
1762533446,2025-11-07T16:37:26Z,LXP268,"-41.360413,-73.090881",1925,252,1
1762533474,2025-11-07T16:37:54Z,LXP268,"-41.314499,-73.089478",3900,272,1
1762533480,2025-11-07T16:38:00Z,LXP268,"-41.306965,-73.089233",4200,276,1
1762533487,2025-11-07T16:38:07Z,LXP268,"-41.296864,-73.08886",4675,277,1
1762533494,2025-11-07T16:38:14Z,LXP268,"-41.288818,-73.088623",5100,275,1
1762533508,2025-11-07T16:38:28Z,LXP268,"-41.271652,-73.088013",6025,272,1
1762533521,2025-11-07T16:38:41Z,LXP268,"-41.253941,-73.086609",6925,271,6
1762533536,2025-11-07T16:38:56Z,LXP268,"-41.235928,-73.082863",7800,271,9
1762533549,2025-11-07T16:39:09Z,LXP268,"-41.220428,-73.079468",8600,269,9
1762533563,2025-11-07T16:39:23Z,LXP268,"-41.202164,-73.075378",9325,273,9
1762533577,2025-11-07T16:39:37Z,LXP268,"-41.184158,-73.071442",10100,274,9
1762533591,2025-11-07T16:39:51Z,LXP268,"-41.167309,-73.067886",10575,282,9
1762533604,2025-11-07T16:40:04Z,LXP268,"-41.149338,-73.064079",10900,298,9
1762533619,2025-11-07T16:40:19Z,LXP268,"-41.129135,-73.059769",11325,309,9
1762533632,2025-11-07T16:40:32Z,LXP268,"-41.109398,-73.055588",11950,314,9
