Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762228430,2025-11-04T03:53:50Z,TAM3227,"-1.389244,-48.478954",0,0,236
1762228481,2025-11-04T03:54:41Z,TAM3227,"-1.389119,-48.478748",0,0,233
1762228511,2025-11-04T03:55:11Z,TAM3227,"-1.388935,-48.478546",0,2,255
1762228534,2025-11-04T03:55:34Z,TAM3227,"-1.388839,-48.478333",0,2,303
1762228560,2025-11-04T03:56:00Z,TAM3227,"-1.388933,-48.47813",0,2,354
1762228782,2025-11-04T03:59:42Z,TAM3227,"-1.388729,-48.478081",0,7,5
1762228790,2025-11-04T03:59:50Z,TAM3227,"-1.388397,-48.47805",0,9,5
1762228798,2025-11-04T03:59:58Z,TAM3227,"-1.387997,-48.478024",0,12,5
1762228803,2025-11-04T04:00:03Z,TAM3227,"-1.387745,-48.478001",0,14,5
1762228807,2025-11-04T04:00:07Z,TAM3227,"-1.387408,-48.477966",0,13,5
1762228813,2025-11-04T04:00:13Z,TAM3227,"-1.387058,-48.477928",0,12,5
1762228820,2025-11-04T04:00:20Z,TAM3227,"-1.386733,-48.478001",0,10,343
1762228827,2025-11-04T04:00:27Z,TAM3227,"-1.3866,-48.478268",0,10,298
1762228833,2025-11-04T04:00:33Z,TAM3227,"-1.386593,-48.478512",0,9,275
1762228838,2025-11-04T04:00:38Z,TAM3227,"-1.3866,-48.478733",0,9,270
1762228843,2025-11-04T04:00:43Z,TAM3227,"-1.386605,-48.478951",0,9,270
1762228853,2025-11-04T04:00:53Z,TAM3227,"-1.386612,-48.479351",0,9,267
1762228860,2025-11-04T04:01:00Z,TAM3227,"-1.386623,-48.479675",0,10,267
1762228865,2025-11-04T04:01:05Z,TAM3227,"-1.386623,-48.479885",0,10,270
1762228872,2025-11-04T04:01:12Z,TAM3227,"-1.386628,-48.480217",0,10,270
1762228878,2025-11-04T04:01:18Z,TAM3227,"-1.386635,-48.480503",0,10,270
1762228883,2025-11-04T04:01:23Z,TAM3227,"-1.386635,-48.480759",0,11,267
1762228888,2025-11-04T04:01:28Z,TAM3227,"-1.386652,-48.480995",0,11,267
1762228892,2025-11-04T04:01:32Z,TAM3227,"-1.386652,-48.481247",0,12,267
1762228900,2025-11-04T04:01:40Z,TAM3227,"-1.386841,-48.481594",0,12,236
1762228908,2025-11-04T04:01:48Z,TAM3227,"-1.387164,-48.481895",0,11,222
1762228914,2025-11-04T04:01:54Z,TAM3227,"-1.38739,-48.482143",0,12,225
1762228919,2025-11-04T04:01:59Z,TAM3227,"-1.387596,-48.482342",0,13,225
1762228926,2025-11-04T04:02:06Z,TAM3227,"-1.387882,-48.482632",0,14,225
1762228931,2025-11-04T04:02:11Z,TAM3227,"-1.388083,-48.482868",0,13,230
1762228935,2025-11-04T04:02:15Z,TAM3227,"-1.38818,-48.48312",0,13,247
1762228941,2025-11-04T04:02:21Z,TAM3227,"-1.388271,-48.483444",0,15,255
1762228946,2025-11-04T04:02:26Z,TAM3227,"-1.388363,-48.483795",0,14,255
