Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762184202,2025-11-03T15:36:42Z,TAM3265,"-23.428904,-46.482277",0,0,264
1762184223,2025-11-03T15:37:03Z,TAM3265,"-23.428904,-46.482021",0,3,255
1762184238,2025-11-03T15:37:18Z,TAM3265,"-23.428881,-46.481808",0,3,216
1762184270,2025-11-03T15:37:50Z,TAM3265,"-23.428659,-46.481693",0,0,174
1762184289,2025-11-03T15:38:09Z,TAM3265,"-23.42845,-46.481716",0,2,177
1762184312,2025-11-03T15:38:32Z,TAM3265,"-23.42823,-46.481731",0,0,174
1762184340,2025-11-03T15:39:00Z,TAM3265,"-23.42803,-46.481743",0,1,174
1762184506,2025-11-03T15:41:46Z,TAM3265,"-23.428253,-46.48172",0,4,174
1762184514,2025-11-03T15:41:54Z,TAM3265,"-23.428493,-46.481693",0,6,174
1762184524,2025-11-03T15:42:04Z,TAM3265,"-23.428844,-46.481667",0,8,174
1762184530,2025-11-03T15:42:10Z,TAM3265,"-23.429077,-46.481602",0,9,163
1762184538,2025-11-03T15:42:18Z,TAM3265,"-23.429329,-46.481457",0,8,154
1762184543,2025-11-03T15:42:23Z,TAM3265,"-23.429546,-46.481396",0,9,165
1762184548,2025-11-03T15:42:28Z,TAM3265,"-23.429752,-46.481361",0,9,171
1762184554,2025-11-03T15:42:34Z,TAM3265,"-23.430056,-46.481335",0,11,174
1762184559,2025-11-03T15:42:39Z,TAM3265,"-23.430313,-46.481319",0,11,174
1762184563,2025-11-03T15:42:43Z,TAM3265,"-23.430544,-46.481285",0,11,174
1762184569,2025-11-03T15:42:49Z,TAM3265,"-23.43087,-46.481258",0,11,174
1762184574,2025-11-03T15:42:54Z,TAM3265,"-23.431126,-46.48122",0,11,171
1762184579,2025-11-03T15:42:59Z,TAM3265,"-23.431366,-46.481155",0,11,165
1762184584,2025-11-03T15:43:04Z,TAM3265,"-23.43158,-46.481083",0,11,160
1762184590,2025-11-03T15:43:10Z,TAM3265,"-23.431778,-46.480877",0,10,135
1762184595,2025-11-03T15:43:15Z,TAM3265,"-23.431824,-46.480637",0,9,98
1762184600,2025-11-03T15:43:20Z,TAM3265,"-23.431755,-46.480381",0,10,75
1762184605,2025-11-03T15:43:25Z,TAM3265,"-23.431684,-46.480141",0,11,73
1762184610,2025-11-03T15:43:30Z,TAM3265,"-23.431616,-46.479862",0,12,73
1762184614,2025-11-03T15:43:34Z,TAM3265,"-23.431538,-46.479595",0,12,73
1762184619,2025-11-03T15:43:39Z,TAM3265,"-23.431469,-46.479321",0,12,73
1762184626,2025-11-03T15:43:46Z,TAM3265,"-23.431355,-46.478909",0,12,73
1762184633,2025-11-03T15:43:53Z,TAM3265,"-23.431229,-46.478458",0,13,73
1762184640,2025-11-03T15:44:00Z,TAM3265,"-23.431126,-46.478046",0,13,73
1762184647,2025-11-03T15:44:07Z,TAM3265,"-23.430998,-46.477585",0,13,73
1762184654,2025-11-03T15:44:14Z,TAM3265,"-23.430874,-46.477112",0,14,73
1762184662,2025-11-03T15:44:22Z,TAM3265,"-23.430731,-46.476593",0,14,73
1762184668,2025-11-03T15:44:28Z,TAM3265,"-23.430614,-46.476162",0,14,73
