Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762242067,2025-11-04T07:41:07Z,TAM3455,"-3.77925,-38.537872",0,0,213
1762242088,2025-11-04T07:41:28Z,TAM3455,"-3.779045,-38.537781",0,3,236
1762242114,2025-11-04T07:41:54Z,TAM3455,"-3.778913,-38.537575",0,2,255
1762242139,2025-11-04T07:42:19Z,TAM3455,"-3.77882,-38.537365",0,0,281
1762242355,2025-11-04T07:45:55Z,TAM3455,"-3.778702,-38.537689",0,0,292
1762242364,2025-11-04T07:46:04Z,TAM3455,"-3.778564,-38.537899",0,8,309
1762242371,2025-11-04T07:46:11Z,TAM3455,"-3.778381,-38.538109",0,10,312
1762242377,2025-11-04T07:46:17Z,TAM3455,"-3.778164,-38.538353",0,11,312
1762242383,2025-11-04T07:46:23Z,TAM3455,"-3.777969,-38.538586",0,11,309
1762242389,2025-11-04T07:46:29Z,TAM3455,"-3.777761,-38.538818",0,12,312
1762242396,2025-11-04T07:46:36Z,TAM3455,"-3.777546,-38.539074",0,13,312
1762242401,2025-11-04T07:46:41Z,TAM3455,"-3.777353,-38.53928",0,13,309
1762242406,2025-11-04T07:46:46Z,TAM3455,"-3.777168,-38.539551",0,14,300
1762242409,2025-11-04T07:46:49Z,TAM3455,"-3.777086,-38.539757",0,15,289
1762242413,2025-11-04T07:46:53Z,TAM3455,"-3.77702,-38.540016",0,15,281
1762242416,2025-11-04T07:46:56Z,TAM3455,"-3.776962,-38.540249",0,16,284
1762242420,2025-11-04T07:47:00Z,TAM3455,"-3.776882,-38.540504",0,16,286
1762242424,2025-11-04T07:47:04Z,TAM3455,"-3.776802,-38.540783",0,17,284
1762242427,2025-11-04T07:47:07Z,TAM3455,"-3.776736,-38.541046",0,17,284
1762242430,2025-11-04T07:47:10Z,TAM3455,"-3.776688,-38.54126",0,18,284
1762242436,2025-11-04T07:47:16Z,TAM3455,"-3.776562,-38.541725",0,18,284
1762242443,2025-11-04T07:47:23Z,TAM3455,"-3.776424,-38.542217",0,15,284
1762242447,2025-11-04T07:47:27Z,TAM3455,"-3.776376,-38.542431",0,13,284
1762242451,2025-11-04T07:47:31Z,TAM3455,"-3.776299,-38.542694",0,14,284
1762242455,2025-11-04T07:47:35Z,TAM3455,"-3.776241,-38.542927",0,14,284
1762242459,2025-11-04T07:47:39Z,TAM3455,"-3.776178,-38.543129",0,13,284
1762242464,2025-11-04T07:47:44Z,TAM3455,"-3.77612,-38.543365",0,11,284
1762242470,2025-11-04T07:47:50Z,TAM3455,"-3.775957,-38.543613",0,11,315
1762242475,2025-11-04T07:47:55Z,TAM3455,"-3.775692,-38.543716",0,12,345
1762242480,2025-11-04T07:48:00Z,TAM3455,"-3.77548,-38.543755",0,11,351
1762242485,2025-11-04T07:48:05Z,TAM3455,"-3.775223,-38.543804",0,11,351
1762242490,2025-11-04T07:48:10Z,TAM3455,"-3.774991,-38.543888",0,10,329
