Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762185193,2025-11-03T15:53:13Z,TAM3831,"-7.215364,-39.272949",0,0,19
1762185242,2025-11-03T15:54:02Z,TAM3831,"-7.215569,-39.273052",0,0,5
1762185270,2025-11-03T15:54:30Z,TAM3831,"-7.215771,-39.273129",0,0,323
1762185306,2025-11-03T15:55:06Z,TAM3831,"-7.215981,-39.272999",0,0,281
1762185457,2025-11-03T15:57:37Z,TAM3831,"-7.215992,-39.273212",0,7,264
1762185466,2025-11-03T15:57:46Z,TAM3831,"-7.216109,-39.273422",0,7,244
1762185473,2025-11-03T15:57:53Z,TAM3831,"-7.216202,-39.273624",0,7,247
1762185481,2025-11-03T15:58:01Z,TAM3831,"-7.216301,-39.273853",0,8,244
1762185487,2025-11-03T15:58:07Z,TAM3831,"-7.216404,-39.274075",0,8,244
1762185494,2025-11-03T15:58:14Z,TAM3831,"-7.216505,-39.274311",0,10,244
1762185499,2025-11-03T15:58:19Z,TAM3831,"-7.21661,-39.274529",0,12,241
1762185503,2025-11-03T15:58:23Z,TAM3831,"-7.216737,-39.274773",0,14,241
1762185507,2025-11-03T15:58:27Z,TAM3831,"-7.216862,-39.27504",0,15,247
1762185510,2025-11-03T15:58:30Z,TAM3831,"-7.216908,-39.275249",0,15,264
1762185515,2025-11-03T15:58:35Z,TAM3831,"-7.216854,-39.275497",0,15,284
1762185519,2025-11-03T15:58:39Z,TAM3831,"-7.216761,-39.275734",0,14,292
1762185523,2025-11-03T15:58:43Z,TAM3831,"-7.216656,-39.275982",0,14,292
1762185527,2025-11-03T15:58:47Z,TAM3831,"-7.216564,-39.276226",0,14,292
1762185531,2025-11-03T15:58:51Z,TAM3831,"-7.21647,-39.276432",0,13,292
1762185538,2025-11-03T15:58:58Z,TAM3831,"-7.216319,-39.276775",0,13,292
1762185544,2025-11-03T15:59:04Z,TAM3831,"-7.216198,-39.277161",0,13,281
1762185549,2025-11-03T15:59:09Z,TAM3831,"-7.216249,-39.277378",0,11,255
1762185556,2025-11-03T15:59:16Z,TAM3831,"-7.216198,-39.277599",0,7,289
1762185570,2025-11-03T15:59:30Z,TAM3831,"-7.216027,-39.27739",0,5,47
