Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762690370,2025-11-09T12:12:50Z,ARE4057,"4.687122,-74.134918",0,0,216
1762691491,2025-11-09T12:31:31Z,ARE4057,"4.687333,-74.134781",0,4,233
1762691511,2025-11-09T12:31:51Z,ARE4057,"4.687534,-74.134506",0,4,275
1762691525,2025-11-09T12:32:05Z,ARE4057,"4.68752,-74.1343",0,3,306
1762691573,2025-11-09T12:32:53Z,ARE4057,"4.687764,-74.134628",0,0,309
1762691592,2025-11-09T12:33:12Z,ARE4057,"4.687927,-74.134842",0,3,306
1762691613,2025-11-09T12:33:33Z,ARE4057,"4.688118,-74.135078",0,3,309
1762691631,2025-11-09T12:33:51Z,ARE4057,"4.688267,-74.135292",0,3,306
1762691649,2025-11-09T12:34:09Z,ARE4057,"4.688427,-74.135506",0,3,306
1762691671,2025-11-09T12:34:31Z,ARE4057,"4.688625,-74.135765",0,3,306
1762691690,2025-11-09T12:34:50Z,ARE4057,"4.688793,-74.135986",0,3,306
1762691710,2025-11-09T12:35:10Z,ARE4057,"4.688965,-74.136208",0,2,306
1762692012,2025-11-09T12:40:12Z,ARE4057,"4.68916,-74.136467",0,0,306
1762692022,2025-11-09T12:40:22Z,ARE4057,"4.689335,-74.136688",0,7,306
1762692033,2025-11-09T12:40:33Z,ARE4057,"4.689651,-74.1371",0,11,306
1762692044,2025-11-09T12:40:44Z,ARE4057,"4.690029,-74.137619",0,14,306
1762692054,2025-11-09T12:40:54Z,ARE4057,"4.690453,-74.138176",0,15,306
1762692060,2025-11-09T12:41:00Z,ARE4057,"4.690708,-74.138512",0,14,306
1762692067,2025-11-09T12:41:07Z,ARE4057,"4.690956,-74.138863",0,13,300
1762692075,2025-11-09T12:41:15Z,ARE4057,"4.691046,-74.139351",0,14,278
1762692079,2025-11-09T12:41:19Z,ARE4057,"4.691069,-74.139565",0,14,278
1762692083,2025-11-09T12:41:23Z,ARE4057,"4.691092,-74.139816",0,14,278
1762692086,2025-11-09T12:41:26Z,ARE4057,"4.691162,-74.140038",0,13,289
1762692092,2025-11-09T12:41:32Z,ARE4057,"4.691345,-74.140289",0,12,306
1762692097,2025-11-09T12:41:37Z,ARE4057,"4.691535,-74.140533",0,13,306
1762692103,2025-11-09T12:41:43Z,ARE4057,"4.691769,-74.140839",0,14,306
1762692107,2025-11-09T12:41:47Z,ARE4057,"4.691952,-74.141075",0,15,306
1762692111,2025-11-09T12:41:51Z,ARE4057,"4.692105,-74.141281",0,16,306
1762692117,2025-11-09T12:41:57Z,ARE4057,"4.692408,-74.14167",0,17,306
1762692125,2025-11-09T12:42:05Z,ARE4057,"4.69281,-74.142212",0,19,306
1762692131,2025-11-09T12:42:11Z,ARE4057,"4.693188,-74.1427",0,21,306
1762692138,2025-11-09T12:42:18Z,ARE4057,"4.693508,-74.143143",0,21,306
1762692145,2025-11-09T12:42:25Z,ARE4057,"4.694048,-74.143852",0,21,306
1762692152,2025-11-09T12:42:32Z,ARE4057,"4.694421,-74.144325",0,18,306
1762692159,2025-11-09T12:42:39Z,ARE4057,"4.694756,-74.144775",0,17,306
1762692167,2025-11-09T12:42:47Z,ARE4057,"4.695166,-74.145317",0,19,306
1762692170,2025-11-09T12:42:50Z,ARE4057,"4.695352,-74.145554",0,20,306
1762692176,2025-11-09T12:42:56Z,ARE4057,"4.695701,-74.146019",0,21,306
1762692179,2025-11-09T12:42:59Z,ARE4057,"4.695876,-74.146255",0,20,309
1762692182,2025-11-09T12:43:02Z,ARE4057,"4.696074,-74.146515",0,19,306
1762692186,2025-11-09T12:43:06Z,ARE4057,"4.696271,-74.146774",0,19,306
1762692190,2025-11-09T12:43:10Z,ARE4057,"4.696472,-74.147041",0,19,306
1762692193,2025-11-09T12:43:13Z,ARE4057,"4.696678,-74.147308",0,20,306
1762692196,2025-11-09T12:43:16Z,ARE4057,"4.696842,-74.147537",0,20,306
1762692203,2025-11-09T12:43:23Z,ARE4057,"4.697295,-74.14814",0,22,306
1762692209,2025-11-09T12:43:29Z,ARE4057,"4.697651,-74.14859",0,23,306
1762692211,2025-11-09T12:43:31Z,ARE4057,"4.697807,-74.148804",0,24,306
1762692213,2025-11-09T12:43:33Z,ARE4057,"4.697971,-74.149025",0,24,306
1762692217,2025-11-09T12:43:37Z,ARE4057,"4.698238,-74.149368",0,25,306
1762692220,2025-11-09T12:43:40Z,ARE4057,"4.698459,-74.149651",0,26,306
1762692222,2025-11-09T12:43:42Z,ARE4057,"4.698612,-74.149872",0,26,306
1762692229,2025-11-09T12:43:49Z,ARE4057,"4.69915,-74.150566",0,26,306
1762692237,2025-11-09T12:43:57Z,ARE4057,"4.699677,-74.151276",0,23,306
1762692245,2025-11-09T12:44:05Z,ARE4057,"4.700146,-74.151894",0,19,306
1762692252,2025-11-09T12:44:12Z,ARE4057,"4.700484,-74.152351",0,16,306
1762692260,2025-11-09T12:44:20Z,ARE4057,"4.700775,-74.152733",0,13,306
1762692267,2025-11-09T12:44:27Z,ARE4057,"4.700981,-74.153",0,10,306
1762692273,2025-11-09T12:44:33Z,ARE4057,"4.701182,-74.153275",0,11,306
1762692281,2025-11-09T12:44:41Z,ARE4057,"4.70145,-74.153618",0,13,306
1762692289,2025-11-09T12:44:49Z,ARE4057,"4.701782,-74.15406",0,15,306
1762692296,2025-11-09T12:44:56Z,ARE4057,"4.70209,-74.154472",0,14,306
1762692304,2025-11-09T12:45:04Z,ARE4057,"4.702335,-74.154778",0,10,306
1762692313,2025-11-09T12:45:13Z,ARE4057,"4.702579,-74.155098",0,11,306
1762692321,2025-11-09T12:45:21Z,ARE4057,"4.702835,-74.155449",0,12,306
1762692328,2025-11-09T12:45:28Z,ARE4057,"4.703121,-74.155815",0,13,306
1762692335,2025-11-09T12:45:35Z,ARE4057,"4.703339,-74.15612",0,11,306
1762692342,2025-11-09T12:45:42Z,ARE4057,"4.703522,-74.156357",0,8,306
1762692350,2025-11-09T12:45:50Z,ARE4057,"4.703685,-74.156563",0,7,306
1762692358,2025-11-09T12:45:58Z,ARE4057,"4.703865,-74.156807",0,9,306
1762692366,2025-11-09T12:46:06Z,ARE4057,"4.704127,-74.157158",0,12,306
1762692372,2025-11-09T12:46:12Z,ARE4057,"4.704383,-74.157494",0,14,306
1762692379,2025-11-09T12:46:19Z,ARE4057,"4.704616,-74.157799",0,12,306
1762692386,2025-11-09T12:46:26Z,ARE4057,"4.704803,-74.158043",0,9,306
1762692395,2025-11-09T12:46:35Z,ARE4057,"4.704987,-74.158287",0,7,306
1762692403,2025-11-09T12:46:43Z,ARE4057,"4.705151,-74.158493",0,8,306
1762692409,2025-11-09T12:46:49Z,ARE4057,"4.705326,-74.15873",0,11,306
1762692417,2025-11-09T12:46:57Z,ARE4057,"4.705627,-74.159126",0,14,306
1762692425,2025-11-09T12:47:05Z,ARE4057,"4.705971,-74.159576",0,16,306
1762692433,2025-11-09T12:47:13Z,ARE4057,"4.706373,-74.160118",0,19,306
1762692439,2025-11-09T12:47:19Z,ARE4057,"4.706772,-74.160637",0,22,306
1762692446,2025-11-09T12:47:26Z,ARE4057,"4.707176,-74.161171",0,24,306
1762692453,2025-11-09T12:47:33Z,ARE4057,"4.707676,-74.161835",0,20,306
1762692461,2025-11-09T12:47:41Z,ARE4057,"4.708025,-74.162285",0,15,306
