Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762168951,2025-11-03T11:22:31Z,LAN434,"-33.402431,-70.787422",0,13,357
1762168965,2025-11-03T11:22:45Z,LAN434,"-33.401485,-70.787476",0,17,357
1762168974,2025-11-03T11:22:54Z,LAN434,"-33.400761,-70.787506",0,0,357
1762168982,2025-11-03T11:23:02Z,LAN434,"-33.400085,-70.787552",0,18,357
1762168989,2025-11-03T11:23:09Z,LAN434,"-33.399536,-70.787575",0,18,357
1762169002,2025-11-03T11:23:22Z,LAN434,"-33.39854,-70.787628",0,16,357
1762169015,2025-11-03T11:23:35Z,LAN434,"-33.397621,-70.787689",0,17,357
1762169027,2025-11-03T11:23:47Z,LAN434,"-33.396652,-70.787743",0,18,357
1762169036,2025-11-03T11:23:56Z,LAN434,"-33.39592,-70.787766",0,19,357
1762169045,2025-11-03T11:24:05Z,LAN434,"-33.395123,-70.787811",0,19,357
1762169053,2025-11-03T11:24:13Z,LAN434,"-33.394375,-70.787857",0,20,357
1762169060,2025-11-03T11:24:20Z,LAN434,"-33.393852,-70.78788",0,20,357
1762169088,2025-11-03T11:24:48Z,LAN434,"-33.391083,-70.78804",0,0,357
1762169096,2025-11-03T11:24:56Z,LAN434,"-33.390141,-70.788086",0,23,357
1762169104,2025-11-03T11:25:04Z,LAN434,"-33.389362,-70.788124",0,23,357
1762169114,2025-11-03T11:25:14Z,LAN434,"-33.388302,-70.788193",0,24,357
1762169129,2025-11-03T11:25:29Z,LAN434,"-33.386486,-70.788292",0,0,357
1762169141,2025-11-03T11:25:41Z,LAN434,"-33.385174,-70.788361",0,26,357
1762169150,2025-11-03T11:25:50Z,LAN434,"-33.384029,-70.788414",0,27,357
1762169160,2025-11-03T11:26:00Z,LAN434,"-33.382851,-70.788483",0,27,357
1762169169,2025-11-03T11:26:09Z,LAN434,"-33.381828,-70.788528",0,22,357
1762169178,2025-11-03T11:26:18Z,LAN434,"-33.381065,-70.788582",0,17,357
1762169186,2025-11-03T11:26:26Z,LAN434,"-33.380505,-70.788605",0,18,357
1762169192,2025-11-03T11:26:32Z,LAN434,"-33.379944,-70.788643",0,18,357
1762169201,2025-11-03T11:26:41Z,LAN434,"-33.379154,-70.788666",0,19,357
1762169209,2025-11-03T11:26:49Z,LAN434,"-33.378513,-70.788704",0,20,357
1762169220,2025-11-03T11:27:00Z,LAN434,"-33.377476,-70.788765",0,21,357
1762169228,2025-11-03T11:27:08Z,LAN434,"-33.376827,-70.788795",0,21,357
1762169236,2025-11-03T11:27:16Z,LAN434,"-33.376045,-70.788834",0,16,357
1762169240,2025-11-03T11:27:20Z,LAN434,"-33.375824,-70.78878",0,13,16
1762169245,2025-11-03T11:27:25Z,LAN434,"-33.375591,-70.788544",0,13,50
