Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762616909,2025-11-08T15:48:29Z,LAN455,"-33.397282,-70.788811",0,9,357
1762616917,2025-11-08T15:48:37Z,LAN455,"-33.396904,-70.788826",0,11,357
1762616929,2025-11-08T15:48:49Z,LAN455,"-33.396259,-70.788849",0,12,357
1762616938,2025-11-08T15:48:58Z,LAN455,"-33.395863,-70.788857",0,13,357
1762616953,2025-11-08T15:49:13Z,LAN455,"-33.394737,-70.788918",0,14,357
1762616961,2025-11-08T15:49:21Z,LAN455,"-33.394215,-70.788948",0,15,357
1762616968,2025-11-08T15:49:28Z,LAN455,"-33.393745,-70.788979",0,14,357
1762616973,2025-11-08T15:49:33Z,LAN455,"-33.393539,-70.789001",0,6,357
1762617242,2025-11-08T15:54:02Z,LAN455,"-33.384052,-70.799988",0,0,357
1762617250,2025-11-08T15:54:10Z,LAN455,"-33.38324,-70.800034",0,23,357
1762617259,2025-11-08T15:54:19Z,LAN455,"-33.382347,-70.800087",0,17,357
1762617265,2025-11-08T15:54:25Z,LAN455,"-33.382027,-70.800117",0,7,357
1762617274,2025-11-08T15:54:34Z,LAN455,"-33.381821,-70.800117",0,5,357
1762617281,2025-11-08T15:54:41Z,LAN455,"-33.381607,-70.800133",0,7,357
1762617288,2025-11-08T15:54:48Z,LAN455,"-33.381397,-70.80014",0,7,357
1762617295,2025-11-08T15:54:55Z,LAN455,"-33.381134,-70.800278",0,9,334
1762617301,2025-11-08T15:55:01Z,LAN455,"-33.380985,-70.800484",0,10,309
1762617306,2025-11-08T15:55:06Z,LAN455,"-33.380898,-70.800789",0,11,289
1762617310,2025-11-08T15:55:10Z,LAN455,"-33.380779,-70.801033",0,14,298
1762617315,2025-11-08T15:55:15Z,LAN455,"-33.380562,-70.801224",0,13,329
1762617319,2025-11-08T15:55:19Z,LAN455,"-33.380344,-70.801239",0,13,351
1762617323,2025-11-08T15:55:23Z,LAN455,"-33.380138,-70.801254",0,9,357
1762617330,2025-11-08T15:55:30Z,LAN455,"-33.37991,-70.80127",0,7,357
1762617337,2025-11-08T15:55:37Z,LAN455,"-33.379681,-70.801285",0,7,357
1762617344,2025-11-08T15:55:44Z,LAN455,"-33.379444,-70.801292",0,8,357
1762617350,2025-11-08T15:55:50Z,LAN455,"-33.379223,-70.801308",0,8,357
1762617358,2025-11-08T15:55:58Z,LAN455,"-33.378925,-70.801323",0,8,357
1762617365,2025-11-08T15:56:05Z,LAN455,"-33.378616,-70.801338",0,9,357
1762617372,2025-11-08T15:56:12Z,LAN455,"-33.378338,-70.801346",0,9,357
1762617380,2025-11-08T15:56:20Z,LAN455,"-33.378002,-70.801361",0,9,357
1762617387,2025-11-08T15:56:27Z,LAN455,"-33.377712,-70.801376",0,10,357
1762617394,2025-11-08T15:56:34Z,LAN455,"-33.377369,-70.801392",0,10,357
1762617401,2025-11-08T15:56:41Z,LAN455,"-33.377033,-70.801422",0,10,357
1762617407,2025-11-08T15:56:47Z,LAN455,"-33.376751,-70.80143",0,11,357
1762617415,2025-11-08T15:56:55Z,LAN455,"-33.376316,-70.80146",0,12,357
1762617422,2025-11-08T15:57:02Z,LAN455,"-33.375927,-70.801476",0,13,357
1762617429,2025-11-08T15:57:09Z,LAN455,"-33.375515,-70.801498",0,10,354
1762617438,2025-11-08T15:57:18Z,LAN455,"-33.375298,-70.801514",0,3,357
1762617448,2025-11-08T15:57:28Z,LAN455,"-33.375092,-70.801529",0,5,357
1762617455,2025-11-08T15:57:35Z,LAN455,"-33.374863,-70.801544",0,7,357
1762617463,2025-11-08T15:57:43Z,LAN455,"-33.374599,-70.801559",0,8,357
1762617469,2025-11-08T15:57:49Z,LAN455,"-33.374325,-70.801567",0,10,357
1762617478,2025-11-08T15:57:58Z,LAN455,"-33.373878,-70.801598",0,12,357
1762617485,2025-11-08T15:58:05Z,LAN455,"-33.373432,-70.801613",0,13,357
1762617491,2025-11-08T15:58:11Z,LAN455,"-33.37302,-70.801628",0,15,357
1762617500,2025-11-08T15:58:20Z,LAN455,"-33.372414,-70.801666",0,14,357
1762617509,2025-11-08T15:58:29Z,LAN455,"-33.372139,-70.801682",0,3,354
1762617517,2025-11-08T15:58:37Z,LAN455,"-33.371925,-70.801697",0,6,357
1762617524,2025-11-08T15:58:44Z,LAN455,"-33.371658,-70.801735",0,8,351
1762617532,2025-11-08T15:58:52Z,LAN455,"-33.371384,-70.80191",0,10,329
1762617546,2025-11-08T15:59:06Z,LAN455,"-33.371201,-70.802177",0,2,309
1762617773,2025-11-08T16:02:53Z,LAN455,"-33.37109,-70.802429",0,0,295
1762617780,2025-11-08T16:03:00Z,LAN455,"-33.371063,-70.80265",0,6,281
1762617786,2025-11-08T16:03:06Z,LAN455,"-33.371063,-70.802864",0,7,270
1762617791,2025-11-08T16:03:11Z,LAN455,"-33.371098,-70.803108",0,9,261
1762617796,2025-11-08T16:03:16Z,LAN455,"-33.371181,-70.803337",0,10,247
1762617811,2025-11-08T16:03:31Z,LAN455,"-33.371544,-70.803757",0,7,222
1762617823,2025-11-08T16:03:43Z,LAN455,"-33.37175,-70.803741",0,1,177
1762617875,2025-11-08T16:04:35Z,LAN455,"-33.372787,-70.803688",0,0,177
1762617883,2025-11-08T16:04:43Z,LAN455,"-33.374916,-70.803581",0,70,180
1762617895,2025-11-08T16:04:55Z,LAN455,"-33.380539,-70.803261",1600,118,177
1762617903,2025-11-08T16:05:03Z,LAN455,"-33.385208,-70.80304",1600,135,177
1762617917,2025-11-08T16:05:17Z,LAN455,"-33.395874,-70.802322",1800,167,176
1762617926,2025-11-08T16:05:26Z,LAN455,"-33.40258,-70.801727",2125,162,176
1762617935,2025-11-08T16:05:35Z,LAN455,"-33.409698,-70.801224",2375,171,176
1762617943,2025-11-08T16:05:43Z,LAN455,"-33.416702,-70.800735",2575,180,177
1762617950,2025-11-08T16:05:50Z,LAN455,"-33.422459,-70.800438",2675,188,177
1762617958,2025-11-08T16:05:58Z,LAN455,"-33.429977,-70.799965",2775,202,176
1762617965,2025-11-08T16:06:05Z,LAN455,"-33.436295,-70.799576",2875,209,176
1762617971,2025-11-08T16:06:11Z,LAN455,"-33.442474,-70.799194",2900,222,177
1762617973,2025-11-08T16:06:13Z,LAN455,"-33.445221,-70.799095",2950,227,178
1762617976,2025-11-08T16:06:16Z,LAN455,"-33.447224,-70.799034",3000,232,178
1762617978,2025-11-08T16:06:18Z,LAN455,"-33.449707,-70.798973",3050,235,178
1762617980,2025-11-08T16:06:20Z,LAN455,"-33.452625,-70.798866",3100,238,178
1762617982,2025-11-08T16:06:22Z,LAN455,"-33.454861,-70.798759",3150,241,178
1762617991,2025-11-08T16:06:31Z,LAN455,"-33.464401,-70.798538",3325,254,178
1762617998,2025-11-08T16:06:38Z,LAN455,"-33.472778,-70.798317",3575,260,178
1762618005,2025-11-08T16:06:45Z,LAN455,"-33.48111,-70.798042",3925,261,178
1762618013,2025-11-08T16:06:53Z,LAN455,"-33.491123,-70.797691",4450,260,178
1762618022,2025-11-08T16:07:02Z,LAN455,"-33.501846,-70.797272",4875,265,177
1762618028,2025-11-08T16:07:08Z,LAN455,"-33.509766,-70.796829",5150,269,177
1762618042,2025-11-08T16:07:22Z,LAN455,"-33.527294,-70.795784",5825,273,177
1762618055,2025-11-08T16:07:35Z,LAN455,"-33.54438,-70.794586",6475,277,176
