Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762172219,2025-11-03T12:16:59Z,ARE4909,"-12.024862,-77.117912",0,0,244
1762172268,2025-11-03T12:17:48Z,ARE4909,"-12.024696,-77.11763",0,0,255
1762172292,2025-11-03T12:18:12Z,ARE4909,"-12.02463,-77.117424",0,0,306
1762172322,2025-11-03T12:18:42Z,ARE4909,"-12.024788,-77.117218",0,0,331
1762172661,2025-11-03T12:24:21Z,ARE4909,"-12.024559,-77.117325",0,6,334
1762172668,2025-11-03T12:24:28Z,ARE4909,"-12.024315,-77.117432",0,8,337
1762172675,2025-11-03T12:24:35Z,ARE4909,"-12.024105,-77.117455",0,8,357
1762172681,2025-11-03T12:24:41Z,ARE4909,"-12.023895,-77.117264",0,8,45
1762172688,2025-11-03T12:24:48Z,ARE4909,"-12.023792,-77.117035",0,9,64
1762172693,2025-11-03T12:24:53Z,ARE4909,"-12.023689,-77.116829",0,9,64
1762172706,2025-11-03T12:25:06Z,ARE4909,"-12.023369,-77.116302",0,9,45
1762172712,2025-11-03T12:25:12Z,ARE4909,"-12.023117,-77.116272",0,9,8
1762172718,2025-11-03T12:25:18Z,ARE4909,"-12.0229,-77.116348",0,10,340
1762172722,2025-11-03T12:25:22Z,ARE4909,"-12.022697,-77.116455",0,11,334
1762172729,2025-11-03T12:25:29Z,ARE4909,"-12.022373,-77.116615",0,12,334
1762172733,2025-11-03T12:25:33Z,ARE4909,"-12.022133,-77.11673",0,12,334
1762172738,2025-11-03T12:25:38Z,ARE4909,"-12.021871,-77.116859",0,13,334
1762172742,2025-11-03T12:25:42Z,ARE4909,"-12.021618,-77.116982",0,14,334
1762172749,2025-11-03T12:25:49Z,ARE4909,"-12.021194,-77.117195",0,15,334
1762172763,2025-11-03T12:26:03Z,ARE4909,"-12.020359,-77.117607",0,12,334
1762172774,2025-11-03T12:26:14Z,ARE4909,"-12.020114,-77.117722",0,2,334
1762172838,2025-11-03T12:27:18Z,ARE4909,"-12.019855,-77.117859",0,6,334
1762172845,2025-11-03T12:27:25Z,ARE4909,"-12.019615,-77.117966",0,9,334
1762172852,2025-11-03T12:27:32Z,ARE4909,"-12.019295,-77.118126",0,11,334
1762172859,2025-11-03T12:27:39Z,ARE4909,"-12.01894,-77.118294",0,14,334
1762172863,2025-11-03T12:27:43Z,ARE4909,"-12.018688,-77.118446",0,13,329
1762172868,2025-11-03T12:27:48Z,ARE4909,"-12.018531,-77.118713",0,13,292
1762172872,2025-11-03T12:27:52Z,ARE4909,"-12.018589,-77.118973",0,13,253
1762172876,2025-11-03T12:27:56Z,ARE4909,"-12.018717,-77.119194",0,13,241
1762172881,2025-11-03T12:28:01Z,ARE4909,"-12.018833,-77.119408",0,13,241
1762172888,2025-11-03T12:28:08Z,ARE4909,"-12.018996,-77.119774",0,13,244
1762172891,2025-11-03T12:28:11Z,ARE4909,"-12.019123,-77.120033",0,13,244
1762172901,2025-11-03T12:28:21Z,ARE4909,"-12.019403,-77.120613",0,13,244
1762172905,2025-11-03T12:28:25Z,ARE4909,"-12.019512,-77.120842",0,13,244
1762172912,2025-11-03T12:28:32Z,ARE4909,"-12.019694,-77.121231",0,14,244
1762172920,2025-11-03T12:28:40Z,ARE4909,"-12.019901,-77.121658",0,15,244
1762172929,2025-11-03T12:28:49Z,ARE4909,"-12.020233,-77.122353",0,16,244
1762172936,2025-11-03T12:28:56Z,ARE4909,"-12.020463,-77.122856",0,17,244
1762172942,2025-11-03T12:29:02Z,ARE4909,"-12.020672,-77.123276",0,18,244
1762172944,2025-11-03T12:29:04Z,ARE4909,"-12.020789,-77.123505",0,18,244
1762172947,2025-11-03T12:29:07Z,ARE4909,"-12.020905,-77.123756",0,19,244
1762172950,2025-11-03T12:29:10Z,ARE4909,"-12.021,-77.123978",0,19,244
1762172953,2025-11-03T12:29:13Z,ARE4909,"-12.021126,-77.124222",0,17,244
1762172958,2025-11-03T12:29:18Z,ARE4909,"-12.021255,-77.124527",0,13,253
1762172962,2025-11-03T12:29:22Z,ARE4909,"-12.021196,-77.124756",0,14,286
1762172967,2025-11-03T12:29:27Z,ARE4909,"-12.02094,-77.124962",0,14,326
1762172971,2025-11-03T12:29:31Z,ARE4909,"-12.020707,-77.125069",0,14,331
1762172976,2025-11-03T12:29:36Z,ARE4909,"-12.020416,-77.125229",0,15,331
1762172980,2025-11-03T12:29:40Z,ARE4909,"-12.020176,-77.125351",0,15,334
1762172983,2025-11-03T12:29:43Z,ARE4909,"-12.019916,-77.125465",0,15,334
1762172991,2025-11-03T12:29:51Z,ARE4909,"-12.019421,-77.125717",0,17,334
1762172998,2025-11-03T12:29:58Z,ARE4909,"-12.018848,-77.125992",0,19,334
1762173005,2025-11-03T12:30:05Z,ARE4909,"-12.018288,-77.126274",0,20,334
1762173012,2025-11-03T12:30:12Z,ARE4909,"-12.017623,-77.126602",0,20,334
1762173019,2025-11-03T12:30:19Z,ARE4909,"-12.017132,-77.126839",0,17,334
1762173027,2025-11-03T12:30:27Z,ARE4909,"-12.016587,-77.127106",0,16,334
1762173036,2025-11-03T12:30:36Z,ARE4909,"-12.015901,-77.127441",0,17,334
1762173044,2025-11-03T12:30:44Z,ARE4909,"-12.015342,-77.127724",0,17,334
1762173051,2025-11-03T12:30:51Z,ARE4909,"-12.014912,-77.127937",0,15,334
1762173059,2025-11-03T12:30:59Z,ARE4909,"-12.0144,-77.128189",0,15,334
1762173066,2025-11-03T12:31:06Z,ARE4909,"-12.014015,-77.128372",0,12,334
1762173074,2025-11-03T12:31:14Z,ARE4909,"-12.013655,-77.128555",0,12,334
1762173082,2025-11-03T12:31:22Z,ARE4909,"-12.013259,-77.128746",0,12,334
1762173089,2025-11-03T12:31:29Z,ARE4909,"-12.012875,-77.128937",0,13,331
1762173094,2025-11-03T12:31:34Z,ARE4909,"-12.012666,-77.129044",0,10,334
