Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762730797,2025-11-09T23:26:37Z,LAN533,"40.643784,-73.779404",0,0,253
1762730860,2025-11-09T23:27:40Z,LAN533,"40.643921,-73.77919",0,4,255
1762730870,2025-11-09T23:27:50Z,LAN533,"40.644024,-73.778961",0,4,267
1762730879,2025-11-09T23:27:59Z,LAN533,"40.644085,-73.778717",0,5,272
1762730887,2025-11-09T23:28:07Z,LAN533,"40.644127,-73.778473",0,4,278
1762730896,2025-11-09T23:28:16Z,LAN533,"40.64415,-73.778244",0,4,289
1762730909,2025-11-09T23:28:29Z,LAN533,"40.644127,-73.777908",0,5,303
1762730916,2025-11-09T23:28:36Z,LAN533,"40.64407,-73.777695",0,5,312
1762730927,2025-11-09T23:28:47Z,LAN533,"40.643944,-73.777451",0,5,309
1762730936,2025-11-09T23:28:56Z,LAN533,"40.643875,-73.777222",0,4,312
1762731088,2025-11-09T23:31:28Z,LAN533,"40.643795,-73.776978",0,0,337
1762731106,2025-11-09T23:31:46Z,LAN533,"40.643589,-73.776825",0,3,348
1762731124,2025-11-09T23:32:04Z,LAN533,"40.643383,-73.776672",0,3,345
1762731135,2025-11-09T23:32:15Z,LAN533,"40.643177,-73.77655",0,5,340
1762731146,2025-11-09T23:32:26Z,LAN533,"40.642967,-73.77636",0,5,348
1762731156,2025-11-09T23:32:36Z,LAN533,"40.642765,-73.776245",0,5,340
1762731166,2025-11-09T23:32:46Z,LAN533,"40.642559,-73.776077",0,5,343
1762731176,2025-11-09T23:32:56Z,LAN533,"40.642353,-73.77594",0,5,343
1762731186,2025-11-09T23:33:06Z,LAN533,"40.642151,-73.775787",0,5,348
1762731196,2025-11-09T23:33:16Z,LAN533,"40.641941,-73.775673",0,5,340
1762731207,2025-11-09T23:33:27Z,LAN533,"40.641731,-73.77549",0,5,343
1762731219,2025-11-09T23:33:39Z,LAN533,"40.641495,-73.775284",0,5,348
1762731230,2025-11-09T23:33:50Z,LAN533,"40.641293,-73.775162",0,5,2
1762731240,2025-11-09T23:34:00Z,LAN533,"40.641056,-73.775101",0,5,16
1762731251,2025-11-09T23:34:11Z,LAN533,"40.640842,-73.775085",0,4,47
1762731266,2025-11-09T23:34:26Z,LAN533,"40.640629,-73.775284",0,4,42
1762731767,2025-11-09T23:42:47Z,LAN533,"40.640865,-73.77507",0,3,45
1762731774,2025-11-09T23:42:54Z,LAN533,"40.640942,-73.774864",0,5,73
1762731782,2025-11-09T23:43:02Z,LAN533,"40.640877,-73.774643",0,4,109
1762731793,2025-11-09T23:43:13Z,LAN533,"40.640751,-73.774429",0,5,135
1762731800,2025-11-09T23:43:20Z,LAN533,"40.640625,-73.774185",0,7,137
1762731807,2025-11-09T23:43:27Z,LAN533,"40.640488,-73.773956",0,6,137
1762731815,2025-11-09T23:43:35Z,LAN533,"40.640362,-73.773727",0,6,140
1762731822,2025-11-09T23:43:42Z,LAN533,"40.640224,-73.773499",0,7,140
