Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761879265,2025-10-31T02:54:25Z,LAN602,"-33.398151,-70.789749",0,2,112
1761879291,2025-10-31T02:54:51Z,LAN602,"-33.398048,-70.790009",0,0,90
1761879321,2025-10-31T02:55:21Z,LAN602,"-33.398037,-70.790352",0,0,84
1761879600,2025-10-31T03:00:00Z,LAN602,"-33.398029,-70.790085",0,0,84
1761879610,2025-10-31T03:00:10Z,LAN602,"-33.398014,-70.789871",0,4,84
1761879617,2025-10-31T03:00:17Z,LAN602,"-33.398014,-70.789665",0,5,84
1761879625,2025-10-31T03:00:25Z,LAN602,"-33.398003,-70.789406",0,7,84
1761879632,2025-10-31T03:00:32Z,LAN602,"-33.397961,-70.789078",0,9,75
1761879637,2025-10-31T03:00:37Z,LAN602,"-33.397808,-70.788864",0,10,50
1761879643,2025-10-31T03:00:43Z,LAN602,"-33.397545,-70.788773",0,10,14
1761879647,2025-10-31T03:00:47Z,LAN602,"-33.397339,-70.788773",0,10,357
1761879652,2025-10-31T03:00:52Z,LAN602,"-33.397121,-70.78878",0,10,357
1761879657,2025-10-31T03:00:57Z,LAN602,"-33.396858,-70.788788",0,11,354
1761879661,2025-10-31T03:01:01Z,LAN602,"-33.396633,-70.788811",0,11,354
1761879667,2025-10-31T03:01:07Z,LAN602,"-33.396366,-70.788811",0,11,354
1761879677,2025-10-31T03:01:17Z,LAN602,"-33.395809,-70.788849",0,11,354
1761879695,2025-10-31T03:01:35Z,LAN602,"-33.394886,-70.788895",0,0,354
1761879702,2025-10-31T03:01:42Z,LAN602,"-33.394512,-70.788925",0,11,354
1761879709,2025-10-31T03:01:49Z,LAN602,"-33.394165,-70.788933",0,12,354
1761879716,2025-10-31T03:01:56Z,LAN602,"-33.393757,-70.788963",0,12,354
1761879728,2025-10-31T03:02:08Z,LAN602,"-33.393093,-70.788994",0,12,354
1761879735,2025-10-31T03:02:15Z,LAN602,"-33.392723,-70.789017",0,12,354
1761879743,2025-10-31T03:02:23Z,LAN602,"-33.392258,-70.789047",0,13,354
1761879750,2025-10-31T03:02:30Z,LAN602,"-33.3918,-70.78907",0,13,354
1761879757,2025-10-31T03:02:37Z,LAN602,"-33.391365,-70.789085",0,14,354
1761879765,2025-10-31T03:02:45Z,LAN602,"-33.39085,-70.789116",0,14,354
1761879771,2025-10-31T03:02:51Z,LAN602,"-33.390453,-70.789146",0,14,354
1761879800,2025-10-31T03:03:20Z,LAN602,"-33.38855,-70.789238",0,0,354
1761879809,2025-10-31T03:03:29Z,LAN602,"-33.388023,-70.789268",0,13,354
1761879817,2025-10-31T03:03:37Z,LAN602,"-33.38752,-70.789299",0,14,354
1761879824,2025-10-31T03:03:44Z,LAN602,"-33.387039,-70.789322",0,14,354
1761879832,2025-10-31T03:03:52Z,LAN602,"-33.386559,-70.789345",0,14,354
1761879839,2025-10-31T03:03:59Z,LAN602,"-33.386078,-70.789368",0,14,354
1761879857,2025-10-31T03:04:17Z,LAN602,"-33.385036,-70.789429",0,0,354
1761879873,2025-10-31T03:04:33Z,LAN602,"-33.384041,-70.789482",0,0,354
1761879883,2025-10-31T03:04:43Z,LAN602,"-33.383526,-70.789497",0,11,357
1761879891,2025-10-31T03:04:51Z,LAN602,"-33.383274,-70.789268",0,8,42
1761879897,2025-10-31T03:04:57Z,LAN602,"-33.38324,-70.789047",0,7,67
1761879917,2025-10-31T03:05:17Z,LAN602,"-33.382977,-70.788551",0,0,39
1761879924,2025-10-31T03:05:24Z,LAN602,"-33.382771,-70.788513",0,7,11
1761879930,2025-10-31T03:05:30Z,LAN602,"-33.382565,-70.788513",0,8,357
1761879936,2025-10-31T03:05:36Z,LAN602,"-33.382313,-70.788521",0,8,354
1761879943,2025-10-31T03:05:43Z,LAN602,"-33.382061,-70.788528",0,9,354
1761879949,2025-10-31T03:05:49Z,LAN602,"-33.381817,-70.788544",0,9,354
1761879956,2025-10-31T03:05:56Z,LAN602,"-33.381512,-70.788551",0,9,354
1761879963,2025-10-31T03:06:03Z,LAN602,"-33.38118,-70.788582",0,10,354
1761879972,2025-10-31T03:06:12Z,LAN602,"-33.380756,-70.788589",0,10,354
1761879983,2025-10-31T03:06:23Z,LAN602,"-33.380241,-70.78862",0,10,354
1761879990,2025-10-31T03:06:30Z,LAN602,"-33.379967,-70.788651",0,9,354
1761879997,2025-10-31T03:06:37Z,LAN602,"-33.379631,-70.788666",0,10,354
1761880004,2025-10-31T03:06:44Z,LAN602,"-33.379353,-70.788681",0,9,354
1761880011,2025-10-31T03:06:51Z,LAN602,"-33.379082,-70.788696",0,8,354
1761880019,2025-10-31T03:06:59Z,LAN602,"-33.378757,-70.788712",0,9,354
1761880046,2025-10-31T03:07:26Z,LAN602,"-33.377541,-70.788773",0,0,354
1761880053,2025-10-31T03:07:33Z,LAN602,"-33.377209,-70.788795",0,10,354
1761880063,2025-10-31T03:07:43Z,LAN602,"-33.376709,-70.788818",0,11,354
1761880071,2025-10-31T03:07:51Z,LAN602,"-33.376266,-70.788834",0,12,354
1761880076,2025-10-31T03:07:56Z,LAN602,"-33.375973,-70.788811",0,13,2
1761880082,2025-10-31T03:08:02Z,LAN602,"-33.375687,-70.788635",0,11,28
1761880087,2025-10-31T03:08:07Z,LAN602,"-33.375557,-70.788391",0,11,53
1761880091,2025-10-31T03:08:11Z,LAN602,"-33.375511,-70.788094",0,11,75
1761880103,2025-10-31T03:08:23Z,LAN602,"-33.375492,-70.787468",0,9,84
1761880113,2025-10-31T03:08:33Z,LAN602,"-33.375515,-70.78701",0,7,95
1761880124,2025-10-31T03:08:44Z,LAN602,"-33.375755,-70.786751",0,0,137
1761880136,2025-10-31T03:08:56Z,LAN602,"-33.376419,-70.78669",0,21,174
1761880139,2025-10-31T03:08:59Z,LAN602,"-33.376774,-70.786667",0,33,174
1761880142,2025-10-31T03:09:02Z,LAN602,"-33.377472,-70.786629",0,46,174
1761880152,2025-10-31T03:09:12Z,LAN602,"-33.380375,-70.786469",0,0,174
1761880154,2025-10-31T03:09:14Z,LAN602,"-33.381306,-70.786423",1450,60,174
1761880162,2025-10-31T03:09:22Z,LAN602,"-33.385757,-70.786179",1450,120,177
1761880171,2025-10-31T03:09:31Z,LAN602,"-33.38887,-70.786011",1450,140,177
1761880183,2025-10-31T03:09:43Z,LAN602,"-33.40044,-70.785362",1475,182,177
1761880192,2025-10-31T03:09:52Z,LAN602,"-33.408279,-70.784966",1725,185,177
1761880199,2025-10-31T03:09:59Z,LAN602,"-33.414032,-70.78463",1950,186,177
1761880205,2025-10-31T03:10:05Z,LAN602,"-33.420132,-70.784294",2175,189,176
1761880212,2025-10-31T03:10:12Z,LAN602,"-33.42572,-70.78392",2375,192,176
1761880219,2025-10-31T03:10:19Z,LAN602,"-33.431808,-70.783592",2600,195,177
1761880228,2025-10-31T03:10:28Z,LAN602,"-33.440426,-70.783234",2750,204,178
1761880235,2025-10-31T03:10:35Z,LAN602,"-33.446854,-70.783066",2850,213,179
1761880239,2025-10-31T03:10:39Z,LAN602,"-33.451584,-70.783264",2900,218,182
1761880241,2025-10-31T03:10:41Z,LAN602,"-33.453743,-70.783455",2925,220,184
1761880243,2025-10-31T03:10:43Z,LAN602,"-33.455887,-70.783813",2950,223,187
1761880246,2025-10-31T03:10:46Z,LAN602,"-33.458488,-70.784294",2975,226,189
1761880248,2025-10-31T03:10:48Z,LAN602,"-33.460052,-70.784637",3000,228,191
1761880250,2025-10-31T03:10:50Z,LAN602,"-33.462631,-70.785362",3050,230,193
1761880252,2025-10-31T03:10:52Z,LAN602,"-33.465145,-70.786148",3100,232,195
1761880254,2025-10-31T03:10:54Z,LAN602,"-33.467514,-70.787003",3150,234,196
1761880256,2025-10-31T03:10:56Z,LAN602,"-33.469707,-70.78788",3200,234,198
1761880259,2025-10-31T03:10:59Z,LAN602,"-33.472176,-70.788948",3300,235,200
1761880261,2025-10-31T03:11:01Z,LAN602,"-33.474598,-70.790184",3350,237,203
1761880263,2025-10-31T03:11:03Z,LAN602,"-33.476646,-70.791306",3375,240,204
1761880266,2025-10-31T03:11:06Z,LAN602,"-33.478958,-70.792656",3425,243,206
1761880268,2025-10-31T03:11:08Z,LAN602,"-33.481567,-70.794357",3475,245,208
1761880270,2025-10-31T03:11:10Z,LAN602,"-33.483536,-70.795731",3500,248,211
1761880273,2025-10-31T03:11:13Z,LAN602,"-33.486004,-70.797577",3550,250,212
1761880275,2025-10-31T03:11:15Z,LAN602,"-33.488285,-70.799545",3600,252,214
1761880277,2025-10-31T03:11:17Z,LAN602,"-33.490192,-70.801224",3650,255,217
1761880279,2025-10-31T03:11:19Z,LAN602,"-33.492142,-70.803093",3700,256,218
1761880281,2025-10-31T03:11:21Z,LAN602,"-33.493927,-70.804962",3750,258,220
1761880283,2025-10-31T03:11:23Z,LAN602,"-33.495964,-70.80722",3800,259,223
1761880286,2025-10-31T03:11:26Z,LAN602,"-33.497772,-70.80941",3875,261,225
1761880288,2025-10-31T03:11:28Z,LAN602,"-33.499557,-70.811775",3950,262,228
1761880290,2025-10-31T03:11:30Z,LAN602,"-33.501083,-70.813889",4000,263,229
1761880292,2025-10-31T03:11:32Z,LAN602,"-33.502949,-70.816635",4100,265,232
1761880295,2025-10-31T03:11:35Z,LAN602,"-33.504593,-70.819351",4175,265,234
1761880297,2025-10-31T03:11:37Z,LAN602,"-33.506287,-70.822319",4250,267,236
1761880299,2025-10-31T03:11:39Z,LAN602,"-33.507568,-70.824791",4325,267,238
1761880301,2025-10-31T03:11:41Z,LAN602,"-33.508999,-70.827789",4425,268,240
1761880304,2025-10-31T03:11:44Z,LAN602,"-33.510452,-70.831055",4525,268,242
1761880306,2025-10-31T03:11:46Z,LAN602,"-33.511505,-70.833801",4600,269,244
1761880308,2025-10-31T03:11:48Z,LAN602,"-33.51263,-70.836929",4700,270,247
1761880310,2025-10-31T03:11:50Z,LAN602,"-33.513748,-70.840294",4775,271,249
1761880313,2025-10-31T03:11:53Z,LAN602,"-33.514679,-70.843765",4875,271,251
1761880315,2025-10-31T03:11:55Z,LAN602,"-33.515396,-70.846489",4950,273,253
1761880317,2025-10-31T03:11:57Z,LAN602,"-33.516174,-70.850334",5050,273,255
1761880320,2025-10-31T03:12:00Z,LAN602,"-33.516819,-70.854027",5150,274,258
1761880322,2025-10-31T03:12:02Z,LAN602,"-33.517319,-70.857803",5250,276,260
1761880324,2025-10-31T03:12:04Z,LAN602,"-33.517639,-70.86116",5325,275,263
1761880326,2025-10-31T03:12:06Z,LAN602,"-33.517845,-70.864342",5400,276,265
1761880329,2025-10-31T03:12:09Z,LAN602,"-33.51796,-70.867256",5475,277,267
1761880331,2025-10-31T03:12:11Z,LAN602,"-33.517982,-70.871063",5550,277,269
1761880333,2025-10-31T03:12:13Z,LAN602,"-33.517845,-70.874481",5650,278,273
1761880335,2025-10-31T03:12:15Z,LAN602,"-33.517612,-70.878181",5725,278,275
1761880338,2025-10-31T03:12:18Z,LAN602,"-33.517284,-70.88121",5800,278,277
1761880340,2025-10-31T03:12:20Z,LAN602,"-33.516724,-70.885056",5925,278,279
1761880342,2025-10-31T03:12:22Z,LAN602,"-33.516167,-70.888214",6000,278,281
1761880345,2025-10-31T03:12:25Z,LAN602,"-33.515423,-70.891808",6100,278,284
1761880347,2025-10-31T03:12:27Z,LAN602,"-33.514389,-70.895767",6200,279,286
1761880350,2025-10-31T03:12:30Z,LAN602,"-33.513329,-70.899429",6300,278,289
1761880352,2025-10-31T03:12:32Z,LAN602,"-33.512398,-70.902283",6375,279,291
1761880354,2025-10-31T03:12:34Z,LAN602,"-33.511421,-70.904861",6450,280,293
1761880356,2025-10-31T03:12:36Z,LAN602,"-33.509975,-70.908455",6550,279,295
1761880358,2025-10-31T03:12:38Z,LAN602,"-33.50853,-70.911583",6650,279,298
1761880360,2025-10-31T03:12:40Z,LAN602,"-33.507278,-70.914116",6725,279,300
1761880363,2025-10-31T03:12:43Z,LAN602,"-33.505829,-70.916855",6800,279,302
1761880365,2025-10-31T03:12:45Z,LAN602,"-33.504112,-70.919777",6900,278,304
1761880367,2025-10-31T03:12:47Z,LAN602,"-33.50267,-70.922134",6975,277,306
1761880370,2025-10-31T03:12:50Z,LAN602,"-33.500198,-70.925644",7125,276,309
1761880373,2025-10-31T03:12:53Z,LAN602,"-33.497639,-70.929245",7275,275,310
1761880375,2025-10-31T03:12:55Z,LAN602,"-33.49585,-70.931633",7375,275,311
1761880377,2025-10-31T03:12:57Z,LAN602,"-33.49411,-70.933884",7475,274,312
1761880379,2025-10-31T03:12:59Z,LAN602,"-33.4921,-70.936424",7600,273,313
