Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761949426,2025-10-31T22:23:46Z,LAN603,"33.944778,-118.41011",0,0,247
1761949450,2025-10-31T22:24:10Z,LAN603,"33.944801,-118.409889",0,3,244
1761949464,2025-10-31T22:24:24Z,LAN603,"33.944832,-118.409668",0,3,236
1761949480,2025-10-31T22:24:40Z,LAN603,"33.944889,-118.409439",0,3,219
1761949495,2025-10-31T22:24:55Z,LAN603,"33.945019,-118.409218",0,4,199
1761949510,2025-10-31T22:25:10Z,LAN603,"33.945236,-118.409058",0,4,180
1761949522,2025-10-31T22:25:22Z,LAN603,"33.945438,-118.408997",0,4,174
1761949538,2025-10-31T22:25:38Z,LAN603,"33.945717,-118.408966",0,3,160
1761949555,2025-10-31T22:25:55Z,LAN603,"33.945938,-118.408981",0,4,160
1761949568,2025-10-31T22:26:08Z,LAN603,"33.94614,-118.409019",0,4,160
1761949620,2025-10-31T22:27:00Z,LAN603,"33.946381,-118.40905",0,4,160
1761949631,2025-10-31T22:27:11Z,LAN603,"33.946598,-118.409088",0,4,160
1761949640,2025-10-31T22:27:20Z,LAN603,"33.9468,-118.409111",0,5,160
1761949650,2025-10-31T22:27:30Z,LAN603,"33.947021,-118.409142",0,5,149
1761949660,2025-10-31T22:27:40Z,LAN603,"33.947227,-118.409187",0,4,112
1761949675,2025-10-31T22:27:55Z,LAN603,"33.947346,-118.409416",0,4,90
1761949685,2025-10-31T22:28:05Z,LAN603,"33.94738,-118.40963",0,4,84
1761949695,2025-10-31T22:28:15Z,LAN603,"33.947422,-118.409843",0,4,78
1761949707,2025-10-31T22:28:27Z,LAN603,"33.94743,-118.410072",0,4,67
1761949777,2025-10-31T22:29:37Z,LAN603,"33.947472,-118.410278",0,6,313
1761949967,2025-10-31T22:32:47Z,LAN603,"33.947418,-118.410072",0,3,67
1761949975,2025-10-31T22:32:55Z,LAN603,"33.947441,-118.409859",0,6,70
1761949982,2025-10-31T22:33:02Z,LAN603,"33.947468,-118.409592",0,8,70
1761949989,2025-10-31T22:33:09Z,LAN603,"33.947514,-118.409286",0,8,70
1761949995,2025-10-31T22:33:15Z,LAN603,"33.94759,-118.409042",0,8,56
1761950002,2025-10-31T22:33:22Z,LAN603,"33.947823,-118.408882",0,8,16
1761950009,2025-10-31T22:33:29Z,LAN603,"33.948051,-118.408867",0,8,354
1761950015,2025-10-31T22:33:35Z,LAN603,"33.948257,-118.408798",0,8,5
1761950022,2025-10-31T22:33:42Z,LAN603,"33.948383,-118.408554",0,7,42
1761950028,2025-10-31T22:33:48Z,LAN603,"33.948429,-118.408295",0,8,61
1761950034,2025-10-31T22:33:54Z,LAN603,"33.948463,-118.408035",0,9,67
1761950039,2025-10-31T22:33:59Z,LAN603,"33.948486,-118.407814",0,10,70
1761950043,2025-10-31T22:34:03Z,LAN603,"33.948498,-118.407585",0,10,70
1761950047,2025-10-31T22:34:07Z,LAN603,"33.948521,-118.407349",0,11,70
1761950054,2025-10-31T22:34:14Z,LAN603,"33.948578,-118.40686",0,12,70
1761950062,2025-10-31T22:34:22Z,LAN603,"33.948624,-118.406372",0,12,70
1761950068,2025-10-31T22:34:28Z,LAN603,"33.948673,-118.405907",0,13,70
1761950076,2025-10-31T22:34:36Z,LAN603,"33.948727,-118.40535",0,14,70
1761950082,2025-10-31T22:34:42Z,LAN603,"33.948784,-118.404854",0,15,70
1761950089,2025-10-31T22:34:49Z,LAN603,"33.948837,-118.404251",0,15,70
1761950096,2025-10-31T22:34:56Z,LAN603,"33.94891,-118.403641",0,16,70
1761950103,2025-10-31T22:35:03Z,LAN603,"33.948978,-118.402954",0,17,70
1761950111,2025-10-31T22:35:11Z,LAN603,"33.949047,-118.40229",0,17,70
1761950118,2025-10-31T22:35:18Z,LAN603,"33.949116,-118.40155",0,17,70
1761950124,2025-10-31T22:35:24Z,LAN603,"33.949184,-118.400948",0,15,70
1761950132,2025-10-31T22:35:32Z,LAN603,"33.949242,-118.400391",0,12,70
1761950139,2025-10-31T22:35:39Z,LAN603,"33.949287,-118.399925",0,11,70
1761950147,2025-10-31T22:35:47Z,LAN603,"33.94936,-118.399513",0,8,61
1761950157,2025-10-31T22:35:57Z,LAN603,"33.949539,-118.399277",0,6,36
1761950166,2025-10-31T22:36:06Z,LAN603,"33.949745,-118.399155",0,6,14
1761950173,2025-10-31T22:36:13Z,LAN603,"33.949963,-118.399139",0,6,354
1761950180,2025-10-31T22:36:20Z,LAN603,"33.950191,-118.399193",0,7,337
1761950188,2025-10-31T22:36:28Z,LAN603,"33.950397,-118.399254",0,5,334
1761950199,2025-10-31T22:36:39Z,LAN603,"33.950466,-118.399475",0,4,284
1761950214,2025-10-31T22:36:54Z,LAN603,"33.95042,-118.399689",0,3,255
1761950326,2025-10-31T22:38:46Z,LAN603,"33.950382,-118.399956",0,10,250
1761950333,2025-10-31T22:38:53Z,LAN603,"33.950279,-118.401077",0,40,250
1761950339,2025-10-31T22:38:59Z,LAN603,"33.950081,-118.403046",0,65,250
1761950345,2025-10-31T22:39:05Z,LAN603,"33.949814,-118.405602",0,89,262
1761950346,2025-10-31T22:39:06Z,LAN603,"33.949802,-118.405899",0,92,263
1761950347,2025-10-31T22:39:07Z,LAN603,"33.949677,-118.406998",0,96,262
1761950349,2025-10-31T22:39:09Z,LAN603,"33.94957,-118.408012",100,103,262
1761950351,2025-10-31T22:39:11Z,LAN603,"33.949448,-118.409187",100,111,262
1761950353,2025-10-31T22:39:13Z,LAN603,"33.94931,-118.410759",100,121,262
1761950355,2025-10-31T22:39:15Z,LAN603,"33.949173,-118.41188",100,128,263
1761950357,2025-10-31T22:39:17Z,LAN603,"33.94899,-118.413673",100,135,263
1761950360,2025-10-31T22:39:20Z,LAN603,"33.948898,-118.414902",75,142,263
1761950362,2025-10-31T22:39:22Z,LAN603,"33.948669,-118.41687",75,149,262
1761950364,2025-10-31T22:39:24Z,LAN603,"33.948498,-118.418655",75,155,262
1761950366,2025-10-31T22:39:26Z,LAN603,"33.948265,-118.420776",50,161,262
1761950368,2025-10-31T22:39:28Z,LAN603,"33.948078,-118.422607",100,167,263
1761950370,2025-10-31T22:39:30Z,LAN603,"33.947845,-118.425064",125,171,262
1761950372,2025-10-31T22:39:32Z,LAN603,"33.947617,-118.426903",175,173,262
1761950374,2025-10-31T22:39:34Z,LAN603,"33.947475,-118.428558",225,174,262
1761950376,2025-10-31T22:39:36Z,LAN603,"33.94725,-118.430542",275,174,263
1761950378,2025-10-31T22:39:38Z,LAN603,"33.947056,-118.432388",325,175,263
1761950381,2025-10-31T22:39:41Z,LAN603,"33.946823,-118.434906",425,175,263
1761950383,2025-10-31T22:39:43Z,LAN603,"33.946636,-118.436852",475,176,263
1761950389,2025-10-31T22:39:49Z,LAN603,"33.946106,-118.442871",675,178,263
1761950397,2025-10-31T22:39:57Z,LAN603,"33.945286,-118.451271",1000,179,262
1761950406,2025-10-31T22:40:06Z,LAN603,"33.944355,-118.459625",1275,182,263
1761950412,2025-10-31T22:40:12Z,LAN603,"33.943771,-118.465744",1375,191,263
1761950414,2025-10-31T22:40:14Z,LAN603,"33.943424,-118.468384",1400,195,260
1761950416,2025-10-31T22:40:16Z,LAN603,"33.943146,-118.470154",1400,196,258
1761950418,2025-10-31T22:40:18Z,LAN603,"33.94268,-118.472504",1425,199,255
1761950420,2025-10-31T22:40:20Z,LAN603,"33.941936,-118.475075",1450,202,251
1761950422,2025-10-31T22:40:22Z,LAN603,"33.941116,-118.477234",1475,205,245
1761950424,2025-10-31T22:40:24Z,LAN603,"33.940212,-118.479424",1475,207,243
1761950427,2025-10-31T22:40:27Z,LAN603,"33.93924,-118.481323",1500,211,237
1761950429,2025-10-31T22:40:29Z,LAN603,"33.937729,-118.483849",1550,213,234
1761950431,2025-10-31T22:40:31Z,LAN603,"33.936443,-118.485832",1575,216,232
1761950433,2025-10-31T22:40:33Z,LAN603,"33.935417,-118.48732",1575,218,230
