Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761961873,2025-11-01T01:51:13Z,LAN607,"-33.376839,-70.788795",0,19,357
1761961937,2025-11-01T01:52:17Z,LAN607,"-33.376831,-70.786644",0,0,177
1761961966,2025-11-01T01:52:46Z,LAN607,"-33.40567,-70.78508",1750,178,176
1761961973,2025-11-01T01:52:53Z,LAN607,"-33.411381,-70.784691",2000,176,176
1761961980,2025-11-01T01:53:00Z,LAN607,"-33.416382,-70.784363",2125,182,176
1761961987,2025-11-01T01:53:07Z,LAN607,"-33.422928,-70.783867",2225,189,176
1761961994,2025-11-01T01:53:14Z,LAN607,"-33.429382,-70.783485",2325,194,177
1761962003,2025-11-01T01:53:23Z,LAN607,"-33.436844,-70.783043",2475,200,177
1761962010,2025-11-01T01:53:30Z,LAN607,"-33.444077,-70.782661",2575,205,177
1761962016,2025-11-01T01:53:36Z,LAN607,"-33.450531,-70.782272",2675,211,177
1761962023,2025-11-01T01:53:43Z,LAN607,"-33.457855,-70.781837",2750,217,177
1761962032,2025-11-01T01:53:52Z,LAN607,"-33.465637,-70.781342",2850,228,176
1761962039,2025-11-01T01:53:59Z,LAN607,"-33.474106,-70.780792",3025,235,176
1761962046,2025-11-01T01:54:06Z,LAN607,"-33.481812,-70.780258",3150,242,176
1761962053,2025-11-01T01:54:13Z,LAN607,"-33.488934,-70.779755",3325,247,176
1761962061,2025-11-01T01:54:21Z,LAN607,"-33.4991,-70.779037",3525,253,176
1761962072,2025-11-01T01:54:32Z,LAN607,"-33.512558,-70.778099",3875,258,176
1761962080,2025-11-01T01:54:40Z,LAN607,"-33.521301,-70.777496",4150,260,176
1761962095,2025-11-01T01:54:55Z,LAN607,"-33.541489,-70.776283",4700,265,177
1761962102,2025-11-01T01:55:02Z,LAN607,"-33.548813,-70.776115",4925,267,177
1761962109,2025-11-01T01:55:09Z,LAN607,"-33.556808,-70.777298",5125,272,189
1761962111,2025-11-01T01:55:11Z,LAN607,"-33.560806,-70.778633",5225,273,193
1761962119,2025-11-01T01:55:19Z,LAN607,"-33.570007,-70.783844",5475,274,196
1761962122,2025-11-01T01:55:22Z,LAN607,"-33.571381,-70.784912",5550,276,211
1761962127,2025-11-01T01:55:27Z,LAN607,"-33.576359,-70.789658",5725,276,220
1761962129,2025-11-01T01:55:29Z,LAN607,"-33.578781,-70.792755",5800,276,225
1761962131,2025-11-01T01:55:31Z,LAN607,"-33.580921,-70.795837",5900,276,227
1761962134,2025-11-01T01:55:34Z,LAN607,"-33.582737,-70.798988",5975,276,233
1761962136,2025-11-01T01:55:36Z,LAN607,"-33.584381,-70.802345",6075,275,237
1761962138,2025-11-01T01:55:38Z,LAN607,"-33.58548,-70.804977",6125,275,242
1761962141,2025-11-01T01:55:41Z,LAN607,"-33.586555,-70.807915",6200,275,245
1761962143,2025-11-01T01:55:43Z,LAN607,"-33.58744,-70.811005",6275,274,249
1761962145,2025-11-01T01:55:45Z,LAN607,"-33.588184,-70.813919",6325,275,252
1761962147,2025-11-01T01:55:47Z,LAN607,"-33.588558,-70.816208",6425,275,254
1761962150,2025-11-01T01:55:50Z,LAN607,"-33.589142,-70.820229",6500,274,259
1761962152,2025-11-01T01:55:52Z,LAN607,"-33.589325,-70.823868",6600,273,263
1761962154,2025-11-01T01:55:54Z,LAN607,"-33.589371,-70.827621",6675,274,268
1761962156,2025-11-01T01:55:56Z,LAN607,"-33.589207,-70.830345",6750,273,272
1761962159,2025-11-01T01:55:59Z,LAN607,"-33.588776,-70.834297",6825,272,275
1761962161,2025-11-01T01:56:01Z,LAN607,"-33.588139,-70.837845",6925,272,281
1761962163,2025-11-01T01:56:03Z,LAN607,"-33.587486,-70.840645",7000,272,284
1761962165,2025-11-01T01:56:05Z,LAN607,"-33.586647,-70.843567",7050,272,287
1761962167,2025-11-01T01:56:07Z,LAN607,"-33.585388,-70.847633",7150,271,290
1761962169,2025-11-01T01:56:09Z,LAN607,"-33.584461,-70.849915",7200,271,292
1761962172,2025-11-01T01:56:12Z,LAN607,"-33.583374,-70.852844",7275,272,294
1761962174,2025-11-01T01:56:14Z,LAN607,"-33.582138,-70.855537",7300,271,296
1761962176,2025-11-01T01:56:16Z,LAN607,"-33.580502,-70.859413",7375,272,297
1761962179,2025-11-01T01:56:19Z,LAN607,"-33.579201,-70.861984",7400,273,298
1761962181,2025-11-01T01:56:21Z,LAN607,"-33.577663,-70.865417",7450,273,299
1761962183,2025-11-01T01:56:23Z,LAN607,"-33.575958,-70.868652",7475,273,300
1761962186,2025-11-01T01:56:26Z,LAN607,"-33.574448,-70.872131",7525,274,299
1761962188,2025-11-01T01:56:28Z,LAN607,"-33.573196,-70.874695",7550,274,298
1761962190,2025-11-01T01:56:30Z,LAN607,"-33.571426,-70.878853",7575,274,298
1761962193,2025-11-01T01:56:33Z,LAN607,"-33.57019,-70.881546",7625,275,296
1761962195,2025-11-01T01:56:35Z,LAN607,"-33.56987,-70.882553",7650,275,296
1761962197,2025-11-01T01:56:37Z,LAN607,"-33.568073,-70.887161",7700,276,294
1761962200,2025-11-01T01:56:40Z,LAN607,"-33.567123,-70.890015",7725,276,292
