Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762176695,2025-11-03T13:31:35Z,LAN776,"-22.819427,-43.24683",0,0,309
1762176752,2025-11-03T13:32:32Z,LAN776,"-22.816916,-43.250629",0,0,306
1762176776,2025-11-03T13:32:56Z,LAN776,"-22.815308,-43.253063",0,0,306
1762176793,2025-11-03T13:33:13Z,LAN776,"-22.814157,-43.254787",0,0,306
1762176800,2025-11-03T13:33:20Z,LAN776,"-22.813557,-43.255707",0,30,306
1762176814,2025-11-03T13:33:34Z,LAN776,"-22.812599,-43.257153",0,20,306
1762176835,2025-11-03T13:33:55Z,LAN776,"-22.812115,-43.257881",0,0,303
1762176943,2025-11-03T13:35:43Z,LAN776,"-22.80574,-43.253849",0,0,42
1762176947,2025-11-03T13:35:47Z,LAN776,"-22.805328,-43.253674",0,15,11
1762176956,2025-11-03T13:35:56Z,LAN776,"-22.804882,-43.253948",0,14,317
1762176961,2025-11-03T13:36:01Z,LAN776,"-22.804619,-43.254162",0,15,323
1762176966,2025-11-03T13:36:06Z,LAN776,"-22.804371,-43.254269",0,16,340
1762176969,2025-11-03T13:36:09Z,LAN776,"-22.804068,-43.254433",0,17,331
1762176973,2025-11-03T13:36:13Z,LAN776,"-22.803764,-43.254662",0,18,326
1762176976,2025-11-03T13:36:16Z,LAN776,"-22.803543,-43.254822",0,18,326
1762176980,2025-11-03T13:36:20Z,LAN776,"-22.803335,-43.254978",0,17,326
1762176985,2025-11-03T13:36:25Z,LAN776,"-22.803074,-43.255108",0,15,334
1762176989,2025-11-03T13:36:29Z,LAN776,"-22.802834,-43.255173",0,14,351
1762176992,2025-11-03T13:36:32Z,LAN776,"-22.802616,-43.255146",0,13,8
1762176996,2025-11-03T13:36:36Z,LAN776,"-22.802416,-43.255054",0,13,28
1762177000,2025-11-03T13:36:40Z,LAN776,"-22.802204,-43.254932",0,11,25
1762177005,2025-11-03T13:36:45Z,LAN776,"-22.801998,-43.254959",0,11,348
1762177010,2025-11-03T13:36:50Z,LAN776,"-22.801786,-43.255005",0,10,354
1762177017,2025-11-03T13:36:57Z,LAN776,"-22.801704,-43.254803",0,7,56
1762177041,2025-11-03T13:37:21Z,LAN776,"-22.801689,-43.254559",0,9,75
1762177043,2025-11-03T13:37:23Z,LAN776,"-22.801609,-43.254299",0,23,73
1762177044,2025-11-03T13:37:24Z,LAN776,"-22.801542,-43.254025",0,28,73
1762177046,2025-11-03T13:37:26Z,LAN776,"-22.801472,-43.253746",0,37,75
1762177047,2025-11-03T13:37:27Z,LAN776,"-22.801414,-43.253517",0,42,75
1762177048,2025-11-03T13:37:28Z,LAN776,"-22.801357,-43.253311",0,46,75
1762177049,2025-11-03T13:37:29Z,LAN776,"-22.801289,-43.253036",0,51,75
1762177053,2025-11-03T13:37:33Z,LAN776,"-22.800911,-43.251614",0,68,73
1762177055,2025-11-03T13:37:35Z,LAN776,"-22.800833,-43.25124",0,72,75
1762177056,2025-11-03T13:37:36Z,LAN776,"-22.800751,-43.2509",0,76,75
1762177058,2025-11-03T13:37:38Z,LAN776,"-22.800568,-43.250278",0,84,75
1762177059,2025-11-03T13:37:39Z,LAN776,"-22.80035,-43.24934",0,92,73
1762177060,2025-11-03T13:37:40Z,LAN776,"-22.800236,-43.248917",0,96,73
1762177062,2025-11-03T13:37:42Z,LAN776,"-22.799889,-43.247643",0,105,75
1762177066,2025-11-03T13:37:46Z,LAN776,"-22.799318,-43.24538",0,120,75
1762177068,2025-11-03T13:37:48Z,LAN776,"-22.798946,-43.243969",0,125,73
1762177071,2025-11-03T13:37:51Z,LAN776,"-22.79854,-43.242329",0,135,75
1762177075,2025-11-03T13:37:55Z,LAN776,"-22.79821,-43.241138",0,145,75
1762177078,2025-11-03T13:37:58Z,LAN776,"-22.797201,-43.237217",0,160,75
1762177081,2025-11-03T13:38:01Z,LAN776,"-22.796871,-43.235897",0,165,73
1762177083,2025-11-03T13:38:03Z,LAN776,"-22.796211,-43.233311",0,170,73
1762177085,2025-11-03T13:38:05Z,LAN776,"-22.79575,-43.231689",0,170,73
1762177087,2025-11-03T13:38:07Z,LAN776,"-22.795235,-43.229931",250,174,73
1762177089,2025-11-03T13:38:09Z,LAN776,"-22.794891,-43.228405",300,174,73
1762177091,2025-11-03T13:38:11Z,LAN776,"-22.794256,-43.226318",375,174,73
1762177093,2025-11-03T13:38:13Z,LAN776,"-22.793791,-43.224537",425,174,73
1762177095,2025-11-03T13:38:15Z,LAN776,"-22.793325,-43.222759",475,174,73
1762177098,2025-11-03T13:38:18Z,LAN776,"-22.792831,-43.220913",525,176,74
1762177104,2025-11-03T13:38:24Z,LAN776,"-22.791649,-43.216248",675,180,74
1762177112,2025-11-03T13:38:32Z,LAN776,"-22.789719,-43.20813",900,187,76
