Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761753634,2025-10-29T16:00:34Z,LAN801,"-33.398182,-70.789665",0,0,126
1761753666,2025-10-29T16:01:06Z,LAN801,"-33.397995,-70.789871",0,1,90
1761753728,2025-10-29T16:02:08Z,LAN801,"-33.397991,-70.790421",0,0,84
1761754077,2025-10-29T16:07:57Z,LAN801,"-33.397984,-70.789986",0,0,84
1761754093,2025-10-29T16:08:13Z,LAN801,"-33.397968,-70.789772",0,4,87
1761754100,2025-10-29T16:08:20Z,LAN801,"-33.397957,-70.789474",0,4,87
1761754108,2025-10-29T16:08:28Z,LAN801,"-33.397957,-70.789253",0,6,84
1761754115,2025-10-29T16:08:35Z,LAN801,"-33.3979,-70.789001",0,7,75
1761754130,2025-10-29T16:08:50Z,LAN801,"-33.397388,-70.78878",0,0,5
1761754136,2025-10-29T16:08:56Z,LAN801,"-33.397167,-70.788788",0,8,357
1761754144,2025-10-29T16:09:04Z,LAN801,"-33.396935,-70.788811",0,8,357
1761754148,2025-10-29T16:09:08Z,LAN801,"-33.396664,-70.788811",0,9,354
1761754158,2025-10-29T16:09:18Z,LAN801,"-33.396252,-70.788841",0,9,354
1761754169,2025-10-29T16:09:29Z,LAN801,"-33.395809,-70.788864",0,0,354
1761754188,2025-10-29T16:09:48Z,LAN801,"-33.394936,-70.788857",0,0,5
1761754200,2025-10-29T16:10:00Z,LAN801,"-33.394493,-70.788612",0,9,22
1761754208,2025-10-29T16:10:08Z,LAN801,"-33.394176,-70.788429",0,9,25
1761754215,2025-10-29T16:10:15Z,LAN801,"-33.393955,-70.7883",0,8,25
1761754222,2025-10-29T16:10:22Z,LAN801,"-33.3937,-70.788124",0,8,28
1761754298,2025-10-29T16:11:38Z,LAN801,"-33.390617,-70.788078",0,0,354
1761754306,2025-10-29T16:11:46Z,LAN801,"-33.390186,-70.788109",0,11,354
1761754315,2025-10-29T16:11:55Z,LAN801,"-33.389729,-70.788124",0,12,354
1761754320,2025-10-29T16:12:00Z,LAN801,"-33.389454,-70.788147",0,12,354
1761754323,2025-10-29T16:12:03Z,LAN801,"-33.389248,-70.78817",0,13,354
1761754342,2025-10-29T16:12:22Z,LAN801,"-33.388069,-70.788216",0,0,357
1761754369,2025-10-29T16:12:49Z,LAN801,"-33.386318,-70.788315",0,0,354
1761754392,2025-10-29T16:13:12Z,LAN801,"-33.385113,-70.788391",0,0,354
1761754411,2025-10-29T16:13:31Z,LAN801,"-33.384235,-70.788429",0,0,354
1761754416,2025-10-29T16:13:36Z,LAN801,"-33.384007,-70.788445",0,11,354
1761754422,2025-10-29T16:13:42Z,LAN801,"-33.383732,-70.788452",0,11,354
1761754437,2025-10-29T16:13:57Z,LAN801,"-33.382908,-70.788498",0,0,354
1761754447,2025-10-29T16:14:07Z,LAN801,"-33.382393,-70.788521",0,12,354
1761754456,2025-10-29T16:14:16Z,LAN801,"-33.381828,-70.788559",0,13,354
