Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762266274,2025-11-04T14:24:34Z,TAM8040,"-12.026305,-77.118988",0,0,64
1762266362,2025-11-04T14:26:02Z,TAM8040,"-12.026422,-77.119278",0,0,56
1762266393,2025-11-04T14:26:33Z,TAM8040,"-12.02655,-77.119537",0,0,357
1762266857,2025-11-04T14:34:17Z,TAM8040,"-12.025795,-77.119995",0,9,334
1762266882,2025-11-04T14:34:42Z,TAM8040,"-12.025712,-77.121063",0,0,244
1762266891,2025-11-04T14:34:51Z,TAM8040,"-12.025898,-77.12149",0,10,247
1762266905,2025-11-04T14:35:05Z,TAM8040,"-12.025537,-77.121925",0,12,329
1762266925,2025-11-04T14:35:25Z,TAM8040,"-12.024489,-77.122437",0,0,334
1762266931,2025-11-04T14:35:31Z,TAM8040,"-12.02417,-77.122604",0,11,334
1762266939,2025-11-04T14:35:39Z,TAM8040,"-12.023792,-77.12278",0,11,334
1762266946,2025-11-04T14:35:46Z,TAM8040,"-12.023472,-77.122932",0,10,334
1762266953,2025-11-04T14:35:53Z,TAM8040,"-12.023163,-77.123085",0,10,334
1762266960,2025-11-04T14:36:00Z,TAM8040,"-12.022861,-77.123238",0,12,334
1762266968,2025-11-04T14:36:08Z,TAM8040,"-12.022488,-77.123421",0,11,334
1762266976,2025-11-04T14:36:16Z,TAM8040,"-12.02211,-77.123611",0,12,334
1762266982,2025-11-04T14:36:22Z,TAM8040,"-12.021755,-77.123772",0,13,334
1762266989,2025-11-04T14:36:29Z,TAM8040,"-12.021405,-77.123962",0,12,331
1762266996,2025-11-04T14:36:36Z,TAM8040,"-12.021196,-77.124207",0,9,306
1762267002,2025-11-04T14:36:42Z,TAM8040,"-12.021231,-77.124443",0,9,267
1762267008,2025-11-04T14:36:48Z,TAM8040,"-12.021255,-77.124687",0,9,267
1762267015,2025-11-04T14:36:55Z,TAM8040,"-12.021046,-77.124908",0,11,312
1762267021,2025-11-04T14:37:01Z,TAM8040,"-12.020754,-77.125061",0,12,331
1762267026,2025-11-04T14:37:06Z,TAM8040,"-12.020473,-77.125198",0,13,334
1762267031,2025-11-04T14:37:11Z,TAM8040,"-12.020199,-77.125328",0,14,334
1762267035,2025-11-04T14:37:15Z,TAM8040,"-12.019958,-77.125443",0,15,334
1762267038,2025-11-04T14:37:18Z,TAM8040,"-12.01973,-77.125565",0,16,334
1762267045,2025-11-04T14:37:25Z,TAM8040,"-12.019229,-77.125809",0,18,334
1762267052,2025-11-04T14:37:32Z,TAM8040,"-12.018705,-77.126068",0,16,334
1762267059,2025-11-04T14:37:39Z,TAM8040,"-12.018242,-77.126282",0,16,334
1762267066,2025-11-04T14:37:46Z,TAM8040,"-12.017761,-77.126518",0,15,331
1762267073,2025-11-04T14:37:53Z,TAM8040,"-12.017344,-77.126732",0,14,331
1762267086,2025-11-04T14:38:06Z,TAM8040,"-12.01661,-77.127098",0,13,334
1762267098,2025-11-04T14:38:18Z,TAM8040,"-12.015919,-77.127441",0,0,334
1762267109,2025-11-04T14:38:29Z,TAM8040,"-12.015255,-77.127762",0,0,331
