Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762108811,2025-11-02T18:40:11Z,TAM8085,"51.472115,-0.470334",0,0,180
1762109000,2025-11-02T18:43:20Z,TAM8085,"51.472111,-0.470104",0,2,180
1762109018,2025-11-02T18:43:38Z,TAM8085,"51.472115,-0.469795",0,2,180
1762109038,2025-11-02T18:43:58Z,TAM8085,"51.472137,-0.469461",0,2,180
1762109053,2025-11-02T18:44:13Z,TAM8085,"51.472172,-0.469239",0,2,180
1762109066,2025-11-02T18:44:26Z,TAM8085,"51.472179,-0.469036",0,2,180
1762109084,2025-11-02T18:44:44Z,TAM8085,"51.472046,-0.46883",0,2,180
1762109105,2025-11-02T18:45:05Z,TAM8085,"51.471874,-0.468626",0,0,180
1762109339,2025-11-02T18:48:59Z,TAM8085,"51.472298,-0.468645",0,0,180
1762109350,2025-11-02T18:49:10Z,TAM8085,"51.472538,-0.468645",0,6,180
1762109358,2025-11-02T18:49:18Z,TAM8085,"51.472755,-0.468645",0,7,180
1762109367,2025-11-02T18:49:27Z,TAM8085,"51.473064,-0.468655",0,7,180
1762109376,2025-11-02T18:49:36Z,TAM8085,"51.473381,-0.468655",0,7,180
1762109384,2025-11-02T18:49:44Z,TAM8085,"51.47366,-0.468663",0,8,180
1762109393,2025-11-02T18:49:53Z,TAM8085,"51.474003,-0.468775",0,8,180
1762109402,2025-11-02T18:50:02Z,TAM8085,"51.474312,-0.468903",0,8,180
1762109408,2025-11-02T18:50:08Z,TAM8085,"51.474518,-0.468979",0,0,180
1762109421,2025-11-02T18:50:21Z,TAM8085,"51.47488,-0.468731",0,7,180
1762109428,2025-11-02T18:50:28Z,TAM8085,"51.47493,-0.468385",0,7,180
1762109437,2025-11-02T18:50:37Z,TAM8085,"51.474941,-0.467995",0,8,180
1762109443,2025-11-02T18:50:43Z,TAM8085,"51.47501,-0.467529",0,8,180
1762109451,2025-11-02T18:50:51Z,TAM8085,"51.475113,-0.46716",0,7,180
1762109458,2025-11-02T18:50:58Z,TAM8085,"51.475147,-0.466747",0,7,180
1762109466,2025-11-02T18:51:06Z,TAM8085,"51.475147,-0.466442",0,8,180
1762109473,2025-11-02T18:51:13Z,TAM8085,"51.475159,-0.465965",0,7,180
1762109481,2025-11-02T18:51:21Z,TAM8085,"51.475159,-0.46562",0,5,180
1762109490,2025-11-02T18:51:30Z,TAM8085,"51.475033,-0.465393",0,5,180
1762109500,2025-11-02T18:51:40Z,TAM8085,"51.474823,-0.465298",0,5,180
1762109518,2025-11-02T18:51:58Z,TAM8085,"51.474621,-0.46523",0,2,180
1762109541,2025-11-02T18:52:21Z,TAM8085,"51.474358,-0.4651",0,2,180
1762109595,2025-11-02T18:53:15Z,TAM8085,"51.474152,-0.465026",0,0,180
1762114338,2025-11-02T20:12:18Z,TAM8085,"51.474495,-0.465174",0,0,163
1762114370,2025-11-02T20:12:50Z,TAM8085,"51.474754,-0.46524",0,1,143
1762114400,2025-11-02T20:13:20Z,TAM8085,"51.474964,-0.465412",0,0,123
1762114426,2025-11-02T20:13:46Z,TAM8085,"51.47509,-0.465638",0,0,101
1762114455,2025-11-02T20:14:15Z,TAM8085,"51.475147,-0.465861",0,1,90
1762114718,2025-11-02T20:18:38Z,TAM8085,"51.475147,-0.465657",0,2,87
1762114729,2025-11-02T20:18:49Z,TAM8085,"51.475159,-0.46545",0,3,87
1762114743,2025-11-02T20:19:03Z,TAM8085,"51.475159,-0.465063",0,0,90
1762114755,2025-11-02T20:19:15Z,TAM8085,"51.475159,-0.464458",0,8,90
1762114763,2025-11-02T20:19:23Z,TAM8085,"51.47517,-0.463931",0,9,90
1762114772,2025-11-02T20:19:32Z,TAM8085,"51.47517,-0.463295",0,10,90
1762114782,2025-11-02T20:19:42Z,TAM8085,"51.475159,-0.462494",0,11,90
1762114795,2025-11-02T20:19:55Z,TAM8085,"51.475182,-0.46137",0,0,90
1762114802,2025-11-02T20:20:02Z,TAM8085,"51.475182,-0.460795",0,11,90
1762114809,2025-11-02T20:20:09Z,TAM8085,"51.47517,-0.460238",0,12,90
1762114816,2025-11-02T20:20:16Z,TAM8085,"51.475182,-0.45957",0,12,90
1762114827,2025-11-02T20:20:27Z,TAM8085,"51.475193,-0.458605",0,13,90
