Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762029713,2025-11-01T20:41:53Z,TAM8087,"33.94463,-118.411331",0,0,70
1762029730,2025-11-01T20:42:10Z,TAM8087,"33.944611,-118.411545",0,2,70
1762029745,2025-11-01T20:42:25Z,TAM8087,"33.944588,-118.411758",0,3,73
1762029758,2025-11-01T20:42:38Z,TAM8087,"33.944553,-118.411972",0,3,84
1762029770,2025-11-01T20:42:50Z,TAM8087,"33.94453,-118.412178",0,3,109
1762029786,2025-11-01T20:43:06Z,TAM8087,"33.944588,-118.412392",0,3,137
1762029847,2025-11-01T20:44:07Z,TAM8087,"33.944366,-118.412483",0,3,160
1762029862,2025-11-01T20:44:22Z,TAM8087,"33.944157,-118.412445",0,3,160
1762029878,2025-11-01T20:44:38Z,TAM8087,"33.943947,-118.412415",0,2,160
1762030095,2025-11-01T20:48:15Z,TAM8087,"33.943737,-118.412392",0,0,160
1762030117,2025-11-01T20:48:37Z,TAM8087,"33.94352,-118.412354",0,3,160
1762030127,2025-11-01T20:48:47Z,TAM8087,"33.943283,-118.412315",0,6,160
1762030134,2025-11-01T20:48:54Z,TAM8087,"33.943077,-118.412292",0,6,160
1762030142,2025-11-01T20:49:02Z,TAM8087,"33.942844,-118.412254",0,7,160
1762030149,2025-11-01T20:49:09Z,TAM8087,"33.942635,-118.412231",0,7,160
1762030156,2025-11-01T20:49:16Z,TAM8087,"33.942425,-118.412186",0,7,160
1762030163,2025-11-01T20:49:23Z,TAM8087,"33.942169,-118.412155",0,7,160
1762030170,2025-11-01T20:49:30Z,TAM8087,"33.941948,-118.412117",0,7,160
1762030177,2025-11-01T20:49:37Z,TAM8087,"33.941704,-118.412086",0,7,160
1762030185,2025-11-01T20:49:45Z,TAM8087,"33.941433,-118.412048",0,8,160
1762030192,2025-11-01T20:49:52Z,TAM8087,"33.941177,-118.412018",0,8,160
1762030199,2025-11-01T20:49:59Z,TAM8087,"33.940922,-118.411972",0,8,160
1762030205,2025-11-01T20:50:05Z,TAM8087,"33.940681,-118.411934",0,8,160
