Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762561560,2025-11-08T00:26:00Z,LAN810,"-33.931755,151.167938",0,0,244
1762561616,2025-11-08T00:26:56Z,LAN810,"-33.931717,151.168152",0,0,247
1762561634,2025-11-08T00:27:14Z,LAN810,"-33.931683,151.168365",0,2,247
1762561651,2025-11-08T00:27:31Z,LAN810,"-33.931664,151.168579",0,0,239
1762561671,2025-11-08T00:27:51Z,LAN810,"-33.93161,151.168793",0,2,230
1762561688,2025-11-08T00:28:08Z,LAN810,"-33.931583,151.169006",0,0,205
1762561719,2025-11-08T00:28:39Z,LAN810,"-33.931377,151.169189",0,2,177
1762561748,2025-11-08T00:29:08Z,LAN810,"-33.931171,151.169281",0,1,154
1762562013,2025-11-08T00:33:33Z,LAN810,"-33.931377,151.169342",0,5,154
1762562023,2025-11-08T00:33:43Z,LAN810,"-33.931595,151.169388",0,5,154
1762562033,2025-11-08T00:33:53Z,LAN810,"-33.931808,151.169464",0,5,154
1762562040,2025-11-08T00:34:00Z,LAN810,"-33.93203,151.16951",0,7,154
1762562052,2025-11-08T00:34:12Z,LAN810,"-33.932495,151.169647",0,9,154
1762562059,2025-11-08T00:34:19Z,LAN810,"-33.932751,151.169815",0,8,137
1762562066,2025-11-08T00:34:26Z,LAN810,"-33.932903,151.170029",0,7,120
1762562074,2025-11-08T00:34:34Z,LAN810,"-33.933071,151.170273",0,8,118
1762562079,2025-11-08T00:34:39Z,LAN810,"-33.933277,151.170441",0,10,129
1762562084,2025-11-08T00:34:44Z,LAN810,"-33.933517,151.170609",0,12,137
1762562091,2025-11-08T00:34:51Z,LAN810,"-33.933849,151.170746",0,13,149
1762562094,2025-11-08T00:34:54Z,LAN810,"-33.93409,151.170792",0,13,154
1762562098,2025-11-08T00:34:58Z,LAN810,"-33.93433,151.170868",0,13,154
1762562104,2025-11-08T00:35:04Z,LAN810,"-33.93465,151.170929",0,12,157
1762562109,2025-11-08T00:35:09Z,LAN810,"-33.934902,151.171005",0,12,154
1762562113,2025-11-08T00:35:13Z,LAN810,"-33.935127,151.171082",0,12,154
1762562117,2025-11-08T00:35:17Z,LAN810,"-33.935371,151.171127",0,12,154
1762562122,2025-11-08T00:35:22Z,LAN810,"-33.935627,151.171204",0,12,154
1762562129,2025-11-08T00:35:29Z,LAN810,"-33.935989,151.171295",0,11,154
1762562136,2025-11-08T00:35:36Z,LAN810,"-33.93639,151.171402",0,11,154
1762562143,2025-11-08T00:35:43Z,LAN810,"-33.936745,151.171494",0,11,154
1762562150,2025-11-08T00:35:50Z,LAN810,"-33.937119,151.171585",0,11,154
1762562158,2025-11-08T00:35:58Z,LAN810,"-33.937489,151.171692",0,12,154
1762562165,2025-11-08T00:36:05Z,LAN810,"-33.937855,151.171783",0,12,154
1762562172,2025-11-08T00:36:12Z,LAN810,"-33.938259,151.17189",0,13,154
1762562178,2025-11-08T00:36:18Z,LAN810,"-33.938633,151.171982",0,13,154
1762562186,2025-11-08T00:36:26Z,LAN810,"-33.939072,151.172089",0,13,154
1762562193,2025-11-08T00:36:33Z,LAN810,"-33.939526,151.172211",0,14,154
1762562201,2025-11-08T00:36:41Z,LAN810,"-33.940048,151.172333",0,14,154
