Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762370284,2025-11-05T19:18:04Z,LAN842,"-27.159725,-109.429359",0,0,348
1762370372,2025-11-05T19:19:32Z,LAN842,"-27.159931,-109.429321",0,1,33
1762370421,2025-11-05T19:20:21Z,LAN842,"-27.160069,-109.429543",0,0,101
1762370701,2025-11-05T19:25:01Z,LAN842,"-27.160192,-109.429321",0,6,104
1762370709,2025-11-05T19:25:09Z,LAN842,"-27.160322,-109.42907",0,8,104
1762370715,2025-11-05T19:25:15Z,LAN842,"-27.160446,-109.428841",0,9,106
1762370721,2025-11-05T19:25:21Z,LAN842,"-27.160595,-109.428635",0,9,118
1762370726,2025-11-05T19:25:26Z,LAN842,"-27.160801,-109.428581",0,9,146
1762370734,2025-11-05T19:25:34Z,LAN842,"-27.161087,-109.428688",0,9,180
1762370741,2025-11-05T19:25:41Z,LAN842,"-27.161304,-109.428825",0,8,194
1762370747,2025-11-05T19:25:47Z,LAN842,"-27.161427,-109.429085",0,9,227
1762370751,2025-11-05T19:25:51Z,LAN842,"-27.161396,-109.429298",0,10,255
1762370755,2025-11-05T19:25:55Z,LAN842,"-27.16131,-109.42952",0,11,272
1762370760,2025-11-05T19:26:00Z,LAN842,"-27.161205,-109.429756",0,11,281
1762370765,2025-11-05T19:26:05Z,LAN842,"-27.161112,-109.42997",0,11,281
1762370768,2025-11-05T19:26:08Z,LAN842,"-27.161007,-109.430214",0,13,281
1762370773,2025-11-05T19:26:13Z,LAN842,"-27.16087,-109.430511",0,13,281
1762370777,2025-11-05T19:26:17Z,LAN842,"-27.160774,-109.430717",0,12,281
1762370784,2025-11-05T19:26:24Z,LAN842,"-27.160589,-109.431145",0,13,281
1762370792,2025-11-05T19:26:32Z,LAN842,"-27.160368,-109.431618",0,15,281
1762370800,2025-11-05T19:26:40Z,LAN842,"-27.160088,-109.432236",0,16,281
1762370807,2025-11-05T19:26:47Z,LAN842,"-27.159817,-109.432816",0,17,281
1762370814,2025-11-05T19:26:54Z,LAN842,"-27.159599,-109.433311",0,15,281
1762370821,2025-11-05T19:27:01Z,LAN842,"-27.159389,-109.433784",0,14,281
1762370827,2025-11-05T19:27:07Z,LAN842,"-27.159216,-109.434151",0,12,281
