Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762494916,2025-11-07T05:55:16Z,LAN090,"-53.002457,-70.841278",0,9,90
1762494922,2025-11-07T05:55:22Z,LAN090,"-53.002445,-70.840805",0,10,87
1762494929,2025-11-07T05:55:29Z,LAN090,"-53.002441,-70.840225",0,11,87
1762494932,2025-11-07T05:55:32Z,LAN090,"-53.002434,-70.83992",0,11,90
1762494935,2025-11-07T05:55:35Z,LAN090,"-53.002434,-70.839706",0,12,90
1762494937,2025-11-07T05:55:37Z,LAN090,"-53.00243,-70.839478",0,12,90
1762494941,2025-11-07T05:55:41Z,LAN090,"-53.002422,-70.839043",0,13,87
1762494944,2025-11-07T05:55:44Z,LAN090,"-53.002419,-70.838791",0,13,87
1762494946,2025-11-07T05:55:46Z,LAN090,"-53.002419,-70.838547",0,13,87
1762494949,2025-11-07T05:55:49Z,LAN090,"-53.002419,-70.838318",0,13,90
1762494951,2025-11-07T05:55:51Z,LAN090,"-53.002407,-70.838074",0,12,87
1762494955,2025-11-07T05:55:55Z,LAN090,"-53.002411,-70.837845",0,8,87
1762494960,2025-11-07T05:56:00Z,LAN090,"-53.002407,-70.837631",0,4,87
1762494969,2025-11-07T05:56:09Z,LAN090,"-53.002407,-70.837418",0,3,87
1762494977,2025-11-07T05:56:17Z,LAN090,"-53.002399,-70.837196",0,4,87
1762494982,2025-11-07T05:56:22Z,LAN090,"-53.002396,-70.836983",0,5,90
1762494988,2025-11-07T05:56:28Z,LAN090,"-53.002396,-70.836731",0,5,90
1762494995,2025-11-07T05:56:35Z,LAN090,"-53.002396,-70.836449",0,6,90
1762495002,2025-11-07T05:56:42Z,LAN090,"-53.002384,-70.83609",0,7,90
1762495009,2025-11-07T05:56:49Z,LAN090,"-53.002384,-70.835686",0,8,87
1762495017,2025-11-07T05:56:57Z,LAN090,"-53.002373,-70.835205",0,8,87
1762495020,2025-11-07T05:57:00Z,LAN090,"-53.002373,-70.834999",0,8,90
1762495024,2025-11-07T05:57:04Z,LAN090,"-53.002365,-70.834785",0,7,87
1762495029,2025-11-07T05:57:09Z,LAN090,"-53.00235,-70.834579",0,6,81
1762495035,2025-11-07T05:57:15Z,LAN090,"-53.002285,-70.834373",0,4,70
1762495045,2025-11-07T05:57:25Z,LAN090,"-53.00211,-70.83416",0,6,42
1762495054,2025-11-07T05:57:34Z,LAN090,"-53.001877,-70.834099",0,5,16
1762495065,2025-11-07T05:57:45Z,LAN090,"-53.001667,-70.834099",0,4,2
1762495096,2025-11-07T05:58:16Z,LAN090,"-53.001446,-70.834106",0,3,2
1762495105,2025-11-07T05:58:25Z,LAN090,"-53.001217,-70.834106",0,6,357
1762495111,2025-11-07T05:58:31Z,LAN090,"-53.000969,-70.834114",0,8,357
1762495119,2025-11-07T05:58:39Z,LAN090,"-53.000736,-70.834122",0,6,357
1762495134,2025-11-07T05:58:54Z,LAN090,"-53.000595,-70.834351",0,3,320
1762495142,2025-11-07T05:59:02Z,LAN090,"-53.000629,-70.834564",0,4,284
1762495147,2025-11-07T05:59:07Z,LAN090,"-53.000656,-70.834793",0,6,272
1762495150,2025-11-07T05:59:10Z,LAN090,"-53.000652,-70.835114",0,13,270
1762495151,2025-11-07T05:59:11Z,LAN090,"-53.000656,-70.835358",0,18,267
1762495152,2025-11-07T05:59:12Z,LAN090,"-53.000656,-70.835609",0,23,267
1762495153,2025-11-07T05:59:13Z,LAN090,"-53.000668,-70.835892",0,28,267
1762495155,2025-11-07T05:59:15Z,LAN090,"-53.000675,-70.836411",0,38,270
1762495156,2025-11-07T05:59:16Z,LAN090,"-53.000675,-70.836784",0,43,270
1762495157,2025-11-07T05:59:17Z,LAN090,"-53.00069,-70.837349",0,48,270
1762495158,2025-11-07T05:59:18Z,LAN090,"-53.00069,-70.83786",0,53,270
1762495160,2025-11-07T05:59:20Z,LAN090,"-53.000702,-70.838608",0,63,267
