Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762479781,2025-11-07T01:43:01Z,LAN093,"-33.400646,-70.789856",0,1,354
1762479825,2025-11-07T01:43:45Z,LAN093,"-33.400848,-70.789787",0,1,28
1762479986,2025-11-07T01:46:26Z,LAN093,"-33.401104,-70.78968",0,0,87
1762480241,2025-11-07T01:50:41Z,LAN093,"-33.401093,-70.789383",0,3,87
1762480261,2025-11-07T01:51:01Z,LAN093,"-33.40107,-70.788864",0,7,87
1762480267,2025-11-07T01:51:07Z,LAN093,"-33.401058,-70.788658",0,5,87
1762480283,2025-11-07T01:51:23Z,LAN093,"-33.401218,-70.788376",0,5,123
1762480291,2025-11-07T01:51:31Z,LAN093,"-33.401287,-70.788094",0,6,104
1762480297,2025-11-07T01:51:37Z,LAN093,"-33.401276,-70.78788",0,7,90
1762480305,2025-11-07T01:51:45Z,LAN093,"-33.401161,-70.787605",0,7,59
1762480312,2025-11-07T01:51:52Z,LAN093,"-33.400944,-70.787521",0,7,19
1762480319,2025-11-07T01:51:59Z,LAN093,"-33.400726,-70.787506",0,8,2
1762480326,2025-11-07T01:52:06Z,LAN093,"-33.400417,-70.787521",0,9,357
1762480332,2025-11-07T01:52:12Z,LAN093,"-33.400166,-70.787537",0,10,357
1762480338,2025-11-07T01:52:18Z,LAN093,"-33.399834,-70.787544",0,11,357
1762480343,2025-11-07T01:52:23Z,LAN093,"-33.399582,-70.78756",0,11,357
1762480348,2025-11-07T01:52:28Z,LAN093,"-33.399368,-70.787575",0,10,357
1762480355,2025-11-07T01:52:35Z,LAN093,"-33.399101,-70.78759",0,8,357
1762480363,2025-11-07T01:52:43Z,LAN093,"-33.398849,-70.787605",0,6,357
1762480474,2025-11-07T01:54:34Z,LAN093,"-33.398643,-70.787621",0,3,357
1762480484,2025-11-07T01:54:44Z,LAN093,"-33.398415,-70.787628",0,5,357
1762480501,2025-11-07T01:55:01Z,LAN093,"-33.397877,-70.787659",0,0,357
1762480507,2025-11-07T01:55:07Z,LAN093,"-33.397575,-70.787689",0,10,357
1762480514,2025-11-07T01:55:14Z,LAN093,"-33.397251,-70.787704",0,11,357
1762480522,2025-11-07T01:55:22Z,LAN093,"-33.396935,-70.787712",0,12,357
1762480529,2025-11-07T01:55:29Z,LAN093,"-33.396378,-70.787743",0,13,357
1762480536,2025-11-07T01:55:36Z,LAN093,"-33.39592,-70.787766",0,15,357
1762480544,2025-11-07T01:55:44Z,LAN093,"-33.395336,-70.787796",0,15,357
1762480551,2025-11-07T01:55:51Z,LAN093,"-33.394775,-70.787827",0,16,357
1762480559,2025-11-07T01:55:59Z,LAN093,"-33.39418,-70.787865",0,17,357
1762480565,2025-11-07T01:56:05Z,LAN093,"-33.39362,-70.78788",0,19,357
1762480577,2025-11-07T01:56:17Z,LAN093,"-33.39249,-70.787956",0,20,357
1762480589,2025-11-07T01:56:29Z,LAN093,"-33.391258,-70.78801",0,0,357
1762480596,2025-11-07T01:56:36Z,LAN093,"-33.390488,-70.788048",0,23,357
1762480603,2025-11-07T01:56:43Z,LAN093,"-33.389801,-70.788094",0,24,357
1762480611,2025-11-07T01:56:51Z,LAN093,"-33.388847,-70.788139",0,25,357
1762480617,2025-11-07T01:56:57Z,LAN093,"-33.388092,-70.788193",0,25,357
1762480626,2025-11-07T01:57:06Z,LAN093,"-33.387177,-70.788239",0,17,357
1762480635,2025-11-07T01:57:15Z,LAN093,"-33.386753,-70.788261",0,9,357
1762480642,2025-11-07T01:57:22Z,LAN093,"-33.386429,-70.788277",0,10,357
1762480649,2025-11-07T01:57:29Z,LAN093,"-33.386055,-70.7883",0,12,357
1762480657,2025-11-07T01:57:37Z,LAN093,"-33.385578,-70.78833",0,13,357
1762480664,2025-11-07T01:57:44Z,LAN093,"-33.385101,-70.788345",0,15,357
1762480682,2025-11-07T01:58:02Z,LAN093,"-33.383709,-70.788429",0,17,357
1762480692,2025-11-07T01:58:12Z,LAN093,"-33.382816,-70.788467",0,19,357
1762480699,2025-11-07T01:58:19Z,LAN093,"-33.382175,-70.788513",0,20,357
1762480706,2025-11-07T01:58:26Z,LAN093,"-33.381481,-70.788544",0,21,357
1762480713,2025-11-07T01:58:33Z,LAN093,"-33.38076,-70.788582",0,22,357
1762480720,2025-11-07T01:58:40Z,LAN093,"-33.380016,-70.788628",0,23,357
1762480727,2025-11-07T01:58:47Z,LAN093,"-33.379234,-70.788666",0,24,357
1762480741,2025-11-07T01:59:01Z,LAN093,"-33.377552,-70.788757",0,24,357
1762480749,2025-11-07T01:59:09Z,LAN093,"-33.376839,-70.788795",0,21,357
1762480755,2025-11-07T01:59:15Z,LAN093,"-33.376255,-70.788818",0,17,357
1762480759,2025-11-07T01:59:19Z,LAN093,"-33.376045,-70.788818",0,14,2
1762480765,2025-11-07T01:59:25Z,LAN093,"-33.375755,-70.788681",0,11,25
1762480769,2025-11-07T01:59:29Z,LAN093,"-33.375603,-70.788475",0,10,47
1762480773,2025-11-07T01:59:33Z,LAN093,"-33.375523,-70.788261",0,10,67
1762480778,2025-11-07T01:59:38Z,LAN093,"-33.3755,-70.788025",0,8,84
1762480828,2025-11-07T02:00:28Z,LAN093,"-33.375511,-70.787689",0,0,90
1762480870,2025-11-07T02:01:10Z,LAN093,"-33.375675,-70.786804",0,4,120
