Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762443126,2025-11-06T15:32:06Z,GEC8264,"-34.82579,-56.010319",600,177,53
1762443133,2025-11-06T15:32:13Z,GEC8264,"-34.822495,-56.003647",1050,176,63
1762443135,2025-11-06T15:32:15Z,GEC8264,"-34.821911,-56.00172",1175,174,67
1762443137,2025-11-06T15:32:17Z,GEC8264,"-34.821487,-55.999893",1300,172,74
1762443140,2025-11-06T15:32:20Z,GEC8264,"-34.821075,-55.997372",1425,172,79
1762443142,2025-11-06T15:32:22Z,GEC8264,"-34.820934,-55.995426",1500,173,85
1762443144,2025-11-06T15:32:24Z,GEC8264,"-34.820984,-55.993782",1575,175,92
1762443146,2025-11-06T15:32:26Z,GEC8264,"-34.821121,-55.991318",1675,176,96
1762443148,2025-11-06T15:32:28Z,GEC8264,"-34.821491,-55.988731",1750,177,100
1762443151,2025-11-06T15:32:31Z,GEC8264,"-34.821911,-55.986614",1825,180,103
1762443153,2025-11-06T15:32:33Z,GEC8264,"-34.822376,-55.984726",1875,182,106
1762443155,2025-11-06T15:32:35Z,GEC8264,"-34.823074,-55.982265",1925,187,109
1762443158,2025-11-06T15:32:38Z,GEC8264,"-34.823822,-55.979862",2000,190,110
1762443160,2025-11-06T15:32:40Z,GEC8264,"-34.8246,-55.97736",2050,195,110
1762443162,2025-11-06T15:32:42Z,GEC8264,"-34.82515,-55.97551",2100,196,110
1762443165,2025-11-06T15:32:45Z,GEC8264,"-34.826111,-55.972427",2175,203,110
1762443167,2025-11-06T15:32:47Z,GEC8264,"-34.826752,-55.970299",2225,205,109
1762443170,2025-11-06T15:32:50Z,GEC8264,"-34.827732,-55.966988",2325,208,109
1762443172,2025-11-06T15:32:52Z,GEC8264,"-34.828354,-55.964748",2400,210,109
1762443174,2025-11-06T15:32:54Z,GEC8264,"-34.829132,-55.961945",2500,212,108
1762443176,2025-11-06T15:32:56Z,GEC8264,"-34.829819,-55.959423",2575,215,108
1762443178,2025-11-06T15:32:58Z,GEC8264,"-34.830505,-55.957012",2650,216,108
1762443181,2025-11-06T15:33:01Z,GEC8264,"-34.831192,-55.954433",2750,218,108
1762443183,2025-11-06T15:33:03Z,GEC8264,"-34.831924,-55.951687",2825,220,107
1762443192,2025-11-06T15:33:12Z,GEC8264,"-34.834671,-55.941204",3125,231,108
1762443198,2025-11-06T15:33:18Z,GEC8264,"-34.836994,-55.93277",3375,239,108
1762443205,2025-11-06T15:33:25Z,GEC8264,"-34.83934,-55.924503",3650,245,109
1762443212,2025-11-06T15:33:32Z,GEC8264,"-34.8423,-55.914974",4000,249,111
1762443214,2025-11-06T15:33:34Z,GEC8264,"-34.843094,-55.912788",4075,250,113
1762443216,2025-11-06T15:33:36Z,GEC8264,"-34.844421,-55.909649",4200,252,117
1762443218,2025-11-06T15:33:38Z,GEC8264,"-34.845329,-55.90765",4275,254,120
1762443221,2025-11-06T15:33:41Z,GEC8264,"-34.847168,-55.904156",4425,254,125
1762443223,2025-11-06T15:33:43Z,GEC8264,"-34.848999,-55.901352",4550,255,128
1762443226,2025-11-06T15:33:46Z,GEC8264,"-34.85096,-55.898666",4700,256,132
1762443228,2025-11-06T15:33:48Z,GEC8264,"-34.852341,-55.897038",4775,256,135
1762443230,2025-11-06T15:33:50Z,GEC8264,"-34.854584,-55.894627",4900,258,140
1762443232,2025-11-06T15:33:52Z,GEC8264,"-34.856361,-55.892944",5000,259,144
1762443234,2025-11-06T15:33:54Z,GEC8264,"-34.858456,-55.891228",5100,259,147
1762443236,2025-11-06T15:33:56Z,GEC8264,"-34.860672,-55.889694",5225,260,150
1762443238,2025-11-06T15:33:58Z,GEC8264,"-34.863018,-55.888252",5325,260,153
1762443241,2025-11-06T15:34:01Z,GEC8264,"-34.865765,-55.886765",5475,261,158
1762443243,2025-11-06T15:34:03Z,GEC8264,"-34.868408,-55.885658",5600,262,162
1762443245,2025-11-06T15:34:05Z,GEC8264,"-34.871338,-55.884705",5725,262,165
1762443247,2025-11-06T15:34:07Z,GEC8264,"-34.873856,-55.884087",5825,262,169
1762443250,2025-11-06T15:34:10Z,GEC8264,"-34.876144,-55.883732",5950,263,172
1762443252,2025-11-06T15:34:12Z,GEC8264,"-34.879349,-55.883472",6075,264,178
1762443254,2025-11-06T15:34:14Z,GEC8264,"-34.881405,-55.883503",6175,264,181
1762443256,2025-11-06T15:34:16Z,GEC8264,"-34.883965,-55.883675",6300,264,185
1762443258,2025-11-06T15:34:18Z,GEC8264,"-34.886898,-55.88419",6425,264,188
1762443260,2025-11-06T15:34:20Z,GEC8264,"-34.889282,-55.884762",6550,264,192
1762443263,2025-11-06T15:34:23Z,GEC8264,"-34.891739,-55.885563",6675,263,196
1762443265,2025-11-06T15:34:25Z,GEC8264,"-34.894272,-55.886665",6800,264,199
1762443267,2025-11-06T15:34:27Z,GEC8264,"-34.896744,-55.887901",6925,263,203
1762443269,2025-11-06T15:34:29Z,GEC8264,"-34.899143,-55.889397",7050,263,208
1762443272,2025-11-06T15:34:32Z,GEC8264,"-34.902073,-55.891514",7225,263,211
1762443274,2025-11-06T15:34:34Z,GEC8264,"-34.903839,-55.893055",7325,264,217
1762443276,2025-11-06T15:34:36Z,GEC8264,"-34.906124,-55.895348",7450,263,218
1762443278,2025-11-06T15:34:38Z,GEC8264,"-34.90794,-55.89735",7575,265,223
1762443280,2025-11-06T15:34:40Z,GEC8264,"-34.909615,-55.899353",7675,266,227
1762443282,2025-11-06T15:34:42Z,GEC8264,"-34.911301,-55.901745",7775,266,230
1762443284,2025-11-06T15:34:44Z,GEC8264,"-34.913132,-55.90477",7900,267,234
1762443287,2025-11-06T15:34:47Z,GEC8264,"-34.914551,-55.907421",8000,269,237
1762443289,2025-11-06T15:34:49Z,GEC8264,"-34.916088,-55.910797",8125,271,243
1762443291,2025-11-06T15:34:51Z,GEC8264,"-34.917156,-55.913715",8225,272,246
1762443293,2025-11-06T15:34:53Z,GEC8264,"-34.918087,-55.916576",8325,273,248
1762443295,2025-11-06T15:34:55Z,GEC8264,"-34.918648,-55.918808",8375,275,253
1762443297,2025-11-06T15:34:57Z,GEC8264,"-34.919357,-55.92226",8500,275,255
1762443299,2025-11-06T15:34:59Z,GEC8264,"-34.919907,-55.925793",8600,277,260
1762443302,2025-11-06T15:35:02Z,GEC8264,"-34.920322,-55.929852",8750,278,262
1762443304,2025-11-06T15:35:04Z,GEC8264,"-34.920601,-55.933285",8875,278,265
1762443306,2025-11-06T15:35:06Z,GEC8264,"-34.920788,-55.936546",8975,278,265
1762443308,2025-11-06T15:35:08Z,GEC8264,"-34.920959,-55.939693",9100,279,266
1762443310,2025-11-06T15:35:10Z,GEC8264,"-34.921188,-55.943447",9225,279,265
1762443313,2025-11-06T15:35:13Z,GEC8264,"-34.921371,-55.946754",9350,279,265
1762443315,2025-11-06T15:35:15Z,GEC8264,"-34.921581,-55.949879",9450,279,265
1762443317,2025-11-06T15:35:17Z,GEC8264,"-34.92186,-55.953655",9575,280,264
1762443319,2025-11-06T15:35:19Z,GEC8264,"-34.922092,-55.956974",9700,280,264
1762443322,2025-11-06T15:35:22Z,GEC8264,"-34.922417,-55.960751",9825,281,264
1762443324,2025-11-06T15:35:24Z,GEC8264,"-34.922699,-55.964642",9975,280,264
1762443326,2025-11-06T15:35:26Z,GEC8264,"-34.922928,-55.967773",10075,280,264
1762443339,2025-11-06T15:35:39Z,GEC8264,"-34.924347,-55.988739",10825,283,265
1762443353,2025-11-06T15:35:53Z,GEC8264,"-34.925537,-56.011219",11225,301,266
1762443368,2025-11-06T15:36:08Z,GEC8264,"-34.927094,-56.036606",11575,320,265
1762443381,2025-11-06T15:36:21Z,GEC8264,"-34.928696,-56.060936",11900,340,265
1762443394,2025-11-06T15:36:34Z,GEC8264,"-34.930378,-56.086979",12275,355,265
1762443427,2025-11-06T15:37:07Z,GEC8264,"-34.934986,-56.154156",14125,366,265
1762443460,2025-11-06T15:37:40Z,GEC8264,"-34.939682,-56.221581",16000,373,265
1762443491,2025-11-06T15:38:11Z,GEC8264,"-34.944344,-56.28828",17625,382,265
1762443523,2025-11-06T15:38:43Z,GEC8264,"-34.949047,-56.357574",19125,393,265
1762443556,2025-11-06T15:39:16Z,GEC8264,"-34.953842,-56.431103",19750,402,265
1762443586,2025-11-06T15:39:46Z,GEC8264,"-34.958355,-56.499825",20025,395,265
1762443617,2025-11-06T15:40:17Z,GEC8264,"-34.962734,-56.567631",20000,397,265
1762443649,2025-11-06T15:40:49Z,GEC8264,"-34.967342,-56.639385",20000,397,265
1762443682,2025-11-06T15:41:22Z,GEC8264,"-34.971909,-56.710587",20000,392,265
1762443713,2025-11-06T15:41:53Z,GEC8264,"-34.97644,-56.779865",20000,392,265
1762443743,2025-11-06T15:42:23Z,GEC8264,"-34.981167,-56.846409",20000,392,265
1762443774,2025-11-06T15:42:54Z,GEC8264,"-34.985962,-56.914845",20000,392,265
1762443805,2025-11-06T15:43:25Z,GEC8264,"-34.990616,-56.983337",20000,390,265
1762443838,2025-11-06T15:43:58Z,GEC8264,"-34.995438,-57.054691",20000,390,265
1762443869,2025-11-06T15:44:29Z,GEC8264,"-35.000015,-57.12291",20000,389,265
1762443900,2025-11-06T15:45:00Z,GEC8264,"-35.004581,-57.191448",20000,391,265
1762443931,2025-11-06T15:45:31Z,GEC8264,"-35.009079,-57.259678",20000,390,265
1762443962,2025-11-06T15:46:02Z,GEC8264,"-35.013428,-57.326145",20000,387,265
1762443993,2025-11-06T15:46:33Z,GEC8264,"-35.017712,-57.392921",20000,386,265
1762444024,2025-11-06T15:47:04Z,GEC8264,"-35.022133,-57.461128",20000,384,265
1762444055,2025-11-06T15:47:35Z,GEC8264,"-35.026371,-57.528076",20000,384,265
1762444086,2025-11-06T15:48:06Z,GEC8264,"-35.030605,-57.594967",19775,388,265
1762444118,2025-11-06T15:48:38Z,GEC8264,"-35.034897,-57.663258",18900,381,265
1762444148,2025-11-06T15:49:08Z,GEC8264,"-35.038845,-57.727032",18400,362,265
1762444179,2025-11-06T15:49:39Z,GEC8264,"-35.042618,-57.78883",17375,358,265
1762444210,2025-11-06T15:50:10Z,GEC8264,"-35.046478,-57.851944",16000,365,265
1762444241,2025-11-06T15:50:41Z,GEC8264,"-35.050369,-57.915493",14800,368,265
1762444263,2025-11-06T15:51:03Z,GEC8264,"-35.051228,-57.961636",14050,366,275
1762444265,2025-11-06T15:51:05Z,GEC8264,"-35.050781,-57.966782",13975,366,276
1762444268,2025-11-06T15:51:08Z,GEC8264,"-35.050343,-57.970448",13900,366,277
1762444270,2025-11-06T15:51:10Z,GEC8264,"-35.04982,-57.974743",13825,366,278
1762444272,2025-11-06T15:51:12Z,GEC8264,"-35.049179,-57.979393",13750,366,280
1762444274,2025-11-06T15:51:14Z,GEC8264,"-35.048355,-57.984661",13675,366,280
1762444277,2025-11-06T15:51:17Z,GEC8264,"-35.047737,-57.988701",13600,365,281
1762444279,2025-11-06T15:51:19Z,GEC8264,"-35.046936,-57.993351",13525,365,281
1762444281,2025-11-06T15:51:21Z,GEC8264,"-35.046249,-57.997612",13450,364,281
1762444283,2025-11-06T15:51:23Z,GEC8264,"-35.045288,-58.003048",13375,365,282
1762444285,2025-11-06T15:51:25Z,GEC8264,"-35.044556,-58.007027",13300,365,282
1762444287,2025-11-06T15:51:27Z,GEC8264,"-35.044014,-58.010273",13250,364,282
1762444290,2025-11-06T15:51:30Z,GEC8264,"-35.043091,-58.015266",13175,364,282
1762444320,2025-11-06T15:52:00Z,GEC8264,"-35.032013,-58.077263",12125,362,282
1762444351,2025-11-06T15:52:31Z,GEC8264,"-35.020569,-58.13752",11125,362,283
1762444364,2025-11-06T15:52:44Z,GEC8264,"-35.015579,-58.163021",10700,360,283
1762444377,2025-11-06T15:52:57Z,GEC8264,"-35.010269,-58.190266",10250,359,283
1762444390,2025-11-06T15:53:10Z,GEC8264,"-35.005417,-58.215038",9900,357,283
1762444404,2025-11-06T15:53:24Z,GEC8264,"-35.000393,-58.2407",9550,353,283
1762444417,2025-11-06T15:53:37Z,GEC8264,"-34.995552,-58.265648",9225,350,283
1762444430,2025-11-06T15:53:50Z,GEC8264,"-34.990631,-58.291496",8875,347,282
1762444443,2025-11-06T15:54:03Z,GEC8264,"-34.986008,-58.316116",8600,343,282
1762444456,2025-11-06T15:54:16Z,GEC8264,"-34.981541,-58.33992",8300,339,282
1762444471,2025-11-06T15:54:31Z,GEC8264,"-34.976349,-58.367504",7975,335,282
1762444484,2025-11-06T15:54:44Z,GEC8264,"-34.971764,-58.392391",7725,330,282
1762444497,2025-11-06T15:54:57Z,GEC8264,"-34.96756,-58.415596",7500,325,282
1762444511,2025-11-06T15:55:11Z,GEC8264,"-34.96312,-58.440258",7275,319,282
1762444525,2025-11-06T15:55:25Z,GEC8264,"-34.95887,-58.463745",7075,314,282
1762444538,2025-11-06T15:55:38Z,GEC8264,"-34.95488,-58.486614",6975,304,281
1762444551,2025-11-06T15:55:51Z,GEC8264,"-34.950989,-58.508587",7000,291,282
1762444566,2025-11-06T15:56:06Z,GEC8264,"-34.946903,-58.531837",7000,281,282
1762444580,2025-11-06T15:56:20Z,GEC8264,"-34.943115,-58.553318",6850,281,281
1762444593,2025-11-06T15:56:33Z,GEC8264,"-34.939636,-58.573944",6500,282,281
1762444606,2025-11-06T15:56:46Z,GEC8264,"-34.936295,-58.594181",6200,284,281
1762444619,2025-11-06T15:56:59Z,GEC8264,"-34.93277,-58.615311",5950,286,281
1762444633,2025-11-06T15:57:13Z,GEC8264,"-34.929382,-58.635773",5725,286,281
1762444646,2025-11-06T15:57:26Z,GEC8264,"-34.925995,-58.656456",5500,287,281
1762444659,2025-11-06T15:57:39Z,GEC8264,"-34.922562,-58.677643",5275,288,281
1762444672,2025-11-06T15:57:52Z,GEC8264,"-34.918137,-58.698177",5075,290,290
1762444674,2025-11-06T15:57:54Z,GEC8264,"-34.91711,-58.701038",5050,290,293
1762444676,2025-11-06T15:57:56Z,GEC8264,"-34.91576,-58.704243",5050,290,297
1762444678,2025-11-06T15:57:58Z,GEC8264,"-34.914139,-58.70763",5025,290,300
1762444680,2025-11-06T15:58:00Z,GEC8264,"-34.912903,-58.710152",5025,290,301
1762444683,2025-11-06T15:58:03Z,GEC8264,"-34.911346,-58.713066",5000,290,302
1762444685,2025-11-06T15:58:05Z,GEC8264,"-34.90947,-58.716599",5000,290,303
1762444687,2025-11-06T15:58:07Z,GEC8264,"-34.90794,-58.719292",5000,289,304
1762444689,2025-11-06T15:58:09Z,GEC8264,"-34.906265,-58.72221",5000,289,304
1762444691,2025-11-06T15:58:11Z,GEC8264,"-34.904709,-58.724895",5000,288,305
1762444693,2025-11-06T15:58:13Z,GEC8264,"-34.902695,-58.728256",5000,288,306
1762444696,2025-11-06T15:58:16Z,GEC8264,"-34.901138,-58.730667",5000,287,307
1762444698,2025-11-06T15:58:18Z,GEC8264,"-34.899353,-58.73336",5000,287,309
1762444700,2025-11-06T15:58:20Z,GEC8264,"-34.897373,-58.736172",5000,287,310
1762444702,2025-11-06T15:58:22Z,GEC8264,"-34.895512,-58.738689",5000,287,312
1762444705,2025-11-06T15:58:25Z,GEC8264,"-34.89323,-58.741608",5000,287,313
1762444707,2025-11-06T15:58:27Z,GEC8264,"-34.891136,-58.744125",5000,286,315
1762444709,2025-11-06T15:58:29Z,GEC8264,"-34.889374,-58.74625",5000,284,315
1762444711,2025-11-06T15:58:31Z,GEC8264,"-34.886711,-58.74939",5000,284,315
1762444713,2025-11-06T15:58:33Z,GEC8264,"-34.884895,-58.751507",5000,282,315
1762444716,2025-11-06T15:58:36Z,GEC8264,"-34.88271,-58.754196",5000,281,315
1762444718,2025-11-06T15:58:38Z,GEC8264,"-34.880753,-58.756542",5000,280,315
1762444720,2025-11-06T15:58:40Z,GEC8264,"-34.878567,-58.759174",5000,277,314
1762444723,2025-11-06T15:58:43Z,GEC8264,"-34.876472,-58.761692",5000,275,315
1762444725,2025-11-06T15:58:45Z,GEC8264,"-34.874237,-58.764439",5000,274,315
1762444727,2025-11-06T15:58:47Z,GEC8264,"-34.872978,-58.765984",5000,272,315
1762444729,2025-11-06T15:58:49Z,GEC8264,"-34.871017,-58.768337",5000,270,315
1762444731,2025-11-06T15:58:51Z,GEC8264,"-34.868835,-58.770962",5000,268,315
1762444744,2025-11-06T15:59:04Z,GEC8264,"-34.857246,-58.784637",5000,260,316
1762444758,2025-11-06T15:59:18Z,GEC8264,"-34.845467,-58.798313",5000,261,316
1762444771,2025-11-06T15:59:31Z,GEC8264,"-34.833504,-58.812103",5000,261,316
1762444784,2025-11-06T15:59:44Z,GEC8264,"-34.822083,-58.82534",5000,262,316
1762444798,2025-11-06T15:59:58Z,GEC8264,"-34.810364,-58.83902",5000,261,316
1762444811,2025-11-06T16:00:11Z,GEC8264,"-34.799057,-58.852077",5000,261,316
1762444824,2025-11-06T16:00:24Z,GEC8264,"-34.78751,-58.865433",5000,260,316
1762444837,2025-11-06T16:00:37Z,GEC8264,"-34.776443,-58.878311",5000,255,316
1762444851,2025-11-06T16:00:51Z,GEC8264,"-34.763863,-58.892956",5000,251,315
