Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762688273,2025-11-09T11:37:53Z,MSR671,"30.107218,31.389614",0,0,255
1762692108,2025-11-09T12:41:48Z,MSR671,"30.107346,31.38982",0,4,264
1762692121,2025-11-09T12:42:01Z,MSR671,"30.107357,31.390066",0,5,264
1762692129,2025-11-09T12:42:09Z,MSR671,"30.1073,31.390274",0,6,241
1762692138,2025-11-09T12:42:18Z,MSR671,"30.107346,31.390522",0,5,208
1762692150,2025-11-09T12:42:30Z,MSR671,"30.107567,31.390699",0,5,177
1762692267,2025-11-09T12:44:27Z,MSR671,"30.107769,31.390753",0,0,163
1762692348,2025-11-09T12:45:48Z,MSR671,"30.107555,31.39081",0,3,163
1762692360,2025-11-09T12:46:00Z,MSR671,"30.107311,31.390888",0,6,165
1762692368,2025-11-09T12:46:08Z,MSR671,"30.10709,31.390961",0,7,165
1762692375,2025-11-09T12:46:15Z,MSR671,"30.106773,31.39105",0,9,165
1762692382,2025-11-09T12:46:22Z,MSR671,"30.106487,31.39113",0,11,165
1762692392,2025-11-09T12:46:32Z,MSR671,"30.105972,31.391291",0,10,165
1762692399,2025-11-09T12:46:39Z,MSR671,"30.10568,31.391373",0,10,165
1762692405,2025-11-09T12:46:45Z,MSR671,"30.105434,31.391588",0,12,143
1762692409,2025-11-09T12:46:49Z,MSR671,"30.105366,31.39183",0,13,118
1762692412,2025-11-09T12:46:52Z,MSR671,"30.105389,31.392033",0,13,98
1762692416,2025-11-09T12:46:56Z,MSR671,"30.105448,31.392292",0,13,81
1762692437,2025-11-09T12:47:17Z,MSR671,"30.105801,31.393784",0,0,75
1762692449,2025-11-09T12:47:29Z,MSR671,"30.105984,31.394617",0,0,75
1762692457,2025-11-09T12:47:37Z,MSR671,"30.106148,31.395313",0,15,75
1762692463,2025-11-09T12:47:43Z,MSR671,"30.106264,31.395809",0,15,75
1762692472,2025-11-09T12:47:52Z,MSR671,"30.106419,31.396448",0,13,75
1762692481,2025-11-09T12:48:01Z,MSR671,"30.106508,31.39699",0,9,81
1762692487,2025-11-09T12:48:07Z,MSR671,"30.106392,31.397196",0,9,109
1762692494,2025-11-09T12:48:14Z,MSR671,"30.106134,31.397291",0,8,149
1762692499,2025-11-09T12:48:19Z,MSR671,"30.105927,31.39735",0,7,160
1762692507,2025-11-09T12:48:27Z,MSR671,"30.105646,31.397442",0,8,163
1762692513,2025-11-09T12:48:33Z,MSR671,"30.105425,31.397511",0,9,165
1762692519,2025-11-09T12:48:39Z,MSR671,"30.105192,31.397579",0,9,165
1762692525,2025-11-09T12:48:45Z,MSR671,"30.104902,31.397663",0,10,165
1762692532,2025-11-09T12:48:52Z,MSR671,"30.104553,31.397768",0,11,165
1762692539,2025-11-09T12:48:59Z,MSR671,"30.104187,31.397875",0,12,165
1762692544,2025-11-09T12:49:04Z,MSR671,"30.103867,31.397923",0,12,174
1762692550,2025-11-09T12:49:10Z,MSR671,"30.103621,31.397827",0,11,194
1762692556,2025-11-09T12:49:16Z,MSR671,"30.103443,31.397579",0,9,219
1762692562,2025-11-09T12:49:22Z,MSR671,"30.103271,31.39735",0,9,227
1762692568,2025-11-09T12:49:28Z,MSR671,"30.1031,31.397121",0,11,227
1762692573,2025-11-09T12:49:33Z,MSR671,"30.102928,31.396893",0,12,227
1762692578,2025-11-09T12:49:38Z,MSR671,"30.102734,31.396624",0,13,230
1762692583,2025-11-09T12:49:43Z,MSR671,"30.102528,31.396343",0,13,227
1762692588,2025-11-09T12:49:48Z,MSR671,"30.102333,31.396099",0,14,227
1762692593,2025-11-09T12:49:53Z,MSR671,"30.102081,31.395815",0,14,225
1762692596,2025-11-09T12:49:56Z,MSR671,"30.101875,31.395695",0,14,210
1762692601,2025-11-09T12:50:01Z,MSR671,"30.101624,31.395721",0,13,182
1762692606,2025-11-09T12:50:06Z,MSR671,"30.101418,31.395897",0,12,154
1762692611,2025-11-09T12:50:11Z,MSR671,"30.101189,31.396111",0,11,143
1762692617,2025-11-09T12:50:17Z,MSR671,"30.10096,31.396341",0,12,140
1762692622,2025-11-09T12:50:22Z,MSR671,"30.100754,31.396544",0,12,137
1762692627,2025-11-09T12:50:27Z,MSR671,"30.100525,31.396784",0,13,137
1762692632,2025-11-09T12:50:32Z,MSR671,"30.100342,31.397041",0,12,132
1762692636,2025-11-09T12:50:36Z,MSR671,"30.100227,31.397243",0,13,123
1762692639,2025-11-09T12:50:39Z,MSR671,"30.100159,31.397446",0,13,115
1762692642,2025-11-09T12:50:42Z,MSR671,"30.100136,31.397675",0,15,104
1762692644,2025-11-09T12:50:44Z,MSR671,"30.100136,31.397917",0,17,92
1762692647,2025-11-09T12:50:47Z,MSR671,"30.100187,31.398184",0,21,84
1762692649,2025-11-09T12:50:49Z,MSR671,"30.100227,31.398455",0,23,78
1762692652,2025-11-09T12:50:52Z,MSR671,"30.100296,31.398724",0,26,73
1762692653,2025-11-09T12:50:53Z,MSR671,"30.100397,31.398939",0,29,67
1762692655,2025-11-09T12:50:55Z,MSR671,"30.100607,31.399296",0,31,56
1762692658,2025-11-09T12:50:58Z,MSR671,"30.100834,31.399612",0,34,50
1762692660,2025-11-09T12:51:00Z,MSR671,"30.101072,31.399929",0,38,50
1762692661,2025-11-09T12:51:01Z,MSR671,"30.101303,31.400246",0,45,47
1762692663,2025-11-09T12:51:03Z,MSR671,"30.101601,31.400621",0,56,47
1762692664,2025-11-09T12:51:04Z,MSR671,"30.101749,31.400824",0,61,47
1762692665,2025-11-09T12:51:05Z,MSR671,"30.101934,31.401081",0,65,50
1762692666,2025-11-09T12:51:06Z,MSR671,"30.102144,31.401371",0,70,47
1762692668,2025-11-09T12:51:08Z,MSR671,"30.102654,31.402037",0,78,47
1762692669,2025-11-09T12:51:09Z,MSR671,"30.102882,31.402332",0,82,47
1762692670,2025-11-09T12:51:10Z,MSR671,"30.103144,31.402689",0,86,47
1762692671,2025-11-09T12:51:11Z,MSR671,"30.103308,31.402908",0,87,49
1762692673,2025-11-09T12:51:13Z,MSR671,"30.104187,31.404041",300,100,49
1762692676,2025-11-09T12:51:16Z,MSR671,"30.104914,31.405079",300,109,49
1762692678,2025-11-09T12:51:18Z,MSR671,"30.105705,31.406067",300,121,49
1762692680,2025-11-09T12:51:20Z,MSR671,"30.106613,31.407272",300,128,48
1762692682,2025-11-09T12:51:22Z,MSR671,"30.107574,31.408619",300,132,49
1762692685,2025-11-09T12:51:25Z,MSR671,"30.10849,31.409805",275,136,49
1762692687,2025-11-09T12:51:27Z,MSR671,"30.109451,31.411097",225,147,48
1762692690,2025-11-09T12:51:30Z,MSR671,"30.110825,31.412874",225,153,48
1762692692,2025-11-09T12:51:32Z,MSR671,"30.111786,31.414112",275,162,49
1762692694,2025-11-09T12:51:34Z,MSR671,"30.113068,31.415783",325,168,48
1762692696,2025-11-09T12:51:36Z,MSR671,"30.114349,31.417398",425,169,48
1762692699,2025-11-09T12:51:39Z,MSR671,"30.115526,31.419086",525,168,50
1762692701,2025-11-09T12:51:41Z,MSR671,"30.116776,31.420736",650,165,49
1762692704,2025-11-09T12:51:44Z,MSR671,"30.117762,31.422052",775,163,49
1762692706,2025-11-09T12:51:46Z,MSR671,"30.119019,31.4237",900,162,49
1762692708,2025-11-09T12:51:48Z,MSR671,"30.11998,31.425045",1000,161,49
1762692711,2025-11-09T12:51:51Z,MSR671,"30.121124,31.426607",1150,158,49
