Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762433679,2025-11-06T12:54:39Z,MSR776,"53.426666,-6.246313",0,0,182
1762435670,2025-11-06T13:27:50Z,MSR776,"53.42696,-6.246591",0,3,115
1762435678,2025-11-06T13:27:58Z,MSR776,"53.426979,-6.246818",0,3,149
1762435707,2025-11-06T13:28:27Z,MSR776,"53.427246,-6.246983",0,2,241
1762435737,2025-11-06T13:28:57Z,MSR776,"53.427212,-6.247238",0,3,250
1762436026,2025-11-06T13:33:46Z,MSR776,"53.427132,-6.247532",0,0,244
1762436035,2025-11-06T13:33:55Z,MSR776,"53.427025,-6.247787",0,5,236
1762436042,2025-11-06T13:34:02Z,MSR776,"53.426914,-6.248043",0,6,233
1762436051,2025-11-06T13:34:11Z,MSR776,"53.426765,-6.248415",0,6,233
1762436063,2025-11-06T13:34:23Z,MSR776,"53.426643,-6.248878",0,6,253
1762436072,2025-11-06T13:34:32Z,MSR776,"53.426735,-6.249262",0,6,292
1762436084,2025-11-06T13:34:44Z,MSR776,"53.427006,-6.249592",0,5,323
1762436100,2025-11-06T13:35:00Z,MSR776,"53.4272,-6.249808",0,4,326
1762436115,2025-11-06T13:35:15Z,MSR776,"53.427521,-6.250142",0,6,329
1762436126,2025-11-06T13:35:26Z,MSR776,"53.427738,-6.25073",0,9,289
1762436129,2025-11-06T13:35:29Z,MSR776,"53.427711,-6.250938",0,9,267
1762436133,2025-11-06T13:35:33Z,MSR776,"53.427612,-6.251182",0,9,241
1762436139,2025-11-06T13:35:39Z,MSR776,"53.427429,-6.251495",0,10,225
1762436143,2025-11-06T13:35:43Z,MSR776,"53.427292,-6.251726",0,10,225
1762436150,2025-11-06T13:35:50Z,MSR776,"53.427063,-6.252123",0,12,225
1762436153,2025-11-06T13:35:53Z,MSR776,"53.426945,-6.252331",0,12,225
1762436158,2025-11-06T13:35:58Z,MSR776,"53.426689,-6.252756",0,14,225
1762436165,2025-11-06T13:36:05Z,MSR776,"53.426342,-6.253339",0,15,225
