Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762690908,2025-11-09T12:21:48Z,CES5318,"23.452148,113.4263",5525,280,76
1762690932,2025-11-09T12:22:12Z,CES5318,"23.459303,113.459625",6525,272,76
1762690959,2025-11-09T12:22:39Z,CES5318,"23.463909,113.480827",7225,268,76
1762690984,2025-11-09T12:23:04Z,CES5318,"23.47069,113.511391",8175,276,76
1762690999,2025-11-09T12:23:19Z,CES5318,"23.47592,113.535004",8725,284,77
1762691014,2025-11-09T12:23:34Z,CES5318,"23.479919,113.553307",9175,292,77
1762691029,2025-11-09T12:23:49Z,CES5318,"23.485189,113.577118",9725,295,76
1762691044,2025-11-09T12:24:04Z,CES5318,"23.490072,113.599037",10225,298,76
1762691059,2025-11-09T12:24:19Z,CES5318,"23.4951,113.621674",10750,308,76
1762691074,2025-11-09T12:24:34Z,CES5318,"23.50017,113.644867",11225,316,77
1762691089,2025-11-09T12:24:49Z,CES5318,"23.505342,113.668419",11750,323,76
1762691108,2025-11-09T12:25:08Z,CES5318,"23.51577,113.715721",12725,337,76
1762691140,2025-11-09T12:25:40Z,CES5318,"23.527634,113.769821",13800,348,76
1762691174,2025-11-09T12:26:14Z,CES5318,"23.53656,113.810318",14550,357,76
1762691209,2025-11-09T12:26:49Z,CES5318,"23.550501,113.874168",14800,375,77
1762691244,2025-11-09T12:27:24Z,CES5318,"23.564421,113.937759",14800,371,77
1762691279,2025-11-09T12:27:59Z,CES5318,"23.578291,114.001343",14800,372,77
1762691314,2025-11-09T12:28:34Z,CES5318,"23.59227,114.065346",15100,373,76
1762691349,2025-11-09T12:29:09Z,CES5318,"23.606268,114.129707",15950,376,77
1762691384,2025-11-09T12:29:44Z,CES5318,"23.624451,114.214378",17425,382,77
1762691417,2025-11-09T12:30:17Z,CES5318,"23.636665,114.278229",18500,386,78
1762691449,2025-11-09T12:30:49Z,CES5318,"23.648304,114.338814",18725,386,78
1762691480,2025-11-09T12:31:20Z,CES5318,"23.65971,114.397995",18775,388,78
1762691507,2025-11-09T12:31:47Z,CES5318,"23.671921,114.449974",19400,392,67
1762691509,2025-11-09T12:31:49Z,CES5318,"23.673798,114.454445",19450,392,65
1762691512,2025-11-09T12:31:52Z,CES5318,"23.675491,114.458054",19500,392,63
1762691514,2025-11-09T12:31:54Z,CES5318,"23.676933,114.460747",19550,392,61
1762691516,2025-11-09T12:31:56Z,CES5318,"23.679634,114.465462",19600,392,57
1762691518,2025-11-09T12:31:58Z,CES5318,"23.6821,114.469299",19675,391,55
