Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762697087,2025-11-09T14:04:47Z,NKS152,"33.938816,-118.414322",0,0,81
1762697155,2025-11-09T14:05:55Z,NKS152,"33.938782,-118.414528",0,0,84
1762697173,2025-11-09T14:06:13Z,NKS152,"33.938759,-118.414734",0,0,84
1762697194,2025-11-09T14:06:34Z,NKS152,"33.938725,-118.414948",0,0,98
1762697212,2025-11-09T14:06:52Z,NKS152,"33.938709,-118.415154",0,2,118
1762697235,2025-11-09T14:07:15Z,NKS152,"33.938713,-118.415367",0,0,171
1762697489,2025-11-09T14:11:29Z,NKS152,"33.938507,-118.415321",0,4,174
1762697499,2025-11-09T14:11:39Z,NKS152,"33.938305,-118.415268",0,5,165
1762697510,2025-11-09T14:11:50Z,NKS152,"33.938129,-118.415047",0,6,135
1762697515,2025-11-09T14:11:55Z,NKS152,"33.938095,-118.414818",0,9,106
1762697520,2025-11-09T14:12:00Z,NKS152,"33.938118,-118.414581",0,10,90
1762697524,2025-11-09T14:12:04Z,NKS152,"33.938141,-118.41436",0,10,84
1762697528,2025-11-09T14:12:08Z,NKS152,"33.938164,-118.414146",0,11,81
1762697532,2025-11-09T14:12:12Z,NKS152,"33.938187,-118.413918",0,10,81
1762697536,2025-11-09T14:12:16Z,NKS152,"33.93821,-118.413696",0,9,84
1762697541,2025-11-09T14:12:21Z,NKS152,"33.938232,-118.413475",0,10,81
1762697545,2025-11-09T14:12:25Z,NKS152,"33.938267,-118.41317",0,11,81
1762697550,2025-11-09T14:12:30Z,NKS152,"33.938293,-118.412918",0,12,81
1762697554,2025-11-09T14:12:34Z,NKS152,"33.938324,-118.412605",0,12,81
1762697559,2025-11-09T14:12:39Z,NKS152,"33.938362,-118.412247",0,12,84
1762697564,2025-11-09T14:12:44Z,NKS152,"33.938385,-118.411957",0,10,84
1762697568,2025-11-09T14:12:48Z,NKS152,"33.938324,-118.411736",0,10,104
1762697574,2025-11-09T14:12:54Z,NKS152,"33.938049,-118.411545",0,11,149
1762697580,2025-11-09T14:13:00Z,NKS152,"33.937805,-118.411461",0,10,160
1762697586,2025-11-09T14:13:06Z,NKS152,"33.937641,-118.411171",0,11,120
1762697590,2025-11-09T14:13:10Z,NKS152,"33.937664,-118.410919",0,9,90
1762697596,2025-11-09T14:13:16Z,NKS152,"33.937695,-118.410698",0,4,84
1762697617,2025-11-09T14:13:37Z,NKS152,"33.937717,-118.410492",0,4,84
1762697627,2025-11-09T14:13:47Z,NKS152,"33.937733,-118.410248",0,5,84
1762697635,2025-11-09T14:13:55Z,NKS152,"33.937752,-118.410042",0,6,84
1762697641,2025-11-09T14:14:01Z,NKS152,"33.937786,-118.409805",0,7,81
1762697649,2025-11-09T14:14:09Z,NKS152,"33.93782,-118.40947",0,10,81
1762697655,2025-11-09T14:14:15Z,NKS152,"33.937866,-118.409019",0,12,81
1762697662,2025-11-09T14:14:22Z,NKS152,"33.937912,-118.408569",0,13,81
1762697670,2025-11-09T14:14:30Z,NKS152,"33.937969,-118.408028",0,14,81
1762697677,2025-11-09T14:14:37Z,NKS152,"33.938023,-118.407501",0,15,84
1762697681,2025-11-09T14:14:41Z,NKS152,"33.938061,-118.407074",0,16,81
1762697683,2025-11-09T14:14:43Z,NKS152,"33.938084,-118.406868",0,17,81
