Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762191367,2025-11-03T17:36:07Z,ANZ141,"-37.007504,174.782486",0,0,298
1762191433,2025-11-03T17:37:13Z,ANZ141,"-37.007595,174.7827",0,5,298
1762191441,2025-11-03T17:37:21Z,ANZ141,"-37.007675,174.782913",0,5,298
1762191453,2025-11-03T17:37:33Z,ANZ141,"-37.007835,174.783142",0,4,272
1762191464,2025-11-03T17:37:44Z,ANZ141,"-37.007877,174.783356",0,4,244
1762191473,2025-11-03T17:37:53Z,ANZ141,"-37.007832,174.783569",0,4,225
1762191486,2025-11-03T17:38:06Z,ANZ141,"-37.007702,174.783783",0,3,199
1762191509,2025-11-03T17:38:29Z,ANZ141,"-37.007912,174.783783",0,4,182
1762191522,2025-11-03T17:38:42Z,ANZ141,"-37.008121,174.783752",0,3,185
1762191803,2025-11-03T17:43:23Z,ANZ141,"-37.008327,174.783722",0,3,185
1762191815,2025-11-03T17:43:35Z,ANZ141,"-37.008556,174.783722",0,4,185
1762191824,2025-11-03T17:43:44Z,ANZ141,"-37.008762,174.783691",0,6,185
1762191832,2025-11-03T17:43:52Z,ANZ141,"-37.009026,174.783646",0,7,185
1762191839,2025-11-03T17:43:59Z,ANZ141,"-37.009296,174.783615",0,9,185
1762191844,2025-11-03T17:44:04Z,ANZ141,"-37.009563,174.783615",0,10,180
1762191849,2025-11-03T17:44:09Z,ANZ141,"-37.009769,174.783676",0,10,168
1762191854,2025-11-03T17:44:14Z,ANZ141,"-37.010017,174.783783",0,11,163
1762191859,2025-11-03T17:44:19Z,ANZ141,"-37.010262,174.783798",0,12,174
1762191863,2025-11-03T17:44:23Z,ANZ141,"-37.010483,174.783752",0,12,191
1762191867,2025-11-03T17:44:27Z,ANZ141,"-37.010696,174.7836",0,12,205
1762191872,2025-11-03T17:44:32Z,ANZ141,"-37.010868,174.783386",0,11,222
1762191876,2025-11-03T17:44:36Z,ANZ141,"-37.010983,174.783127",0,12,239
1762191880,2025-11-03T17:44:40Z,ANZ141,"-37.011051,174.782867",0,12,247
1762191884,2025-11-03T17:44:44Z,ANZ141,"-37.011131,174.782593",0,13,250
1762191887,2025-11-03T17:44:47Z,ANZ141,"-37.011204,174.782333",0,13,250
1762191890,2025-11-03T17:44:50Z,ANZ141,"-37.011265,174.782104",0,14,250
1762191893,2025-11-03T17:44:53Z,ANZ141,"-37.011333,174.78183",0,14,250
1762191900,2025-11-03T17:45:00Z,ANZ141,"-37.011497,174.781281",0,15,250
1762191908,2025-11-03T17:45:08Z,ANZ141,"-37.011684,174.780609",0,15,250
1762191914,2025-11-03T17:45:14Z,ANZ141,"-37.011818,174.78009",0,16,250
1762191922,2025-11-03T17:45:22Z,ANZ141,"-37.012032,174.779327",0,17,250
1762191928,2025-11-03T17:45:28Z,ANZ141,"-37.012207,174.778717",0,17,250
1762191936,2025-11-03T17:45:36Z,ANZ141,"-37.012413,174.777939",0,18,250
1762191943,2025-11-03T17:45:43Z,ANZ141,"-37.012627,174.777161",0,19,250
1762191951,2025-11-03T17:45:51Z,ANZ141,"-37.012859,174.776321",0,20,250
1762191957,2025-11-03T17:45:57Z,ANZ141,"-37.013092,174.775482",0,21,250
1762191965,2025-11-03T17:46:05Z,ANZ141,"-37.013306,174.774719",0,19,250
1762191972,2025-11-03T17:46:12Z,ANZ141,"-37.013523,174.773895",0,17,250
1762191979,2025-11-03T17:46:19Z,ANZ141,"-37.013695,174.773315",0,16,250
1762191987,2025-11-03T17:46:27Z,ANZ141,"-37.013882,174.772583",0,16,250
1762191993,2025-11-03T17:46:33Z,ANZ141,"-37.014023,174.772125",0,14,250
1762192000,2025-11-03T17:46:40Z,ANZ141,"-37.014153,174.771637",0,12,250
1762192007,2025-11-03T17:46:47Z,ANZ141,"-37.014278,174.77124",0,10,241
1762192014,2025-11-03T17:46:54Z,ANZ141,"-37.014511,174.771088",0,9,210
1762192019,2025-11-03T17:46:59Z,ANZ141,"-37.014713,174.771042",0,8,194
1762192027,2025-11-03T17:47:07Z,ANZ141,"-37.014919,174.770996",0,4,191
1762192052,2025-11-03T17:47:32Z,ANZ141,"-37.015125,174.77095",0,5,191
1762192060,2025-11-03T17:47:40Z,ANZ141,"-37.015354,174.770905",0,7,191
1762192066,2025-11-03T17:47:46Z,ANZ141,"-37.01556,174.770844",0,8,191
1762192074,2025-11-03T17:47:54Z,ANZ141,"-37.015884,174.770782",0,9,185
1762192080,2025-11-03T17:48:00Z,ANZ141,"-37.016132,174.770874",0,8,165
1762192093,2025-11-03T17:48:13Z,ANZ141,"-37.016293,174.771103",0,4,126
1762192104,2025-11-03T17:48:24Z,ANZ141,"-37.016167,174.771332",0,5,78
1762192107,2025-11-03T17:48:27Z,ANZ141,"-37.016117,174.771545",0,12,73
1762192110,2025-11-03T17:48:30Z,ANZ141,"-37.016048,174.771774",0,15,73
1762192112,2025-11-03T17:48:32Z,ANZ141,"-37.015953,174.77211",0,23,70
1762192114,2025-11-03T17:48:34Z,ANZ141,"-37.015846,174.772522",0,34,70
1762192115,2025-11-03T17:48:35Z,ANZ141,"-37.015766,174.772781",0,39,70
1762192116,2025-11-03T17:48:36Z,ANZ141,"-37.015686,174.773087",0,44,70
1762192117,2025-11-03T17:48:37Z,ANZ141,"-37.01556,174.77356",0,55,70
1762192118,2025-11-03T17:48:38Z,ANZ141,"-37.01548,174.773819",0,56,73
1762192119,2025-11-03T17:48:39Z,ANZ141,"-37.015312,174.774445",0,65,70
1762192121,2025-11-03T17:48:41Z,ANZ141,"-37.015186,174.774887",0,70,70
1762192122,2025-11-03T17:48:42Z,ANZ141,"-37.015057,174.775345",0,74,70
1762192123,2025-11-03T17:48:43Z,ANZ141,"-37.014919,174.775833",0,80,70
1762192124,2025-11-03T17:48:44Z,ANZ141,"-37.014835,174.776169",0,84,70
1762192125,2025-11-03T17:48:45Z,ANZ141,"-37.014587,174.777054",0,89,70
1762192126,2025-11-03T17:48:46Z,ANZ141,"-37.014431,174.777557",0,94,70
1762192127,2025-11-03T17:48:47Z,ANZ141,"-37.014267,174.778229",0,98,70
1762192129,2025-11-03T17:48:49Z,ANZ141,"-37.013916,174.779526",0,112,70
1762192131,2025-11-03T17:48:51Z,ANZ141,"-37.013535,174.780853",0,116,70
1762192133,2025-11-03T17:48:53Z,ANZ141,"-37.013172,174.782272",0,128,70
1762192135,2025-11-03T17:48:55Z,ANZ141,"-37.012756,174.783722",0,136,70
1762192137,2025-11-03T17:48:57Z,ANZ141,"-37.012287,174.78537",0,143,70
1762192139,2025-11-03T17:48:59Z,ANZ141,"-37.011703,174.78746",0,150,70
1762192148,2025-11-03T17:49:08Z,ANZ141,"-37.009644,174.794876",75,159,70
1762192155,2025-11-03T17:49:15Z,ANZ141,"-37.007957,174.800659",375,157,70
1762192163,2025-11-03T17:49:23Z,ANZ141,"-37.006004,174.807404",725,157,69
1762192171,2025-11-03T17:49:31Z,ANZ141,"-37.003738,174.814865",1125,157,69
1762192178,2025-11-03T17:49:38Z,ANZ141,"-37.002182,174.820114",1400,160,70
1762192186,2025-11-03T17:49:46Z,ANZ141,"-37.000046,174.827591",1750,160,70
1762192195,2025-11-03T17:49:55Z,ANZ141,"-36.997971,174.835205",2125,161,71
1762192201,2025-11-03T17:50:01Z,ANZ141,"-36.996414,174.840897",2300,166,71
1762192210,2025-11-03T17:50:10Z,ANZ141,"-36.994217,174.849045",2550,175,71
1762192216,2025-11-03T17:50:16Z,ANZ141,"-36.992523,174.855179",2700,183,70
1762192224,2025-11-03T17:50:24Z,ANZ141,"-36.989914,174.864365",2875,195,70
1762192231,2025-11-03T17:50:31Z,ANZ141,"-36.987991,174.871017",3000,203,70
1762192239,2025-11-03T17:50:39Z,ANZ141,"-36.985382,174.880432",3175,213,70
1762192246,2025-11-03T17:50:46Z,ANZ141,"-36.983238,174.888199",3375,220,70
1762192255,2025-11-03T17:50:55Z,ANZ141,"-36.980026,174.89978",3625,228,71
1762192263,2025-11-03T17:51:03Z,ANZ141,"-36.977142,174.91011",3875,235,70
1762192269,2025-11-03T17:51:09Z,ANZ141,"-36.974762,174.918533",4125,238,70
1762192278,2025-11-03T17:51:18Z,ANZ141,"-36.971741,174.929153",4475,240,70
1762192284,2025-11-03T17:51:24Z,ANZ141,"-36.969223,174.93811",4750,243,70
1762192293,2025-11-03T17:51:33Z,ANZ141,"-36.965969,174.949692",4950,253,70
1762192301,2025-11-03T17:51:41Z,ANZ141,"-36.962894,174.961044",5100,265,71
1762192312,2025-11-03T17:51:52Z,ANZ141,"-36.957184,174.976669",5450,278,61
1762192314,2025-11-03T17:51:54Z,ANZ141,"-36.955402,174.979904",5500,280,57
1762192316,2025-11-03T17:51:56Z,ANZ141,"-36.953979,174.982285",5550,283,54
1762192318,2025-11-03T17:51:58Z,ANZ141,"-36.95224,174.98468",5625,284,50
1762192320,2025-11-03T17:52:00Z,ANZ141,"-36.950272,174.987076",5675,285,46
1762192322,2025-11-03T17:52:02Z,ANZ141,"-36.94812,174.989182",5725,286,41
1762192324,2025-11-03T17:52:04Z,ANZ141,"-36.945557,174.991516",5825,286,36
1762192326,2025-11-03T17:52:06Z,ANZ141,"-36.943268,174.993149",5900,285,32
1762192329,2025-11-03T17:52:09Z,ANZ141,"-36.941109,174.994537",5975,284,28
1762192331,2025-11-03T17:52:11Z,ANZ141,"-36.938736,174.99585",6050,284,25
1762192333,2025-11-03T17:52:13Z,ANZ141,"-36.936081,174.997009",6150,282,21
1762192335,2025-11-03T17:52:15Z,ANZ141,"-36.933521,174.99794",6250,281,17
1762192337,2025-11-03T17:52:17Z,ANZ141,"-36.930866,174.998657",6350,280,14
1762192339,2025-11-03T17:52:19Z,ANZ141,"-36.927704,174.999176",6475,278,9
1762192341,2025-11-03T17:52:21Z,ANZ141,"-36.925186,174.999405",6575,277,7
1762192343,2025-11-03T17:52:23Z,ANZ141,"-36.922989,174.999527",6675,275,2
1762192345,2025-11-03T17:52:25Z,ANZ141,"-36.920021,174.999374",6800,273,358
1762192347,2025-11-03T17:52:27Z,ANZ141,"-36.917587,174.999054",6900,271,355
1762192349,2025-11-03T17:52:29Z,ANZ141,"-36.915272,174.998718",7000,269,351
1762192351,2025-11-03T17:52:31Z,ANZ141,"-36.911968,174.997757",7150,268,348
1762192354,2025-11-03T17:52:34Z,ANZ141,"-36.909668,174.996841",7250,267,345
1762192356,2025-11-03T17:52:36Z,ANZ141,"-36.907265,174.995789",7375,266,341
1762192358,2025-11-03T17:52:38Z,ANZ141,"-36.904892,174.994537",7475,264,337
1762192360,2025-11-03T17:52:40Z,ANZ141,"-36.902935,174.993225",7575,262,334
1762192362,2025-11-03T17:52:42Z,ANZ141,"-36.900654,174.991547",7700,262,330
1762192364,2025-11-03T17:52:44Z,ANZ141,"-36.898773,174.989944",7800,261,327
1762192366,2025-11-03T17:52:46Z,ANZ141,"-36.896759,174.988068",7875,262,324
1762192368,2025-11-03T17:52:48Z,ANZ141,"-36.894791,174.986023",7975,261,321
1762192370,2025-11-03T17:52:50Z,ANZ141,"-36.892868,174.983871",8050,263,318
1762192373,2025-11-03T17:52:53Z,ANZ141,"-36.890182,174.980804",8150,264,317
1762192375,2025-11-03T17:52:55Z,ANZ141,"-36.888382,174.978775",8200,266,317
1762192377,2025-11-03T17:52:57Z,ANZ141,"-36.886185,174.976273",8300,269,317
1762192379,2025-11-03T17:52:59Z,ANZ141,"-36.884262,174.974106",8375,269,317
1762192381,2025-11-03T17:53:01Z,ANZ141,"-36.882019,174.971588",8475,270,318
1762192384,2025-11-03T17:53:04Z,ANZ141,"-36.880096,174.969543",8550,270,318
1762192386,2025-11-03T17:53:06Z,ANZ141,"-36.87817,174.967422",8625,272,318
1762192388,2025-11-03T17:53:08Z,ANZ141,"-36.876205,174.965347",8725,272,319
1762192390,2025-11-03T17:53:10Z,ANZ141,"-36.874306,174.963303",8800,150,319
1762192392,2025-11-03T17:53:12Z,ANZ141,"-36.871948,174.960785",8900,273,319
1762192407,2025-11-03T17:53:27Z,ANZ141,"-36.858109,174.946167",9525,275,319
1762192419,2025-11-03T17:53:39Z,ANZ141,"-36.846142,174.931915",10100,275,311
1762192421,2025-11-03T17:53:41Z,ANZ141,"-36.844849,174.92981",10175,275,308
1762192423,2025-11-03T17:53:43Z,ANZ141,"-36.843018,174.926544",10275,276,304
1762192426,2025-11-03T17:53:46Z,ANZ141,"-36.841675,174.923737",10350,276,301
1762192428,2025-11-03T17:53:48Z,ANZ141,"-36.840511,174.920868",10400,276,298
1762192430,2025-11-03T17:53:50Z,ANZ141,"-36.839298,174.917297",10500,278,294
1762192432,2025-11-03T17:53:52Z,ANZ141,"-36.838276,174.913803",10575,280,289
1762192434,2025-11-03T17:53:54Z,ANZ141,"-36.837616,174.910751",10625,282,286
1762192436,2025-11-03T17:53:56Z,ANZ141,"-36.837017,174.907486",10675,283,282
1762192439,2025-11-03T17:53:59Z,ANZ141,"-36.836506,174.903275",10725,285,279
1762192441,2025-11-03T17:54:01Z,ANZ141,"-36.836319,174.899948",10750,289,275
1762192443,2025-11-03T17:54:03Z,ANZ141,"-36.836319,174.89679",10775,291,271
1762192445,2025-11-03T17:54:05Z,ANZ141,"-36.836506,174.892761",10825,293,268
1762192447,2025-11-03T17:54:07Z,ANZ141,"-36.8367,174.889465",10875,295,265
1762192449,2025-11-03T17:54:09Z,ANZ141,"-36.836971,174.885803",10900,297,264
1762192451,2025-11-03T17:54:11Z,ANZ141,"-36.83725,174.88208",10950,298,264
1762192454,2025-11-03T17:54:14Z,ANZ141,"-36.837524,174.87883",11000,299,263
1762192456,2025-11-03T17:54:16Z,ANZ141,"-36.837891,174.874878",11050,301,263
1762192458,2025-11-03T17:54:18Z,ANZ141,"-36.838181,174.871307",11075,303,263
1762192460,2025-11-03T17:54:20Z,ANZ141,"-36.838577,174.866806",11150,305,263
1762192462,2025-11-03T17:54:22Z,ANZ141,"-36.838787,174.863892",11175,308,264
1762192464,2025-11-03T17:54:24Z,ANZ141,"-36.839127,174.859543",11250,309,264
1762192466,2025-11-03T17:54:26Z,ANZ141,"-36.839401,174.855942",11300,310,265
1762192468,2025-11-03T17:54:28Z,ANZ141,"-36.839626,174.852081",11350,312,265
1762192471,2025-11-03T17:54:31Z,ANZ141,"-36.839859,174.848389",11425,313,265
1762192473,2025-11-03T17:54:33Z,ANZ141,"-36.840137,174.843964",11500,313,265
1762192488,2025-11-03T17:54:48Z,ANZ141,"-36.841553,174.816864",12075,318,266
1762192520,2025-11-03T17:55:20Z,ANZ141,"-36.845211,174.757126",13325,326,265
1762192553,2025-11-03T17:55:53Z,ANZ141,"-36.849216,174.694183",14275,342,265
1762192583,2025-11-03T17:56:23Z,ANZ141,"-36.853043,174.633347",15300,352,265
1762192616,2025-11-03T17:56:56Z,ANZ141,"-36.857128,174.566788",16525,356,265
1762192646,2025-11-03T17:57:26Z,ANZ141,"-36.860947,174.504562",17600,361,265
1762192678,2025-11-03T17:57:58Z,ANZ141,"-36.86499,174.438232",18625,365,265
1762192710,2025-11-03T17:58:30Z,ANZ141,"-36.869186,174.368607",19525,374,265
1762192743,2025-11-03T17:59:03Z,ANZ141,"-36.873276,174.2995",20675,372,265
1762192773,2025-11-03T17:59:33Z,ANZ141,"-36.877193,174.233078",21425,380,265
1762192804,2025-11-03T18:00:04Z,ANZ141,"-36.881149,174.164856",22300,383,265
1762192836,2025-11-03T18:00:36Z,ANZ141,"-36.885246,174.094009",23175,386,265
1762192869,2025-11-03T18:01:09Z,ANZ141,"-36.889297,174.02034",23875,390,267
1762192888,2025-11-03T18:01:28Z,ANZ141,"-36.888016,173.978149",24350,392,276
1762192890,2025-11-03T18:01:30Z,ANZ141,"-36.887466,173.972778",24425,390,276
1762192893,2025-11-03T18:01:33Z,ANZ141,"-36.886917,173.968094",24500,390,277
1762192895,2025-11-03T18:01:35Z,ANZ141,"-36.886368,173.963837",24550,390,278
1762192897,2025-11-03T18:01:37Z,ANZ141,"-36.885773,173.959396",24625,390,279
1762192899,2025-11-03T18:01:39Z,ANZ141,"-36.884922,173.953751",24700,390,280
1762192901,2025-11-03T18:01:41Z,ANZ141,"-36.884262,173.949219",24775,390,280
1762192903,2025-11-03T18:01:43Z,ANZ141,"-36.883572,173.944916",24825,389,280
1762192905,2025-11-03T18:01:45Z,ANZ141,"-36.882797,173.939468",24900,389,280
1762192936,2025-11-03T18:02:16Z,ANZ141,"-36.873283,173.871536",25325,398,279
