Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762535423,2025-11-07T17:10:23Z,ANZ213,"-43.486965,172.539352",0,0,157
1762535489,2025-11-07T17:11:29Z,ANZ213,"-43.486759,172.539261",0,2,143
1762535506,2025-11-07T17:11:46Z,ANZ213,"-43.486576,172.539047",0,3,132
1762535523,2025-11-07T17:12:03Z,ANZ213,"-43.486439,172.538834",0,2,146
1762535545,2025-11-07T17:12:25Z,ANZ213,"-43.486256,172.53862",0,2,208
1762535759,2025-11-07T17:15:59Z,ANZ213,"-43.486401,172.538391",0,5,222
1762535768,2025-11-07T17:16:08Z,ANZ213,"-43.486599,172.538162",0,8,219
1762535774,2025-11-07T17:16:14Z,ANZ213,"-43.486843,172.537872",0,10,219
1762535779,2025-11-07T17:16:19Z,ANZ213,"-43.487034,172.537643",0,12,222
1762535783,2025-11-07T17:16:23Z,ANZ213,"-43.48724,172.537399",0,13,219
1762535788,2025-11-07T17:16:28Z,ANZ213,"-43.487473,172.53714",0,13,219
1762535794,2025-11-07T17:16:34Z,ANZ213,"-43.48772,172.53685",0,13,219
1762535801,2025-11-07T17:16:41Z,ANZ213,"-43.488064,172.536453",0,14,219
1762535810,2025-11-07T17:16:50Z,ANZ213,"-43.488487,172.535965",0,14,219
1762535820,2025-11-07T17:17:00Z,ANZ213,"-43.489048,172.5354",0,15,213
1762535824,2025-11-07T17:17:04Z,ANZ213,"-43.489311,172.535156",0,15,216
1762535829,2025-11-07T17:17:09Z,ANZ213,"-43.489601,172.534821",0,15,219
1762535833,2025-11-07T17:17:13Z,ANZ213,"-43.489803,172.534592",0,16,219
1762535840,2025-11-07T17:17:20Z,ANZ213,"-43.490227,172.534119",0,16,219
1762535844,2025-11-07T17:17:24Z,ANZ213,"-43.490467,172.533829",0,16,219
1762535852,2025-11-07T17:17:32Z,ANZ213,"-43.490982,172.533234",0,17,219
1762535860,2025-11-07T17:17:40Z,ANZ213,"-43.491508,172.532654",0,18,219
1762535868,2025-11-07T17:17:48Z,ANZ213,"-43.491978,172.532089",0,18,222
1762535870,2025-11-07T17:17:50Z,ANZ213,"-43.492172,172.53186",0,18,219
1762535873,2025-11-07T17:17:53Z,ANZ213,"-43.492401,172.531601",0,19,219
1762535877,2025-11-07T17:17:57Z,ANZ213,"-43.492676,172.531296",0,19,219
1762535881,2025-11-07T17:18:01Z,ANZ213,"-43.492905,172.531036",0,19,219
1762535885,2025-11-07T17:18:05Z,ANZ213,"-43.493149,172.530731",0,17,219
1762535891,2025-11-07T17:18:11Z,ANZ213,"-43.4935,172.53035",0,15,219
1762535894,2025-11-07T17:18:14Z,ANZ213,"-43.493687,172.530136",0,15,219
1762535898,2025-11-07T17:18:18Z,ANZ213,"-43.493874,172.529922",0,15,219
1762535901,2025-11-07T17:18:21Z,ANZ213,"-43.494061,172.529694",0,15,219
1762535906,2025-11-07T17:18:26Z,ANZ213,"-43.494289,172.529419",0,15,219
1762535917,2025-11-07T17:18:37Z,ANZ213,"-43.494873,172.528748",0,13,219
1762535923,2025-11-07T17:18:43Z,ANZ213,"-43.49506,172.528503",0,10,227
1762535926,2025-11-07T17:18:46Z,ANZ213,"-43.495117,172.528259",0,10,247
1762535931,2025-11-07T17:18:51Z,ANZ213,"-43.495113,172.527969",0,10,270
1762535935,2025-11-07T17:18:55Z,ANZ213,"-43.49509,172.527679",0,10,272
1762535940,2025-11-07T17:19:00Z,ANZ213,"-43.495083,172.527344",0,11,275
1762535945,2025-11-07T17:19:05Z,ANZ213,"-43.49506,172.527008",0,11,275
1762535949,2025-11-07T17:19:09Z,ANZ213,"-43.495037,172.526703",0,11,275
1762535952,2025-11-07T17:19:12Z,ANZ213,"-43.495014,172.526428",0,12,278
1762535960,2025-11-07T17:19:20Z,ANZ213,"-43.494907,172.525879",0,12,286
1762535964,2025-11-07T17:19:24Z,ANZ213,"-43.494839,172.52565",0,10,289
1762535970,2025-11-07T17:19:30Z,ANZ213,"-43.494732,172.525436",0,7,312
1762535980,2025-11-07T17:19:40Z,ANZ213,"-43.494537,172.525665",0,5,36
1762536021,2025-11-07T17:20:21Z,ANZ213,"-43.49435,172.525894",0,9,39
1762536029,2025-11-07T17:20:29Z,ANZ213,"-43.493408,172.526978",0,43,39
1762536036,2025-11-07T17:20:36Z,ANZ213,"-43.491486,172.529205",0,82,39
1762536045,2025-11-07T17:20:45Z,ANZ213,"-43.488029,172.533218",150,114,40
1762536053,2025-11-07T17:20:53Z,ANZ213,"-43.483566,172.538361",125,151,40
1762536060,2025-11-07T17:21:00Z,ANZ213,"-43.480255,172.542175",350,156,40
1762536069,2025-11-07T17:21:09Z,ANZ213,"-43.475464,172.547882",775,152,40
1762536077,2025-11-07T17:21:17Z,ANZ213,"-43.470852,172.553162",1175,150,39
1762536082,2025-11-07T17:21:22Z,ANZ213,"-43.467964,172.555847",1325,153,34
1762536084,2025-11-07T17:21:24Z,ANZ213,"-43.466721,172.556763",1375,154,30
1762536086,2025-11-07T17:21:26Z,ANZ213,"-43.465359,172.557678",1425,157,28
1762536088,2025-11-07T17:21:28Z,ANZ213,"-43.463684,172.558655",1500,159,23
1762536090,2025-11-07T17:21:30Z,ANZ213,"-43.462463,172.559311",1550,162,21
1762536093,2025-11-07T17:21:33Z,ANZ213,"-43.460983,172.559906",1600,163,18
1762536095,2025-11-07T17:21:35Z,ANZ213,"-43.459167,172.560532",1650,165,15
1762536097,2025-11-07T17:21:37Z,ANZ213,"-43.45763,172.560883",1700,168,11
1762536099,2025-11-07T17:21:39Z,ANZ213,"-43.456001,172.561142",1725,170,8
1762536101,2025-11-07T17:21:41Z,ANZ213,"-43.454372,172.561203",1775,172,4
