Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762474984,2025-11-07T00:23:04Z,ANZ356M,"-43.490475,172.539749",0,0,129
1762475038,2025-11-07T00:23:58Z,ANZ356M,"-43.490536,172.53952",0,4,275
1762475054,2025-11-07T00:24:14Z,ANZ356M,"-43.490513,172.539001",0,7,244
1762475061,2025-11-07T00:24:21Z,ANZ356M,"-43.490696,172.538788",0,7,219
1762475068,2025-11-07T00:24:28Z,ANZ356M,"-43.490856,172.538574",0,8,230
1762475073,2025-11-07T00:24:33Z,ANZ356M,"-43.490833,172.538315",0,7,284
1762475081,2025-11-07T00:24:41Z,ANZ356M,"-43.490685,172.538086",0,6,309
1762475087,2025-11-07T00:24:47Z,ANZ356M,"-43.490547,172.537857",0,9,312
1762475092,2025-11-07T00:24:52Z,ANZ356M,"-43.490391,172.537598",0,10,309
1762475097,2025-11-07T00:24:57Z,ANZ356M,"-43.490242,172.537354",0,11,309
1762475101,2025-11-07T00:25:01Z,ANZ356M,"-43.490112,172.53714",0,11,309
1762475107,2025-11-07T00:25:07Z,ANZ356M,"-43.489925,172.536835",0,11,309
1762475111,2025-11-07T00:25:11Z,ANZ356M,"-43.489788,172.536606",0,12,309
1762475119,2025-11-07T00:25:19Z,ANZ356M,"-43.489498,172.536133",0,11,312
1762475124,2025-11-07T00:25:24Z,ANZ356M,"-43.489334,172.535858",0,11,309
1762475128,2025-11-07T00:25:28Z,ANZ356M,"-43.489197,172.535629",0,12,309
1762475132,2025-11-07T00:25:32Z,ANZ356M,"-43.489029,172.535385",0,12,309
1762475136,2025-11-07T00:25:36Z,ANZ356M,"-43.488876,172.535126",0,13,309
1762475145,2025-11-07T00:25:45Z,ANZ356M,"-43.488575,172.534622",0,13,312
1762475150,2025-11-07T00:25:50Z,ANZ356M,"-43.488373,172.534302",0,13,309
1762475154,2025-11-07T00:25:54Z,ANZ356M,"-43.488205,172.534042",0,13,309
1762475158,2025-11-07T00:25:58Z,ANZ356M,"-43.488064,172.533798",0,11,309
1762475163,2025-11-07T00:26:03Z,ANZ356M,"-43.487888,172.533569",0,9,320
1762475169,2025-11-07T00:26:09Z,ANZ356M,"-43.487671,172.533585",0,8,16
1762475177,2025-11-07T00:26:17Z,ANZ356M,"-43.487503,172.533798",0,3,42
1762475209,2025-11-07T00:26:49Z,ANZ356M,"-43.487217,172.534119",0,26,42
1762475216,2025-11-07T00:26:56Z,ANZ356M,"-43.486061,172.535461",0,62,39
1762475227,2025-11-07T00:27:07Z,ANZ356M,"-43.482815,172.539169",100,102,39
1762475237,2025-11-07T00:27:17Z,ANZ356M,"-43.478668,172.543991",200,123,40
1762475243,2025-11-07T00:27:23Z,ANZ356M,"-43.476105,172.546921",375,120,40
1762475252,2025-11-07T00:27:32Z,ANZ356M,"-43.472343,172.551208",725,117,37
1762475254,2025-11-07T00:27:34Z,ANZ356M,"-43.471458,172.552124",775,117,34
1762475256,2025-11-07T00:27:36Z,ANZ356M,"-43.470528,172.552902",825,119,31
1762475258,2025-11-07T00:27:38Z,ANZ356M,"-43.469513,172.553757",875,122,28
1762475260,2025-11-07T00:27:40Z,ANZ356M,"-43.468384,172.554474",900,126,24
1762475262,2025-11-07T00:27:42Z,ANZ356M,"-43.46722,172.55513",925,129,21
1762475265,2025-11-07T00:27:45Z,ANZ356M,"-43.466057,172.55571",975,132,18
1762475267,2025-11-07T00:27:47Z,ANZ356M,"-43.464569,172.556366",1000,133,16
1762475269,2025-11-07T00:27:49Z,ANZ356M,"-43.463287,172.556885",1025,138,15
1762475271,2025-11-07T00:27:51Z,ANZ356M,"-43.462055,172.557281",1025,141,14
1762475273,2025-11-07T00:27:53Z,ANZ356M,"-43.460842,172.557739",1050,146,15
1762475275,2025-11-07T00:27:55Z,ANZ356M,"-43.458984,172.558487",1075,149,16
1762475277,2025-11-07T00:27:57Z,ANZ356M,"-43.457676,172.559052",1100,150,16
1762475280,2025-11-07T00:28:00Z,ANZ356M,"-43.456329,172.559631",1125,150,16
1762475282,2025-11-07T00:28:02Z,ANZ356M,"-43.45459,172.560333",1200,151,17
1762475284,2025-11-07T00:28:04Z,ANZ356M,"-43.4533,172.560944",1250,150,18
1762475286,2025-11-07T00:28:06Z,ANZ356M,"-43.451981,172.561554",1300,149,19
1762475288,2025-11-07T00:28:08Z,ANZ356M,"-43.450424,172.562317",1375,150,20
1762475291,2025-11-07T00:28:11Z,ANZ356M,"-43.449203,172.562973",1425,150,21
1762475293,2025-11-07T00:28:13Z,ANZ356M,"-43.447769,172.563721",1475,149,21
1762475295,2025-11-07T00:28:15Z,ANZ356M,"-43.446133,172.564682",1525,150,22
1762475297,2025-11-07T00:28:17Z,ANZ356M,"-43.444885,172.565384",1575,151,22
1762475299,2025-11-07T00:28:19Z,ANZ356M,"-43.443386,172.566238",1625,152,23
1762475301,2025-11-07T00:28:21Z,ANZ356M,"-43.442047,172.567047",1650,153,23
1762475304,2025-11-07T00:28:24Z,ANZ356M,"-43.440685,172.567886",1700,153,24
