Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762478909,2025-11-07T01:28:29Z,ANZ630,"-45.021343,168.740036",0,0,205
1762478983,2025-11-07T01:29:43Z,ANZ630,"-45.021133,168.740173",0,4,208
1762478997,2025-11-07T01:29:57Z,ANZ630,"-45.020931,168.740265",0,4,255
1762479008,2025-11-07T01:30:08Z,ANZ630,"-45.020885,168.740524",0,4,289
1762479018,2025-11-07T01:30:18Z,ANZ630,"-45.020935,168.740738",0,3,295
1762479246,2025-11-07T01:34:06Z,ANZ630,"-45.020805,168.740524",0,4,312
1762479255,2025-11-07T01:34:15Z,ANZ630,"-45.020599,168.740463",0,6,348
1762479259,2025-11-07T01:34:19Z,ANZ630,"-45.020393,168.740555",0,10,14
1762479264,2025-11-07T01:34:24Z,ANZ630,"-45.020142,168.740692",0,14,25
1762479267,2025-11-07T01:34:27Z,ANZ630,"-45.019913,168.74086",0,15,25
1762479271,2025-11-07T01:34:31Z,ANZ630,"-45.019703,168.740967",0,16,22
1762479274,2025-11-07T01:34:34Z,ANZ630,"-45.019444,168.741119",0,15,22
1762479277,2025-11-07T01:34:37Z,ANZ630,"-45.019238,168.741272",0,15,28
1762479280,2025-11-07T01:34:40Z,ANZ630,"-45.019073,168.741516",0,14,50
1762479283,2025-11-07T01:34:43Z,ANZ630,"-45.018997,168.741791",0,14,70
1762479287,2025-11-07T01:34:47Z,ANZ630,"-45.018974,168.742081",0,15,81
1762479290,2025-11-07T01:34:50Z,ANZ630,"-45.01894,168.742401",0,15,81
1762479293,2025-11-07T01:34:53Z,ANZ630,"-45.018902,168.742676",0,15,78
1762479295,2025-11-07T01:34:55Z,ANZ630,"-45.01886,168.742889",0,15,75
1762479298,2025-11-07T01:34:58Z,ANZ630,"-45.018826,168.743118",0,15,75
1762479300,2025-11-07T01:35:00Z,ANZ630,"-45.018791,168.743332",0,15,78
1762479303,2025-11-07T01:35:03Z,ANZ630,"-45.018711,168.743729",0,16,78
1762479306,2025-11-07T01:35:06Z,ANZ630,"-45.018677,168.743973",0,16,78
1762479308,2025-11-07T01:35:08Z,ANZ630,"-45.018642,168.744202",0,16,78
1762479310,2025-11-07T01:35:10Z,ANZ630,"-45.018608,168.744476",0,17,78
1762479318,2025-11-07T01:35:18Z,ANZ630,"-45.018471,168.745331",0,16,78
1762479320,2025-11-07T01:35:20Z,ANZ630,"-45.018436,168.74559",0,16,78
1762479322,2025-11-07T01:35:22Z,ANZ630,"-45.018391,168.745834",0,16,75
1762479324,2025-11-07T01:35:24Z,ANZ630,"-45.018356,168.746048",0,16,78
1762479327,2025-11-07T01:35:27Z,ANZ630,"-45.018322,168.746277",0,16,78
1762479329,2025-11-07T01:35:29Z,ANZ630,"-45.018288,168.746506",0,16,78
1762479331,2025-11-07T01:35:31Z,ANZ630,"-45.018261,168.746719",0,16,78
1762479333,2025-11-07T01:35:33Z,ANZ630,"-45.018208,168.746994",0,17,75
1762479335,2025-11-07T01:35:35Z,ANZ630,"-45.018173,168.747223",0,17,75
1762479339,2025-11-07T01:35:39Z,ANZ630,"-45.018116,168.747574",0,17,78
1762479341,2025-11-07T01:35:41Z,ANZ630,"-45.01807,168.747864",0,17,78
1762479343,2025-11-07T01:35:43Z,ANZ630,"-45.018028,168.748138",0,17,78
1762479346,2025-11-07T01:35:46Z,ANZ630,"-45.018002,168.748352",0,18,78
1762479348,2025-11-07T01:35:48Z,ANZ630,"-45.017944,168.748688",0,18,78
1762479355,2025-11-07T01:35:55Z,ANZ630,"-45.017807,168.749573",0,20,75
1762479357,2025-11-07T01:35:57Z,ANZ630,"-45.017761,168.749863",0,21,78
