Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762251657,2025-11-04T10:20:57Z,MGL307,"47.650173,106.821457",0,0,25
1762251696,2025-11-04T10:21:36Z,MGL307,"47.649948,106.82132",0,2,22
1762251718,2025-11-04T10:21:58Z,MGL307,"47.649742,106.821175",0,2,11
1762252134,2025-11-04T10:28:54Z,MGL307,"47.649498,106.820404",0,0,286
1762252144,2025-11-04T10:29:04Z,MGL307,"47.649616,106.819763",0,0,284
1762252204,2025-11-04T10:30:04Z,MGL307,"47.649788,106.815453",0,11,230
1762252206,2025-11-04T10:30:06Z,MGL307,"47.649696,106.815247",0,10,239
1762252211,2025-11-04T10:30:11Z,MGL307,"47.649635,106.814995",0,10,250
1762252214,2025-11-04T10:30:14Z,MGL307,"47.649612,106.814713",0,11,267
1762252218,2025-11-04T10:30:18Z,MGL307,"47.649647,106.814453",0,11,281
1762252220,2025-11-04T10:30:20Z,MGL307,"47.649673,106.814232",0,12,284
1762252222,2025-11-04T10:30:22Z,MGL307,"47.649719,106.814026",0,13,284
1762252225,2025-11-04T10:30:25Z,MGL307,"47.649754,106.81382",0,13,286
1762252228,2025-11-04T10:30:28Z,MGL307,"47.649788,106.813606",0,13,284
1762252231,2025-11-04T10:30:31Z,MGL307,"47.649845,106.813293",0,14,284
1762252235,2025-11-04T10:30:35Z,MGL307,"47.649914,106.812943",0,14,286
1762252237,2025-11-04T10:30:37Z,MGL307,"47.649963,106.812637",0,15,284
1762252241,2025-11-04T10:30:41Z,MGL307,"47.650028,106.812294",0,15,284
1762252244,2025-11-04T10:30:44Z,MGL307,"47.650078,106.812004",0,15,284
1762252246,2025-11-04T10:30:46Z,MGL307,"47.650116,106.811775",0,15,284
1762252255,2025-11-04T10:30:55Z,MGL307,"47.65023,106.811127",0,16,284
1762252262,2025-11-04T10:31:02Z,MGL307,"47.650417,106.810097",0,17,284
1762252269,2025-11-04T10:31:09Z,MGL307,"47.650566,106.809273",0,17,284
1762252276,2025-11-04T10:31:16Z,MGL307,"47.650719,106.808357",0,18,284
1762252283,2025-11-04T10:31:23Z,MGL307,"47.650875,106.807465",0,18,284
1762252291,2025-11-04T10:31:31Z,MGL307,"47.651012,106.806679",0,18,284
1762252297,2025-11-04T10:31:37Z,MGL307,"47.651184,106.805733",0,19,284
1762252305,2025-11-04T10:31:45Z,MGL307,"47.651382,106.804642",0,20,284
1762252313,2025-11-04T10:31:53Z,MGL307,"47.65155,106.803658",0,20,284
