Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762254233,2025-11-04T11:03:53Z,AAR601,"37.454075,126.453209",0,0,343
1762254414,2025-11-04T11:06:54Z,AAR601,"37.455257,126.452805",0,6,343
1762254535,2025-11-04T11:08:55Z,AAR601,"37.455894,126.455147",0,9,143
1762254546,2025-11-04T11:09:06Z,AAR601,"37.455517,126.455467",0,10,143
1762254556,2025-11-04T11:09:16Z,AAR601,"37.455128,126.455833",0,10,143
1762254564,2025-11-04T11:09:24Z,AAR601,"37.454842,126.456085",0,10,143
1762254576,2025-11-04T11:09:36Z,AAR601,"37.454372,126.456505",0,11,143
1762254602,2025-11-04T11:10:02Z,AAR601,"37.453251,126.457504",0,11,143
1762254639,2025-11-04T11:10:39Z,AAR601,"37.453377,126.458977",0,8,56
1762254670,2025-11-04T11:11:10Z,AAR601,"37.454117,126.460312",0,8,53
1762254727,2025-11-04T11:12:07Z,AAR601,"37.459003,126.456566",0,82,323
1762254737,2025-11-04T11:12:17Z,AAR601,"37.462635,126.453354",0,112,324
1762254748,2025-11-04T11:12:28Z,AAR601,"37.468094,126.448547",0,112,324
1762254765,2025-11-04T11:12:45Z,AAR601,"37.478256,126.439545",0,171,324
1762254787,2025-11-04T11:13:07Z,AAR601,"37.492054,126.427437",300,170,325
1762254794,2025-11-04T11:13:14Z,AAR601,"37.496712,126.423378",475,170,325
1762254805,2025-11-04T11:13:25Z,AAR601,"37.504486,126.416931",725,173,327
1762254814,2025-11-04T11:13:34Z,AAR601,"37.51049,126.412155",925,173,327
1762254822,2025-11-04T11:13:42Z,AAR601,"37.516216,126.407616",1125,175,328
1762254831,2025-11-04T11:13:51Z,AAR601,"37.522202,126.402908",1325,177,327
1762254837,2025-11-04T11:13:57Z,AAR601,"37.526321,126.399689",1450,177,327
1762254845,2025-11-04T11:14:05Z,AAR601,"37.532043,126.395134",1675,178,327
1762254854,2025-11-04T11:14:14Z,AAR601,"37.538269,126.390167",1900,180,327
1762254860,2025-11-04T11:14:20Z,AAR601,"37.542519,126.386719",2075,180,327
1762254868,2025-11-04T11:14:28Z,AAR601,"37.548065,126.382278",2300,181,327
1762254874,2025-11-04T11:14:34Z,AAR601,"37.552246,126.378899",2475,182,327
1762254883,2025-11-04T11:14:43Z,AAR601,"37.559322,126.373703",2725,182,335
1762254885,2025-11-04T11:14:45Z,AAR601,"37.561066,126.37281",2800,182,338
1762254888,2025-11-04T11:14:48Z,AAR601,"37.562759,126.372047",2850,183,341
1762254890,2025-11-04T11:14:50Z,AAR601,"37.564583,126.371315",2875,185,343
1762254892,2025-11-04T11:14:52Z,AAR601,"37.565887,126.370834",2900,187,344
1762254894,2025-11-04T11:14:54Z,AAR601,"37.567978,126.370125",2950,188,344
1762254896,2025-11-04T11:14:56Z,AAR601,"37.569752,126.369522",2975,192,345
1762254898,2025-11-04T11:14:58Z,AAR601,"37.57196,126.368782",3000,193,345
1762254900,2025-11-04T11:15:00Z,AAR601,"37.573563,126.368256",3050,195,344
1762254902,2025-11-04T11:15:02Z,AAR601,"37.575485,126.367607",3075,198,344
