Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762252102,2025-11-04T10:28:22Z,PGT8GQ,"51.888298,0.254574",0,0,42
1762253313,2025-11-04T10:48:33Z,PGT8GQ,"51.888176,0.254356",0,2,39
1762253357,2025-11-04T10:49:17Z,PGT8GQ,"51.887905,0.253963",0,0,2
1762253383,2025-11-04T10:49:43Z,PGT8GQ,"51.887695,0.253925",0,0,340
1762253432,2025-11-04T10:50:32Z,PGT8GQ,"51.887486,0.254059",0,1,312
1762253593,2025-11-04T10:53:13Z,PGT8GQ,"51.887741,0.253632",0,5,312
1762253602,2025-11-04T10:53:22Z,PGT8GQ,"51.887905,0.253353",0,6,312
1762253611,2025-11-04T10:53:31Z,PGT8GQ,"51.888073,0.253075",0,7,312
1762253619,2025-11-04T10:53:39Z,PGT8GQ,"51.888245,0.25276",0,7,312
1762253626,2025-11-04T10:53:46Z,PGT8GQ,"51.888405,0.252481",0,8,312
1762253635,2025-11-04T10:53:55Z,PGT8GQ,"51.888649,0.252056",0,9,312
1762253644,2025-11-04T10:54:04Z,PGT8GQ,"51.888905,0.251617",0,10,312
1762253653,2025-11-04T10:54:13Z,PGT8GQ,"51.88916,0.251179",0,10,312
1762253659,2025-11-04T10:54:19Z,PGT8GQ,"51.8894,0.250756",0,11,312
1762253666,2025-11-04T10:54:26Z,PGT8GQ,"51.88958,0.250435",0,9,312
1762253673,2025-11-04T10:54:33Z,PGT8GQ,"51.889709,0.249977",0,9,292
1762253678,2025-11-04T10:54:38Z,PGT8GQ,"51.889755,0.249679",0,8,286
1762253682,2025-11-04T10:54:42Z,PGT8GQ,"51.889778,0.249443",0,8,284
1762253689,2025-11-04T10:54:49Z,PGT8GQ,"51.889893,0.249043",0,8,295
1762253695,2025-11-04T10:54:55Z,PGT8GQ,"51.890007,0.248825",0,7,306
1762253700,2025-11-04T10:55:00Z,PGT8GQ,"51.890125,0.248604",0,6,309
1762253708,2025-11-04T10:55:08Z,PGT8GQ,"51.890247,0.248399",0,5,315
1762253717,2025-11-04T10:55:17Z,PGT8GQ,"51.890453,0.248203",0,4,326
1762253731,2025-11-04T10:55:31Z,PGT8GQ,"51.890659,0.248213",0,3,357
1762253752,2025-11-04T10:55:52Z,PGT8GQ,"51.890865,0.248436",0,3,28
1762253761,2025-11-04T10:56:01Z,PGT8GQ,"51.890999,0.248642",0,5,39
1762253769,2025-11-04T10:56:09Z,PGT8GQ,"51.89114,0.248852",0,6,42
1762253777,2025-11-04T10:56:17Z,PGT8GQ,"51.891289,0.249085",0,6,42
1762253783,2025-11-04T10:56:23Z,PGT8GQ,"51.89143,0.24929",0,7,42
1762253790,2025-11-04T10:56:30Z,PGT8GQ,"51.891594,0.249538",0,7,42
1762253798,2025-11-04T10:56:38Z,PGT8GQ,"51.891792,0.249825",0,8,42
1762253805,2025-11-04T10:56:45Z,PGT8GQ,"51.891964,0.250087",0,8,42
1762253810,2025-11-04T10:56:50Z,PGT8GQ,"51.892101,0.250329",0,8,47
1762253814,2025-11-04T10:56:54Z,PGT8GQ,"51.892181,0.250533",0,9,53
1762253818,2025-11-04T10:56:58Z,PGT8GQ,"51.892269,0.250778",0,9,56
1762253823,2025-11-04T10:57:03Z,PGT8GQ,"51.892376,0.251034",0,9,56
1762253826,2025-11-04T10:57:06Z,PGT8GQ,"51.892456,0.251236",0,9,56
1762253831,2025-11-04T10:57:11Z,PGT8GQ,"51.892548,0.251479",0,8,59
1762253835,2025-11-04T10:57:15Z,PGT8GQ,"51.892628,0.251694",0,8,56
1762253840,2025-11-04T10:57:20Z,PGT8GQ,"51.892735,0.251942",0,9,56
1762253844,2025-11-04T10:57:24Z,PGT8GQ,"51.89286,0.252151",0,8,47
1762253850,2025-11-04T10:57:30Z,PGT8GQ,"51.893005,0.252389",0,7,45
1762253857,2025-11-04T10:57:37Z,PGT8GQ,"51.893188,0.252609",0,8,36
1762253863,2025-11-04T10:57:43Z,PGT8GQ,"51.893398,0.252686",0,8,14
1762253870,2025-11-04T10:57:50Z,PGT8GQ,"51.893608,0.252548",0,7,343
1762253876,2025-11-04T10:57:56Z,PGT8GQ,"51.893738,0.252342",0,6,323
1762253881,2025-11-04T10:58:01Z,PGT8GQ,"51.893841,0.252136",0,7,315
1762253887,2025-11-04T10:58:07Z,PGT8GQ,"51.893967,0.251904",0,5,312
1762253907,2025-11-04T10:58:27Z,PGT8GQ,"51.894093,0.251694",0,0,312
1762254012,2025-11-04T11:00:12Z,PGT8GQ,"51.894218,0.251484",0,5,312
1762254019,2025-11-04T11:00:19Z,PGT8GQ,"51.894352,0.251253",0,6,312
1762254025,2025-11-04T11:00:25Z,PGT8GQ,"51.894505,0.250979",0,8,312
1762254032,2025-11-04T11:00:32Z,PGT8GQ,"51.894699,0.250626",0,9,312
1762254039,2025-11-04T11:00:39Z,PGT8GQ,"51.894886,0.250292",0,9,309
1762254043,2025-11-04T11:00:43Z,PGT8GQ,"51.894981,0.250076",0,9,306
1762254046,2025-11-04T11:00:46Z,PGT8GQ,"51.895016,0.24986",0,8,292
1762254051,2025-11-04T11:00:51Z,PGT8GQ,"51.894951,0.249634",0,8,258
1762254059,2025-11-04T11:00:59Z,PGT8GQ,"51.894737,0.249429",0,7,222
1762254064,2025-11-04T11:01:04Z,PGT8GQ,"51.894516,0.249076",0,22,222
1762254066,2025-11-04T11:01:06Z,PGT8GQ,"51.894318,0.248801",0,32,222
1762254067,2025-11-04T11:01:07Z,PGT8GQ,"51.89415,0.248528",0,37,222
1762254069,2025-11-04T11:01:09Z,PGT8GQ,"51.893829,0.24807",0,48,222
1762254070,2025-11-04T11:01:10Z,PGT8GQ,"51.893555,0.24765",0,53,222
1762254072,2025-11-04T11:01:12Z,PGT8GQ,"51.893375,0.247383",0,57,222
1762254073,2025-11-04T11:01:13Z,PGT8GQ,"51.893154,0.247062",0,62,222
1762254074,2025-11-04T11:01:14Z,PGT8GQ,"51.892769,0.246487",0,72,222
1762254075,2025-11-04T11:01:15Z,PGT8GQ,"51.892525,0.246116",0,76,222
1762254082,2025-11-04T11:01:22Z,PGT8GQ,"51.890289,0.242767",425,106,223
1762254096,2025-11-04T11:01:36Z,PGT8GQ,"51.884216,0.233682",375,137,222
1762254102,2025-11-04T11:01:42Z,PGT8GQ,"51.88084,0.2285",500,162,223
1762254110,2025-11-04T11:01:50Z,PGT8GQ,"51.876045,0.221329",825,161,222
1762254119,2025-11-04T11:01:59Z,PGT8GQ,"51.871674,0.214753",1175,159,222
1762254127,2025-11-04T11:02:07Z,PGT8GQ,"51.867199,0.20813",1600,154,222
1762254135,2025-11-04T11:02:15Z,PGT8GQ,"51.863152,0.202103",2000,150,222
1762254139,2025-11-04T11:02:19Z,PGT8GQ,"51.860916,0.19909",2200,148,217
1762254141,2025-11-04T11:02:21Z,PGT8GQ,"51.85952,0.197449",2325,146,214
1762254143,2025-11-04T11:02:23Z,PGT8GQ,"51.858402,0.196304",2425,145,211
1762254145,2025-11-04T11:02:25Z,PGT8GQ,"51.857346,0.195378",2500,144,208
1762254147,2025-11-04T11:02:27Z,PGT8GQ,"51.856064,0.194339",2600,143,205
1762254149,2025-11-04T11:02:29Z,PGT8GQ,"51.854725,0.193481",2700,142,201
1762254152,2025-11-04T11:02:32Z,PGT8GQ,"51.853466,0.192795",2800,141,198
1762254154,2025-11-04T11:02:34Z,PGT8GQ,"51.852127,0.192187",2900,140,194
1762254156,2025-11-04T11:02:36Z,PGT8GQ,"51.851048,0.191803",2975,140,190
1762254158,2025-11-04T11:02:38Z,PGT8GQ,"51.849701,0.191444",3075,140,187
1762254160,2025-11-04T11:02:40Z,PGT8GQ,"51.848099,0.191147",3200,139,184
1762254162,2025-11-04T11:02:42Z,PGT8GQ,"51.84668,0.191073",3275,140,182
1762254164,2025-11-04T11:02:44Z,PGT8GQ,"51.845398,0.191073",3375,140,180
1762254166,2025-11-04T11:02:46Z,PGT8GQ,"51.844341,0.191116",3450,141,176
1762254168,2025-11-04T11:02:48Z,PGT8GQ,"51.842758,0.191345",3525,142,173
1762254170,2025-11-04T11:02:50Z,PGT8GQ,"51.841599,0.191593",3600,143,171
1762254172,2025-11-04T11:02:52Z,PGT8GQ,"51.840271,0.192038",3650,145,168
1762254174,2025-11-04T11:02:54Z,PGT8GQ,"51.838898,0.192483",3725,148,166
1762254176,2025-11-04T11:02:56Z,PGT8GQ,"51.837452,0.193176",3775,152,163
1762254179,2025-11-04T11:02:59Z,PGT8GQ,"51.835732,0.194092",3850,154,161
1762254181,2025-11-04T11:03:01Z,PGT8GQ,"51.834614,0.194855",3875,158,158
1762254183,2025-11-04T11:03:03Z,PGT8GQ,"51.832947,0.196047",3925,164,153
1762254185,2025-11-04T11:03:05Z,PGT8GQ,"51.831482,0.197383",3950,168,150
1762254187,2025-11-04T11:03:07Z,PGT8GQ,"51.830143,0.198669",3975,173,147
1762254189,2025-11-04T11:03:09Z,PGT8GQ,"51.828934,0.200043",4000,179,144
1762254191,2025-11-04T11:03:11Z,PGT8GQ,"51.827316,0.201985",4025,184,141
1762254193,2025-11-04T11:03:13Z,PGT8GQ,"51.825954,0.203934",4025,191,137
1762254195,2025-11-04T11:03:15Z,PGT8GQ,"51.824615,0.206068",4050,197,134
1762254197,2025-11-04T11:03:17Z,PGT8GQ,"51.823471,0.208072",4075,201,132
1762254199,2025-11-04T11:03:19Z,PGT8GQ,"51.822235,0.210448",4100,206,129
1762254201,2025-11-04T11:03:21Z,PGT8GQ,"51.821045,0.212971",4150,210,127
1762254204,2025-11-04T11:03:24Z,PGT8GQ,"51.819763,0.215792",4175,214,124
1762254206,2025-11-04T11:03:26Z,PGT8GQ,"51.818459,0.219193",4250,219,121
1762254208,2025-11-04T11:03:28Z,PGT8GQ,"51.817566,0.221657",4325,221,118
1762254210,2025-11-04T11:03:30Z,PGT8GQ,"51.816605,0.224774",4400,224,115
1762254212,2025-11-04T11:03:32Z,PGT8GQ,"51.815525,0.2285",4475,225,114
1762254214,2025-11-04T11:03:34Z,PGT8GQ,"51.814774,0.231529",4525,229,111
1762254216,2025-11-04T11:03:36Z,PGT8GQ,"51.814041,0.235093",4600,231,108
1762254218,2025-11-04T11:03:38Z,PGT8GQ,"51.81348,0.237961",4650,234,105
1762254220,2025-11-04T11:03:40Z,PGT8GQ,"51.81292,0.241547",4725,236,103
1762254222,2025-11-04T11:03:42Z,PGT8GQ,"51.812393,0.245634",4825,238,100
1762254224,2025-11-04T11:03:44Z,PGT8GQ,"51.81213,0.249023",4900,240,97
1762254226,2025-11-04T11:03:46Z,PGT8GQ,"51.81189,0.252611",4975,240,95
1762254229,2025-11-04T11:03:49Z,PGT8GQ,"51.811802,0.256577",5075,242,91
1762254231,2025-11-04T11:03:51Z,PGT8GQ,"51.811848,0.260086",5175,242,89
1762254233,2025-11-04T11:03:53Z,PGT8GQ,"51.812027,0.264637",5300,241,85
1762254235,2025-11-04T11:03:55Z,PGT8GQ,"51.812164,0.267458",5375,241,85
1762254237,2025-11-04T11:03:57Z,PGT8GQ,"51.812408,0.271225",5475,241,83
1762254239,2025-11-04T11:03:59Z,PGT8GQ,"51.812668,0.274807",5575,240,83
1762254241,2025-11-04T11:04:01Z,PGT8GQ,"51.812943,0.278518",5675,239,83
1762254243,2025-11-04T11:04:03Z,PGT8GQ,"51.813198,0.282288",5775,239,82
1762254245,2025-11-04T11:04:05Z,PGT8GQ,"51.81348,0.285645",5875,239,82
1762254247,2025-11-04T11:04:07Z,PGT8GQ,"51.813812,0.289727",6000,239,82
1762254249,2025-11-04T11:04:09Z,PGT8GQ,"51.814083,0.293121",6075,238,82
1762254251,2025-11-04T11:04:11Z,PGT8GQ,"51.814362,0.296936",6175,239,82
1762254253,2025-11-04T11:04:13Z,PGT8GQ,"51.814644,0.30014",6225,241,82
1762254255,2025-11-04T11:04:15Z,PGT8GQ,"51.814957,0.304351",6300,243,83
1762254257,2025-11-04T11:04:17Z,PGT8GQ,"51.815201,0.307922",6350,245,83
1762254270,2025-11-04T11:04:30Z,PGT8GQ,"51.816692,0.331268",6625,260,84
1762254284,2025-11-04T11:04:44Z,PGT8GQ,"51.818272,0.36026",6950,278,85
1762254297,2025-11-04T11:04:57Z,PGT8GQ,"51.819485,0.387497",7275,291,86
1762254311,2025-11-04T11:05:11Z,PGT8GQ,"51.820881,0.419006",7875,297,85
1762254324,2025-11-04T11:05:24Z,PGT8GQ,"51.822235,0.446654",8450,302,85
1762254338,2025-11-04T11:05:38Z,PGT8GQ,"51.824203,0.480206",9075,310,84
1762254353,2025-11-04T11:05:53Z,PGT8GQ,"51.826218,0.512869",9700,313,84
1762254365,2025-11-04T11:06:05Z,PGT8GQ,"51.82819,0.54245",10250,317,83
1762254380,2025-11-04T11:06:20Z,PGT8GQ,"51.830521,0.576856",10925,319,83
1762254394,2025-11-04T11:06:34Z,PGT8GQ,"51.832809,0.611077",11600,320,83
1762254407,2025-11-04T11:06:47Z,PGT8GQ,"51.834641,0.640696",12250,318,84
1762254438,2025-11-04T11:07:18Z,PGT8GQ,"51.839401,0.715967",13725,323,83
1762254470,2025-11-04T11:07:50Z,PGT8GQ,"51.844574,0.790941",14900,328,84
1762254501,2025-11-04T11:08:21Z,PGT8GQ,"51.849014,0.867475",15925,338,85
1762254521,2025-11-04T11:08:41Z,PGT8GQ,"51.853455,0.920402",16800,341,76
1762254523,2025-11-04T11:08:43Z,PGT8GQ,"51.854164,0.924683",16875,341,75
1762254526,2025-11-04T11:08:46Z,PGT8GQ,"51.855057,0.929904",16975,341,74
1762254528,2025-11-04T11:08:48Z,PGT8GQ,"51.855972,0.9351",17075,342,73
1762254530,2025-11-04T11:08:50Z,PGT8GQ,"51.856934,0.940073",17175,341,72
1762254532,2025-11-04T11:08:52Z,PGT8GQ,"51.857986,0.945641",17275,342,72
1762254534,2025-11-04T11:08:54Z,PGT8GQ,"51.859131,0.951357",17375,341,72
1762254536,2025-11-04T11:08:56Z,PGT8GQ,"51.85994,0.955353",17450,342,72
1762254538,2025-11-04T11:08:58Z,PGT8GQ,"51.861099,0.961081",17550,341,71
1762254540,2025-11-04T11:09:00Z,PGT8GQ,"51.862106,0.966055",17625,342,71
1762254542,2025-11-04T11:09:02Z,PGT8GQ,"51.863022,0.970731",17675,343,71
1762254573,2025-11-04T11:09:33Z,PGT8GQ,"51.878792,1.048203",18750,352,71
1762254604,2025-11-04T11:10:04Z,PGT8GQ,"51.894852,1.126883",19550,368,71
1762254636,2025-11-04T11:10:36Z,PGT8GQ,"51.912277,1.210785",20100,390,71
1762254667,2025-11-04T11:11:07Z,PGT8GQ,"51.930267,1.299591",20600,412,71
1762254698,2025-11-04T11:11:38Z,PGT8GQ,"51.94931,1.394501",21100,434,72
1762254730,2025-11-04T11:12:10Z,PGT8GQ,"51.969009,1.493042",21600,453,72
1762254761,2025-11-04T11:12:41Z,PGT8GQ,"51.987396,1.59804",22075,467,77
1762254792,2025-11-04T11:13:12Z,PGT8GQ,"52.001907,1.706543",22700,478,77
1762254823,2025-11-04T11:13:43Z,PGT8GQ,"52.016693,1.81633",23525,484,77
1762254854,2025-11-04T11:14:14Z,PGT8GQ,"52.031342,1.925982",24150,491,78
1762254885,2025-11-04T11:14:45Z,PGT8GQ,"52.045395,2.037201",24800,497,78
1762254916,2025-11-04T11:15:16Z,PGT8GQ,"52.059586,2.153702",25500,503,78
1762254947,2025-11-04T11:15:47Z,PGT8GQ,"52.073288,2.268755",26150,507,79
1762254979,2025-11-04T11:16:19Z,PGT8GQ,"52.085037,2.386169",26725,510,83
1762255010,2025-11-04T11:16:50Z,PGT8GQ,"52.092464,2.503549",27275,514,84
1762255041,2025-11-04T11:17:21Z,PGT8GQ,"52.100555,2.624664",27750,521,83
1762255072,2025-11-04T11:17:52Z,PGT8GQ,"52.108932,2.743912",28400,521,83
1762255103,2025-11-04T11:18:23Z,PGT8GQ,"52.117371,2.864685",29100,518,83
1762255134,2025-11-04T11:18:54Z,PGT8GQ,"52.125797,2.98679",29850,517,83
1762255165,2025-11-04T11:19:25Z,PGT8GQ,"52.132782,3.106463",30625,509,87
1762255174,2025-11-04T11:19:34Z,PGT8GQ,"52.132416,3.13797",30850,505,93
1762255176,2025-11-04T11:19:36Z,PGT8GQ,"52.13205,3.145065",30900,505,95
1762255178,2025-11-04T11:19:38Z,PGT8GQ,"52.131569,3.153311",30950,504,96
1762255180,2025-11-04T11:19:40Z,PGT8GQ,"52.130966,3.161002",31000,502,97
1762255182,2025-11-04T11:19:42Z,PGT8GQ,"52.130219,3.169713",31050,502,98
1762255184,2025-11-04T11:19:44Z,PGT8GQ,"52.12952,3.176383",31100,501,99
1762255186,2025-11-04T11:19:46Z,PGT8GQ,"52.128571,3.184814",31150,501,100
1762255188,2025-11-04T11:19:48Z,PGT8GQ,"52.127705,3.192156",31200,499,101
1762255190,2025-11-04T11:19:50Z,PGT8GQ,"52.126728,3.199533",31225,499,102
1762255192,2025-11-04T11:19:52Z,PGT8GQ,"52.12561,3.207223",31275,498,103
1762255194,2025-11-04T11:19:54Z,PGT8GQ,"52.124634,3.213425",31300,498,104
1762255197,2025-11-04T11:19:57Z,PGT8GQ,"52.123142,3.22229",31350,498,105
1762255199,2025-11-04T11:19:59Z,PGT8GQ,"52.1217,3.230216",31400,497,106
