Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762247934,2025-11-04T09:18:54Z,PGT388,"40.904613,29.317345",0,0,154
1762248157,2025-11-04T09:22:37Z,PGT388,"40.904823,29.317219",0,2,154
1762248178,2025-11-04T09:22:58Z,PGT388,"40.905033,29.31708",0,3,154
1762248197,2025-11-04T09:23:17Z,PGT388,"40.905235,29.316879",0,3,202
1762248214,2025-11-04T09:23:34Z,PGT388,"40.905441,29.316956",0,3,244
1762248441,2025-11-04T09:27:21Z,PGT388,"40.905361,29.316727",0,6,244
1762248448,2025-11-04T09:27:28Z,PGT388,"40.905281,29.316483",0,7,244
1762248456,2025-11-04T09:27:36Z,PGT388,"40.905155,29.316147",0,8,244
1762248462,2025-11-04T09:27:42Z,PGT388,"40.905041,29.315842",0,9,244
1762248469,2025-11-04T09:27:49Z,PGT388,"40.904903,29.315487",0,10,244
1762248476,2025-11-04T09:27:56Z,PGT388,"40.904766,29.315098",0,11,244
1762248483,2025-11-04T09:28:03Z,PGT388,"40.904602,29.314644",0,10,244
1762248489,2025-11-04T09:28:09Z,PGT388,"40.904491,29.314407",0,7,239
1762248495,2025-11-04T09:28:15Z,PGT388,"40.904274,29.314331",0,9,199
1762248501,2025-11-04T09:28:21Z,PGT388,"40.904041,29.314442",0,9,165
1762248507,2025-11-04T09:28:27Z,PGT388,"40.903824,29.314583",0,10,157
1762248511,2025-11-04T09:28:31Z,PGT388,"40.903622,29.314728",0,11,154
1762248515,2025-11-04T09:28:35Z,PGT388,"40.903416,29.31485",0,12,154
1762248520,2025-11-04T09:28:40Z,PGT388,"40.90321,29.314972",0,10,154
1762248525,2025-11-04T09:28:45Z,PGT388,"40.902985,29.31502",0,10,171
1762248531,2025-11-04T09:28:51Z,PGT388,"40.902752,29.314833",0,9,208
1762248536,2025-11-04T09:28:56Z,PGT388,"40.902634,29.314583",0,10,233
1762248540,2025-11-04T09:29:00Z,PGT388,"40.902531,29.314333",0,12,241
1762248543,2025-11-04T09:29:03Z,PGT388,"40.902451,29.314068",0,13,244
1762248547,2025-11-04T09:29:07Z,PGT388,"40.902363,29.313843",0,14,244
1762248549,2025-11-04T09:29:09Z,PGT388,"40.902287,29.313631",0,14,244
1762248553,2025-11-04T09:29:13Z,PGT388,"40.902191,29.31337",0,15,244
1762248556,2025-11-04T09:29:16Z,PGT388,"40.902088,29.313116",0,15,244
1762248559,2025-11-04T09:29:19Z,PGT388,"40.901997,29.312834",0,15,244
1762248562,2025-11-04T09:29:22Z,PGT388,"40.90189,29.312584",0,15,244
1762248565,2025-11-04T09:29:25Z,PGT388,"40.901825,29.312378",0,16,244
1762248568,2025-11-04T09:29:28Z,PGT388,"40.901714,29.312086",0,16,244
1762248570,2025-11-04T09:29:30Z,PGT388,"40.901634,29.311882",0,16,244
1762248572,2025-11-04T09:29:32Z,PGT388,"40.901562,29.311661",0,17,244
1762248580,2025-11-04T09:29:40Z,PGT388,"40.90131,29.310993",0,15,244
1762248586,2025-11-04T09:29:46Z,PGT388,"40.901123,29.310463",0,13,244
1762248591,2025-11-04T09:29:51Z,PGT388,"40.900993,29.310198",0,12,236
1762248595,2025-11-04T09:29:55Z,PGT388,"40.900761,29.309982",0,12,216
1762248600,2025-11-04T09:30:00Z,PGT388,"40.900532,29.309906",0,13,196
1762248603,2025-11-04T09:30:03Z,PGT388,"40.900326,29.309937",0,13,177
1762248607,2025-11-04T09:30:07Z,PGT388,"40.900097,29.310059",0,13,160
1762248612,2025-11-04T09:30:12Z,PGT388,"40.899818,29.310244",0,13,154
