Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762500828,2025-11-07T07:33:48Z,ANR,"-4.340414,152.379608",0,27,286
1762500836,2025-11-07T07:33:56Z,ANR,"-4.340158,152.378738",0,22,286
1762500843,2025-11-07T07:34:03Z,ANR,"-4.339966,152.378082",0,18,286
1762500850,2025-11-07T07:34:10Z,ANR,"-4.339821,152.377594",0,13,286
1762500856,2025-11-07T07:34:16Z,ANR,"-4.339774,152.37735",0,9,270
1762500861,2025-11-07T07:34:21Z,ANR,"-4.339886,152.377121",0,11,227
1762502346,2025-11-07T07:59:06Z,ANR,"-4.341694,152.376572",0,10,11
1762502353,2025-11-07T07:59:13Z,ANR,"-4.341328,152.376663",0,12,16
1762502360,2025-11-07T07:59:20Z,ANR,"-4.340938,152.376801",0,13,16
1762502369,2025-11-07T07:59:29Z,ANR,"-4.340426,152.376938",0,14,16
1762502375,2025-11-07T07:59:35Z,ANR,"-4.340057,152.377045",0,11,14
1762502380,2025-11-07T07:59:40Z,ANR,"-4.339844,152.377075",0,8,354
1762502389,2025-11-07T07:59:49Z,ANR,"-4.339623,152.376862",0,8,298
1762502394,2025-11-07T07:59:54Z,ANR,"-4.339541,152.376602",0,11,286
1762502398,2025-11-07T07:59:58Z,ANR,"-4.339472,152.376389",0,13,286
1762502402,2025-11-07T08:00:02Z,ANR,"-4.339413,152.376175",0,14,286
1762502406,2025-11-07T08:00:06Z,ANR,"-4.33932,152.37587",0,15,286
1762502409,2025-11-07T08:00:09Z,ANR,"-4.339256,152.375656",0,16,286
1762502413,2025-11-07T08:00:13Z,ANR,"-4.339176,152.375366",0,16,286
1762502418,2025-11-07T08:00:18Z,ANR,"-4.339064,152.375",0,17,286
1762502425,2025-11-07T08:00:25Z,ANR,"-4.338902,152.374466",0,17,286
1762502433,2025-11-07T08:00:33Z,ANR,"-4.338718,152.373825",0,16,286
1762502440,2025-11-07T08:00:40Z,ANR,"-4.338564,152.373322",0,15,286
1762502448,2025-11-07T08:00:48Z,ANR,"-4.338436,152.372879",0,10,284
1762502457,2025-11-07T08:00:57Z,ANR,"-4.338455,152.372559",0,7,255
1762502595,2025-11-07T08:03:15Z,ANR,"-4.338529,152.37323",0,33,106
1762502601,2025-11-07T08:03:21Z,ANR,"-4.339027,152.374908",0,67,106
1762502608,2025-11-07T08:03:28Z,ANR,"-4.339879,152.377762",0,98,106
