Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762603241,2025-11-08T12:00:41Z,QFA10,"51.470646,-0.466213",0,0,81
1762603301,2025-11-08T12:01:41Z,QFA10,"51.470634,-0.467014",0,0,154
1762603342,2025-11-08T12:02:22Z,QFA10,"51.470936,-0.467243",0,0,180
1762603675,2025-11-08T12:07:55Z,QFA10,"51.470695,-0.467234",0,4,180
1762603685,2025-11-08T12:08:05Z,QFA10,"51.470425,-0.467129",0,7,165
1762603701,2025-11-08T12:08:21Z,QFA10,"51.469986,-0.466678",0,8,149
1762603712,2025-11-08T12:08:32Z,QFA10,"51.469666,-0.466309",0,0,146
1762603721,2025-11-08T12:08:41Z,QFA10,"51.469364,-0.465984",0,9,146
1762603728,2025-11-08T12:08:48Z,QFA10,"51.469162,-0.46575",0,9,146
1762603739,2025-11-08T12:08:59Z,QFA10,"51.468739,-0.465286",0,10,146
1762603746,2025-11-08T12:09:06Z,QFA10,"51.468464,-0.464989",0,10,146
1762603754,2025-11-08T12:09:14Z,QFA10,"51.468155,-0.464649",0,0,146
1762603763,2025-11-08T12:09:23Z,QFA10,"51.467789,-0.464302",0,10,151
1762603773,2025-11-08T12:09:33Z,QFA10,"51.467327,-0.46423",0,10,177
1762603782,2025-11-08T12:09:42Z,QFA10,"51.466908,-0.464172",0,10,174
1762603792,2025-11-08T12:09:52Z,QFA10,"51.466644,-0.463634",0,10,123
1762603805,2025-11-08T12:10:05Z,QFA10,"51.466618,-0.462589",0,11,90
1762603817,2025-11-08T12:10:17Z,QFA10,"51.466621,-0.461537",0,0,90
1762603826,2025-11-08T12:10:26Z,QFA10,"51.466629,-0.460892",0,11,90
1762603834,2025-11-08T12:10:34Z,QFA10,"51.466633,-0.460182",0,10,90
1762603854,2025-11-08T12:10:54Z,QFA10,"51.466629,-0.458603",0,0,90
1762603866,2025-11-08T12:11:06Z,QFA10,"51.466629,-0.457649",0,0,90
1762603883,2025-11-08T12:11:23Z,QFA10,"51.466633,-0.456137",0,13,90
1762603914,2025-11-08T12:11:54Z,QFA10,"51.466656,-0.45313",0,13,90
1762603927,2025-11-08T12:12:07Z,QFA10,"51.466656,-0.451906",0,0,90
1762603935,2025-11-08T12:12:15Z,QFA10,"51.466652,-0.451202",0,0,90
1762603946,2025-11-08T12:12:26Z,QFA10,"51.466656,-0.450235",0,12,90
1762603955,2025-11-08T12:12:35Z,QFA10,"51.466663,-0.449409",0,13,90
1762603962,2025-11-08T12:12:42Z,QFA10,"51.466667,-0.448732",0,13,90
1762603973,2025-11-08T12:12:53Z,QFA10,"51.466663,-0.447922",0,12,90
1762603979,2025-11-08T12:12:59Z,QFA10,"51.466667,-0.447266",0,10,90
1762603987,2025-11-08T12:13:07Z,QFA10,"51.466675,-0.446663",0,10,90
1762603997,2025-11-08T12:13:17Z,QFA10,"51.466675,-0.446014",0,9,90
1762604003,2025-11-08T12:13:23Z,QFA10,"51.466667,-0.445596",0,8,90
1762604012,2025-11-08T12:13:32Z,QFA10,"51.466675,-0.445061",0,9,90
1762604020,2025-11-08T12:13:40Z,QFA10,"51.466675,-0.444508",0,9,90
1762604026,2025-11-08T12:13:46Z,QFA10,"51.466675,-0.444107",0,8,90
1762604034,2025-11-08T12:13:54Z,QFA10,"51.466679,-0.44374",0,5,90
1762604042,2025-11-08T12:14:02Z,QFA10,"51.466675,-0.443516",0,3,90
1762604054,2025-11-08T12:14:14Z,QFA10,"51.466679,-0.443313",0,2,90
1762604065,2025-11-08T12:14:25Z,QFA10,"51.46669,-0.443109",0,3,90
1762604076,2025-11-08T12:14:36Z,QFA10,"51.46669,-0.442905",0,3,90
1762604085,2025-11-08T12:14:45Z,QFA10,"51.46669,-0.442701",0,3,90
1762604095,2025-11-08T12:14:55Z,QFA10,"51.46669,-0.442478",0,3,90
1762604103,2025-11-08T12:15:03Z,QFA10,"51.466686,-0.442276",0,3,90
1762604114,2025-11-08T12:15:14Z,QFA10,"51.466686,-0.442066",0,2,90
1762604439,2025-11-08T12:20:39Z,QFA10,"51.46669,-0.441847",0,2,90
1762604453,2025-11-08T12:20:53Z,QFA10,"51.46669,-0.441494",0,4,90
1762604460,2025-11-08T12:21:00Z,QFA10,"51.466702,-0.441235",0,5,90
1762604468,2025-11-08T12:21:08Z,QFA10,"51.466698,-0.440922",0,6,90
1762604475,2025-11-08T12:21:15Z,QFA10,"51.46669,-0.440604",0,6,90
1762604483,2025-11-08T12:21:23Z,QFA10,"51.46669,-0.440195",0,7,90
1762604490,2025-11-08T12:21:30Z,QFA10,"51.466698,-0.439892",0,5,90
1762604501,2025-11-08T12:21:41Z,QFA10,"51.46669,-0.439676",0,0,90
1762604513,2025-11-08T12:21:53Z,QFA10,"51.46669,-0.439453",0,0,90
1762604529,2025-11-08T12:22:09Z,QFA10,"51.46669,-0.43923",0,2,90
1762604539,2025-11-08T12:22:19Z,QFA10,"51.466702,-0.439008",0,2,90
1762604563,2025-11-08T12:22:43Z,QFA10,"51.466702,-0.438804",0,0,90
1762604576,2025-11-08T12:22:56Z,QFA10,"51.466698,-0.438595",0,3,90
1762604586,2025-11-08T12:23:06Z,QFA10,"51.466698,-0.438366",0,3,90
1762604593,2025-11-08T12:23:13Z,QFA10,"51.466702,-0.438154",0,4,90
1762604601,2025-11-08T12:23:21Z,QFA10,"51.466702,-0.437913",0,4,90
1762604608,2025-11-08T12:23:28Z,QFA10,"51.466698,-0.437698",0,3,90
1762604716,2025-11-08T12:25:16Z,QFA10,"51.466702,-0.437467",0,0,90
