Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762545415,2025-11-07T19:56:55Z,QFA141,"-33.938278,151.166214",0,0,253
1762545429,2025-11-07T19:57:09Z,QFA141,"-33.937977,151.166763",0,0,253
1762545437,2025-11-07T19:57:17Z,QFA141,"-33.938267,151.166214",0,0,253
1762545462,2025-11-07T19:57:42Z,QFA141,"-33.937767,151.166473",0,0,253
1762545478,2025-11-07T19:57:58Z,QFA141,"-33.93821,151.166153",0,0,253
1762545632,2025-11-07T20:00:32Z,QFA141,"-33.938232,151.166367",0,0,253
1762545666,2025-11-07T20:01:06Z,QFA141,"-33.938164,151.166611",0,0,258
1762545693,2025-11-07T20:01:33Z,QFA141,"-33.938141,151.166824",0,0,239
1762545729,2025-11-07T20:02:09Z,QFA141,"-33.938,151.167053",0,0,205
1762545811,2025-11-07T20:03:31Z,QFA141,"-33.93821,151.167221",0,3,151
1762545836,2025-11-07T20:03:56Z,QFA141,"-33.938419,151.167389",0,2,149
1762545860,2025-11-07T20:04:20Z,QFA141,"-33.938633,151.16748",0,3,160
1762545880,2025-11-07T20:04:40Z,QFA141,"-33.93885,151.167542",0,3,163
1762545900,2025-11-07T20:05:00Z,QFA141,"-33.93906,151.167618",0,3,163
1762545922,2025-11-07T20:05:22Z,QFA141,"-33.939274,151.167679",0,3,163
1762545947,2025-11-07T20:05:47Z,QFA141,"-33.939526,151.16777",0,0,163
1762546131,2025-11-07T20:08:51Z,QFA141,"-33.939766,151.167862",0,5,163
1762546140,2025-11-07T20:09:00Z,QFA141,"-33.940075,151.167969",0,9,165
1762546147,2025-11-07T20:09:07Z,QFA141,"-33.940422,151.168091",0,11,160
1762546152,2025-11-07T20:09:12Z,QFA141,"-33.940567,151.16832",0,12,123
1762546156,2025-11-07T20:09:16Z,QFA141,"-33.940598,151.168549",0,12,98
1762546167,2025-11-07T20:09:27Z,QFA141,"-33.940453,151.169159",0,11,73
1762546172,2025-11-07T20:09:32Z,QFA141,"-33.940384,151.169479",0,0,73
1762546179,2025-11-07T20:09:39Z,QFA141,"-33.940281,151.169907",0,12,73
1762546184,2025-11-07T20:09:44Z,QFA141,"-33.940224,151.170151",0,12,73
1762546191,2025-11-07T20:09:51Z,QFA141,"-33.940109,151.170609",0,12,75
1762546198,2025-11-07T20:09:58Z,QFA141,"-33.940025,151.171005",0,11,73
1762546206,2025-11-07T20:10:06Z,QFA141,"-33.939915,151.171478",0,11,73
