Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1761782610,2025-10-30T00:03:30Z,QLK436D,"-35.308765,149.191193",0,0,270
1761783127,2025-10-30T00:12:07Z,QLK436D,"-35.308777,149.191422",0,3,275
1761783142,2025-10-30T00:12:22Z,QLK436D,"-35.3088,149.19165",0,3,275
1761783158,2025-10-30T00:12:38Z,QLK436D,"-35.308811,149.191895",0,2,272
1761783176,2025-10-30T00:12:56Z,QLK436D,"-35.308826,149.192139",0,2,258
1761783330,2025-10-30T00:15:30Z,QLK436D,"-35.309212,149.192276",0,8,168
1761783342,2025-10-30T00:15:42Z,QLK436D,"-35.309589,149.192612",0,9,129
1761783349,2025-10-30T00:15:49Z,QLK436D,"-35.309673,149.193008",0,10,95
1761783354,2025-10-30T00:15:54Z,QLK436D,"-35.309681,149.193314",0,11,90
1761783358,2025-10-30T00:15:58Z,QLK436D,"-35.309673,149.193542",0,12,90
1761783361,2025-10-30T00:16:01Z,QLK436D,"-35.309669,149.193771",0,12,90
1761783364,2025-10-30T00:16:04Z,QLK436D,"-35.309673,149.194",0,12,90
1761783369,2025-10-30T00:16:09Z,QLK436D,"-35.309658,149.19429",0,9,81
1761783379,2025-10-30T00:16:19Z,QLK436D,"-35.309406,149.194458",0,6,8
1761783458,2025-10-30T00:17:38Z,QLK436D,"-35.309177,149.194458",0,0,2
1761783465,2025-10-30T00:17:45Z,QLK436D,"-35.307846,149.194458",0,53,2
1761783483,2025-10-30T00:18:03Z,QLK436D,"-35.299713,149.194458",1825,139,2
1761783492,2025-10-30T00:18:12Z,QLK436D,"-35.294128,149.194458",1850,158,359
1761783499,2025-10-30T00:18:19Z,QLK436D,"-35.287762,149.194397",2075,166,359
1761783508,2025-10-30T00:18:28Z,QLK436D,"-35.281265,149.194458",2375,173,359
1761783514,2025-10-30T00:18:34Z,QLK436D,"-35.275982,149.194565",2625,176,1
1761783517,2025-10-30T00:18:37Z,QLK436D,"-35.273842,149.194626",2725,177,1
1761783523,2025-10-30T00:18:43Z,QLK436D,"-35.268677,149.194855",2950,181,1
1761783532,2025-10-30T00:18:52Z,QLK436D,"-35.260761,149.19516",3200,189,2
1761783536,2025-10-30T00:18:56Z,QLK436D,"-35.25737,149.195419",3350,191,4
1761783538,2025-10-30T00:18:58Z,QLK436D,"-35.255547,149.195557",3400,192,4
1761783540,2025-10-30T00:19:00Z,QLK436D,"-35.253777,149.195801",3450,193,5
1761783542,2025-10-30T00:19:02Z,QLK436D,"-35.251541,149.196091",3550,194,7
1761783545,2025-10-30T00:19:05Z,QLK436D,"-35.249725,149.196457",3600,195,9
1761783547,2025-10-30T00:19:07Z,QLK436D,"-35.248032,149.196854",3675,195,11
1761783549,2025-10-30T00:19:09Z,QLK436D,"-35.246246,149.197372",3725,196,14
1761783551,2025-10-30T00:19:11Z,QLK436D,"-35.244373,149.198074",3825,196,18
1761783553,2025-10-30T00:19:13Z,QLK436D,"-35.242035,149.199142",3925,196,19
1761783555,2025-10-30T00:19:15Z,QLK436D,"-35.240417,149.199951",4025,195,23
1761783558,2025-10-30T00:19:18Z,QLK436D,"-35.238739,149.200974",4125,194,26
1761783560,2025-10-30T00:19:20Z,QLK436D,"-35.236679,149.202347",4225,193,29
1761783562,2025-10-30T00:19:22Z,QLK436D,"-35.235344,149.203339",4325,193,33
1761783564,2025-10-30T00:19:24Z,QLK436D,"-35.233475,149.204926",4425,194,33
1761783566,2025-10-30T00:19:26Z,QLK436D,"-35.232315,149.205902",4475,195,36
1761783568,2025-10-30T00:19:28Z,QLK436D,"-35.230774,149.207321",4550,195,37
1761783570,2025-10-30T00:19:30Z,QLK436D,"-35.229012,149.209",4650,196,38
1761783573,2025-10-30T00:19:33Z,QLK436D,"-35.22757,149.21048",4725,196,39
1761783575,2025-10-30T00:19:35Z,QLK436D,"-35.225937,149.212189",4800,197,41
1761783577,2025-10-30T00:19:37Z,QLK436D,"-35.224308,149.213959",4900,197,41
1761783579,2025-10-30T00:19:39Z,QLK436D,"-35.223007,149.215393",4950,198,42
1761783582,2025-10-30T00:19:42Z,QLK436D,"-35.221344,149.217255",5050,198,42
1761783584,2025-10-30T00:19:44Z,QLK436D,"-35.219841,149.218994",5125,198,43
1761783586,2025-10-30T00:19:46Z,QLK436D,"-35.218277,149.220795",5250,198,43
1761783589,2025-10-30T00:19:49Z,QLK436D,"-35.216629,149.222748",5325,198,43
1761783591,2025-10-30T00:19:51Z,QLK436D,"-35.21542,149.224152",5425,198,44
1761783593,2025-10-30T00:19:53Z,QLK436D,"-35.213741,149.226151",5525,198,44
1761783606,2025-10-30T00:20:06Z,QLK436D,"-35.205036,149.236618",5950,203,44
1761783619,2025-10-30T00:20:19Z,QLK436D,"-35.196304,149.246918",6425,205,44
1761783632,2025-10-30T00:20:32Z,QLK436D,"-35.187252,149.257385",6925,208,43
1761783646,2025-10-30T00:20:46Z,QLK436D,"-35.177525,149.268372",7425,210,42
1761783658,2025-10-30T00:20:58Z,QLK436D,"-35.168213,149.278854",7925,212,42
1761783671,2025-10-30T00:21:11Z,QLK436D,"-35.158764,149.289383",8450,212,42
1761783685,2025-10-30T00:21:25Z,QLK436D,"-35.148754,149.300476",9025,211,42
1761783698,2025-10-30T00:21:38Z,QLK436D,"-35.139496,149.310593",9475,216,41
1761783711,2025-10-30T00:21:51Z,QLK436D,"-35.128597,149.32193",9725,231,38
1761783724,2025-10-30T00:22:04Z,QLK436D,"-35.117203,149.332275",10050,238,35
1761783738,2025-10-30T00:22:18Z,QLK436D,"-35.105164,149.342087",10450,243,33
1761783751,2025-10-30T00:22:31Z,QLK436D,"-35.0928,149.351929",10800,248,33
1761783764,2025-10-30T00:22:44Z,QLK436D,"-35.079952,149.362274",11225,251,33
1761783776,2025-10-30T00:22:56Z,QLK436D,"-35.06781,149.372192",11575,254,33
1761783789,2025-10-30T00:23:09Z,QLK436D,"-35.055046,149.382706",11975,256,34
1761783804,2025-10-30T00:23:24Z,QLK436D,"-35.040894,149.39444",12425,257,34
1761783837,2025-10-30T00:23:57Z,QLK436D,"-35.008259,149.421783",13450,259,34
1761783868,2025-10-30T00:24:28Z,QLK436D,"-34.977905,149.447296",14325,261,34
1761783898,2025-10-30T00:24:58Z,QLK436D,"-34.946869,149.473251",15025,269,34
1761783931,2025-10-30T00:25:31Z,QLK436D,"-34.912994,149.50145",15750,276,33
1761783961,2025-10-30T00:26:01Z,QLK436D,"-34.880428,149.527924",16475,280,34
1761783992,2025-10-30T00:26:32Z,QLK436D,"-34.847424,149.555511",17250,281,34
1761784024,2025-10-30T00:27:04Z,QLK436D,"-34.81398,149.58754",17900,288,41
1761784057,2025-10-30T00:27:37Z,QLK436D,"-34.78157,149.623138",18500,293,42
1761784089,2025-10-30T00:28:09Z,QLK436D,"-34.748062,149.659683",18975,303,41
1761784120,2025-10-30T00:28:40Z,QLK436D,"-34.715149,149.695114",19025,323,41
1761784152,2025-10-30T00:29:12Z,QLK436D,"-34.67775,149.734848",19025,341,41
1761784184,2025-10-30T00:29:44Z,QLK436D,"-34.640732,149.779068",19025,355,48
1761784216,2025-10-30T00:30:16Z,QLK436D,"-34.604652,149.828857",19025,365,48
1761784247,2025-10-30T00:30:47Z,QLK436D,"-34.570358,149.875549",19025,370,48
1761784279,2025-10-30T00:31:19Z,QLK436D,"-34.533371,149.925201",19025,372,48
1761784312,2025-10-30T00:31:52Z,QLK436D,"-34.495422,149.976105",19025,373,47
1761784342,2025-10-30T00:32:22Z,QLK436D,"-34.460854,150.022369",19000,373,47
1761784374,2025-10-30T00:32:54Z,QLK436D,"-34.423737,150.072174",19000,373,47
1761784405,2025-10-30T00:33:25Z,QLK436D,"-34.387299,150.121216",19025,373,48
1761784437,2025-10-30T00:33:57Z,QLK436D,"-34.350723,150.170944",18750,373,49
1761784469,2025-10-30T00:34:29Z,QLK436D,"-34.313656,150.220352",17725,371,47
1761784501,2025-10-30T00:35:01Z,QLK436D,"-34.276737,150.268997",16675,363,47
1761784533,2025-10-30T00:35:33Z,QLK436D,"-34.241226,150.316177",15650,359,47
1761784565,2025-10-30T00:36:05Z,QLK436D,"-34.20607,150.362915",14675,352,48
1761784596,2025-10-30T00:36:36Z,QLK436D,"-34.171555,150.409058",13675,344,48
1761784629,2025-10-30T00:37:09Z,QLK436D,"-34.137955,150.454239",12700,333,47
1761784660,2025-10-30T00:37:40Z,QLK436D,"-34.105042,150.497055",11775,326,46
1761784673,2025-10-30T00:37:53Z,QLK436D,"-34.092766,150.514465",11400,323,55
1761784675,2025-10-30T00:37:55Z,QLK436D,"-34.091183,150.517502",11325,322,57
1761784677,2025-10-30T00:37:57Z,QLK436D,"-34.089706,150.520706",11250,320,60
1761784679,2025-10-30T00:37:59Z,QLK436D,"-34.088196,150.524414",11200,318,64
1761784681,2025-10-30T00:38:01Z,QLK436D,"-34.087006,150.527832",11150,317,67
1761784684,2025-10-30T00:38:04Z,QLK436D,"-34.085724,150.531754",11075,315,69
1761784686,2025-10-30T00:38:06Z,QLK436D,"-34.084759,150.535187",11050,314,71
1761784688,2025-10-30T00:38:08Z,QLK436D,"-34.083874,150.538666",11000,312,73
1761784690,2025-10-30T00:38:10Z,QLK436D,"-34.082893,150.542847",10950,311,74
1761784692,2025-10-30T00:38:12Z,QLK436D,"-34.082104,150.546173",10875,310,75
1761784694,2025-10-30T00:38:14Z,QLK436D,"-34.081451,150.549377",10825,309,75
1761784697,2025-10-30T00:38:17Z,QLK436D,"-34.080688,150.552948",10750,308,76
1761784699,2025-10-30T00:38:19Z,QLK436D,"-34.07991,150.556915",10675,307,76
1761784701,2025-10-30T00:38:21Z,QLK436D,"-34.079266,150.560181",10625,307,76
1761784703,2025-10-30T00:38:23Z,QLK436D,"-34.078568,150.563507",10550,306,76
1761784705,2025-10-30T00:38:25Z,QLK436D,"-34.077961,150.566833",10500,304,76
1761784707,2025-10-30T00:38:27Z,QLK436D,"-34.077263,150.570496",10425,304,76
1761784709,2025-10-30T00:38:29Z,QLK436D,"-34.076569,150.57402",10375,302,76
1761784722,2025-10-30T00:38:42Z,QLK436D,"-34.072327,150.595154",10025,296,75
1761784735,2025-10-30T00:38:55Z,QLK436D,"-34.067905,150.615463",9675,292,75
1761784748,2025-10-30T00:39:08Z,QLK436D,"-34.063797,150.635513",9325,285,76
1761784763,2025-10-30T00:39:23Z,QLK436D,"-34.059311,150.65799",8975,279,76
1761784776,2025-10-30T00:39:36Z,QLK436D,"-34.055336,150.677612",8650,275,76
1761784788,2025-10-30T00:39:48Z,QLK436D,"-34.051517,150.696091",8350,269,76
1761784803,2025-10-30T00:40:03Z,QLK436D,"-34.046997,150.717117",8000,266,75
1761784818,2025-10-30T00:40:18Z,QLK436D,"-34.042328,150.737854",7675,265,74
1761784830,2025-10-30T00:40:30Z,QLK436D,"-34.038208,150.756241",7375,262,75
1761784843,2025-10-30T00:40:43Z,QLK436D,"-34.034389,150.773743",7100,259,75
1761784857,2025-10-30T00:40:57Z,QLK436D,"-34.029919,150.794556",6775,254,75
1761784871,2025-10-30T00:41:11Z,QLK436D,"-34.025776,150.811844",6575,254,72
1761784883,2025-10-30T00:41:23Z,QLK436D,"-34.021225,150.829285",6375,254,72
1761784896,2025-10-30T00:41:36Z,QLK436D,"-34.016792,150.846283",6150,255,72
1761784909,2025-10-30T00:41:49Z,QLK436D,"-34.012417,150.863861",5975,247,74
1761784924,2025-10-30T00:42:04Z,QLK436D,"-34.007996,150.883209",5950,247,73
1761784937,2025-10-30T00:42:17Z,QLK436D,"-34.003418,150.900406",5950,251,71
1761784949,2025-10-30T00:42:29Z,QLK436D,"-33.998867,150.91713",5975,252,72
1761784962,2025-10-30T00:42:42Z,QLK436D,"-33.994446,150.934525",5975,254,72
1761784975,2025-10-30T00:42:55Z,QLK436D,"-33.990372,150.951813",5950,253,74
1761784990,2025-10-30T00:43:10Z,QLK436D,"-33.985832,150.972229",5925,254,75
1761785005,2025-10-30T00:43:25Z,QLK436D,"-33.981552,150.993225",5925,252,76
1761785020,2025-10-30T00:43:40Z,QLK436D,"-33.977455,151.013489",5925,253,74
1761785024,2025-10-30T00:43:44Z,QLK436D,"-33.975632,151.019348",5900,254,66
1761785026,2025-10-30T00:43:46Z,QLK436D,"-33.974579,151.022049",5925,254,63
1761785028,2025-10-30T00:43:48Z,QLK436D,"-33.973404,151.024597",5925,254,60
