Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762239199,2025-11-04T06:53:19Z,QFA147,"-33.93885,151.166519",0,0,253
1762239245,2025-11-04T06:54:05Z,QFA147,"-33.938805,151.166733",0,0,253
1762239263,2025-11-04T06:54:23Z,QFA147,"-33.938747,151.166977",0,3,250
1762239279,2025-11-04T06:54:39Z,QFA147,"-33.938679,151.167206",0,3,230
1762239297,2025-11-04T06:54:57Z,QFA147,"-33.938515,151.167419",0,3,177
1762239348,2025-11-04T06:55:48Z,QFA147,"-33.938759,151.167526",0,3,163
1762239364,2025-11-04T06:56:04Z,QFA147,"-33.938969,151.167603",0,3,163
1762239380,2025-11-04T06:56:20Z,QFA147,"-33.939182,151.167664",0,3,163
1762239398,2025-11-04T06:56:38Z,QFA147,"-33.939388,151.16774",0,3,163
1762239621,2025-11-04T07:00:21Z,QFA147,"-33.939606,151.167816",0,0,163
1762239633,2025-11-04T07:00:33Z,QFA147,"-33.939846,151.167892",0,6,163
1762239640,2025-11-04T07:00:40Z,QFA147,"-33.940048,151.167953",0,8,163
1762239647,2025-11-04T07:00:47Z,QFA147,"-33.940388,151.168091",0,10,157
1762239652,2025-11-04T07:00:52Z,QFA147,"-33.940533,151.16835",0,11,120
1762239656,2025-11-04T07:00:56Z,QFA147,"-33.940552,151.168564",0,11,90
1762239665,2025-11-04T07:01:05Z,QFA147,"-33.940456,151.169006",0,10,75
1762239669,2025-11-04T07:01:09Z,QFA147,"-33.940399,151.169266",0,11,73
1762239679,2025-11-04T07:01:19Z,QFA147,"-33.940315,151.169571",0,12,73
1762239682,2025-11-04T07:01:22Z,QFA147,"-33.940178,151.170166",0,15,73
1762239687,2025-11-04T07:01:27Z,QFA147,"-33.940083,151.170578",0,16,73
1762239694,2025-11-04T07:01:34Z,QFA147,"-33.939949,151.171188",0,17,75
1762239703,2025-11-04T07:01:43Z,QFA147,"-33.939766,151.171967",0,17,73
1762239709,2025-11-04T07:01:49Z,QFA147,"-33.93964,151.17247",0,14,73
1762239717,2025-11-04T07:01:57Z,QFA147,"-33.93956,151.172791",0,6,75
1762239754,2025-11-04T07:02:34Z,QFA147,"-33.939514,151.173019",0,5,75
1762239762,2025-11-04T07:02:42Z,QFA147,"-33.939457,151.173279",0,7,73
1762239769,2025-11-04T07:02:49Z,QFA147,"-33.939377,151.173599",0,10,73
1762239776,2025-11-04T07:02:56Z,QFA147,"-33.939297,151.17395",0,11,73
1762239783,2025-11-04T07:03:03Z,QFA147,"-33.939178,151.174423",0,12,73
1762239790,2025-11-04T07:03:10Z,QFA147,"-33.939056,151.174942",0,15,75
1762239797,2025-11-04T07:03:17Z,QFA147,"-33.938919,151.175537",0,17,73
1762239804,2025-11-04T07:03:24Z,QFA147,"-33.938759,151.176193",0,18,73
1762239811,2025-11-04T07:03:31Z,QFA147,"-33.938622,151.176773",0,15,73
1762239817,2025-11-04T07:03:37Z,QFA147,"-33.938549,151.177139",0,12,78
1762239821,2025-11-04T07:03:41Z,QFA147,"-33.938553,151.177399",0,12,98
1762239826,2025-11-04T07:03:46Z,QFA147,"-33.938656,151.177612",0,11,120
1762239831,2025-11-04T07:03:51Z,QFA147,"-33.938896,151.177795",0,11,157
1762239837,2025-11-04T07:03:57Z,QFA147,"-33.939201,151.177887",0,12,165
1762239842,2025-11-04T07:04:02Z,QFA147,"-33.939457,151.177948",0,13,168
1762239846,2025-11-04T07:04:06Z,QFA147,"-33.939697,151.177994",0,14,168
1762239850,2025-11-04T07:04:10Z,QFA147,"-33.940006,151.178085",0,15,168
1762239854,2025-11-04T07:04:14Z,QFA147,"-33.940224,151.178146",0,15,168
1762239860,2025-11-04T07:04:20Z,QFA147,"-33.940693,151.178268",0,16,165
1762239868,2025-11-04T07:04:28Z,QFA147,"-33.941254,151.178421",0,18,168
1762239871,2025-11-04T07:04:31Z,QFA147,"-33.941494,151.178482",0,18,168
1762239874,2025-11-04T07:04:34Z,QFA147,"-33.941757,151.178543",0,18,168
1762239877,2025-11-04T07:04:37Z,QFA147,"-33.941963,151.178589",0,19,168
1762239883,2025-11-04T07:04:43Z,QFA147,"-33.942493,151.178726",0,19,168
1762239891,2025-11-04T07:04:51Z,QFA147,"-33.943192,151.178894",0,19,165
1762239894,2025-11-04T07:04:54Z,QFA147,"-33.943447,151.17897",0,19,168
1762239896,2025-11-04T07:04:56Z,QFA147,"-33.943657,151.179031",0,19,165
1762239900,2025-11-04T07:05:00Z,QFA147,"-33.943924,151.179092",0,18,168
1762239903,2025-11-04T07:05:03Z,QFA147,"-33.944145,151.179138",0,17,171
1762239906,2025-11-04T07:05:06Z,QFA147,"-33.944389,151.179138",0,16,182
1762239910,2025-11-04T07:05:10Z,QFA147,"-33.944618,151.179047",0,16,196
1762239913,2025-11-04T07:05:13Z,QFA147,"-33.944824,151.17894",0,16,205
1762239916,2025-11-04T07:05:16Z,QFA147,"-33.945042,151.178864",0,16,194
1762239919,2025-11-04T07:05:19Z,QFA147,"-33.945274,151.178864",0,15,180
1762239923,2025-11-04T07:05:23Z,QFA147,"-33.945522,151.178925",0,14,168
1762239926,2025-11-04T07:05:26Z,QFA147,"-33.945728,151.178986",0,14,168
1762239930,2025-11-04T07:05:30Z,QFA147,"-33.94595,151.179031",0,15,168
1762239933,2025-11-04T07:05:33Z,QFA147,"-33.946182,151.179077",0,15,168
1762239937,2025-11-04T07:05:37Z,QFA147,"-33.946438,151.179153",0,15,165
1762239944,2025-11-04T07:05:44Z,QFA147,"-33.946869,151.179291",0,17,165
1762239946,2025-11-04T07:05:46Z,QFA147,"-33.947079,151.179337",0,18,168
1762239950,2025-11-04T07:05:50Z,QFA147,"-33.947422,151.179413",0,19,168
1762239952,2025-11-04T07:05:52Z,QFA147,"-33.947628,151.179474",0,20,168
1762239956,2025-11-04T07:05:56Z,QFA147,"-33.948009,151.179565",0,21,165
1762239959,2025-11-04T07:05:59Z,QFA147,"-33.948223,151.179626",0,22,168
1762239961,2025-11-04T07:06:01Z,QFA147,"-33.948452,151.179688",0,23,168
