Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762481734,2025-11-07T02:15:34Z,QFA160,"-17.695587,168.312347",0,23,298
1762481741,2025-11-07T02:15:41Z,QFA160,"-17.695227,168.311646",0,22,298
1762481748,2025-11-07T02:15:48Z,QFA160,"-17.694946,168.311066",0,22,298
1762482046,2025-11-07T02:20:46Z,QFA160,"-17.695232,168.311615",0,94,118
1762482073,2025-11-07T02:21:13Z,QFA160,"-17.703815,168.328491",575,173,118
1762482080,2025-11-07T02:21:20Z,QFA160,"-17.707031,168.334686",950,176,118
1762482087,2025-11-07T02:21:27Z,QFA160,"-17.710098,168.340332",1275,181,120
1762482090,2025-11-07T02:21:30Z,QFA160,"-17.710739,168.341248",1325,183,125
1762482092,2025-11-07T02:21:32Z,QFA160,"-17.712847,168.343704",1475,183,130
1762482095,2025-11-07T02:21:35Z,QFA160,"-17.714104,168.344925",1550,184,136
1762482097,2025-11-07T02:21:37Z,QFA160,"-17.715641,168.3461",1600,185,141
1762482100,2025-11-07T02:21:40Z,QFA160,"-17.717743,168.347412",1675,189,148
1762482102,2025-11-07T02:21:42Z,QFA160,"-17.719458,168.348267",1725,191,153
1762482104,2025-11-07T02:21:44Z,QFA160,"-17.721319,168.348999",1750,194,157
1762482107,2025-11-07T02:21:47Z,QFA160,"-17.723648,168.349579",1825,197,164
1762482110,2025-11-07T02:21:50Z,QFA160,"-17.725975,168.349976",1875,201,169
1762482112,2025-11-07T02:21:52Z,QFA160,"-17.728954,168.350082",1925,204,176
1762482114,2025-11-07T02:21:54Z,QFA160,"-17.731375,168.349884",1975,207,180
1762482117,2025-11-07T02:21:57Z,QFA160,"-17.733517,168.349487",2025,210,188
1762482119,2025-11-07T02:21:59Z,QFA160,"-17.735367,168.348953",2075,213,194
1762482122,2025-11-07T02:22:02Z,QFA160,"-17.738342,168.347885",2125,216,198
1762482124,2025-11-07T02:22:04Z,QFA160,"-17.740219,168.347031",2175,220,203
1762482127,2025-11-07T02:22:07Z,QFA160,"-17.74292,168.345581",2250,223,206
1762482129,2025-11-07T02:22:09Z,QFA160,"-17.745163,168.344284",2300,226,209
1762482132,2025-11-07T02:22:12Z,QFA160,"-17.747576,168.342728",2350,229,210
1762482134,2025-11-07T02:22:14Z,QFA160,"-17.749624,168.341446",2425,234,211
1762482136,2025-11-07T02:22:16Z,QFA160,"-17.751892,168.339981",2500,236,211
1762482139,2025-11-07T02:22:19Z,QFA160,"-17.754181,168.338547",2575,240,211
1762482141,2025-11-07T02:22:21Z,QFA160,"-17.756048,168.337372",2625,242,210
1762482144,2025-11-07T02:22:24Z,QFA160,"-17.758888,168.335602",2700,247,210
1762482146,2025-11-07T02:22:26Z,QFA160,"-17.760889,168.334335",2750,249,211
1762482148,2025-11-07T02:22:28Z,QFA160,"-17.764008,168.332367",2825,255,211
1762482151,2025-11-07T02:22:31Z,QFA160,"-17.766521,168.330811",2900,257,210
1762482153,2025-11-07T02:22:33Z,QFA160,"-17.76857,168.329529",2950,261,210
1762482156,2025-11-07T02:22:36Z,QFA160,"-17.771456,168.327759",3025,263,210
1762482158,2025-11-07T02:22:38Z,QFA160,"-17.774139,168.326111",3125,266,210
1762482165,2025-11-07T02:22:45Z,QFA160,"-17.781792,168.321381",3450,270,210
1762482173,2025-11-07T02:22:53Z,QFA160,"-17.789886,168.316422",3850,272,210
1762482180,2025-11-07T02:23:00Z,QFA160,"-17.797852,168.311462",4250,273,210
1762482188,2025-11-07T02:23:08Z,QFA160,"-17.806511,168.306183",4675,274,210
1762482195,2025-11-07T02:23:15Z,QFA160,"-17.814056,168.30159",5000,276,210
1762482209,2025-11-07T02:23:29Z,QFA160,"-17.830532,168.291718",5750,281,209
1762482224,2025-11-07T02:23:44Z,QFA160,"-17.84729,168.281784",6425,287,209
1762482238,2025-11-07T02:23:58Z,QFA160,"-17.863907,168.271957",7125,291,209
1762482253,2025-11-07T02:24:13Z,QFA160,"-17.881027,168.261826",7925,292,209
1762482265,2025-11-07T02:24:25Z,QFA160,"-17.896408,168.25296",8600,293,208
1762482280,2025-11-07T02:24:40Z,QFA160,"-17.913486,168.243057",9325,295,209
1762482292,2025-11-07T02:24:52Z,QFA160,"-17.928177,168.234467",10025,294,209
1762482307,2025-11-07T02:25:07Z,QFA160,"-17.945847,168.224152",10625,302,209
1762482322,2025-11-07T02:25:22Z,QFA160,"-17.965164,168.212967",10900,322,209
1762482334,2025-11-07T02:25:34Z,QFA160,"-17.981735,168.20575",11075,344,197
1762482336,2025-11-07T02:25:36Z,QFA160,"-17.985643,168.204758",11125,346,194
1762482338,2025-11-07T02:25:38Z,QFA160,"-17.989288,168.203964",11175,350,191
1762482341,2025-11-07T02:25:41Z,QFA160,"-17.993137,168.203278",11200,352,190
1762482343,2025-11-07T02:25:43Z,QFA160,"-17.997208,168.20256",11250,354,189
1762482346,2025-11-07T02:25:46Z,QFA160,"-18.001192,168.202011",11275,358,188
1762482348,2025-11-07T02:25:48Z,QFA160,"-18.00531,168.201355",11325,361,188
1762482350,2025-11-07T02:25:50Z,QFA160,"-18.008698,168.200928",11350,364,187
1762482353,2025-11-07T02:25:53Z,QFA160,"-18.013962,168.200195",11400,368,187
1762482355,2025-11-07T02:25:55Z,QFA160,"-18.017206,168.199753",11425,370,187
1762482358,2025-11-07T02:25:58Z,QFA160,"-18.022186,168.199112",11475,374,187
1762482360,2025-11-07T02:26:00Z,QFA160,"-18.026564,168.198532",11500,376,187
1762482363,2025-11-07T02:26:03Z,QFA160,"-18.030579,168.197983",11550,379,187
1762482377,2025-11-07T02:26:17Z,QFA160,"-18.056213,168.194809",12050,387,186
1762482408,2025-11-07T02:26:48Z,QFA160,"-18.112638,168.187881",13550,389,187
1762482421,2025-11-07T02:27:01Z,QFA160,"-18.133575,168.182129",13875,389,200
1762482423,2025-11-07T02:27:03Z,QFA160,"-18.138382,168.179871",13975,389,202
