Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762298430,2025-11-04T23:20:30Z,QFA185,"-27.400333,153.114853",0,1,19
1762298745,2025-11-04T23:25:45Z,QFA185,"-27.3986,153.116119",0,13,73
1762298751,2025-11-04T23:25:51Z,QFA185,"-27.398678,153.116516",0,12,109
1762298762,2025-11-04T23:26:02Z,QFA185,"-27.398495,153.117035",0,12,45
1762298786,2025-11-04T23:26:26Z,QFA185,"-27.397064,153.117874",0,18,28
1762298801,2025-11-04T23:26:41Z,QFA185,"-27.395737,153.118622",0,23,28
1762298819,2025-11-04T23:26:59Z,QFA185,"-27.39385,153.119705",0,0,28
1762298852,2025-11-04T23:27:32Z,QFA185,"-27.390335,153.121719",0,26,28
1762298862,2025-11-04T23:27:42Z,QFA185,"-27.389236,153.122345",0,25,28
1762298872,2025-11-04T23:27:52Z,QFA185,"-27.388229,153.122925",0,25,28
1762298881,2025-11-04T23:28:01Z,QFA185,"-27.387276,153.123474",0,26,28
1762298898,2025-11-04T23:28:18Z,QFA185,"-27.385448,153.124512",0,27,28
1762298909,2025-11-04T23:28:29Z,QFA185,"-27.384201,153.125229",0,27,25
1762298917,2025-11-04T23:28:37Z,QFA185,"-27.3834,153.125687",0,27,28
1762298926,2025-11-04T23:28:46Z,QFA185,"-27.382399,153.126251",0,27,28
1762298933,2025-11-04T23:28:53Z,QFA185,"-27.381557,153.126724",0,27,28
1762298936,2025-11-04T23:28:56Z,QFA185,"-27.381258,153.126907",0,27,28
1762298938,2025-11-04T23:28:58Z,QFA185,"-27.381054,153.127029",0,27,28
1762298942,2025-11-04T23:29:02Z,QFA185,"-27.380711,153.127213",0,25,25
1762298945,2025-11-04T23:29:05Z,QFA185,"-27.380424,153.12738",0,21,25
1762298949,2025-11-04T23:29:09Z,QFA185,"-27.380165,153.127533",0,16,28
1762298956,2025-11-04T23:29:16Z,QFA185,"-27.379919,153.127975",0,15,73
1762298965,2025-11-04T23:29:25Z,QFA185,"-27.38014,153.128632",0,15,118
1762298970,2025-11-04T23:29:30Z,QFA185,"-27.380287,153.128937",0,15,118
1762298973,2025-11-04T23:29:33Z,QFA185,"-27.380379,153.12915",0,15,115
1762298976,2025-11-04T23:29:36Z,QFA185,"-27.380489,153.129364",0,16,118
1762298979,2025-11-04T23:29:39Z,QFA185,"-27.380596,153.129623",0,17,118
1762298983,2025-11-04T23:29:43Z,QFA185,"-27.380722,153.129883",0,17,118
1762298987,2025-11-04T23:29:47Z,QFA185,"-27.380852,153.130173",0,15,115
1762298992,2025-11-04T23:29:52Z,QFA185,"-27.380962,153.130432",0,12,118
