Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762146407,2025-11-03T05:06:47Z,QFA1,"-33.935707,151.167969",0,0,239
1762146452,2025-11-03T05:07:32Z,QFA1,"-33.935612,151.168182",0,3,239
1762146465,2025-11-03T05:07:45Z,QFA1,"-33.935497,151.168396",0,3,239
1762146478,2025-11-03T05:07:58Z,QFA1,"-33.935417,151.16861",0,3,236
1762146492,2025-11-03T05:08:12Z,QFA1,"-33.935383,151.168823",0,3,219
1762146507,2025-11-03T05:08:27Z,QFA1,"-33.93528,151.169037",0,3,196
1762146525,2025-11-03T05:08:45Z,QFA1,"-33.935074,151.169159",0,3,180
1762146543,2025-11-03T05:09:03Z,QFA1,"-33.934868,151.169205",0,3,165
1762146558,2025-11-03T05:09:18Z,QFA1,"-33.934628,151.169113",0,1,168
1762146906,2025-11-03T05:15:06Z,QFA1,"-33.934837,151.169159",0,3,168
1762146920,2025-11-03T05:15:20Z,QFA1,"-33.935051,151.169327",0,5,151
1762146932,2025-11-03T05:15:32Z,QFA1,"-33.935127,151.169571",0,4,129
1762146943,2025-11-03T05:15:43Z,QFA1,"-33.935127,151.1698",0,4,106
1762146951,2025-11-03T05:15:51Z,QFA1,"-33.93507,151.170013",0,5,90
1762146959,2025-11-03T05:15:59Z,QFA1,"-33.935017,151.170242",0,5,81
1762146968,2025-11-03T05:16:08Z,QFA1,"-33.934971,151.170486",0,6,81
1762146975,2025-11-03T05:16:15Z,QFA1,"-33.934971,151.170731",0,7,84
1762146983,2025-11-03T05:16:23Z,QFA1,"-33.935097,151.170944",0,8,106
1762146992,2025-11-03T05:16:32Z,QFA1,"-33.935429,151.171127",0,8,143
1762147000,2025-11-03T05:16:40Z,QFA1,"-33.93573,151.171158",0,8,163
1762147007,2025-11-03T05:16:47Z,QFA1,"-33.935966,151.171204",0,8,165
1762147014,2025-11-03T05:16:54Z,QFA1,"-33.936222,151.171295",0,8,165
1762147020,2025-11-03T05:17:00Z,QFA1,"-33.936436,151.171356",0,8,165
1762147027,2025-11-03T05:17:07Z,QFA1,"-33.936687,151.171432",0,9,168
1762147033,2025-11-03T05:17:13Z,QFA1,"-33.936932,151.171494",0,10,168
1762147040,2025-11-03T05:17:20Z,QFA1,"-33.937237,151.171585",0,11,168
1762147048,2025-11-03T05:17:28Z,QFA1,"-33.937706,151.171707",0,13,168
1762147054,2025-11-03T05:17:34Z,QFA1,"-33.938061,151.171799",0,14,168
1762147061,2025-11-03T05:17:41Z,QFA1,"-33.938538,151.171936",0,15,168
1762147069,2025-11-03T05:17:49Z,QFA1,"-33.939125,151.172089",0,17,168
1762147077,2025-11-03T05:17:57Z,QFA1,"-33.9398,151.172272",0,18,168
1762147084,2025-11-03T05:18:04Z,QFA1,"-33.940434,151.172455",0,19,168
1762147091,2025-11-03T05:18:11Z,QFA1,"-33.941017,151.172592",0,19,168
1762147099,2025-11-03T05:18:19Z,QFA1,"-33.941734,151.172791",0,17,168
1762147107,2025-11-03T05:18:27Z,QFA1,"-33.94239,151.172958",0,16,168
1762147114,2025-11-03T05:18:34Z,QFA1,"-33.942879,151.17308",0,16,168
1762147121,2025-11-03T05:18:41Z,QFA1,"-33.94339,151.173218",0,15,168
1762147128,2025-11-03T05:18:48Z,QFA1,"-33.94389,151.173355",0,15,168
1762147135,2025-11-03T05:18:55Z,QFA1,"-33.944378,151.173477",0,15,168
1762147142,2025-11-03T05:19:02Z,QFA1,"-33.944824,151.173584",0,15,168
1762147151,2025-11-03T05:19:11Z,QFA1,"-33.945408,151.173737",0,15,168
1762147158,2025-11-03T05:19:18Z,QFA1,"-33.945984,151.173874",0,16,168
1762147165,2025-11-03T05:19:25Z,QFA1,"-33.946522,151.174026",0,17,168
1762147172,2025-11-03T05:19:32Z,QFA1,"-33.947079,151.174164",0,19,168
1762147179,2025-11-03T05:19:39Z,QFA1,"-33.947777,151.174347",0,21,168
1762147186,2025-11-03T05:19:46Z,QFA1,"-33.948486,151.174515",0,23,168
1762147193,2025-11-03T05:19:53Z,QFA1,"-33.949245,151.174728",0,24,168
1762147200,2025-11-03T05:20:00Z,QFA1,"-33.949986,151.174927",0,25,168
1762147208,2025-11-03T05:20:08Z,QFA1,"-33.950886,151.175156",0,25,168
1762147214,2025-11-03T05:20:14Z,QFA1,"-33.951687,151.175369",0,25,168
1762147221,2025-11-03T05:20:21Z,QFA1,"-33.952469,151.175568",0,25,168
1762147228,2025-11-03T05:20:28Z,QFA1,"-33.953327,151.175781",0,25,168
1762147235,2025-11-03T05:20:35Z,QFA1,"-33.954128,151.175995",0,26,168
1762147242,2025-11-03T05:20:42Z,QFA1,"-33.954998,151.176224",0,26,168
1762147249,2025-11-03T05:20:49Z,QFA1,"-33.955799,151.176422",0,26,168
1762147257,2025-11-03T05:20:57Z,QFA1,"-33.956703,151.176651",0,26,168
1762147264,2025-11-03T05:21:04Z,QFA1,"-33.957447,151.176849",0,26,168
1762147272,2025-11-03T05:21:12Z,QFA1,"-33.958122,151.177032",0,26,168
1762147280,2025-11-03T05:21:20Z,QFA1,"-33.959263,151.177322",0,25,168
1762147287,2025-11-03T05:21:27Z,QFA1,"-33.960289,151.177582",0,23,168
1762147294,2025-11-03T05:21:34Z,QFA1,"-33.96096,151.177765",0,22,168
1762147302,2025-11-03T05:21:42Z,QFA1,"-33.961739,151.177963",0,20,168
1762147309,2025-11-03T05:21:49Z,QFA1,"-33.962311,151.178116",0,16,168
1762147315,2025-11-03T05:21:55Z,QFA1,"-33.962708,151.178207",0,13,168
1762147322,2025-11-03T05:22:02Z,QFA1,"-33.963058,151.178299",0,8,168
1762147330,2025-11-03T05:22:10Z,QFA1,"-33.963272,151.17836",0,6,168
1762147337,2025-11-03T05:22:17Z,QFA1,"-33.963501,151.178421",0,7,168
1762147345,2025-11-03T05:22:25Z,QFA1,"-33.963718,151.178482",0,6,168
1762147425,2025-11-03T05:23:45Z,QFA1,"-33.963955,151.178543",0,3,165
