Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1717468195,2024-06-04T02:29:55Z,QLK511D,"-21.176605,149.18306",0,0,317
1717468942,2024-06-04T02:42:22Z,QLK511D,"-21.176403,149.183182",0,7,36
1717468947,2024-06-04T02:42:27Z,QLK511D,"-21.176182,149.183319",0,10,25
1717468954,2024-06-04T02:42:34Z,QLK511D,"-21.175915,149.183548",0,13,45
1717468957,2024-06-04T02:42:37Z,QLK511D,"-21.175793,149.183762",0,15,53
1717468961,2024-06-04T02:42:41Z,QLK511D,"-21.175623,149.184052",0,17,53
1717468964,2024-06-04T02:42:44Z,QLK511D,"-21.175484,149.184265",0,18,53
1717468969,2024-06-04T02:42:49Z,QLK511D,"-21.175301,149.184586",0,17,53
1717468972,2024-06-04T02:42:52Z,QLK511D,"-21.17514,149.18486",0,16,56
1717468978,2024-06-04T02:42:58Z,QLK511D,"-21.174925,149.18515",0,14,42
1717468982,2024-06-04T02:43:02Z,QLK511D,"-21.174669,149.185196",0,13,354
1717468986,2024-06-04T02:43:06Z,QLK511D,"-21.174442,149.185074",0,16,326
1717468989,2024-06-04T02:43:09Z,QLK511D,"-21.174204,149.184921",0,19,326
1717468992,2024-06-04T02:43:12Z,QLK511D,"-21.173996,149.184769",0,22,323
1717468994,2024-06-04T02:43:14Z,QLK511D,"-21.173784,149.184631",0,25,326
1717468996,2024-06-04T02:43:16Z,QLK511D,"-21.173576,149.184509",0,25,326
1717468998,2024-06-04T02:43:18Z,QLK511D,"-21.173367,149.184357",0,26,326
1717469000,2024-06-04T02:43:20Z,QLK511D,"-21.173161,149.184219",0,26,326
1717469006,2024-06-04T02:43:26Z,QLK511D,"-21.17252,149.183792",0,26,326
1717469014,2024-06-04T02:43:34Z,QLK511D,"-21.171741,149.183258",0,26,326
1717469021,2024-06-04T02:43:41Z,QLK511D,"-21.171021,149.182785",0,26,326
1717469028,2024-06-04T02:43:48Z,QLK511D,"-21.170271,149.182266",0,26,323
1717469034,2024-06-04T02:43:54Z,QLK511D,"-21.169613,149.181824",0,26,326
1717469041,2024-06-04T02:44:01Z,QLK511D,"-21.16888,149.18132",0,26,326
1717469049,2024-06-04T02:44:09Z,QLK511D,"-21.168125,149.180817",0,26,323
1717469056,2024-06-04T02:44:16Z,QLK511D,"-21.167383,149.180328",0,26,326
1717469063,2024-06-04T02:44:23Z,QLK511D,"-21.166651,149.179825",0,26,326
1717469070,2024-06-04T02:44:30Z,QLK511D,"-21.165894,149.179321",0,26,326
1717469076,2024-06-04T02:44:36Z,QLK511D,"-21.165232,149.178864",0,24,326
1717469083,2024-06-04T02:44:43Z,QLK511D,"-21.164614,149.178452",0,21,326
1717469089,2024-06-04T02:44:49Z,QLK511D,"-21.164131,149.178116",0,18,320
1717469093,2024-06-04T02:44:53Z,QLK511D,"-21.163937,149.177902",0,17,309
1717469097,2024-06-04T02:44:57Z,QLK511D,"-21.163765,149.177673",0,13,306
1717469102,2024-06-04T02:45:02Z,QLK511D,"-21.163578,149.177444",0,12,312
1717469107,2024-06-04T02:45:07Z,QLK511D,"-21.163357,149.177429",0,8,2
