Timestamp,UTC,Callsign,Position,Altitude,Speed,Direction
1762533727,2025-11-07T16:42:07Z,QFA28,"-33.383572,-70.800003",0,19,357
1762533736,2025-11-07T16:42:16Z,QFA28,"-33.382774,-70.800049",0,18,357
1762533744,2025-11-07T16:42:24Z,QFA28,"-33.382099,-70.800072",0,16,357
1762533752,2025-11-07T16:42:32Z,QFA28,"-33.381561,-70.800117",0,13,357
1762533758,2025-11-07T16:42:38Z,QFA28,"-33.38126,-70.800125",0,9,357
1762533765,2025-11-07T16:42:45Z,QFA28,"-33.381031,-70.800262",0,9,334
1762533770,2025-11-07T16:42:50Z,QFA28,"-33.380947,-70.800507",0,9,303
1762533774,2025-11-07T16:42:54Z,QFA28,"-33.380928,-70.80072",0,9,284
1762533779,2025-11-07T16:42:59Z,QFA28,"-33.380886,-70.800926",0,8,284
1762533785,2025-11-07T16:43:05Z,QFA28,"-33.380676,-70.801155",0,9,315
1762533791,2025-11-07T16:43:11Z,QFA28,"-33.380447,-70.801216",0,9,340
1762533797,2025-11-07T16:43:17Z,QFA28,"-33.380177,-70.801239",0,10,354
1762533804,2025-11-07T16:43:24Z,QFA28,"-33.379887,-70.801254",0,10,357
1762533809,2025-11-07T16:43:29Z,QFA28,"-33.379658,-70.801254",0,10,357
1762533814,2025-11-07T16:43:34Z,QFA28,"-33.379417,-70.80127",0,10,357
1762533819,2025-11-07T16:43:39Z,QFA28,"-33.379211,-70.801277",0,11,357
1762533825,2025-11-07T16:43:45Z,QFA28,"-33.378876,-70.801308",0,11,357
1762533832,2025-11-07T16:43:52Z,QFA28,"-33.378445,-70.801323",0,13,357
1762533840,2025-11-07T16:44:00Z,QFA28,"-33.377975,-70.801353",0,14,357
1762533848,2025-11-07T16:44:08Z,QFA28,"-33.37746,-70.801376",0,14,357
1762533856,2025-11-07T16:44:16Z,QFA28,"-33.376877,-70.801407",0,15,357
1762533864,2025-11-07T16:44:24Z,QFA28,"-33.376385,-70.80143",0,15,357
1762533872,2025-11-07T16:44:32Z,QFA28,"-33.375778,-70.80146",0,15,357
1762533879,2025-11-07T16:44:39Z,QFA28,"-33.375252,-70.801491",0,15,357
1762533886,2025-11-07T16:44:46Z,QFA28,"-33.374802,-70.801521",0,15,357
1762533894,2025-11-07T16:44:54Z,QFA28,"-33.374184,-70.801544",0,16,357
1762533901,2025-11-07T16:45:01Z,QFA28,"-33.373661,-70.801582",0,16,357
1762533909,2025-11-07T16:45:09Z,QFA28,"-33.373077,-70.801613",0,14,357
1762533916,2025-11-07T16:45:16Z,QFA28,"-33.372643,-70.801636",0,12,357
1762533924,2025-11-07T16:45:24Z,QFA28,"-33.372265,-70.801659",0,9,357
1762533930,2025-11-07T16:45:30Z,QFA28,"-33.372047,-70.801666",0,7,357
1762534189,2025-11-07T16:49:49Z,QFA28,"-33.371834,-70.801689",0,1,357
1762534212,2025-11-07T16:50:12Z,QFA28,"-33.371624,-70.801697",0,4,357
1762534222,2025-11-07T16:50:22Z,QFA28,"-33.371395,-70.801804",0,5,340
1762534236,2025-11-07T16:50:36Z,QFA28,"-33.371178,-70.802094",0,4,312
1762534260,2025-11-07T16:51:00Z,QFA28,"-33.371098,-70.802315",0,0,298
1762534285,2025-11-07T16:51:25Z,QFA28,"-33.371063,-70.802567",0,0,284
1762534293,2025-11-07T16:51:33Z,QFA28,"-33.371075,-70.802917",0,9,270
1762534302,2025-11-07T16:51:42Z,QFA28,"-33.371227,-70.803383",0,11,244
1762534313,2025-11-07T16:51:53Z,QFA28,"-33.371704,-70.803711",0,0,202
1762534318,2025-11-07T16:51:58Z,QFA28,"-33.371979,-70.803726",0,12,185
1762534327,2025-11-07T16:52:07Z,QFA28,"-33.372532,-70.803703",0,17,177
1762534329,2025-11-07T16:52:09Z,QFA28,"-33.372822,-70.803673",0,29,177
1762534330,2025-11-07T16:52:10Z,QFA28,"-33.373055,-70.803673",0,33,177
1762534332,2025-11-07T16:52:12Z,QFA28,"-33.373318,-70.803658",0,42,177
1762534334,2025-11-07T16:52:14Z,QFA28,"-33.373856,-70.803627",0,51,177
1762534336,2025-11-07T16:52:16Z,QFA28,"-33.374405,-70.803604",0,60,177
1762534338,2025-11-07T16:52:18Z,QFA28,"-33.374939,-70.803566",0,69,177
1762534339,2025-11-07T16:52:19Z,QFA28,"-33.375278,-70.803551",0,72,177
1762534340,2025-11-07T16:52:20Z,QFA28,"-33.375675,-70.803535",0,78,177
1762534341,2025-11-07T16:52:21Z,QFA28,"-33.376053,-70.803505",0,82,177
1762534342,2025-11-07T16:52:22Z,QFA28,"-33.376614,-70.803482",0,86,177
1762534344,2025-11-07T16:52:24Z,QFA28,"-33.377083,-70.803452",0,90,177
1762534356,2025-11-07T16:52:36Z,QFA28,"-33.38356,-70.803093",1450,132,177
1762534373,2025-11-07T16:52:53Z,QFA28,"-33.398254,-70.802322",1525,193,177
1762534382,2025-11-07T16:53:02Z,QFA28,"-33.406219,-70.801888",1825,196,177
1762534389,2025-11-07T16:53:09Z,QFA28,"-33.412262,-70.801559",2100,199,177
1762534398,2025-11-07T16:53:18Z,QFA28,"-33.420593,-70.801117",2525,200,177
1762534405,2025-11-07T16:53:25Z,QFA28,"-33.427094,-70.800674",2850,200,177
